Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top[cm] [cm],Bottom[cm] [cm],Top Depth[m] [m],Bottom Depth[m] [m],Color(name),PREFIX,PRINCIPALLITHOLOGY,Classification,SUFFIX,COMPLETE NAME,"Dominantgrain size(Wentworth, 1922)",Clastic grainRoundness,LITHIFICATION,LITHOLOGY COMMENTS,File Data,
"334-U1378B-2H-6-A, 0-150",334,U1378,B,2,2-6,H,6,A,0.0,150.0,12.8,14.3,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Frequent fine-grain sand horizons,,
"334-U1378B-2H-7-A, 0-66",334,U1378,B,2,2-7,H,7,A,0.0,66.0,14.3,14.96,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Frequent fine-grain sand horizons,,
"334-U1378B-2H-CC-A, 0-25",334,U1378,B,2,2-CC,H,CC,A,0.0,25.0,14.96,15.21,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Frequent fine-grain sand horizons,,
"334-U1378B-3H-1-A, 0-150",334,U1378,B,3,3-1,H,1,A,0.0,150.0,14.8,16.3,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-2-A, 0-150",334,U1378,B,3,3-2,H,2,A,0.0,150.0,16.3,17.8,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-3-A, 0-150",334,U1378,B,3,3-3,H,3,A,0.0,150.0,17.8,19.3,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-4-A, 0-150",334,U1378,B,3,3-4,H,4,A,0.0,150.0,19.3,20.8,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-5-A, 0-150",334,U1378,B,3,3-5,H,5,A,0.0,150.0,20.8,22.3,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-6-A, 0-27.5",334,U1378,B,3,3-6,H,6,A,0.0,27.5,22.3,22.575,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-6-A, 27.5-29.5",334,U1378,B,3,3-6,H,6,A,27.5,29.5,22.575,22.595,N 7,,sand [S54],"Shepard, 1954",,sand,fine sand [U14W22],,soft,,,
"334-U1378B-3H-6-A, 29.5-32",334,U1378,B,3,3-6,H,6,A,29.5,32.0,22.595,22.62,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-6-A, 32-33",334,U1378,B,3,3-6,H,6,A,32.0,33.0,22.62,22.63,N 7,,sand [S54],"Shepard, 1954",,sand,fine sand [U14W22],,soft,,,
"334-U1378B-3H-6-A, 33-150",334,U1378,B,3,3-6,H,6,A,33.0,150.0,22.63,23.8,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-7-A, 0-70",334,U1378,B,3,3-7,H,7,A,0.0,70.0,23.8,24.5,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-3H-CC-A, 0-41",334,U1378,B,3,3-CC,H,CC,A,0.0,41.0,24.5,24.91,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-4H-1-A, 0-61",334,U1378,B,4,4-1,H,1,A,0.0,61.0,24.3,24.91,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-4H-2-A, 0-150",334,U1378,B,4,4-2,H,2,A,0.0,150.0,24.91,26.41,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-4H-3-A, 0-150",334,U1378,B,4,4-3,H,3,A,0.0,150.0,26.41,27.91,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-4H-4-A, 0-52",334,U1378,B,4,4-4,H,4,A,0.0,52.0,27.91,28.43,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-4H-4-A, 52-126",334,U1378,B,4,4-4,H,4,A,52.0,126.0,28.43,29.17,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-4H-4-A, 126-150",334,U1378,B,4,4-4,H,4,A,126.0,150.0,29.17,29.41,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,Sandy horizons specially abundant in the middle of the layer.,,
"334-U1378B-4H-5-A, 0-51",334,U1378,B,4,4-5,H,5,A,0.0,51.0,29.41,29.92,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,Sandy horizons specially abundant in the middle of the layer.,,
"334-U1378B-4H-5-A, 51-53",334,U1378,B,4,4-5,H,5,A,51.0,53.0,29.92,29.94,2.5YR 8/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
"334-U1378B-4H-5-A, 53-93",334,U1378,B,4,4-5,H,5,A,53.0,93.0,29.94,30.34,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,Sandy horizons specially abundant in the middle of the layer.,,
"334-U1378B-4H-5-A, 93-150",334,U1378,B,4,4-5,H,5,A,93.0,150.0,30.34,30.91,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-4H-6-A, 0-64",334,U1378,B,4,4-6,H,6,A,0.0,64.0,30.91,31.55,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-4H-6-A, 64-66",334,U1378,B,4,4-6,H,6,A,64.0,66.0,31.55,31.57,10YR 8/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
"334-U1378B-4H-6-A, 66-150",334,U1378,B,4,4-6,H,6,A,66.0,150.0,31.57,32.41,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-4H-7-A, 0-10",334,U1378,B,4,4-7,H,7,A,0.0,10.0,32.41,32.51,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-4H-7-A, 10-13",334,U1378,B,4,4-7,H,7,A,10.0,13.0,32.51,32.54,5Y 4/2,,sand [S54],"Shepard, 1954",,sand,medium sand [U14W22],rounded (Default),soft,,,
"334-U1378B-4H-7-A, 13-17.5",334,U1378,B,4,4-7,H,7,A,13.0,17.5,32.54,32.585,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-4H-7-A, 17.5-20.5",334,U1378,B,4,4-7,H,7,A,17.5,20.5,32.585,32.615,5Y 4/2,,sand [S54],"Shepard, 1954",,sand,medium sand [U14W22],rounded (Default),soft,,,
"334-U1378B-4H-7-A, 20.5-138",334,U1378,B,4,4-7,H,7,A,20.5,138.0,32.615,33.79,10Y 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-4H-7-A, 138-140",334,U1378,B,4,4-7,H,7,A,138.0,140.0,33.79,33.81,10Y 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-4H-8-A, 0-52",334,U1378,B,4,4-8,H,8,A,0.0,52.0,33.81,34.33,10Y 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-4H-CC-A, 0-34",334,U1378,B,4,4-CC,H,CC,A,0.0,34.0,34.33,34.67,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-5H-1-A, 0-150",334,U1378,B,5,5-1,H,1,A,0.0,150.0,33.8,35.3,5Y 4/2,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,"Most of the sand particles are nano-foraminifera, specially concentrated in the middle of the layer.",,
"334-U1378B-5H-2-A, 0-150",334,U1378,B,5,5-2,H,2,A,0.0,150.0,35.3,36.8,5Y 4/2,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,"Most of the sand particles are nano-foraminifera, specially concentrated in the middle of the layer.",,
"334-U1378B-5H-3-A, 0-150",334,U1378,B,5,5-3,H,3,A,0.0,150.0,36.8,38.3,10Y 4/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-5H-4-A, 0-106",334,U1378,B,5,5-4,H,4,A,0.0,106.0,38.3,39.36,10Y 4/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-5H-4-A, 106-108",334,U1378,B,5,5-4,H,4,A,106.0,108.0,39.36,39.38,2.5YR 8/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,
"334-U1378B-5H-4-A, 108-150",334,U1378,B,5,5-4,H,4,A,108.0,150.0,39.38,39.8,10Y 4/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-5H-5-A, 0-150",334,U1378,B,5,5-5,H,5,A,0.0,150.0,39.8,41.3,10Y 4/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-5H-6-A, 0-150",334,U1378,B,5,5-6,H,6,A,0.0,150.0,41.3,42.8,10Y 4/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-5H-7-A, 0-46.5",334,U1378,B,5,5-7,H,7,A,0.0,46.5,42.8,43.265,10Y 4/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-5H-7-A, 46.5-48",334,U1378,B,5,5-7,H,7,A,46.5,48.0,43.265,43.28,10G 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,clay [U14W22],,soft,,,
"334-U1378B-5H-CC-A, 0-32",334,U1378,B,5,5-CC,H,CC,A,0.0,32.0,43.5,43.82,10Y 4/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,,,
"334-U1378B-6H-1-A, 0-49.5",334,U1378,B,6,6-1,H,1,A,0.0,49.5,43.3,43.795,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-6H-1-A, 49.5-51",334,U1378,B,6,6-1,H,1,A,49.5,51.0,43.795,43.81,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,clay [U14W22],,soft,,,
"334-U1378B-6H-1-A, 51-100",334,U1378,B,6,6-1,H,1,A,51.0,100.0,43.81,44.3,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-6H-1-A, 100-150",334,U1378,B,6,6-1,H,1,A,100.0,150.0,44.3,44.8,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-6H-2-A, 0-150",334,U1378,B,6,6-2,H,2,A,0.0,150.0,44.8,46.3,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-6H-3-A, 0-150",334,U1378,B,6,6-3,H,3,A,0.0,150.0,46.3,47.8,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-6H-4-A, 0-33",334,U1378,B,6,6-4,H,4,A,0.0,33.0,47.8,48.13,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-6H-4-A, 33-33.5",334,U1378,B,6,6-4,H,4,A,33.0,33.5,48.13,48.135,7.5YR 3/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,soft,,,
"334-U1378B-6H-4-A, 33.5-92.5",334,U1378,B,6,6-4,H,4,A,33.5,92.5,48.135,48.725,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-6H-4-A, 92.5-94.5",334,U1378,B,6,6-4,H,4,A,92.5,94.5,48.725,48.745,N 7,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,clay [U14W22],,soft,,,
"334-U1378B-6H-4-A, 94.5-150",334,U1378,B,6,6-4,H,4,A,94.5,150.0,48.745,49.3,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-6H-5-A, 0-150",334,U1378,B,6,6-5,H,5,A,0.0,150.0,49.3,50.8,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-6H-6-A, 0-150",334,U1378,B,6,6-6,H,6,A,0.0,150.0,50.8,52.3,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-6H-CC-A, 0-31",334,U1378,B,6,6-CC,H,CC,A,0.0,31.0,51.75,52.06,10Y 3/1,,sandy clay [S54],"Shepard, 1954",,sandy clay,clay [U14W22],,soft,,,
"334-U1378B-7H-1-A, 0-150",334,U1378,B,7,7-1,H,1,A,0.0,150.0,52.8,54.3,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-2-A, 0-99",334,U1378,B,7,7-2,H,2,A,0.0,99.0,54.3,55.29,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-2-A, 99-101",334,U1378,B,7,7-2,H,2,A,99.0,101.0,55.29,55.31,10YR 6/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,silt [U14W22],,unconsolidated,,,
"334-U1378B-7H-2-A, 101-150",334,U1378,B,7,7-2,H,2,A,101.0,150.0,55.31,55.8,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-3-A, 0-80",334,U1378,B,7,7-3,H,3,A,0.0,80.0,55.8,56.6,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-3-A, 80-82",334,U1378,B,7,7-3,H,3,A,80.0,82.0,56.6,56.62,5BG 5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,clay [U14W22],,consolidated,,,
"334-U1378B-7H-3-A, 82-112",334,U1378,B,7,7-3,H,3,A,82.0,112.0,56.62,56.92,10Y 3/1,,sandy silt [S54],"Shepard, 1954",,sandy silt,silt [U14W22],,consolidated,,,
"334-U1378B-7H-3-A, 112-150",334,U1378,B,7,7-3,H,3,A,112.0,150.0,56.92,57.3,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-4-A, 0-53",334,U1378,B,7,7-4,H,4,A,0.0,53.0,57.3,57.83,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-4-A, 53-55.5",334,U1378,B,7,7-4,H,4,A,53.0,55.5,57.83,57.855,10G 3/1,,sand [S54],"Shepard, 1954",,sand,fine sand [U14W22],,consolidated,,,
"334-U1378B-7H-4-A, 55.5-57.5",334,U1378,B,7,7-4,H,4,A,55.5,57.5,57.855,57.875,10G 3/1,,sand [S54],"Shepard, 1954",,sand,fine sand [U14W22],,consolidated,,,
"334-U1378B-7H-4-A, 57.5-150",334,U1378,B,7,7-4,H,4,A,57.5,150.0,57.875,58.8,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-5-A, 0-150",334,U1378,B,7,7-5,H,5,A,0.0,150.0,58.8,60.3,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-6-A, 0-23",334,U1378,B,7,7-6,H,6,A,0.0,23.0,60.3,60.53,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-7H-6-A, 23-99",334,U1378,B,7,7-6,H,6,A,23.0,99.0,60.53,61.29,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Several cm-scaled calcareous horizons.,,
"334-U1378B-7H-CC-A, 0-58",334,U1378,B,7,7-CC,H,CC,A,0.0,58.0,61.29,61.87,10Y 3/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,
"334-U1378B-8H-1-A, 0-9",334,U1378,B,8,8-1,H,1,A,0.0,9.0,62.3,62.39,N 6,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,cemented,pale greenish grey well cemented concretion.,,
"334-U1378B-8H-1-A, 9-14",334,U1378,B,8,8-1,H,1,A,9.0,14.0,62.39,62.44,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,Fining upward sequence from medium-coarse sand in the bottom 4cm (Section 2: 15 - 19cm) to silty clay. ,,
"334-U1378B-8H-2-A, 0-18",334,U1378,B,8,8-2,H,2,A,0.0,18.0,62.44,62.62,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,Fining upward sequence from medium-coarse sand in the bottom 4cm (Section 2: 15 - 19cm) to silty clay. ,,
"334-U1378B-8H-2-A, 18-97",334,U1378,B,8,8-2,H,2,A,18.0,97.0,62.62,63.41,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-8H-2-A, 97-100",334,U1378,B,8,8-2,H,2,A,97.0,100.0,63.41,63.44,5GY 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,,,
"334-U1378B-8H-2-A, 100-150",334,U1378,B,8,8-2,H,2,A,100.0,150.0,63.44,63.94,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-8H-3-A, 0-150",334,U1378,B,8,8-3,H,3,A,0.0,150.0,63.94,65.44,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-8H-4-A, 0-33",334,U1378,B,8,8-4,H,4,A,0.0,33.0,65.44,65.77,5GY 3/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,soft,,,
"334-U1378B-8H-4-A, 33-35",334,U1378,B,8,8-4,H,4,A,33.0,35.0,65.77,65.79,N 7,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,Pale grey fining upwards tephra deposit.,,
"334-U1378B-8H-4-A, 35-110",334,U1378,B,8,8-4,H,4,A,35.0,110.0,65.79,66.54,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-8H-4-A, 110-112",334,U1378,B,8,8-4,H,4,A,110.0,112.0,66.54,66.56,N 7,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,Pale grey tephra pods.,,
"334-U1378B-8H-4-A, 112-150",334,U1378,B,8,8-4,H,4,A,112.0,150.0,66.56,66.94,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,Fining upward sequence from medium sand in the bottom 8cm (Section 5: 83 - 91cm) to silty clay. ,,
"334-U1378B-8H-5-A, 0-91",334,U1378,B,8,8-5,H,5,A,0.0,91.0,66.94,67.85,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,Fining upward sequence from medium sand in the bottom 8cm (Section 5: 83 - 91cm) to silty clay. ,,
"334-U1378B-8H-5-A, 91-150",334,U1378,B,8,8-5,H,5,A,91.0,150.0,67.85,68.44,10GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-8H-6-A, 0-116",334,U1378,B,8,8-6,H,6,A,0.0,116.0,68.44,69.6,10GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-8H-6-A, 116-118",334,U1378,B,8,8-6,H,6,A,116.0,118.0,69.6,69.62,N 7,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,Pale grey tephra pods.,,
"334-U1378B-8H-6-A, 118-150",334,U1378,B,8,8-6,H,6,A,118.0,150.0,69.62,69.94,10GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-8H-7-A, 0-132",334,U1378,B,8,8-7,H,7,A,0.0,132.0,69.94,71.26,10GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-1-A, 0-150",334,U1378,B,9,9-1,H,1,A,0.0,150.0,71.8,73.3,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-2-A, 0-150",334,U1378,B,9,9-2,H,2,A,0.0,150.0,73.3,74.8,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-3-A, 0-74",334,U1378,B,9,9-3,H,3,A,0.0,74.0,74.8,75.54,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-3-A, 74-76",334,U1378,B,9,9-3,H,3,A,74.0,76.0,75.54,75.56,5GY 4/1,silty,sand [S54],"Shepard, 1954",,silty sand,fine sand [U14W22],,soft,,,
"334-U1378B-9H-3-A, 76-82",334,U1378,B,9,9-3,H,3,A,76.0,82.0,75.56,75.62,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-3-A, 82-84",334,U1378,B,9,9-3,H,3,A,82.0,84.0,75.62,75.64,5GY 4/1,silty,sand [S54],"Shepard, 1954",,silty sand,fine sand [U14W22],,soft,,,
"334-U1378B-9H-3-A, 84-150",334,U1378,B,9,9-3,H,3,A,84.0,150.0,75.64,76.3,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-4-A, 0-28",334,U1378,B,9,9-4,H,4,A,0.0,28.0,76.3,76.58,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-4-A, 28-31",334,U1378,B,9,9-4,H,4,A,28.0,31.0,76.58,76.61,5GY 4/1,silty,sand [S54],"Shepard, 1954",,silty sand,fine sand [U14W22],,soft,,,
"334-U1378B-9H-4-A, 31-49",334,U1378,B,9,9-4,H,4,A,31.0,49.0,76.61,76.79,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-4-A, 49-51",334,U1378,B,9,9-4,H,4,A,49.0,51.0,76.79,76.81,5GY 4/1,silty,sand [S54],"Shepard, 1954",,silty sand,fine sand [U14W22],,soft,,,
"334-U1378B-9H-4-A, 51-82",334,U1378,B,9,9-4,H,4,A,51.0,82.0,76.81,77.12,5GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,
"334-U1378B-9H-4-A, 82-86",334,U1378,B,9,9-4,H,4,A,82.0,86.0,77.12,77.16,5GY 4/1,silty,sand [S54],"Shepard, 1954",,silty sand,fine sand [U14W22],,soft,,,
