Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal lithology,Lithology suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,
317-U1352C-4R-1-A,317,U1352,C,4,4-1,R,1,A,0,140.0,594.0,595.4,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-4R-2-A,317,U1352,C,4,4-2,R,2,A,0,140.0,595.48,596.88,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-4R-3-A,317,U1352,C,4,4-3,R,3,A,0,150.0,596.9,598.4,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-4R-4-A,317,U1352,C,4,4-4,R,4,A,0,130.0,598.4,599.7,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-4R-5-A,317,U1352,C,4,4-5,R,5,A,0,84.0,599.71,600.55,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-4R-6-A,317,U1352,C,4,4-6,R,6,A,0,64.0,600.58,601.22,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-4R-CC-A,317,U1352,C,4,4-CC,R,CC,A,0,5.0,601.23,601.28,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-6R-1-A,317,U1352,C,6,6-1,R,1,A,0,84.0,660.0,660.84,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1352C-6R-CC-A,317,U1352,C,6,6-CC,R,CC,A,0,15.0,661.0,661.15,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1352C-7R-1-A,317,U1352,C,7,7-1,R,1,A,0,15.0,669.6,669.75,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-7R-1-A,317,U1352,C,7,7-1,R,1,A,15,41.0,669.75,670.01,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous mud,,
317-U1352C-7R-1-A,317,U1352,C,7,7-1,R,1,A,15,41.0,669.75,670.01,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",homogeneous mud,,
317-U1352C-7R-1-A,317,U1352,C,7,7-1,R,1,A,41,57.0,670.01,670.17,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-7R-1-A,317,U1352,C,7,7-1,R,1,A,57,64.0,670.17,670.24,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",homogeneous mud,,
317-U1352C-7R-1-A,317,U1352,C,7,7-1,R,1,A,57,70.0,670.17,670.3,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous mud,,
317-U1352C-7R-2-A,317,U1352,C,7,7-2,R,2,A,0,82.0,670.26,671.08,,Marl [Leg210],,Marl,,,,,Leg 210,homogeneous mud,,
317-U1352C-7R-2-A,317,U1352,C,7,7-2,R,2,A,0,82.0,670.26,671.08,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",homogeneous mud,,
317-U1352C-7R-CC-A,317,U1352,C,7,7-CC,R,CC,A,0,13.0,671.08,671.21,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-7R-CC-A,317,U1352,C,7,7-CC,R,CC,A,13,26.0,671.21,671.34,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-8R-1-A,317,U1352,C,8,8-1,R,1,A,0,94.0,679.3,680.24,,Marl [Leg210],,Marl,,,,,Leg 210,"Micaceous v.f. to f. (mostly v.f.) sandy marl stone, with scattered shell fragments, forams, and brachiopods.  Burrows of skolithos and planolites are common.  Thin shell-rich  laminations are intercalated.  Grains of glauconite are observed at lower part.",,
317-U1352C-9R-1-A,317,U1352,C,9,9-1,R,1,A,0,14.0,689.0,689.14,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"micaceous, glauconitic, v f sandy marlstone block with common forams & sand-filled burrows.",,
317-U1352C-9R-1-A,317,U1352,C,9,9-1,R,1,A,14,74.0,689.14,689.74,,Marl [Leg210],,Marl,,very slightly consolidated,,,Leg 210,"Well sorted, micaceous, glauconitic, v f sandy mud with common forams.",,
317-U1352C-9R-1-A,317,U1352,C,9,9-1,R,1,A,74,84.0,689.74,689.84,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"micaceous, glauconitic, v f sandy marlstone blocks (2).",,
317-U1352C-9R-CC-A,317,U1352,C,9,9-CC,R,CC,A,0,9.0,689.84,689.93,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"micaceous, glauconitic, v f sandy marlstone block.",,
317-U1352C-9R-CC-A,317,U1352,C,9,9-CC,R,CC,A,9,19.0,689.93,690.03,,Marl [Leg210],,Marl,,very slightly consolidated,,,Leg 210,"well sorted, micaceous, v f sandy mud with rare forams.",,
317-U1352C-10R-1-A,317,U1352,C,10,10-1,R,1,A,0,54.0,698.7,699.24,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"Well sorted, v f sandy marlstone rich in mica and a few percent glauconite.",,
317-U1352C-10R-1-A,317,U1352,C,10,10-1,R,1,A,54,70.0,699.24,699.4,,Marl [Leg210],,Marl,,soft,,,Leg 210,Moderately well sorted v f to f sandy marl,,
317-U1352C-10R-2-A,317,U1352,C,10,10-2,R,2,A,0,149.0,699.34,700.83,,Marl [Leg210],,Marl,,soft,,,Leg 210,Moderately well sorted v f to f sandy marl,,
317-U1352C-10R-CC-A,317,U1352,C,10,10-CC,R,CC,A,0,15.0,700.84,700.99,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"well sorted, v f sandy marlstone rich in rich in mica and a few percent glauconite",,
317-U1352C-11R-1-A,317,U1352,C,11,11-1,R,1,A,0,4.0,708.4,708.44,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"well sorted, micaceous, sandy marlstone with mud filled burrows ",,
317-U1352C-11R-1-A,317,U1352,C,11,11-1,R,1,A,4,76.0,708.44,709.16,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision","trace of micaceous, v.f. sand",,
317-U1352C-11R-2-A,317,U1352,C,11,11-2,R,2,A,0,40.0,709.32,709.72,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"well sorted, micaceous, sandy marlstone with mud filled burrows ",,
317-U1352C-12R-1-A,317,U1352,C,12,12-1,R,1,A,0,40.0,718.1,718.5,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"well sorted, micaceous, sandy marlstone with common forams and mud filled burrows ",,
317-U1352C-12R-1-A,317,U1352,C,12,12-1,R,1,A,40,60.0,718.5,718.7,,Marl [Leg210],,Marl,,soft,,,Leg 210,"micaceous, v.f. sandy marl ",,
317-U1352C-12R-1-A,317,U1352,C,12,12-1,R,1,A,60,85.0,718.7,718.95,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"well sorted, micaceous, sandy marlstone with common forams and mud filled burrows ",,
317-U1352C-12R-1-A,317,U1352,C,12,12-1,R,1,A,85,94.0,718.95,719.04,,Marl [Leg210],,Marl,,soft,,,Leg 210,"micaceous, v.f. sandy marl ",,
317-U1352C-12R-1-A,317,U1352,C,12,12-1,R,1,A,94,130.0,719.04,719.4,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"well sorted, micaceous, sandy marlstone with common forams and mud filled burrows ",,
317-U1352C-12R-CC-A,317,U1352,C,12,12-CC,R,CC,A,0,5.0,719.41,719.46,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"well sorted, micaceous, sandy marlstone with common forams and mud filled burrows ",,
317-U1352C-13R-1-A,317,U1352,C,13,13-1,R,1,A,0,22.0,727.8,728.02,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"well sorted, micaceous, sandy marlstone",,
317-U1352C-13R-1-A,317,U1352,C,13,13-1,R,1,A,22,78.0,728.02,728.58,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision","micaceous, calcareous v.f. sandy mud",,
317-U1352C-13R-1-A,317,U1352,C,13,13-1,R,1,A,78,105.0,728.58,728.85,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,,,
317-U1352C-14R-1-A,317,U1352,C,14,14-1,R,1,A,0,149.0,737.5,738.99,,Marlstone [Leg210],,Marlstone,,,,,Leg210,marlstone blocks,,
317-U1352C-14R-1-A,317,U1352,C,14,14-1,R,1,A,0,150.0,737.5,739.0,,Marlstone [Leg210],,Marlstone,,,,,Leg210,marlstone blocks,,
317-U1352C-14R-2-A,317,U1352,C,14,14-2,R,2,A,0,32.0,739.0,739.32,,Marlstone [Leg210],,Marlstone,,,,,Leg210,marlstone blocks,,
317-U1352C-14R-2-A,317,U1352,C,14,14-2,R,2,A,32,85.0,739.32,739.85,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1352C-14R-CC-A,317,U1352,C,14,14-CC,R,CC,A,0,16.0,739.99,740.15,,Marlstone [Leg210],,Marlstone,,,,,Leg210,homogeneous,,
317-U1352C-15R-1-A,317,U1352,C,15,15-1,R,1,A,0,136.0,747.2,748.56,,Marlstone [Leg210],,Marlstone,,,,,Leg210,marlstone blocks,,
317-U1352C-15R-2-A,317,U1352,C,15,15-2,R,2,A,0,6.0,748.56,748.62,,Marlstone [Leg210],,Marlstone,,,,,Leg210,marlstone blocks,,
317-U1352C-15R-2-A,317,U1352,C,15,15-2,R,2,A,6,107.0,748.62,749.63,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-15R-CC-A,317,U1352,C,15,15-CC,R,CC,A,0,14.0,749.63,749.77,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-16R-1-A,317,U1352,C,16,16-1,R,1,A,0,75.0,756.9,757.65,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-16R-1-A,317,U1352,C,16,16-1,R,1,A,75,97.0,757.65,757.87,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1352C-16R-1-A,317,U1352,C,16,16-1,R,1,A,97,111.0,757.87,758.01,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-16R-1-A,317,U1352,C,16,16-1,R,1,A,111,116.0,758.01,758.06,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1352C-16R-1-A,317,U1352,C,16,16-1,R,1,A,116,124.0,758.06,758.14,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-16R-2-A,317,U1352,C,16,16-2,R,2,A,0,94.0,758.27,759.21,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-16R-CC-A,317,U1352,C,16,16-CC,R,CC,A,0,17.0,759.22,759.39,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1352C-17R-1-A,317,U1352,C,17,17-1,R,1,A,0,147.0,766.6,768.07,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-17R-2-A,317,U1352,C,17,17-2,R,2,A,0,96.0,768.07,769.03,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-17R-3-A,317,U1352,C,17,17-3,R,3,A,0,67.0,769.03,769.7,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-17R-CC-A,317,U1352,C,17,17-CC,R,CC,A,0,5.0,769.7,769.75,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-18R-1-A,317,U1352,C,18,18-1,R,1,A,0,149.0,776.3,777.79,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-18R-2-A,317,U1352,C,18,18-2,R,2,A,0,101.0,777.8,778.81,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-18R-3-A,317,U1352,C,18,18-3,R,3,A,0,79.0,778.81,779.6,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-18R-CC-A,317,U1352,C,18,18-CC,R,CC,A,0,15.0,779.73,779.88,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1352C-19R-1-A,317,U1352,C,19,19-1,R,1,A,0,150.0,786.0,787.5,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone with brecciated interval,,
317-U1352C-19R-2-A,317,U1352,C,19,19-2,R,2,A,0,131.0,787.5,788.81,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone with brecciated interval,,
317-U1352C-19R-CC-A,317,U1352,C,19,19-CC,R,CC,A,0,10.0,788.8,788.9,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1352C-20R-1-A,317,U1352,C,20,20-1,R,1,A,0,140.0,795.7,797.1,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-20R-2-A,317,U1352,C,20,20-2,R,2,A,0,103.0,797.09,798.12,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-20R-CC-A,317,U1352,C,20,20-CC,R,CC,A,0,20.0,798.11,798.31,,Marl [Leg210],,Marl,,,,,Leg 210,,,
317-U1352C-21R-1-A,317,U1352,C,21,21-1,R,1,A,0,140.0,805.4,806.8,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-21R-2-A,317,U1352,C,21,21-2,R,2,A,0,55.0,806.8,807.35,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-22R-1-A,317,U1352,C,22,22-1,R,1,A,0,109.0,815.0,816.09,,Marl [Leg210],,Marl,,,,,Leg 210,"Micaceous v.f. - f. sandy marlstone (soft enough to destroy by finger) , with scattered rare shell fragments (forams). Highly bioturbated with abundant burrows.  Fractured into some blocks by drilling disturbance.  ",,
317-U1352C-22R-2-A,317,U1352,C,22,22-2,R,2,A,0,104.0,816.42,817.46,,Marl [Leg210],,Marl,,,,,Leg 210,"Micaceous v.f. - f. sandy marlstone (soft enough to destroy by finger) , with scattered rare shell fragments (forams). Highly bioturbated with abundant burrows.  Fractured into some blocks by drilling disturbance.  ",,
317-U1352C-23R-1-A,317,U1352,C,23,23-1,R,1,A,0,99.0,824.6,825.59,,Marlstone [Leg210],,Marlstone,,,,,Leg210,"Micaceous calcareous v.f. - f. sandy marlstone (soft enough to break by finger), with scattered rare shell fragments. Drilling disturbance is various from soupy to blocked. ",,
317-U1352C-23R-2-A,317,U1352,C,23,23-2,R,2,A,0,74.0,825.6,826.34,,Marlstone [Leg210],,Marlstone,,,,,Leg210,"Micaceous calcareous v.f. - f. sandy marlstone (soft enough to break by finger), with scattered rare shell fragments. Drilling disturbance is various from soupy to blocked. ",,
317-U1352C-23R-CC-A,317,U1352,C,23,23-CC,R,CC,A,0,9.0,826.34,826.43,,Marlstone [Leg210],,Marlstone,,,,,Leg210,Micaceous calcareous v.f. sandy marlstone with rare shell fragments.,,
317-U1352C-23R-CC-A,317,U1352,C,23,23-CC,R,CC,A,9,19.0,826.43,826.53,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",v.f. sandy mud. with rare shell fragments.,,
317-U1352C-24R-1-A,317,U1352,C,24,24-1,R,1,A,0,124.0,834.2,835.44,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,moderately well sorted v f to f (mostly v f) sandy marlstone.,,
317-U1352C-24R-2-A,317,U1352,C,24,24-2,R,2,A,0,116.0,835.63,836.79,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,moderately well sorted v f to f (mostly v f) sandy marlstone.,,
317-U1352C-25R-1-A,317,U1352,C,25,25-1,R,1,A,0,149.0,843.8,845.29,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,moderately sorted v f to fine (mostly v f) sandy marlstone.,,
317-U1352C-25R-2-A,317,U1352,C,25,25-2,R,2,A,0,69.0,845.3,845.99,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,moderately sorted v f to fine (mostly v f) sandy marlstone.,,
317-U1352C-25R-CC-A,317,U1352,C,25,25-CC,R,CC,A,0,23.0,846.0,846.23,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,moderately sorted v f to fine (mostly v f) sandy marlstone.,,
317-U1352C-26R-1-A,317,U1352,C,26,26-1,R,1,A,0,114.0,853.4,854.54,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf - f  moderately to well sorted homogeneous sandy marlstone,,
317-U1352C-26R-2-A,317,U1352,C,26,26-2,R,2,A,0,71.0,854.58,855.29,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf - f  moderately to well sorted homogeneous sandy marlstone,,
317-U1352C-27R-1-A,317,U1352,C,27,27-1,R,1,A,0,99.0,863.0,863.99,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf - f  moderately to well sorted homogeneous sandy marlstone,,
317-U1352C-27R-2-A,317,U1352,C,27,27-2,R,2,A,0,10.0,864.0,864.1,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf - f  moderately to well sorted homogeneous sandy marlstone,,
317-U1352C-27R-2-A,317,U1352,C,27,27-2,R,2,A,10,32.0,864.1,864.32,,Marl [Leg210],,Marl,,firm,,,Leg 210,micaceous vf - f  moderately to well sorted homogeneous sandy marl,,
317-U1352C-27R-2-A,317,U1352,C,27,27-2,R,2,A,32,59.0,864.32,864.59,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf - f  moderately to well sorted homogeneous sandy marlstone,,
317-U1352C-27R-CC-A,317,U1352,C,27,27-CC,R,CC,A,0,18.0,864.76,864.94,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf - f  moderately to well sorted homogeneous sandy marlstone,,
317-U1352C-28R-1-A,317,U1352,C,28,28-1,R,1,A,0,130.0,872.6,873.9,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"moderately well sorted, v f to f (mostly v f) micaceous sandy marlstone.",,
317-U1352C-28R-2-A,317,U1352,C,28,28-2,R,2,A,0,150.0,873.91,875.41,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"moderately well sorted, v f to f (mostly v f) micaceous sandy marlstone.",,
317-U1352C-29R-1-A,317,U1352,C,29,29-1,R,1,A,0,70.0,882.2,882.9,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"moderately well sorted, v f to fine (mostly v f) sandy marlstone",,
317-U1352C-29R-2-A,317,U1352,C,29,29-2,R,2,A,0,110.0,883.23,884.33,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"moderately well sorted, v f to fine (mostly v f) sandy marlstone",,
317-U1352C-29R-3-A,317,U1352,C,29,29-3,R,3,A,0,58.0,884.33,884.91,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"moderately well sorted, v f to fine (mostly v f) sandy marlstone",,
317-U1352C-30R-1-A,317,U1352,C,30,30-1,R,1,A,0,150.0,891.8,893.3,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,"moderately well sorted, v f to fine (mostly v f) micaceous sandy marlstone",,
317-U1352C-30R-2-A,317,U1352,C,30,30-2,R,2,A,0,107.0,893.3,894.37,,Marlstone [Leg210],,,,lithified,,,,"moderately well sorted, v f to fine (mostly v f) micaceous sandy marlstone",,
317-U1352C-31R-1-A,317,U1352,C,31,31-1,R,1,A,0,125.0,901.3,902.55,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-31R-2-A,317,U1352,C,31,31-2,R,2,A,0,89.0,902.76,903.65,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-31R-3-A,317,U1352,C,31,31-3,R,3,A,0,94.0,903.71,904.65,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-31R-4-A,317,U1352,C,31,31-4,R,4,A,0,80.0,904.7,905.5,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-32R-1-A,317,U1352,C,32,32-1,R,1,A,0,122.0,910.9,912.12,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-32R-2-A,317,U1352,C,32,32-2,R,2,A,0,92.0,912.12,913.04,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-33R-1-A,317,U1352,C,33,33-1,R,1,A,0,142.0,920.5,921.92,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-33R-2-A,317,U1352,C,33,33-2,R,2,A,0,114.0,921.92,923.06,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-33R-3-A,317,U1352,C,33,33-3,R,3,A,0,147.0,923.25,924.72,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-33R-4-A,317,U1352,C,33,33-4,R,4,A,0,140.0,924.72,926.12,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-33R-CC-A,317,U1352,C,33,33-CC,R,CC,A,0,18.0,926.12,926.3,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-34R-1-A,317,U1352,C,34,34-1,R,1,A,0,69.0,930.1,930.79,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-34R-2-A,317,U1352,C,34,34-2,R,2,A,0,150.0,931.17,932.67,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-34R-3-A,317,U1352,C,34,34-3,R,3,A,0,97.0,932.67,933.64,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-34R-4-A,317,U1352,C,34,34-4,R,4,A,0,73.0,933.64,934.37,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-34R-CC-A,317,U1352,C,34,34-CC,R,CC,A,0,15.0,934.37,934.52,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-35R-1-A,317,U1352,C,35,35-1,R,1,A,0,150.0,939.7,941.2,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-35R-2-A,317,U1352,C,35,35-2,R,2,A,0,150.0,941.2,942.7,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-35R-3-A,317,U1352,C,35,35-3,R,3,A,0,140.0,942.7,944.1,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-35R-CC-A,317,U1352,C,35,35-CC,R,CC,A,0,29.0,944.14,944.43,,Marlstone [Leg210],,Marlstone,,,,,Leg210,,,
317-U1352C-36R-1-A,317,U1352,C,36,36-1,R,1,A,0,149.0,949.4,950.89,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-36R-2-A,317,U1352,C,36,36-2,R,2,A,0,135.0,950.9,952.25,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-36R-3-A,317,U1352,C,36,36-3,R,3,A,0,83.0,952.4,953.23,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-36R-CC-A,317,U1352,C,36,36-CC,R,CC,A,0,25.0,953.23,953.48,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-37R-1-A,317,U1352,C,37,37-1,R,1,A,0,141.0,959.0,960.41,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-37R-2-A,317,U1352,C,37,37-2,R,2,A,0,125.0,960.41,961.66,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-37R-3-A,317,U1352,C,37,37-3,R,3,A,0,120.0,961.66,962.86,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-37R-4-A,317,U1352,C,37,37-4,R,4,A,0,128.0,962.86,964.14,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-37R-CC-A,317,U1352,C,37,37-CC,R,CC,A,0,26.0,964.14,964.4,,Marlstone [Leg210],,Marlstone,,,,,Leg210,blocks of marlstone,,
317-U1352C-38R-1-A,317,U1352,C,38,38-1,R,1,A,0,149.0,968.5,969.99,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf well sorted sandy marlstone,,
317-U1352C-38R-2-A,317,U1352,C,38,38-2,R,2,A,0,149.0,970.0,971.49,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf well sorted sandy marlstone,,
317-U1352C-38R-3-A,317,U1352,C,38,38-3,R,3,A,0,134.0,971.5,972.84,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf well sorted sandy marlstone,,
317-U1352C-38R-4-A,317,U1352,C,38,38-4,R,4,A,0,149.0,973.0,974.49,,Marlstone [Leg210],,Marlstone,,lithified,,,Leg210,micaceous vf well sorted sandy marlstone,,
