Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Clastic grain: roundness,Lithification,Lithology comment,Color,Color code,Volcaniclastic grain size name,Volcaniclastic grain minerals,,
324-U1348A-14R-2-A,324,U1348,A,14,14-2,R,2,A,0.0,151.0,201.0,202.51,Calcite cemented,granular hyaloclastite [324],Exp 324,,Calcite cemented granular hyaloclastite,100,granule [U14W22],angular (Default),well indurated,"Gray volcanoclastic sandstone / lapillistone alt.  Abundant dark grains, which are subangular to very angular in shape. Lapillistone mainly poorly sorted and massive or graded. Section 1, 24-57 cm,  slightly laminated. Mostly coarse sand to lapilli sized. One large, gray, angular clast in Section 3 is 3 cm long. Large dark to light gray vesicular grains are interpreted as scoria (partly aligned vesicle trail). some dark clasts are aphyric basalt. ",gray,N 5,lapillus [S81],basalt,,
324-U1348A-14R-3-A,324,U1348,A,14,14-3,R,3,A,0.0,112.0,202.51,203.63,Calcite cemented,granular hyaloclastite [324],Exp 324,,Calcite cemented granular hyaloclastite,100,granule [U14W22],angular (Default),well indurated,"Gray volcanoclastic sandstone / lapillistone alt.  Abundant dark grains, which are subangular to very angular in shape. Lapillistone mainly poorly sorted and massive or graded. Section 1, 24-57 cm,  slightly laminated. Mostly coarse sand to lapilli sized. One large, gray, angular clast in Section 3 is 3 cm long. Large dark to light gray vesicular grains are interpreted as scoria (partly aligned vesicle trail). some dark clasts are aphyric basalt. ",gray,N 5,lapillus [S81],basalt,,
324-U1348A-14R-CC-A,324,U1348,A,14,14-CC,R,CC,A,0.0,22.0,203.63,203.85,Calcite supported,Sandstone [MMK88],"Mazullo, Meyer ",with volcaniclastics,Calcite supported Sandstone with volcaniclastics,100,very coarse sand [U14W22],subrounded (Default),indurated,"Cream to light gray, calcite-supported sandstone (sandy limestone in places). Coarse, rounded volcanoclastics are present throughout, but concentrated in horizontal bands.  One large bivalve shell is present at section CC-9cm. ",light gray,N 7,lapillus [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,0.0,3.5,209.1,209.135,silty,coarse tuff,Exp 324,with carbonate cement and volcaniclastics,silty coarse tuff with carbonate cement and volcaniclastics,100,fine sand [U14W22],,friable,"Crumbly gray-green volcaniclastic silty-sandstone composed almost entirely of small angular highly altered volcanics which have formed a lattice and subsequently been weathered away leaving cavities. Contains some carbonate cement and silica ""stringers"" throughout",dark greenish gray,10GY 4/1,coarse ash [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,3.5,6.5,209.135,209.165,,chert [MMK88],"Mazullo, Meyer ",,chert,100,crypto-crystalline,,well indurated,"Dark reddish brown chert nodule, ~3cm. Some fossil ghosts apparent most small and lighter pink-orange in color. Likely this is a ""dropstone"" from further up in the hole.",dark reddish brown,5YR 2.5/2,,,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,6.5,10.0,209.165,209.2,silty,coarse tuff,Exp 324,with carbonate cement and volcaniclastics,silty coarse tuff with carbonate cement and volcaniclastics,100,fine sand [U14W22],,lithified,Crumbly dark gray sandstone which contains silt and sand sized material (weathered volcanics?). The loss of material from the hardened siliceous lattice makes the rock appear porous. There is a large white silica vein (>4mm) cutting across the nodule.,dark gray,N4,coarse ash [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,10.0,22.5,209.2,209.325,silty,coarse tuff,Exp 324,with carbonate cement and volcaniclastics,silty coarse tuff with carbonate cement and volcaniclastics,100,,subangular (Default),friable,"Crumbly dark greenish grey sandstone with silt. Numerous recrystallized stacked spheres, also included a few sand-sized volcanic grains and clasts of dark grey coarse tuff (?) with a different (finer/more porous) texture. texture becomes more lithified and less friable after 10-15 cm and there is bedding with dark finer grained material as lenses apparent from 16-19 cm. A few large light colored clasts (~1 cm) are located at 21-22.5 cm (secondary carbonate replacement?).",very dark greenish gray,,,,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,22.5,32.0,209.325,209.42,,coarse tuff,Exp 324,"with carbonate cement, replacements and volcaniclastics","coarse tuff with carbonate cement, replacements and volcaniclastics",100,medium sand [U14W22],subangular (Default),lithified,"Mostly sand sized grains which are altered/compacted/replaced volcanic(?). Few large lighter colored clasts with denser texture, numerous calcitic veins and areas of fine grained carbonate replacement/ingrowth. Dark banding is evident at 28-32 cm and appears to be areas of compaction or finer grains.",dark greenish gray,10GY 4/1,coarse ash [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,32.0,45.0,209.42,209.55,,granular hyaloclastite [324],Exp 324,"with volcaniclastics, sand and carbonate cement","granular hyaloclastite with volcaniclastics, sand and carbonate cement",100,pebble [U14W22],subangular (Default),lithified,"Mostly matrix supported angular clasts (~0.5-2 cm) of differing colors, some light grey, others pinkish. Matrix is fine-grained white carbonate and clay material",light greenish gray,10Y 7/1,lapillus [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,45.0,46.0,209.55,209.56,,coarse tuff,Exp 324,with carbonate cement and volcaniclastics,coarse tuff with carbonate cement and volcaniclastics,100,coarse sand [U14W22],subangular (Default),lithified,"coarse tuff of mostly compacted spheres with some other coarse sand sized clasts, carbonate cemented",greenish gray,5GY 5/1,coarse ash [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,46.0,48.5,209.56,209.585,,granular hyaloclastite [324],Exp 324,with carbonate cement and volcaniclastics,granular hyaloclastite with carbonate cement and volcaniclastics,100,granule [U14W22],subangular (Default),lithified,~2-7mm sized brecciated chunks surrounded by white carbonate cement,gray,N6,lapillus [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,48.5,51.5,209.585,209.615,,coarse tuff,Exp 324,with carbonate cement and volcaniclastics,coarse tuff with carbonate cement and volcaniclastics,100,coarse sand [U14W22],subangular (Default),lithified,mostly compacted coarse tuff,greenish gray,5GY 5/1,coarse ash [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,51.5,55.0,209.615,209.65,,granular hyaloclastite [324],Exp 324,with carbonate cement and volcaniclastics,granular hyaloclastite with carbonate cement and volcaniclastics,100,granule [U14W22],subangular (Default),lithified,~2-5mm brecciated pieces (sedimentary?) with carbonate cement,gray,N6,lapillus [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,55.0,96.0,209.65,210.06,,coarse tuff,Exp 324,"with carbonate cement, clays and volcaniclastics","coarse tuff with carbonate cement, clays and volcaniclastics",100,fine sand [U14W22],subangular (Default),lithified,"laminated fine grained  coarse tuff with several graded sequences, some coarser sandstones and wavy/cross laminated beds as well as channelized scoured features.",very dark gray,N3,coarse ash [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,96.0,104.5,210.06,210.145,,coarse tuff,Exp 324,with carbonates and altered volcaniclastics,coarse tuff with carbonates and altered volcaniclastics,100,very coarse sand [U14W22],subangular (Default),lithified,very coarse sand to granule sized clasts with secondary carbonates throughout and few thin veins.,greenish gray,5G 5/1,coarse ash [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,104.5,117.0,210.145,210.27,,coarse tuff,Exp 324,with carbonate and volcaniclastics ,coarse tuff with carbonate and volcaniclastics ,100,medium sand [U14W22],subangular (Default),lithified,"Mostly med sandstone, composed of altered volcanics, contains finely laminated beds as well as coarser bed with granule sized clasts from 111-112.5 cm",very dark gray,N3,coarse ash [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,117.0,126.0,210.27,210.36,,granular hyaloclastite [324],Exp 324,with carbonates and volcaniclastics,granular hyaloclastite with carbonates and volcaniclastics,100,pebble [U14W22],subangular (Default),lithified,Matrix supported lapilli-tuff many pebble sized clasts comprised of various shades of grey sandstone. Carbonate infills as cements as well as sand sized volcaniclastics.,greenish gray,10Y 5/1,lapillus [S81],basalt,,
324-U1348A-15R-1-A,324,U1348,A,15,15-1,R,1,A,126.0,140.0,210.36,210.5,,coarse tuff,Exp 324,with pebble sized clasts,coarse tuff with pebble sized clasts,100,coarse sand [U14W22],subangular (Default),lithified,"Mostly volcanic coarse sandstone with many large angular clasts, poorly sorted. Few dark thin beds are visible (tend to be darker and more compacted)  as well as abundant secondary carbonate and highly altered volcanics",dark greenish gray,10GY 4/1,coarse ash [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,0.0,2.0,210.5,210.52,,coarse tuff,Exp 324,with carbonate and volcaniclastics,coarse tuff with carbonate and volcaniclastics,100,very coarse sand [U14W22],subangular (Default),lithified,"Very coarse  tuff, poorly sorted with carbonate cement",greenish gray,5GY 5/1,coarse ash [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,2.0,7.0,210.52,210.57,,granular hyaloclastite [324],Exp 324,with carbonate and volcaniclastics,granular hyaloclastite with carbonate and volcaniclastics,100,pebble [U14W22],subangular (Default),lithified,"Lapillistone of mostly 1-3 cm angular clasts of altered material, abundant secondary calcite and carbonate cement. Large clasts are more olive green in color while rest of rock is grey green.",Gray,N5,lapillus [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,7.0,11.0,210.57,210.61,,coarse tuff,Exp 324,with carbonate and volcaniclastics,coarse tuff with carbonate and volcaniclastics,100,granule [U14W22],subangular (Default),lithified,Mostly very coarse tuff with white carbonate cement,gray,N5,coarse ash [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,11.0,41.0,210.61,210.91,,coarse tuff,Exp 324,with carbonate and volcaniclastics,coarse tuff with carbonate and volcaniclastics,70,fine sand [U14W22],subangular (Default),lithified,"dark grey coarse tuff much is quite compacted and has thin laminations which are nearly black in color, several deformation structures present.",dark gray,N4,coarse ash [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,11.0,41.0,210.61,210.91,,granular hyaloclastite [324],Exp 324,with carbonate and volcaniclastics,granular hyaloclastite with carbonate and volcaniclastics,30,,subangular (Default),lithified,Mostly granule sized chunks of highly altered sandstone (volcanic) compacted in several beds throughout the interval,gray,N6,lapillus [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,41.0,67.0,210.91,211.17,,coarse tuff,Exp 324,with carbonate and volcaniclastics,coarse tuff with carbonate and volcaniclastics,95,medium sand [U14W22],subangular (Default),lithified,Coarse tuff with secondary carbonate throughout and some dark-colored fine laminations and volcaniclastics,gray,N6,coarse ash [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,41.0,67.0,210.91,211.17,,granular hyaloclastite [324],Exp 324,with carbonate and volcaniclastics,granular hyaloclastite with carbonate and volcaniclastics,5,,subangular (Default),lithified,Clusters of granule sized weathered sandstone (volcanic) grains at 41-41.5 cm and 65.5 to 67 cm,light gray,N7,lapillus [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,67.0,106.5,211.17,211.565,,granular hyaloclastite [324],Exp 324,with carbonate and volcaniclastics,granular hyaloclastite with carbonate and volcaniclastics,100,granule [U14W22],subangular (Default),lithified,"2-10 mm  subangular grains in coarse sand matrix. Abundant calcite as infills and cement as well as white clay. Lots of altered volcaniclastics only few pieces of ""scoria"" which is recognizable.",light gray,N7,lapillus [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,106.5,116.0,211.565,211.66,,coarse tuff,Exp 324,with carbonate and volcaniclastics,coarse tuff with carbonate and volcaniclastics,100,medium sand [U14W22],subangular (Default),lithified,medium to fine grained sandstone with dark black fine laminations from 110-116cm. ,dark gray,N4,coarse ash [S81],basalt,,
324-U1348A-15R-2-A,324,U1348,A,15,15-2,R,2,A,116.0,118.0,211.66,211.68,,granular hyaloclastite [324],Exp 324,with carbonate and volcaniclastics,granular hyaloclastite with carbonate and volcaniclastics,100,granule [U14W22],subangular (Default),lithified,Poorly sorted lapilli-tuff (grains 3mm to 2cm). Includes large altered basalt clasts and altered sandstone clasts. reverse grading from 45-55.5cm,greenish gray,5GY 5/1,lapillus [S81],basalt,,
324-U1348A-15R-3-A,324,U1348,A,15,15-3,R,3,A,0.0,55.5,211.68,212.235,,granular hyaloclastite [324],Exp 324,with carbonate and volcaniclastics,granular hyaloclastite with carbonate and volcaniclastics,100,granule [U14W22],,lithified,Poorly sorted lapilli-tuff (grains 3mm to 2cm). Includes large altered basalt clasts and altered sandstone clasts. reverse grading from 45-55.5cm,greenish gray,5GY 5/1,lapillus [S81],basalt,,
324-U1348A-15R-3-A,324,U1348,A,15,15-3,R,3,A,55.5,81.0,212.235,212.49,,coarse tuff,Exp 324,with carbonate and volcaniclastics,coarse tuff with carbonate and volcaniclastics,100,medium sand [U14W22],subangular (Default),lithified,"Mostly medium to coarse grained sandstone with an occasional granule or pebble especially concentrated from 74-78 cm. Fine black laminations appear throughout giving suggestion of three small fining upwards sequences (58-63, 68-70, 72-75 cm). Appears to have secondary calcite and altered volcaniclastics. ",dark gray,N4,coarse ash [S81],basalt,,
324-U1348A-15R-3-A,324,U1348,A,15,15-3,R,3,A,81.0,94.0,212.49,212.62,,granular hyaloclastite [324],Exp 324,with carbonate and volcaniclastics,granular hyaloclastite with carbonate and volcaniclastics,100,granule [U14W22],subangular (Default),lithified,"Grain supported lapillistone, abundant subangular granules of very altered volcanics with calcite cement. Largest clasts (>1cm) concentrated from 83-87cm.",greenish gray,10Y 5/1,lapillus [S81],basalt,,
324-U1348A-15R-3-A,324,U1348,A,15,15-3,R,3,A,94.0,112.5,212.62,212.805,,coarse tuff,Exp 324,with carbonate and volcaniclastics,coarse tuff with carbonate and volcaniclastics,100,coarse sand [U14W22],subangular (Default),lithified,Coarse grained sandstone with abundant highly altered granules of lapilli,dark gray,N4,coarse ash [S81],basalt,,
