Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone name,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Zone name (short)
320-U1336A-11H-CC-PAL-NANNO,320,U1336,A,11,11-CC,H,CC,PAL,NANNO,0,0,103.48,103.48,PB - disbelmnos,NN2,early Miocene,M [320_N],A [320_Ng],,,C,,,F,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,F,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,C,,,R,,,,,,,,,,,,,,,,,,
320-U1336A-12H-CC-PAL-NANNO,320,U1336,A,12,12-CC,H,CC,PAL,NANNO,0,0,112.43,112.43,PB - disbelmnos,NN2,early Miocene,M [320_N],A [320_Ng],,,C,,,F,,F,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,C,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,
320-U1336A-13H-2-W 60/60-NANNO,320,U1336,A,13,13-2,H,2,W,60/60-NANNO,0,0,114.6,114.6,TDJ - ,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-13H-4-W 60/60-NANNO,320,U1336,A,13,13-4,H,4,W,60/60-NANNO,0,0,117.6,117.6,TDJ - ,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,
320-U1336A-13H-6-W 60/60-NANNO,320,U1336,A,13,13-6,H,6,W,60/60-NANNO,0,0,120.6,120.6,TDJ - ,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-13H-CC-PAL-NANNO,320,U1336,A,13,13-CC,H,CC,PAL,NANNO,0,0,122.58,122.58,"PB - abundant carinatus, disbelmnos",NN2,early Miocene,M [320_N],A [320_Ng],,,C,,,A,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,
320-U1336A-14H-CC-PAL-NANNO,320,U1336,A,14,14-CC,H,CC,PAL,NANNO,0,0,123.5,123.5,"PB - abundant carinatus, disbelmnos",NN2,early Miocene,M [320_N],A [320_Ng],,,A,,,A,,C,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,F,F,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,,,,,,,R,,,
320-U1336A-15H-CC-PAL-NANNO,320,U1336,A,15,15-CC,H,CC,PAL,NANNO,0,0,133.38,133.38,"PB - abundant carinatus, disbelmnos",NN2,early Miocene,M [320_N],A [320_Ng],,,R,,,A,,C,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,
320-U1336A-16H-2-W 90/90-NANNO,320,U1336,A,16,16-2,H,2,W,90/90-NANNO,0,0,135.4,135.4,TDJ - no disbelemnos,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,C,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,,,,,,,,,,,,,,,,
320-U1336A-16H-4-W 90/90-NANNO,320,U1336,A,16,16-4,H,4,W,90/90-NANNO,0,0,138.4,138.4,TDJ - ,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,A,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-16H-6-W 90/90-NANNO,320,U1336,A,16,16-6,H,6,W,90/90-NANNO,0,0,141.4,141.4,TDJ - ,NN2,early Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-16H-CC-PAL-NANNO,320,U1336,A,16,16-CC,H,CC,PAL,NANNO,0,0,141.99,141.99,PB - no disbelemnos,NN1,early Miocene,M [320_N],A [320_Ng],,,,,,A,,C,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,R,,,,,,,,,,,,,,,,,,
320-U1336A-17H-2-W 90/90-NANNO,320,U1336,A,17,17-2,H,2,W,90/90-NANNO,0,0,144.4,144.4,TDJ - ,NN1,early Miocene,M [320_N],A [320_Ng],,,,,,C,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,,
320-U1336A-17H-4-W 90/90-NANNO,320,U1336,A,17,17-4,H,4,W,90/90-NANNO,0,0,147.4,147.4,TDJ - delphix,NN1,late Oligocene,M [320_N],A [320_Ng],,R,,,,C,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,,
320-U1336A-17H-6-W 90/90-NANNO,320,U1336,A,17,17-6,H,6,W,90/90-NANNO,0,0,150.4,150.4,TDJ - delphix - with low spines - questionable,NN1,late Oligocene,M [320_N],A [320_Ng],,R,,,,C,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,F,,,,,,,,,,,,,,,,,,,,,
320-U1336A-17H-CC-PAL-NANNO,320,U1336,A,17,17-CC,H,CC,PAL,NANNO,0,0,151.84,151.84,PB - no disbelemnos,NN1,late Oligocene,M [320_N],A [320_Ng],,,,,,A,,C,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,C,,,,,,,,,,,,,,,,,,,,,
320-U1336A-18H-CC-PAL-NANNO,320,U1336,A,18,18-CC,H,CC,PAL,NANNO,0,0,161.53,161.53,PB - no disbelemnos,NN1,late Oligocene,P [320_N],A [320_Ng],,,,,,A,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-19H-3-W 70/70,320,U1336,A,19,19-3,H,3,W,70/70,0,0,164.7,164.7,PB -  ,NN1,late Oligocene,P [320_N],A [320_Ng],,,,,,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,
320-U1336A-19H-5-W 70/70,320,U1336,A,19,19-5,H,5,W,70/70,0,0,167.7,167.7,PB -  ,NN1,late Oligocene,M [320_N],A [320_Ng],,,,,,C,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1336A-19H-6-W 70/70,320,U1336,A,19,19-6,H,6,W,70/70,0,0,169.2,169.2,PB - comm abisectus,NN1,late Oligocene,M [320_N],A [320_Ng],,,,,,A,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,C,,,,,,,,,,,,,,,,,,,,,
320-U1336A-19H-CC-PAL-NANNO,320,U1336,A,19,19-CC,H,CC,PAL,NANNO,0,0,170.6,170.6,PB - comm abisectus,NN1,late Oligocene,M [320_N],A [320_Ng],,,,,,C,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,C,,,,,,,,,,,F,,,,,,,,,,
