Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1482A-9H-4-W 75/75-NANNO,0,0,74.65,74.65,,AGSF - sample has common occurrence of Pontosphaera and Helicosphaera; D. brouweri probably reworked; Gephyrocapsa >4 um absent,,,,,A,,,C,,,,,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,9,H,4,W
363-U1482A-9H-6-W 75/75-NANNO,0,0,77.69,77.69,,AGSF - Discoasters (D. pentaradiatus and D. brouweri) observed most probably reworked. Other reworked taxa include Sphenolithus spp. ; C. macintyrei not observed in the sample,,,,,A,C,,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,9,H,6,W
363-U1482A-9H-CC-PAL-NANNO,0,5,79.25,79.3,NN19 [M71],"TDJ - No discoaster, dominated by small Gephyrocapsa; no C. macintyrei",G [P33],D [A22],A,,,A,,C,F,,,,,,,,,,F,x,C,,,,,,,,,,,,P,F,P,,,,,P,P,,,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,9,H,CC,P
363-U1482A-10H-2-W 75/75-NANNO,0,0,81.15,81.15,,AGSF - Discoaster fragments present (D brouweri and D pentaradiatus); Gephyrocapsa 3 to 4 um present although some could slightly exceed 4 um in size; C. macintyrei consistently present - best estimate of top of C. mac.,,,,,A,P,,C,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,10,H,2,W
363-U1482A-10H-4-W 75/75-NANNO,0,0,84.18,84.18,,AGSF - reworked forms include Sphenolithus; Gephyrocapsa >4 um absent!!; TDJ - C. macintyrei is present frequent,,,,,C,,,C,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,10,H,4,W
363-U1482A-10H-6-W 75/75-NANNO,0,0,87.22,87.22,,"AGSF - Reworked Discoasters (D. berggrenii/D. quinqueramus), fragments present as well, Sphenolithus spp. ; H sellii not observed in sample",,,,,C,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,10,H,6,W
363-U1482A-10H-CC-PAL-NANNO,0,5,88.91,88.96,NN19 [M71],TDJ - 1 C. macintyrei; 1 reworked Discoaster; seemingly few Gephyrocapsa - dominated by Pseudoemiliania; double checked again - in 10H-4 there are frequent C. macintyrei - in this core catcher very rare (?reworked - 1 specimen).,G [P33],D [A22],A,,,F,F,F,A,,,,,,,,P,,R,P,F,,,,C,R,,,,,,,,,C,,,,,R,,,,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,10,H,CC,P
363-U1482A-11H-2-W 75/75-NANNO,0,0,90.65,90.65,,agsf - reworked taxa - Sphenolithus,,,,,C,,,C,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,11,H,2,W
363-U1482A-11H-4-W 75/75-NANNO,0,0,93.65,93.65,,"AGSF - reworked taxa include Cretaceous forms, Sphenolithus, Amuarolithus and Discoasters",,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,11,H,4,W
363-U1482A-11H-6-W 75/75-NANNO,0,0,96.66,96.66,,"AGSF - reworked Discoasters? some are well preserved, others fragmented",,,,,F,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,11,H,6,W
363-U1482A-11H-CC-PAL-NANNO,0,5,98.07,98.12,NN19 [M71],TDJ - no primary discoasters - some reworked (?) fragments,M [P33],D [A22],A,,,,A,F,F,,,,,,,,,,R,,F,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,11,H,CC,P
363-U1482A-12H-2-W 75/75-NANNO,0,0,100.16,100.16,,"TDJ - D. brouweri frequent; Discoaster ""airplane""!",,,,,F,,,C,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,12,H,2,W
363-U1482A-12H-4-W 75/75-NANNO,0,0,103.17,103.17,,TDJ - D. brouweri common; 1 (reworked?) D. pentaradiatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,12,H,4,W
363-U1482A-12H-6-W 75/75-NANNO,0,0,106.19,106.19,,TDJ - D. brouweri common; D. triradiatus present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,12,H,6,W
363-U1482A-12H-CC-PAL-NANNO,0,5,107.79,107.84,NN18 [M71],"TDJ - D. brouweri present; D. ""airplane"" present; 1 reworked D. pentaradiatus",M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,12,H,CC,P
363-U1482A-13H-2-W 75/75-NANNO,0,0,109.65,109.65,,TDJ - D. pentaradiatus frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,13,H,2,W
363-U1482A-13H-4-W 75/75-NANNO,0,0,112.67,112.67,,TDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,13,H,4,W
363-U1482A-13H-6-W 75/75-NANNO,0,0,115.69,115.69,,TDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,13,H,6,W
363-U1482A-13H-CC-PAL-NANNO,0,5,117.47,117.52,NN17 [M71],TDJ - D. pentaradiatus present,M [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,13,H,CC,P
363-U1482A-14H-2-W 75/75-NANNO,0,0,119.15,119.15,,TDJ - 1 no D. surculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,2,W
363-U1482A-14H-4-W 75/75-NANNO,0,0,122.17,122.17,,TDJ - D. surculus present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,4,W
363-U1482A-14H-6-W 75/75-NANNO,0,0,125.18,125.18,,TDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,6,W
363-U1482A-14H-CC-PAL-NANNO,0,5,126.82,126.87,NN17 [M71],TDJ - D. pentaradiatus; Cl. subdistichus present (? reworking but well preserved),M [P33],D [A22],,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,CC,P
363-U1482A-14H-CC-PAL-NANNO,0,5,126.82,126.87,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,CC,P
363-U1482A-15H-2-W 75/75-NANNO,0,0,128.65,128.65,,TDJ - sphenoliths not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,2,W
363-U1482A-15H-4-W 75/75-NANNO,0,0,131.62,131.62,,TDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,4,W
363-U1482A-15H-6-W 75/75-NANNO,0,0,134.63,134.63,,TDJ - sphenoliths not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,6,W
363-U1482A-15H-CC-PAL-NANNO,0,5,136.2,136.25,NN16 [M71],LB-D.tam&surc; TDJ - very rare Sphenolith (1 specimen) LB found more; no pseudoumbilicus,M [P33],D [A22],A,,,,A,A,,,,A,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,F,C,R,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,CC,P
363-U1482A-15H-CC-PAL-NANNO,0,5,136.2,136.25,NN16 [M71],LB-D.tam&surc; TDJ - very rare Sphenolith (1 specimen); no pseudoumbilicus,M [P33],D [A22],A,,,,A,A,,,,A,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,F,,F,C,R,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,CC,P
363-U1482A-16H-2-W 75/75-NANNO,0,0,138.15,138.15,,TDJ - no sphenoliths,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,2,W
363-U1482A-16H-4-W 75/75-NANNO,0,0,141.16,141.16,,TDJ - no sphenoliths,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,4,W
363-U1482A-16H-6-W 75/75-NANNO,0,0,144.18,144.18,,TDJ - no sphenoliths,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,6,W
363-U1482A-16H-CC-PAL-NANNO,0,5,145.9,145.95,NN15 [M71],"LB Sabies;TDJ - no R. pseudo >5um, Sphenoliths very very rare",M [P33],D [A22],A,,,,,F,C,,X,A,,,,,,,,C,,,,,C,,,,,R,,,,,,,,,,C,,,,,,,R,,,,,,x,,,,F,,C,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,CC,P
363-U1482A-16H-CC-PAL-NANNO,0,5,145.9,145.95,NN15 [M71],"LB Sabies;TDJ - no R. pseudo >5um, Sphenoliths very very rare",M [P33],D [A22],A,,,,,F,C,,X,A,,,,,,,,C,,,,,C,,,,,R,,,,,,,,,,C,,,,,,,R,,,,,,x,,,,F,,C,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,CC,P
363-U1482A-17H-2-W 75/75-NANNO,0,0,147.65,147.65,,TDJ - S. abies present!,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,2,W
363-U1482A-17H-4-W 75/75-NANNO,0,0,150.66,150.66,,TDJ - Sphenoliths no R. pseudo,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,4,W
363-U1482A-17H-6-W 75/75-NANNO,0,0,153.69,153.69,,TDJ - Sphenoliths; no R. pseudo,G [P33],D [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,6,W
363-U1482A-17H-CC-PAL-NANNO,0,5,155.32,155.37,NN14 [M71],"LB Rpseu&Sabies; TDJ - ""Few"" R. pseudo - noticeable bigger than 5um, and distinct in size present;",M [P33],D [A22],C,,A,,,F,C,,F,A,,,,,,,,C,,,,,C,,,,,F,,,,,,,,,,P,,,,,,,P,,R,,,,C,,,,C,,C,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,CC,P
363-U1482A-17H-CC-PAL-NANNO,0,5,155.32,155.37,NN14 [M71],"LB Rpseu&Sabies; TDJ - ""Few"" R. pseudo - noticeable bigger than 5um, and distinct in size present; LB reports Amaurolithus but TDJ only sees Ceratolithus cristatus",M [P33],D [A22],C,,A,,,F,C,,F,A,,,,,,,,C,,,,,C,,,,,F,,,,,,,,,,P,,,,,,,P,,R,,,,C,,,,C,,C,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,CC,P
363-U1482A-18H-CC-PAL-nanno,0,5,164.76,164.81,NN14 [M71],LB_Amaurolithus; TDJ only see Ceratolithus,M [P33],D [A22],A,,,,,C,R,,A,A,,,,,,,,C,,,,,F,,,,,C,,,,,,,,,,F,,,,,,,,,R,,,,A,,,,R,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,18,H,CC,P
363-U1482A-18H-CC-PAL-nanno,0,5,164.76,164.81,NN14 [M71],LB_Amaurolithus; TDJ only see Ceratolithus,M [P33],D [A22],A,,,,,C,R,,A,A,,,,,,,,C,,,,,F,,,,,C,,,,,,,,,,F,,,,,,,,,R,,,,A,,,,R,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,18,H,CC,P
363-U1482A-19H-CC-PAL-NANNO,0,5,174.29,174.34,NN13 [M71],LB Dbroweri<<; C. atlanticus; TDJ - just seeing lots of C. cristatus,M [P33],D [A22],A,,,,,,,,,,,,,,,,,C,,,,,F,,,,,C,,,,,,,,,,F,,,,,,,,R,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,19,H,CC,P
363-U1482A-19H-CC-PAL-NANNO,0,5,174.29,174.34,NN13 [M71],LB Dbroweri<<; C. atlanticus; TDJ - just seeing lots of C. cristatus,M [P33],D [A22],A,,,,,,,,,,,,,,,,,C,,,,,F,,,,,C,,,,,,,,,,F,,,,,,,,R,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,19,H,CC,P
363-U1482A-20H-CC-PAL-NANNO,0,5,183.89,183.94,NN12 [M71],LB C.acutus,,,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,R,F,,,delicatus,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,20,H,CC,P
363-U1482A-20H-CC-PAL-NANNO,0,5,183.89,183.94,NN12 [M71],LB C.acutus,,,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,20,H,CC,P
363-U1482A-21H-2-W 75/75-NANNO,0,0,185.65,185.65,,LB no Amaur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,21,H,2,W
