Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name
363-U1487A-5H-CC-PAL-NANNO,0,5,44.07,44.12,NN19 [M71],LB,VG [P33],A [A22],A [A23],,A [A23],,,A [A23],A [A23],C [A04],,C [A04],,,,,,,,,C [A04],,,P [A30],,C [A04],,,,,,,,F [A30],,,,,,,,,,F [A30],f [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,363,U1487,A,5,H,CC,PAL,NANNO,
363-U1487A-5H-CC-PAL-NANNO,0,5,44.07,44.12,,AGSF - G. caribbeanica still not abundant,,,,,A [A23],R [A30],C [A04],C [A04],C [A04],P [A30],,,,,,,,,,x [A115],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,5,H,CC,PAL,NANNO,
363-U1487A-6H-2-W 80/80-NANNO,0,0,46.7,46.7,,AGSF - Gephyrocapsa 3-4 um in size become common in the sample. identified as G. caribbeanica; small elliptical placoliths(?) without bridge dominate the assemblage,,,,,C [A04],R [A30],C [A04],C [A04],C [A04],,,,,,,,,,,x [A115],,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,6,H,2,W,80/80-NANNO,
363-U1487A-6H-4-W 80/80-NANNO,0,0,49.7,49.7,,AGSF - no Gephyrocapsa >4 um; no G. caribbeanica?; 2 C macintyrei specimens in 1 transect,,,,,A [A23],x [A115],x [A115],C [A04],C [A04],x [A115],,,,,,,,,,R [A30],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,6,H,4,W,80/80-NANNO,
363-U1487A-6H-6-W 80/80-NANNO,0,0,52.7,52.7,,AGSF - no Gephyrocapsa >4 um; no G. caribbeanica?; Questionable R. asanoi occurrence; 5 C macintyrei specimens in 1 transect,,,,,A [A23],x [A115],x [A115],C [A04],C [A04],x [A115],,,,,,,,,,R [A30],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,6,H,6,W,80/80-NANNO,
363-U1487A-6H-CC-PAL-NANNO,0,5,54.1,54.15,NN19 [M71],LB,VG [P33],A [A22],A [A23],,A [A23],,R [A30],A [A23],A [A23],C [A04],,A [A23],,,,,F [A30],,,,C [A04],,,,F [A30],C [A04],,,,F [A30],,,,,,,,,,F [A30],,,,F [A30],F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,6,H,CC,PAL,NANNO,
363-U1487A-7H-2-W 80/80-NANNO,0,0,56.2,56.2,,TDJ - no discoasters,VG [P33],A [A22],,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,7,H,2,W,80/80-NANNO,
363-U1487A-7H-4-W 80/80-NANNO,0,0,59.2,59.2,,TDJ - no discoasters,G [P33],A [A22],,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,7,H,4,W,80/80-NANNO,
363-U1487A-7H-6-W 80/80-NANNO,0,0,62.2,62.2,,"TDJ - 1 D. brouweri, 1 D. triradiatus",G [P33],A [A22],A [A23],,A [A23],,,C [A04],C [A04],,,F [A30],,,,,F [A30],,F [A30],F [A30],F [A30],,,,F [A30],,,,,F [A30],,,,,F [A30],,,,,F [A30],,,,F [A30],,,,,,,,,,,,,p [A30],p [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,7,H,6,W,80/80-NANNO,
363-U1487A-7H-CC-PAL-NANNO,0,5,63.58,63.63,NN19 [M71],LB - (TDJ - D. brouweri present but very rare),VG [P33],A [A22],V [A94],,x [A115],,F [A30],A [A23],a [A23],,,A [A23],,,,,R [A30],,F [A30],P [A30],C [A04],,,F [A30],F [A30],C [A04],,,,F [A30],,,,,,,,,,F [A30],,,,F [A30],F [A30],,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,7,H,CC,PAL,NANNO,
363-U1487A-8H-CC-PAL-NANNO,0,5,73.22,73.27,NN18 [M71],LB D.brouweri,VG [P33],A [A22],A [A23],,x [A115],,F [A30],C [A04],A [A23],,,A [A23],,,,,F [A30],,F [A30],R [A30],C [A04],,,,C [A04],C [A04],,,,F [A30],,,,C [A04],F [A30],R [A30],,,,f [A30],,,,C [A04],C [A04],,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,8,H,CC,PAL,NANNO,
363-U1487A-9H-CC-PAL-NANNO,0,5,82.49,82.54,NN18 [M71],LB - (TDJ - D. brouweri frequent),VG [P33],A [A22],V [A94],,,,F [A30],C [A04],C [A04],,,A [A23],,,,,C [A04],,F [A30],,C [A04],,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,9,H,CC,PAL,NANNO,
363-U1487A-10H-CC-PAL-NANNO,0,5,91.86,91.91,NN18 [M71],LB,VG [P33],C [A22],A [A23],,A [A23],,F [A30],C [A04],C [A04],,,A [A23],,,,,F [A30],,F [A30],R [A30],F [A30],,,,F [A30],,,,,F [A30],,,,,F [A30],,,,,F [A30],,,,F [A30],,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,10,H,CC,PAL,NANNO,
363-U1487A-11H-3-W 100/100-NANNO,0,0,95.9,95.9,,TDJ - D. brouweri frequent; no D. pentaradiatus,VG [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,X [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,11,H,3,W,100/100-NANNO,
363-U1487A-11H-5-W 90/90-NANNO,0,0,98.8,98.8,,TDJ - D. brouweri frequent to common; no D. pentaradiatus,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,,X [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1487,A,11,H,5,W,90/90-NANNO,
363-U1487A-11H-CC-PAL-NANNO,0,5,101.56,101.61,NN17 [M71],"LB - TDJ - D. brouweri frequent, but no sign of D. pentaradiatus",VG [P33],C [A22],C [A04],,A [A23],,,F [A30],C [A04],,,A [A23],,,,,F [A30],,F [A30],,F [A30],F [A30],,,F [A30],,,,,,,,,,F [A30],,,,,F [A30],,,,F [A30],,,,,,,,,,,,,F [A30],,,x [A115],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,363,U1487,A,11,H,CC,PAL,NANNO,
