Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Diatom preservation pyritization,Achnanthes brevipes,Achnanthes sp.,Actinocyclus actinochilus,Actinocyclus curvatulus,Actinocyclus dimorphus,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus fasciculatus,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Actinocyclus ingens var. ingens,Actinocyclus ingens var. ovalis,Actinocyclus karstenii,Actynocyclus cf. aff. karstenii,Actinocyclus lanceolatus,Actinocyclus maccollumii,Actinocyclus mahoodii,Actinocyclus octonarius,Actinocyclus octonarius var. tenella,Actinocyclus spp.,Actinocylus octonarius var. asteriscus,Actinocylus sp. F,Actinoptychus senarius,Actinoptychus splendens,Actinocyclus sp. cf. tsugaruensis,Actinoptychus spp.,Alaucodiscus spp.,Alveus marinus,Amphiprora sp.,Amphora helenensis,Amphora sp.,Anaulus spp.,Arachnodiscus ehrenbergi,Arachnodiscus oamaruensis,Arachnoidiscus spp.,Araniscus lewisianus,Asterolampra affinis,Asterolampra insignis,Asterolampra punctifera,Asterolampra spp.,Asterolampra tela,Asterolampra vulgaris,Asteromphalus flabellatus,Asteromphalus hookeri,Asteromphalus hyalinus,Asteromphalus kennettii,Asteromphalus oligocenicus,Asteromphalus parvulus,Asteromphalus spp.,Asteromphalus symmetricus,Aulacodiscus brownei,Aulacodiscus sp.,Aulacoseira spp.,Azpeitia endoi,Azpeitia gombosi,Azpeitia nodulifera,Azpeitia oligocenica,Azpeitia sp.,Azpeitia tabularis,Azpeitia tabularis var. egregius,Baxteriopsis brunii,Biddulphia spp.,Bogorovia gombosii,Bogorovia veniamini,Brightwellia hyperborea,Cavitatus jouseanus,Cavitatus jouseanus early form,Cavitatus linearis,Cavitatus miocenicus,Cestodiscus antarcticus,Cestodiscus convexus,Cestodiscus reticulatus,Cestodiscus reticulatus_robustus cpx,Cestodiscus sp.,Chaetoceros bullbosum,Chaetoceros spp.,Chaetoceros spp. (resting spores),Cocconeis costata,Cocconeis spp.,Corethron criophilum,Coscinodiscus asteromphalus,Coscinodiscus hajosiae,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Coscinodiscus rhombicus,Coscinodiscus sp. A,Coscinodiscus spp.,Creania lacyae,Crucidenticula ikebei,Crucidenticula kanayae,Crucidenticula nicobarica,Cymatosira biharensis,Cymatosira palpebraforma,Cymatosira praecompacta,Dactylacanthis invalida,Dactylacanthis proxima,Dactylacanthis rara,Dactylacanthis spp.,Dactyliosolen antarcticus,Delphineis spp.,Denticula norwegica,Denticulopsis barronii,Denticulopsis  cf. katayamae,Denticulopsis crassa,Denticulopsis delicata,Denticulopsis dimorpha,Denticulopsis dimorpha var. areolata,Denticulopsis hustedtii,Denticulopsis hyalina,Denticulopsis ichikawae,Denticulopsis lauta,Denticulopsis maccollumii,Denticulopsis okunoi,Denticulopsis ovata,Denticulopsis praedimorpha,Denticulopsis praedimorpha v. minor,Denticulopsis praedimorpha v. intermedia,Denticulopsis simonsenii,Denticulopsis spp.,Denticulopsis vulgaris,Dicladia sp.,Diploneis spp.,Distephanosira architecturalis,Entopyla spp.,Eucampia antarctica,Eucampia antarctica var twista,Eurossia irregularis var. incurvatus,Eurrosia irregularis var. irregularis,Eustephanias inermis,Eustephanias quasinermis,Eustephanias ramigenus,Eustephanias spp.,Fragilaria sp.,Fragilariopsis arcula,Fragilariopsis aurica,Fragilariopsis barronii,Fragilariopsis bohatyi,Fragilariopsis claviceps,Fragilariopsis clementia,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis doliolus,Fragilariopsis donahuensis,Fragilariopsis fossilis,Fragilariopsis interfrigidaria,Fragilariopsis januaria,Fragilariopsis kerguelensis,Fragilariopsis lacrima,Fragilariopsis laqueus,Fragilariopsis linearis,Fragilariopsis maleinterpretaria,Fragilariopsis matuyamae,Fragilariopsis matuyamae var. heteropola,Fragilariopsis obliquecostata,Fragilariopsis praecurta,Fragilariopsis praeinterfrigidaria,Fragilariopsis pseudonana,Fragilariopsis reinholdii,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis robusta,Fragilariopsis separanda,Fragilariopsis sp. A,Fragilariopsis spp.,Fragilariopsis sublinearis,Fragilariopsis tigris,Fragilariopsis truncata,Fragilariopsis vanheurckii,Fragilariopsis weaveri,Genus and species indeterminate #1,Goniothecium decoratum,Goniothecium odontella,Goniothecium rogersii,Grammatophora spp.,Diatom preservation - pyritization2
318-U1356A-17R-3-W 62/62-DIAT-DIAT,318,U1356,A,17,17-3,R,3,W,62/62-DIAT-DIAT,0,0.0,156.62,156.62,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,F,R,,R?,,X,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,X,,,,R-F,,,,,,,,,,,,,,,R-F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,
318-U1356A-17R-CC-PAL-DIAT1,318,U1356,A,17,17-CC,R,CC,PAL,DIAT1,0,5.0,158.79,158.84,,M[318_Si],G[318_Si],,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,F,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,A,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-18R-CC-PAL-DIAT1,318,U1356,A,18,18-CC,R,CC,PAL,DIAT1,0,0.0,166.23,166.23,C[318_Si],M[318_Si],M[318_Si],,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-19R-CC-PAL-DIAT3,318,U1356,A,19,19-CC,R,CC,PAL,DIAT3,0,0.0,179.68,179.68,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,C,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,,F,,,,,,,,,,,,F,,,,,X,,F,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-20R-CC-PAL-DIAT1,318,U1356,A,20,20-CC,R,CC,PAL,DIAT1,0,0.0,184.61,184.61,C[318_Si],M[318_Si],M[318_Si],,,,,,,,,,F-C,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,R,,X,,,,,,,,,,,,,,,,,,,,,X,,,,X,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,X,
318-U1356A-21R-CC-PAL-DIAT4,318,U1356,A,21,21-CC,R,CC,PAL,DIAT4,0,0.0,193.79,193.79,,M[318_Si],G[318_Si],,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,C,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-22R-CC-PAL-DIAT4,318,U1356,A,22,22-CC,R,CC,PAL,DIAT4,0,0.0,203.91,203.91,A[318_Si],M[318_Si],M[318_Si],,,,,,,,,,F-C,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,X,,X,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-23R-CC-PAL-DIAT3,318,U1356,A,23,23-CC,R,CC,PAL,DIAT3,0,0.0,212.015,212.015,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,A,X,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-24R-CC-PAL-DIAT4,318,U1356,A,24,24-CC,R,CC,PAL,DIAT4,0,0.0,222.01,222.01,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,R,,,,,R,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-C,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
318-U1356A-25R-CC-PAL-DIAT2,318,U1356,A,25,25-CC,R,CC,PAL,DIAT2,0,0.0,229.9,229.9,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,F,X,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
318-U1356A-26R-CC-PAL-DIAT2,318,U1356,A,26,26-CC,R,CC,PAL,DIAT2,0,5.0,239.955,240.005,,M[318_Si],G[318_Si],,,,,,,,,,F,X,,,,R,,,,X?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,R,X,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,X,R,,,,,,,,,,,,,X,R,,R,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,R,
318-U1356A-27R-CC-PAL-DIAT4,318,U1356,A,27,27-CC,R,CC,PAL,DIAT4,0,3.0,248.9,248.93,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,F,X,,,,,,,,,,F,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,X,,,,X,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,X,F,,,,,,,,,,,,,X,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
318-U1356A-28R-CC-PAL-DIAT2,318,U1356,A,28,28-CC,R,CC,PAL,DIAT2,0,3.0,258.56,258.59,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,X,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,R,,,,,,,,,,,,X,,,,,,,,,,,,R,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,F,
318-U1356A-29R-CC-PAL-DIAT1,318,U1356,A,29,29-CC,R,CC,PAL,DIAT1,0,2.0,268.18,268.2,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,F,X,R,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-30R-CC-PAL-DIAT1,318,U1356,A,30,30-CC,R,CC,PAL,DIAT1,0,3.0,285.245,285.275,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,R,
318-U1356A-31R-CC-PAL-DIAT2,318,U1356,A,31,31-CC,R,CC,PAL,DIAT2,0,2.0,287.06,287.08,,M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,X,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,X,X,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,F,
318-U1356A-33R-CC-PAL-DIAT1,318,U1356,A,33,33-CC,R,CC,PAL,DIAT1,0,3.0,307.64,307.67,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,
318-U1356A-34R-2-W 55/55-DIAT1,318,U1356,A,34,34-2,R,2,W,55/55-DIAT1,0,0.0,317.95,317.95,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X,,,,,X,,,,X,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,C,,X,,,,X,X,,,,,,,,,,,,,,,,R,,,,,,X,,,,,,,C,,,,,,,,,,,,,X,X,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,
318-U1356A-34R-CC-PAL-DIAT3,318,U1356,A,34,34-CC,R,CC,PAL,DIAT3,0,3.0,321.13,321.16,F-C,M[318_Si],G[318_Si],,,,,,,,,,R,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-35R-2-W 119/119-DIAT1,318,U1356,A,35,35-2,R,2,W,119/119-DIAT1,0,0.5,328.185,328.19,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-35R-2-W 119/119-DIAT2,318,U1356,A,35,35-2,R,2,W,119/119-DIAT2,0,0.5,328.185,328.19,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,R,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-35R-CC-PAL-DIAT1,318,U1356,A,35,35-CC,R,CC,PAL,DIAT1,0,0.0,331.44,331.44,C[318_Si],P[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
318-U1356A-36R-CC-PAL-DIAT2,318,U1356,A,36,36-CC,R,CC,PAL,DIAT2,0,0.0,335.12,335.12,F-C,M[318_Si],G[318_Si],,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-37R-CC-PAL-DIAT3,318,U1356,A,37,37-CC,R,CC,PAL,DIAT3,0,0.0,344.8,344.8,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-38R-CC-PAL-DIAT1,318,U1356,A,38,38-CC,R,CC,PAL,DIAT1,0,0.0,354.05,354.05,F-C,M[318_Si],G[318_Si],,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,F-C,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-39R-1-W 85/85-DIAT1,318,U1356,A,39,39-1,R,1,W,85/85-DIAT1,0,0.0,364.445,364.445,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-39R-1-W 85/85-DIAT4,318,U1356,A,39,39-1,R,1,W,85/85-DIAT4,0,0.0,364.445,364.445,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,X,,,,,,,,,R,,,,,,,,,,,X,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
318-U1356A-40R-1-W 57/58-DIAT3,318,U1356,A,40,40-1,R,1,W,57/58-DIAT3,0,1.0,373.77,373.78,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-41R-CC-PAL-DIAT4,318,U1356,A,41,41-CC,R,CC,PAL,DIAT4,0,0.0,386.95,386.95,C[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,X,,,,,,,,,R,,,,,,,,,,,,X,,,,,,,,,,,,,R,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
318-U1356A-42R-CC-PAL-DIAT4,318,U1356,A,42,42-CC,R,CC,PAL,DIAT4,0,5.0,394.41,394.46,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-43R-CC-PAL-DIAT4,318,U1356,A,43,43-CC,R,CC,PAL,DIAT4,0,5.0,404.84,404.89,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-44R-1-W 41/41-DIAT3,318,U1356,A,44,44-1,R,1,W,41/41-DIAT3,0,0.0,412.01,412.01,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-44R-CC-PAL-DIAT2,318,U1356,A,44,44-CC,R,CC,PAL,DIAT2,0,3.0,412.55,412.58,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-45R-CC-PAL-DIAT1,318,U1356,A,45,45-CC,R,CC,PAL,DIAT1,0,5.0,422.27,422.32,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-46R-1-W 26/26-DIAT,318,U1356,A,46,46-1,R,1,W,26/26-DIAT,0,0.0,431.06,431.06,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-46R-CC-PAL-DIAT1,318,U1356,A,46,46-CC,R,CC,PAL,DIAT1,0,0.0,434.66,434.66,X[318_Si],P[318_Si],M[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-47R-3-W 24/25-DIAT3,318,U1356,A,47,47-3,R,3,W,24/25-DIAT3,0,1.0,443.56,443.57,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-47R-CC-PAL-DIAT2,318,U1356,A,47,47-CC,R,CC,PAL,DIAT2,0,0.0,445.99,445.99,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-48R-CC-PAL-DIAT1,318,U1356,A,48,48-CC,R,CC,PAL,DIAT1,0,0.0,453.98,453.98,X[318_Si],P[318_Si],M[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-49R-CC-PAL-DIAT4,318,U1356,A,49,49-CC,R,CC,PAL,DIAT4,0,0.0,460.05,460.05,,P[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-50R-CC-PAL-DIAT3,318,U1356,A,50,50-CC,R,CC,PAL,DIAT3,0,0.0,469.865,469.865,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-51R-1-W 30/30-DIAT4,318,U1356,A,51,51-1,R,1,W,30/30-DIAT4,0,0.0,478.9,478.9,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1356A-51R-CC-PAL-DIAT2,318,U1356,A,51,51-CC,R,CC,PAL,DIAT2,0,5.0,481.05,481.1,B[318_Si],-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
