Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1486B-11H-CC,0,29,101.15,101.44,E [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,4,,,,1,,,,,4,,1,,1,,,,,,,,,363,U1486,B,11,H,CC,
363-U1486B-12H-CC,0,27,110.72,110.99,E [P46],,1,,,,,,,,,,,,,2,,,,,,,2,,2,,,,11,,,,,,,,,,,,2,,,2,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,2,,,2,,,,,,,,9,,,,,,1,,,,,,5,1,,,1,,,,,,,3,,4,,,,,,,,,363,U1486,B,12,H,CC,
363-U1486B-13H-CC,0,12,120.04,120.16,E [P46],,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2,,,2,,,,,,,,1,,,1,,,,,,,,,4,1,,,2,,,,,,,1,,,,,,,,,,,363,U1486,B,13,H,CC,
363-U1486B-14H-CC,0,30,129.68,129.98,E [P46],,1,1,,,,,,,,,,,,2,,,,,,,1,,,,,,16,,,1,,3,,,,4,,1,,,,5,,,8,,,,,,,5,1,,,,,,,,,,,4,1,,,,6,,,12,,,,1,,,,7,,,6,,,,,,,,,2,,,,,,,,,5,,21,,11,,,,,,,,,363,U1486,B,14,H,CC,
363-U1486B-15H-CC,0,23,138.99,139.22,E [P46],,1,,,,,,,,,,,,,2,,,,,,,,,,,,,7,,,,,1,,,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,2,,,,,1,,,4,,,,2,,,,2,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,363,U1486,B,15,H,CC,
363-U1486B-16H-CC,0,17,148.77,148.94,E [P46],,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,,,,,,,,,3,,,,,,,,,5,,,,1,,,,,,,,,363,U1486,B,16,H,CC,
363-U1486B-17H-CC,0,20,158.22,158.42,E [P46],,1,,,,,,,,,,,,,1,,,,,,,,,,,,,8,,,,,,,,,,,,,,,5,,,2,,,,1,,,1,,,,,3,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,3,,1,,2,,,,,,,,,363,U1486,B,17,H,CC,
363-U1486B-18H-CC,0,25,167.3,167.55,E [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,363,U1486,B,18,H,CC,
363-U1486B-19H-CC,0,8,174.08,174.16,E [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,363,U1486,B,19,H,CC,
363-U1486B-20H-CC,0,26,186.74,187.0,E [P46],,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,3,,1,,2,,,,,,,,,363,U1486,B,20,H,CC,
363-U1486B-21H-CC,0,25,195.82,196.07,E [P46],,1,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,,2,,,,,,,,,,1,,,,,,2,,,,,2,,9,,4,,,,,,,,,363,U1486,B,21,H,CC,
363-U1486B-22H-CC,0,27,205.52,205.79,E [P46],,1,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,22,H,CC,
363-U1486B-23H-CC,0,8,211.09,211.17,E [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,23,H,CC,
