Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus larrymayeri,Coccolithus miopelagicus,Coronocyclus nitescens (circular),Coronocyclus nitescens (elliptical),Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster spp.,Emiliania huxleyi,Gephyrocapsa aperta,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Helicosphaera ampliaperta,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Minylitha convallis,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra sp. 1,Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra gelida,Reticulofenestra minuta,Reticulofenestra spp. small,Sphenolithus heteromorphus,Sphenolithus spp.,Triquetrorhabdulus rugosus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus pacificanus,Calcidiscus tropicus,Calciosolenia spp.,Coccolithus pelagicus,Discoaster deflandrei,Discoaster druggii,Florisphaera profunda,Helicosphaera carteri,Helicosphaera wallichii,Oolithotus fragilis,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera clavigera,Rhabdosphaera spp.,Scyphosphaera apsteinii,Syracosphaera pulchra,Umbellosphaera tenuis,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Reworked species,Sample comment,Ship File Links,Shore File Links,File Data
356-U1461B-47F-CC-PAL-NANNO,0,10,323.74,323.84,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],A [A23],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-49F-CC-PAL-NANNO,0,12,332.99,333.11,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],R [A30],,,R [A30],,F [A30],,,,,,,,R [A30],,,,,,F [A30],R [A30],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-51F-CC-PAL-NANNO,0,10,342.62,342.72,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],R [A30],,,R [A30],,R [A30],,,,,,,,R [A30],,R [A30],,,,R [A30],R [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-55F-CC-PAL-NANNO,0,10,360.96,361.06,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],C [A04],,,,C [A04],,,,,,,,,,F [A30],,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-60X-CC-PAL-NANNO,0,10,384.8,384.9,,,M [P33],F [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,
356-U1461B-64X-CC-PAL-NANNO,0,10,414.99,415.09,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],,,R [A30],,,,,,,,,,,F [A30],,,,,,F [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-69X-CC-PAL-NANNO,0,3,437.6,437.63,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],,,R [A30],R [A30],,,,,,,,,,R [A30],,,,,,F [A30],F [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-73X-CC-PAL-NANNO,0,10,461.02,461.12,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],F [A30],R [A30],,,,,,,,,,,,,P [A30],,,,,,C [A04],F [A30],,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,
356-U1461B-77X-CC-PAL-NANNO,0,10,482.55,482.65,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],F [A30],P [A30],,R [A30],,,,,,,,,,,C [A04],,R [A30],,,,F [A30],C [A04],,,,,F [A30],,,,,,,,P [A30],,,P [A30],,,,,,,P [A30],,,,,,,,,
356-U1461B-80X-CC-PAL-NANNO,0,10,500.09,500.19,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],F [A30],,,,,,,,,,,,,,F [A30],F [A30],,,,,F [A30],C [A04],,,,,R [A30],,,,,,,,R [A30],,,,,,,,,,,,,F [A30],,,,,,
356-U1461B-83X-CC-PAL-NANNO,0,10,521.92,522.02,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],,,,,,,,,,,,,,,C [A04],,C [A04],,,,,,,,,,F [A30],,,,,,,,F [A30],,,F [A30],,,,,,,,,,F [A30],,,,,,
356-U1461B-85X-CC-PAL-NANNO,0,10,543.06,543.16,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],,,,,,,,,,,,,,,F [A30],,F [A30],,,,,F [A30],,,,,,,,,,,,,P [A30],,,,,,P [A30],,,,,,,C [A04],,,,,,
356-U1461B-87X-CC-PAL-NANNO,0,10,562.33,562.43,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],F [A30],,,,,,,,,,,,,,R [A30],,P [A30],,,,,F [A30],,,,,F [A30],,,,,,,,P [A30],,,,,,P [A30],,,,,,,F [A30],,,,,,
356-U1461B-88X-CC-PAL-NANNO,0,10,570.51,570.61,,,G [P33],A [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V [A94],A [A23],,,C [A04],R [A30],,,,,,,,,,R [A30],,C [A04],,,,,C [A04],,,,,R [A30],,,,,,,,F [A30],,,F [A30],,,,,P [A30],,P [A30],,,F [A30],,,,,,
356-U1461B-89X-CC-PAL-NANNO,0,10,574.11,574.21,,,M [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,
356-U1461B-91X-CC-PAL-NANNO,0,10,591.38,591.48,,,G [P33],C [A22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,,,,,,,,P [A30],,,,,F [A30],,R [A30],,,,F [A30],C [A04],,,,,F [A30],,,,,,,,R [A30],,,,,,,,,,,,,R [A30],,,,,,
356-U1461B-92X-CC-PAL-NANNO,0,10,605.84,605.94,,,G [P33],A [A22],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A23],R [A30],R [A30],,,,,,,,F [A30],,,,,F [A30],,,,,,R [A30],C [A04],,,,P [A30],F [A30],,,,,,,,F [A30],,,P [A30],,,P [A30],,,,,,,R [A30],,,,,,
356-U1461B-93X-CC-PAL-NANNO,0,10,615.18,615.28,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,P [A30],,,,,,,,R [A30],,,,,F [A30],,,,,,F [A30],C [A04],,,,,C [A04],,,,R [A30],,,,F [A30],,,,R [A30],,,,,,R [A30],,,R [A30],,,,,,
356-U1461B-95X-CC-PAL-NANNO,0,10,631.72,631.82,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],R [A30],P [A30],,,,,,,,P [A30],,,,,F [A30],,,,,,A [A23],C [A04],,,,,F [A30],,,,R [A30],,,,F [A30],,,,P [A30],,,,,,R [A30],,,F [A30],,,,,,
356-U1461B-97X-CC-PAL-NANNO,0,10,656.59,656.69,,,G [P33],A [A22],,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,R [A30],,,,,C [A04],,,,,,C [A04],C [A04],,,,,F [A30],,,,R [A30],,,,F [A30],,,,R [A30],,P [A30],,,,R [A30],,,,,,,,,
356-U1461B-100X-CC-PAL-NANNO,0,10,677.37,677.47,NN18 [G12],"NN18 - Discoaster brouweri (Gradstein et al., 2012)",G [P33],A [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,C [A04],,F [A30],,,,,C [A04],,,,,P [A30],,,,F [A30],,,,C [A04],,,F [A30],,,,,P [A30],,C [A04],,,,,,,,,
356-U1461B-102X-CC-PAL-NANNO,0,10,693.97,694.07,,,G [P33],A [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,A [A23],,,,,,,,,,,,,,,F [A30],,F [A30],,,,,,,,,P [A30],,,,,,,,,C [A04],,,F [A30],F [A30],,,R [A30],,,,,,,,,,,,
356-U1461B-104X-CC-PAL-NANNO,0,10,704.84,704.94,,,G [P33],A [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,,P [A30],,,,,,V [A94],,,,,,,,,,,,,,,C [A04],,,,,,,,,,,,F [A30],,,,P [A30],,,,C [A04],,,,F [A30],,,,,,,,,,,,,,,
356-U1461B-106X-CC-PAL-NANNO,0,10,717.27,717.37,,,G [P33],A [A22],,,C [A04],,,,,,,,,,P [A30],,,,C [A04],,,,,,,,,,P [A30],,,,V [A94],,,,,,,,,,,,,,,F [A30],,F [A30],,,,,C [A04],,,,,,,,,,,,,C [A04],,,,C [A04],,,,,,,,,,,,,,,
356-U1461B-108X-CC-PAL-NANNO,0,10,727.94,728.04,NN16 [G12],"NN16 - Discoaster surculus (Gradstein et al., 2012)",G [P33],A [A22],,,F [A30],,,,,,,,,,R [A30],,,,C [A04],,,,,,,,R [A30],,,,,,,,,,,,,,,,R [A30],,,,,C [A04],,,,,,,C [A04],,,,,F [A30],,,,R [A30],,,,F [A30],,,P [A30],R [A30],,,,,,R [A30],,,R [A30],,,,,,
356-U1461B-110X-CC-PAL-NANNO,0,10,745.68,745.78,,,G [P33],A [A22],,,F [A30],,,,,,,,,,R [A30],,,,C [A04],,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,C [A04],,,,,,C [A04],C [A04],,,,,C [A04],,,,R [A30],,,,F [A30],,,,R [A30],,,,P [A30],,R [A30],,,R [A30],,,,,,
356-U1461B-112X-CC-PAL-NANNO,0,10,763.95,764.05,,,G [P33],C [A22],,,C [A04],,,,,,,,,,R [A30],,,,F [A30],,,,,,,,R [A30],,,,,,F [A30],,,,,,,,,,,,,,,F [A30],,,,,,C [A04],A [A23],,,,,F [A30],,,,,,,,F [A30],,,P [A30],R [A30],,P [A30],,,,R [A30],,,R [A30],,,,,,
356-U1461B-114X-CC-PAL-NANNO,0,5,772.09,772.14,,,G [P33],C [A22],,,F [A30],,,,,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,C [A04],C [A04],,,,,R [A30],,,,,,,,R [A30],,,,R [A30],,,,,,R [A30],,,R [A30],,,,,,
356-U1461B-115X-7-PAL-NANNO,0,10,785.25,785.35,,,G [P33],A [A22],,,C [A04],,,,,,,,,,F [A30],,,,C [A04],,,,,,,,R [A30],R [A30],,,,,,,,,,,,,,,,,,,,C [A04],,,,,,A [A23],A [A23],,,,P [A30],F [A30],,,,R [A30],,,,F [A30],,,,R [A30],,P [A30],,,,R [A30],,,R [A30],,,,,,
356-U1461B-116X-CC-PAL-NANNO,0,11,794.72,794.83,,,G [P33],C [A22],,,F [A30],,,,,,,,,,P [A30],,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,C [A04],,,,A [A23],A [A23],,,,,,,,,,,,,F [A30],,,,R [A30],,,,,F [A30],F [A30],,,,,,,,,
356-U1461B-118X-CC-PAL-NANNO,0,10,810.67,810.77,,,G [P33],D [A22],,,F [A30],,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,C [A04],,C [A04],,,,A [A23],V [A94],,,,P [A30],,,,,,,,,P [A30],,,C [A04],C [A04],,,,,F [A30],,,,,,,,,,
356-U1461B-120X-CC-PAL-NANNO,0,10,826.17,826.27,,,G [P33],D [A22],,,F [A30],,,,,,,,,,,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,V [A94],,C [A04],,,,,,,,,,,C [A04],,,C [A04],C [A04],P [A30],,,,F [A30],,,,,,,,,,
356-U1461B-122X-CC-PAL-NANNO,0,10,834.61,834.71,NN15 [G12],"NN15 - Reticulofenestra pseudoumbilicus (Gradstein et al., 2012)",G [P33],A [A22],,,F [A30],,,,,,,,,,F [A30],,,,F [A30],,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,C [A04],,,,F [A30],,A [A23],A [A23],,A [A23],,,F [A30],,,,,,,,F [A30],,,F [A30],R [A30],,,,,,R [A30],,,R [A30],,,,,,
356-U1461B-124X-CC-PAL-NANNO,0,10,851,851.1,,,G [P33],A [A22],,,F [A30],,,,,,,,,,R [A30],,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C [A04],,A [A23],C [A04],,A [A23],,,F [A30],,,,,,,,C [A04],,,F [A30],R [A30],,,,,,P [A30],,,,,,,,,
356-U1461B-126X-CC-PAL-NANNO,0,10,864.25,864.35,,,G [P33],A [A22],,,F [A30],,,,,,,,,,F [A30],,,,C [A04],,,,,P [A30],,,P [A30],,,,,,,,,,,,,,,,,,,,,R [A30],,,,C [A04],,A [A23],C [A04],,A [A23],,,F [A30],,,,,,,,C [A04],,,R [A30],R [A30],,,,,,R [A30],,,R [A30],,,,,,
356-U1461B-128X-CC-PAL-NANNO,0,9,874.48,874.57,,,G [P33],A [A22],,,F [A30],,,,,,,,,,F [A30],,,,C [A04],,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,A [A23],C [A04],,C [A04],,,F [A30],,,,P [A30],,,,C [A04],,,F [A30],F [A30],P [A30],,,,F [A30],P [A30],,,,,,,,,
356-U1461B-129X-CC-PAL-NANNO,0,10,877.64,877.74,,,G [P33],D [A22],,,C [A04],,,,,,,,,,R [A30],,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],,V [A94],A [A23],,C [A04],,,P [A30],,,,F [A30],,,,F [A30],,,F [A30],F [A30],,,,,,,,,,,,,,,
