Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Schackoina spp.	Praeglobotruncana spp.	Marginotruncana tarfayaensis	Marginotruncana sinuosa	Marginotruncana pseudolinneiana	Marginotruncana coronata	Heterohelix globulosa	Hedbergella simplex	Hedbergella planispira	Hedbergella hoelzli	Falsotruncana maslakovae	Dicarinella imbricata	Dicarinella hagni	Heterohelix spp.	Hedbergella flandrini	Globotruncanita sp. cf. G. stuartiformis	Globotruncanita elevata	Globotruncana ventricosa	Globotruncana linneiana	Dicarinella asymetrica	Rugoglobigerina rugosa	Rugoglobigerina pilula	Globotruncana bulloides	Globigerinelloides asper	Contusotruncana fornicata	Globotruncana arca	Pseudotextularia nuttalli	Heterohelix rajagopalani	Globotruncana spp.	Globigerinelloides subcarinatus	Globigerinelloides messinae	Contusotruncana cf. patelliformis	Planoglobulina spp.	Planoglobulina carseyae	Globotruncanella havanensis	Globotruncana falsostuarti	Globotruncana cf. ventricosa	Planoglobulina multicamerata	Globotruncanella pschadae	Rugoglobigerina milamensis	Gublerina cuvillieri	Abathomphalus intermedius	Globotruncanita insignis	Racemiguembelina cf. fructicosa	Pseudotextularia elegans	Contusotruncana patelliformis	Abathomphalus cf. mayaroensis	Rugoglobigerina hexacamerata	Racemiguembelina fructicosa	Globotruncanita stuartiformis	Globotruncanita stuarti	Globotruncana dupeublei	Abathomphalus mayaroensis	Rugoglobigerina rotundata	Rugoglobigerina pennyi	Globotruncanita angulata	Contusotruncana walfischensis	Contusotruncana contusa	Gublerina acuta	Globotruncanita cf. stuarti	Rugoglobigerina spp.	Paragloborotalia opima nana	Globoquadrina venezuelana	Globoquadrina tripartita	Globoquadrina galavisi/G. globularis	Globigerina woodi/G. apertura	Globigerina praebulloides	Globigerina angulisuturalis	Catapsydrax unicavus	Catapsydrax dissimilis	Paragloborotalia mayeri	Globigerinita glutinata	Globigerina ciperoensis	Globorotalia mendacis	Globoquadrina binaiensis	Globigerinoides primordius	Globigerina brazieri	Globorotalia kugleri	Globoquadrina baroemoenensis	Globigerinella praesiphonifera	Globigerina angustiumbilicata	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides parawoodi	Globigerina druryi/G. nepenthes	Sphaeroidinellopsis disjuncta	Globorotalia birnageae	Globoquadrina dehiscens	Globigerinoides subquadratus	Globigerinoides altiaperturus	Catapsydrax stainforthi	Globorotalia praescitula	Globigerinoides diminutus	Globigerinoides bulloideus	Catapsydrax parvulus	Globorotalia peripheroronda	Globigerinoides sicanus	Globigerinatella insueta	Praeorbulina glomerosa	Globorotalia archeomenardii	Globigerinoides obliquus	Orbulina spp.	Globorotalia peripheroacuta	Globorotalia praefohsi	Sphaeroidinellopsis seminulina	Globorotalia fohsi	Sphaeroidinellopsis kochi	Globorotalia menardii	Sphaeroidinella dehiscens	Pulleniatina primalis	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis/N. humerosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia plesiotumida	Globorotalia partimlabiata	Globorotalia margaritae	Globorotalia inflata	Globorotalia crassaformis	Globigerinoides ruber (white)	Globigerinoides extremus	Globigerinoides conglobatus	Candeina nitida	Globorotalia conoidea	Globigerinoides fistulosus	Globigerina rubescens	Globigerinoides ruber (pink)	Globigerina calida	Comment

  SR	                 	                 	                  	              	122	 761	B	  4	H	 2	  60.00	     25.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	+                      	+                       	                         	+                              	                             	                      	                       	                            	                             	                       	+                       	                         	+                         	                    	                           	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	                  	+                        	+                    	+                        	                     	+                           	+                         	+                                       	+                  	+                            	+                     	+                        	                          	+                      	+                   	+                        	+                            	+                       	+                          	+              	+                    	+                         	+                    	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 684

  SR	                 	                 	                  	              	122	 761	B	  4	H	 3	  60.00	     26.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	+                      	+                       	                         	+                              	                             	                      	                       	                            	                             	                       	+                       	                         	+                         	                    	                           	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	                  	+                        	+                    	+                        	+                    	+                           	+                         	+                                       	+                  	+                            	+                     	+                        	                          	+                      	                    	+                        	+                            	+                       	+                          	+              	                     	                          	+                    	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 685

  SR	                 	                 	                  	              	122	 761	B	  4	H	 4	  60.00	     28.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	+                      	+                       	                         	+                              	                             	                      	                       	                            	                             	                       	+                       	                         	+                         	                    	                           	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	                  	+                        	+                    	                         	                     	                            	                          	+                                       	                   	                             	                      	+                        	                          	+                      	                    	                         	                             	+                       	                           	+              	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 686

  SR	                 	                 	                  	              	122	 761	B	  4	H	 5	  60.00	     29.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	+                      	+                       	                         	+                              	                             	                      	                       	                            	                             	                       	+                       	                         	+                         	                    	                           	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	                  	+                        	+                    	                         	                     	                            	                          	+                                       	                   	                             	                      	+                        	                          	+                      	                    	                         	                             	+                       	                           	+              	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 687

  SR	                 	                 	                  	              	122	 761	B	  4	H	 6	  60.00	     31.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	                       	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	                             	+                      	+                       	                         	+                              	                             	                      	                       	                            	                             	                       	+                       	                         	+                         	                    	                           	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	                  	+                        	+                    	+                        	+                    	+                           	+                         	+                                       	+                  	+                            	+                     	+                        	                          	+                      	+                   	+                        	+                            	+                       	+                          	+              	+                    	+                         	+                    	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 688

  SR	                 	                 	                  	              	122	 761	B	  5	H	 1	  60.00	     33.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	+                      	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	+                            	+                      	+                       	                         	+                              	                             	                      	+                      	                            	                             	                       	+                       	                         	+                         	+                   	                           	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	                  	+                        	+                    	+                        	+                    	+                           	+                         	+                                       	+                  	+                            	+                     	+                        	+                         	+                      	+                   	+                        	+                            	+                       	+                          	+              	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 689

  SR	Middle Miocene   	                 	P. mayeri         	              	122	 761	B	  5	H	 2	  60.00	     34.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	+                      	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	+                            	+                      	+                       	                         	+                              	                             	                      	+                      	                            	                             	                       	+                       	                         	+                         	+                   	                           	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	                  	+                        	+                    	                         	                     	                            	                          	                                        	                   	                             	                      	                         	                          	                       	                    	                         	                             	                        	                           	               	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 690

  SR	Middle Miocene   	                 	G. subquadrata    	              	122	 761	B	  5	H	 3	  60.00	     36.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	+                      	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	+                            	+                      	+                       	                         	+                              	                             	                      	+                      	+                           	                             	                       	+                       	                         	+                         	+                   	                           	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	                  	+                        	+                    	                         	                     	                            	                          	                                        	                   	                             	                      	                         	                          	                       	                    	                         	                             	                        	                           	               	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 691

  SR	Middle Miocene   	                 	G. fohsi          	              	122	 761	B	  5	H	 4	  60.00	     37.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	+                      	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	+                            	+                      	+                       	                         	+                              	+                            	                      	+                      	+                           	                             	                       	+                       	                         	+                         	+                   	+                          	                       	                        	                      	                           	+                       	+            	                           	                      	+                             	+                 	                         	                     	                         	                     	                            	                          	                                        	                   	                             	                      	                         	                          	                       	                    	                         	                             	                        	                           	               	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 692

  SR	Middle Miocene   	                 	G. praefohsi      	              	122	 761	B	  5	H	 5	  60.00	     39.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	+                      	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	+                            	+                      	+                       	                         	+                              	+                            	                      	+                      	+                           	                             	                       	+                       	                         	+                         	+                   	+                          	                       	                        	                      	                           	+                       	+            	+                          	+                     	                              	                  	                         	                     	                         	                     	                            	                          	                                        	                   	                             	                      	                         	                          	                       	                    	                         	                             	                        	                           	               	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 693

  SR	Middle Miocene   	                 	G. peripheroronda 	              	122	 761	B	  5	H	 6	  60.00	     40.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	+                      	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	+                            	+                      	+                       	                         	+                              	+                            	                      	+                      	+                           	                             	                       	+                       	                         	+                         	+                   	+                          	                       	                        	+                     	                           	+                       	+            	+                          	                      	                              	                  	                         	                     	                         	                     	                            	                          	                                        	                   	                             	                      	                         	                          	                       	                    	                         	                             	                        	                           	               	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 694

  SR	Middle Miocene   	                 	P. glomerosa      	              	122	 761	B	  6	H	 1	  73.00	     42.9300	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	+                      	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	+                            	+                      	+                       	                         	+                              	+                            	                      	+                      	+                           	                             	                       	+                       	                         	+                         	+                   	+                          	                       	+                       	+                     	+                          	+                       	             	                           	                      	                              	                  	                         	                     	                         	                     	                            	                          	                                        	                   	                             	                      	                         	                          	                       	                    	                         	                             	                        	                           	               	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 695

  SR	Middle Miocene   	                 	P. glomerosa      	              	122	 761	B	  6	H	 2	  73.00	     44.4300	Zachariasse	Planktonic Foraminifers                      	               	                  	               	                      	                            	                       	                               	                        	                     	                   	                      	                   	                        	                     	                 	                	                     	                                        	                       	                        	                       	                      	                      	                      	                       	                        	                         	                  	                         	                        	                  	                               	                           	                                 	                   	                       	                           	                          	                            	                            	                         	                          	                    	                         	                        	                               	                        	                             	                             	                            	                           	                             	                       	                       	                         	                         	                      	                        	                             	                       	               	                           	                    	                           	                         	                        	                                    	+                            	+                        	                           	                    	                      	+                      	+                      	                       	                     	                        	                          	                    	                    	                            	+                             	+                            	+                      	+                       	                         	+                              	+                            	                      	+                      	+                           	                             	                       	+                       	                         	+                         	+                   	+                          	+                      	+                       	+                     	+                          	+                       	             	                           	                      	                              	                  	                         	                     	                         	                     	                            	                          	                                        	                   	                             	                      	                         	                          	                       	                    	                         	                             	                        	                           	               	                     	                          	                     	                            	                  	from ODP Leg 122 Chapter 39 Figure 3 p 696
