Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comment,File Data
339-U1386A-11H-CC-PAL-NANNO,339,U1386,A,11,11-CC,H,CC,PAL,NANNO,0,5,97.13,97.18,M-P ,A ,,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,R ,,,,,VA ,,,C ,,,,,,,,,,,R ,,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,
339-U1386A-12H-CC-PAL-NANNO,339,U1386,A,12,12-CC,H,CC,PAL,NANNO,0,5,108.69,108.74,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,C ,,VA ,,,F ,,,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,
339-U1386A-13H-CC-PAL-NANNO,339,U1386,A,13,13-CC,H,CC,PAL,NANNO,0,5,118.3,118.35,G ,A ,,,,,,,F ,F ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,F ,,C ,,,F ,,R ,,,,,,,,,,,,,,,,C ,,,,,,R ,,,,,,,,,,,,F ,,,,,,F ,,
339-U1386A-14H-CC-PAL-NANNO,339,U1386,A,14,14-CC,H,CC,PAL,NANNO,0,5,126.87,126.92,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,,,VA ,,,F ,,,R ,,,,,,,R ,F ,,,,,,,C ,,,,,,R ,,,,,,,,,,,,R ,,,,,,R ,,
339-U1386A-15H-CC-PAL-NANNO,339,U1386,A,15,15-CC,H,CC,PAL,NANNO,0,5,136.96,137.01,M-P ,VA ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,C ,C ,F ,F ,,A ,,,F ,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1386A-16H-CC-PAL-NANNO,339,U1386,A,16,16-CC,H,CC,PAL,NANNO,0,5,143.9,143.95,M-P ,A ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,C ,C ,,F ,,C ,,,R ,,,,,,,,,,,P ,R ,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,P ,,
339-U1386A-17H-CC-PAL-NANNO,339,U1386,A,17,17-CC,H,CC,PAL,NANNO,0,5,151.59,151.64,G ,VA ,,,,,,,P ,R ,,,,,,,,,,P ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,A ,F ,,,,VA ,,,F ,,,,,,,,,,,F ,C ,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-18H-CC-PAL-NANNO,339,U1386,A,18,18-CC,H,CC,PAL,NANNO,0,5,160.52,160.57,G ,VA ,,,,,,R ,P ,F ,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,A ,A ,,F ,,VA ,,,F ,,,,,,,,,,,R ,C ,,,,,,C ,,,,,,F ,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-19H-CC-PAL-NANNO,339,U1386,A,19,19-CC,H,CC,PAL,NANNO,0,5,167.23,167.28,G ,VA ,,,,,,F ,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,A ,C ,,,,VA ,,,F ,,,,,,,,,,,A ,C ,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-20H-CC-PAL-NANNO,339,U1386,A,20,20-CC,H,CC,PAL,NANNO,0,5,178,178.05,G ,VA ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,F ,A ,,,,VA ,,,R ,,,P ,,,,,,,,P ,C ,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-21H-CC-PAL-NANNO,339,U1386,A,21,21-CC,H,CC,PAL,NANNO,0,5,183.07,183.12,G ,vA ,,,,,,,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,F ,C ,R ,R ,,VA ,,,F ,,,,,,,,,,,,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-22X-CC-PAL-NANNO,339,U1386,A,22,22-CC,X,CC,PAL,NANNO,0,5,188.57,188.62,G ,VA ,,,,,P ,,,R ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,C ,F ,C ,VA ,P ,,R ,,,,,,,,,,,,F ,,,,,,VA ,,,,,,R ,,,,,,,,,,,,R ,,,,,,R ,,
339-U1386A-23X-CC-PAL-NANNO,339,U1386,A,23,23-CC,X,CC,PAL,,0,5,196.22,196.27,G ,VA ,,,,,,,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,VA ,,C ,VA ,,,R ,,,,,,,,,,,,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,R ,,
339-U1386A-24X-CC-PAL-NANNO,339,U1386,A,24,24-CC,X,CC,PAL,,0,5,205.33,205.38,G ,VA ,,,,,,R ,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,C ,C ,F ,C ,VA ,,,R ,,,,,,,,,,,,F ,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1386A-26X-CC-PAL-NANNO,339,U1386,A,26,26-CC,X,CC,PAL,NANNO,0,5,224.53,224.58,G ,A ,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,VA ,,,,,,,,,,,,,,,F ,,,R ,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,
339-U1386A-27X-CC-PAL-NANNO,339,U1386,A,27,27-CC,X,CC,PAL,,0,5,234.63,234.68,G ,A ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-28X-CC-PAL-NANNO,339,U1386,A,28,28-CC,X,CC,PAL,NANNO,0,5,244.37,244.42,G ,VA ,,,,,R ,,R ,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,VA ,,,R ,,,,,,,,,,,R ,C ,,,,,,VA ,,,,,,R ,,,,,,,,,,,,F ,,,,,,R ,,
339-U1386A-29X-CC-PAL-NANNO,339,U1386,A,29,29-CC,X,CC,PAL,,0,5,253.72,253.77,G ,A ,,,,,R ,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,R ,C ,,,R ,,R ,,,,,,,,,R ,C ,,F ,,,,VA ,,,,,,,,,,,,,,,,,,F ,,,,,,R ,,
339-U1386A-30X-CC-PAL-NANNO,339,U1386,A,30,30-CC,X,CC,PAL,NANNO,0,5,263.5,263.55,G ,A ,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,F ,,R ,VA ,,,,,,,,,,,,,,,C ,,F ,,,,VA ,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,
339-U1386A-31X-CC-PAL-NANNO,339,U1386,A,31,31-CC,X,CC,PAL,,0,5,273.41,273.46,G ,VA ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,VA ,,,F ,,,,,,,,,,,,C ,,F ,,,,VA ,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1386A-32X-CC-PAL-NANNO,339,U1386,A,32,32-CC,X,CC,PAL,NANNO,0,5,282.61,282.66,G ,A ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,F ,,VA ,,,R ,,,,,,,,,,,R ,F ,,F ,F ,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-33X-CC-PAL-NANNO,339,U1386,A,33,33-CC,X,CC,PAL,,0,5,292.17,292.22,M-P ,C ,,,,,,,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,C ,,,R ,,,,,,,,,,,F ,F ,,F ,F ,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,
339-U1386A-34X-CC-PAL-NANNO,339,U1386,A,34,34-CC,X,CC,PAL,NANNO,0,5,301.67,301.72,G ,VA ,,,,,,F ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,C ,C ,F ,VA ,,,F ,,,,,,,,,,,,F ,,C ,,,,VA ,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1386A-35X-CC-PAL-NANNO,339,U1386,A,35,35-CC,X,CC,PAL,,0,5,310.59,310.64,M-P ,A ,,,,,,F ,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,VA ,,,F ,,,,,,,,,,,R ,F ,,R ,R ,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1386A-36X-CC-PAL-NANNO,339,U1386,A,36,36-CC,X,CC,PAL,NANNO,0,5,320.92,320.97,G ,VA ,,,,,,F ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,R ,,VA ,,,R ,,,,,,,,,,,R ,C ,,R ,R ,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,R ,,
339-U1386A-37X-CC-PAL-NANNO,339,U1386,A,37,37-CC,X,CC,PAL,,0,5,330.1,330.15,G ,VA ,,,,,,R ,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,VA ,,,F ,,,,,,,,,,,R ,C ,,C ,F ,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1386A-38X-CC-PAL-NANNO,339,U1386,A,38,38-CC,X,CC,PAL,NANNO,0,5,338.6,338.65,G ,VA ,,,,,,R ,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,VA ,,,F ,,,,,,,,,,,F ,F ,,C ,C ,,,A ,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1386A-39X-CC-PAL-NANNO,339,U1386,A,39,39-CC,X,CC,PAL,,0,5,349.42,349.47,M-P ,VA ,,,,,,R ,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,VA ,,,R ,,,,,,,,,,,R ,C ,,C ,A ,,,A ,,,,,,R ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
