Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria gunjii A	Uvigerina hispidocostata	Sphaeroidina bulloides	Reussella aculeata	Pullenia quinqueloba	Pseudoparrella  exigua	Pseudononion grateloupi	Patellinella sp.	Oridorsalis tener	Melonis parkerae	Melonis barleeanus	Lernella seranensis	Gyroidinoides nipponicus	Gyroidina altiformis	Globocassidulina subglobosa	Globocassidulina sp.	Globocassidulina moluccensis	Globocassidulina crassa	Globobulimina pupoides	Globobulimina pacifica	Evolvocassidulina brevis	Elphidium advena	Cibicidoides mediocris	Cibicides aknerianus	Chilostomella ovoidea	Cassidulina norvangi	Cassidulina carinata	Bulimina marginata	Bulimina aculeata	Brizalina seminuda	Brizalina alata	Bolivinita quadrilatera	Bolivina subspinescens	Bolivina subangularis leneata	Astrononion stelligerum	Uvigerina hispida	Trifarina bradyi	Tosaia hanzawai	Pyrgo murrhina	Pullenia bulloides	Oolina globosa	Oolina apiopleura	Gyroidinoides lamarckianus	Gyroidina orbicularis	Fissurina sp.	Fissurina marginata	Cibicides wuellerstorfi	Cibicides lobatulus	Bulimina ampliaperture	Brizalina pygmaea	Brizalina hantkeniana	Bolivinita compressa	Bolivina robusta	Uvigerina peregrina	Robulus gibbus	Rectobolivina raphana	Pseudononion sp.	Paracassidulina neocarinata	Oolina hexagona	Nonion depressulum	Melonis pacificus	Lagena sulcata spicata	Lagena sulcata laevicostata	Hoeglundina elegans	Gavelinopsis sp.	Fijiella simplex	Bulimina striata	Brizalina subreticulata	Bolivina subangularis	Amphicoryna scalaris	Virgulina pauciloculata	Uvigerina interrupta	Triloculina tricarinata	Trifarina occidentalis	Stilostomella sp.	Stainforthia exilis	Sigmoilopsis schlumbergeri	Saracenaria latifrons	Rutherfordoides cornuta	Rosalina globularis	Quinqueloculina sp.	Parrelloides bradyi	Paracassidulina quasicarinata	Oolina sp.	Miliolinella inflata	Miliolinella circularis	Lagena laevis	Lagena gracilis	Hauerina bradyi	Globocassidulina brocha	Cyclogyra involvens	Anomalinoides globulosus	Anomalinoides cavus	Amphistegina radiata	Vaginulinopsis tasmanica	Rosalina sp.	Quinqueloculina seminulum	Quinqueloculina lamarckiana	Paracassidulina sulcata	Nonion sp.	Gyroidina cushmani	Globocassidulina ornata	Favocassidulina favus	Elphidium simplex	Ceratobolivina pacifica	Bulimina fijiensis	Brizalina plicatella	Lagena elongata	Fursenkoina complanata	Dentalina spp.	Brizalina sp.	Sigmavirgulina tortuosa	Rotalia murrayi	Globocassidulina elegans	Gavelinopsis praegeri	Cibicides refulgens	Burseolina pacifica	Bulimina sp. cf. B. aculeata	Paracassidulina sp.	Fursenkoina sp.	Discorbis mira	Rectobolivina columellaris	Oridorsalis umbonatus	Nonionella sp.	Lagena substriata	Ammonia beccarii	Ammomassilina alveoliniformis	Allomorphina pacifica	Abditodentrix asketocomptella	Valvulineria sp.	Uvigerina proboscidea	Rosalina vilardeboana	Paracassidulina nipponiensis	Bolivinella elegans	Anomalinoides glabrata	Amphicoryna hirsuta	Spiroloculina communis	Nonionella labradorica	Articulina mayori	Triloculina trigonula	Lagena parri	Guttulina sp.	Globobulimina sp.	Elphidium sp.	Cibicides sp.	Spirillina sp.	Sorites marginalis	Pleurostomella alternans	Hanzawaia sp.	Fissurina kerguelenensis	Ehrenbergina sp.	Discorbinella subbertheloti	Cibicides robertsonianus	Astacolus crepidulus	Quinqueloculina vulgaris	Parafissurina subcarinata	Osangularia culter	Heterolepa sp.	Globocassidulina sp. cf. G. crassa	Globocassidulina sp. cf G. brocha	Globocassidulina oriangulata	Elphidium? sp.	Elphidium poeyanum	Chilostomella oolina	Bulimina rostrata	Spiroloculina sp.	Rutherfordoides tenuis	Ramulina globulifera	Quinqueloculina bicostata	Planorbulina mediterreansis	Parafissurina lateralis	Melonis sphaeroides	Lagena sp.	Baggina philippinensis	Oolina melo	Marginulina tenuis	Lamarckina scabra	Gyroidina neosoldanii	Gaudryina sp.	Astacolus insolitus	Quinqueloculina akneriana	Nonionella miocenica	Saracenaria italica	Nonionella japonica mexicana	Neoconorbina terquemi	Brizalina karreriana	Rectobolivina dimorpha pacifica	Ehrenbergina marwicki	Bolivina spinescens	Trochammina globigeriniformis	Thalmannammina parkerae	Textularia sp.	Stilostomella lepidula	Quinqueloculina costata	Pullenia salisburyi	Operculina ammonoides	Lagena pliocenica	Lagena hispidula	Haplophragmoides sp.	Glomospira gordialis	Globobulimina auriculata	Brizalina sp. cf. B. hantkeniana	Bolivina earlandi	Amphicoryna bradii    	Alveolophragmium subglobosum	Comment
  SR	                 	                 	                  	              	134	 827	A	 10	H	 1	  50.00	     73.0000	Akimoto  	Benthic Foraminifers                         	               	                  	2                    	                        	                      	                  	                    	6                     	                       	                	                 	                	2                 	                   	4                       	                    	                           	                    	                            	1                      	                      	                      	                        	                	                      	                    	                     	4                   	1                   	4                 	1                	1                 	3              	1                      	                      	                             	1                      	                 	                	               	              	                  	              	                 	                          	                     	1            	1                  	                       	                   	4                     	4                	1                    	                    	                	                   	              	                     	                	4                          	               	                  	                 	                      	                           	                   	2               	                	                	                       	                     	                    	1                      	                    	                       	                      	                 	1                  	                          	                     	3                      	                   	                   	1                  	1                            	          	                    	                       	             	               	               	                       	                   	1                       	                   	                    	                        	            	                         	                           	                       	          	                  	                       	                     	                 	                       	                  	1                   	               	3                     	              	1            	                       	               	                        	                     	                   	                   	1                           	                   	               	              	1                         	1                    	1             	1                	1               	1                            	1                    	1                            	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 0 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	 10	H	 3	  50.00	     76.0000	Akimoto  	Benthic Foraminifers                         	               	                  	4                    	1                       	                      	1                 	                    	4                     	                       	                	                 	                	2                 	1                  	2                       	                    	                           	                    	                            	3                      	                      	                      	1                       	                	1                     	                    	1                    	4                   	                    	3                 	1                	                  	4              	4                      	                      	                             	                       	                 	                	               	              	                  	              	                 	1                         	                     	             	1                  	                       	                   	4                     	3                	3                    	                    	1               	                   	2             	                     	1               	                           	               	                  	2                	1                     	                           	                   	1               	                	1               	                       	1                    	3                   	                       	                    	                       	                      	                 	                   	                          	                     	3                      	                   	                   	1                  	                             	          	                    	                       	             	               	               	1                      	                   	                        	1                  	2                   	                        	            	                         	                           	1                      	          	1                 	                       	                     	                 	                       	                  	                    	               	                      	              	7            	                       	               	                        	                     	                   	1                  	                            	1                  	1              	1             	                          	                     	              	                 	                	                             	                     	                             	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers =3 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	 10	H	 4	  48.00	     77.4800	Akimoto  	Benthic Foraminifers                         	               	                  	10                   	3                       	                      	                  	                    	2                     	                       	                	6                	                	1                 	                   	1                       	2                   	1                          	                    	                            	2                      	                      	                      	                        	                	                      	                    	                     	2                   	1                   	7                 	3                	                  	1              	1                      	                      	1                            	6                      	                 	2               	               	1             	                  	              	                 	                          	                     	             	                   	                       	                   	                      	                 	                     	2                   	3               	                   	              	                     	                	                           	               	                  	                 	1                     	                           	                   	                	1               	                	1                      	1                    	2                   	                       	                    	                       	1                     	                 	2                  	                          	                     	                       	                   	1                  	                   	1                            	          	                    	1                      	             	               	               	                       	                   	                        	1                  	1                   	                        	            	1                        	                           	1                      	          	                  	1                      	                     	                 	                       	                  	                    	               	                      	              	3            	1                      	1              	1                       	2                    	2                  	1                  	2                           	                   	               	              	                          	                     	              	                 	                	                             	                     	                             	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 1 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	 11	H	 1	  50.00	     78.1000	Akimoto  	Benthic Foraminifers                         	               	                  	                     	                        	2                     	                  	                    	4                     	                       	                	                 	                	                  	1                  	2                       	                    	                           	                    	                            	                       	                      	                      	                        	                	1                     	                    	                     	4                   	                    	2                 	1                	6                 	3              	                       	                      	                             	                       	                 	                	               	              	                  	              	                 	                          	                     	             	                   	                       	                   	1                     	1                	                     	                    	                	                   	              	                     	1               	2                          	               	                  	1                	1                     	1                          	                   	                	                	                	                       	                     	1                   	1                      	                    	                       	1                     	                 	1                  	                          	                     	1                      	                   	                   	1                  	                             	          	                    	1                      	             	               	               	                       	                   	                        	                   	                    	                        	            	                         	                           	                       	          	                  	                       	                     	                 	                       	1                 	                    	1              	1                     	1             	2            	                       	               	                        	                     	                   	                   	                            	                   	               	              	                          	                     	              	                 	                	                             	                     	                             	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 1 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	 11	H	 3	  49.00	     81.0900	Akimoto  	Benthic Foraminifers                         	               	                  	2                    	                        	                      	                  	                    	2                     	                       	                	1                	                	7                 	1                  	7                       	                    	2                          	                    	                            	                       	                      	1                     	1                       	                	1                     	1                   	                     	                    	6                   	2                 	3                	2                 	8              	2                      	                      	                             	4                      	                 	1               	               	              	                  	              	                 	                          	                     	             	1                  	                       	                   	1                     	2                	9                    	                    	1               	                   	1             	                     	                	                           	               	1                 	                 	                      	                           	                   	                	1               	                	                       	3                    	3                   	                       	                    	1                      	                      	                 	1                  	                          	                     	                       	                   	                   	                   	3                            	          	1                   	3                      	1            	               	               	2                      	1                  	1                       	                   	                    	1                       	2           	2                        	1                          	4                      	1         	2                 	1                      	1                    	1                	2                      	2                 	1                   	               	                      	              	             	                       	               	                        	                     	                   	                   	                            	                   	               	              	                          	                     	              	                 	                	                             	                     	                             	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 1 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	 12	H	 1	  49.00	     83.6900	Akimoto  	Benthic Foraminifers                         	               	                  	                     	                        	                      	                  	                    	6                     	                       	                	                 	4               	3                 	                   	2                       	                    	                           	                    	                            	                       	                      	2                     	                        	                	                      	                    	                     	13                  	                    	                  	1                	5                 	5              	                       	                      	                             	2                      	                 	1               	               	              	                  	              	                 	1                         	                     	1            	                   	                       	                   	6                     	8                	5                    	                    	                	                   	1             	                     	                	                           	               	                  	5                	                      	                           	                   	                	1               	                	                       	                     	4                   	3                      	1                   	2                      	3                     	1                	1                  	5                         	1                    	6                      	1                  	3                  	2                  	6                            	1         	1                   	3                      	1            	1              	1              	4                      	2                  	2                       	1                  	8                   	                        	            	                         	                           	                       	          	                  	                       	                     	                 	                       	                  	                    	               	                      	              	             	                       	               	                        	                     	                   	                   	                            	                   	               	              	                          	                     	              	                 	                	                             	                     	                             	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 0 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	 13	H	 1	  49.00	     88.2900	Akimoto  	Benthic Foraminifers                         	               	                  	6                    	                        	3                     	                  	                    	2                     	                       	                	2                	2               	                  	1                  	3                       	2                   	2                          	                    	1                           	4                      	2                     	1                     	                        	                	3                     	                    	                     	20                  	4                   	2                 	3                	2                 	               	                       	                      	                             	1                      	                 	                	               	1             	2                 	              	                 	2                         	                     	             	                   	1                      	1                  	2                     	                 	3                    	2                   	                	5                  	1             	1                    	1               	1                          	1              	1                 	1                	2                     	1                          	4                  	1               	1               	3               	1                      	2                    	1                   	                       	                    	                       	                      	                 	                   	                          	                     	                       	                   	                   	                   	                             	          	                    	                       	             	               	               	                       	                   	                        	                   	                    	                        	            	                         	                           	                       	          	                  	                       	                     	                 	                       	                  	                    	               	                      	              	             	                       	               	                        	                     	                   	                   	                            	                   	               	              	                          	                     	              	                 	                	                             	                     	                             	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 2 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	 14	X	 1	  49.00	     91.9900	Akimoto  	Benthic Foraminifers                         	               	                  	12                   	1                       	1                     	                  	                    	                      	                       	                	16               	                	16                	                   	5                       	1                   	6                          	                    	3                           	                       	1                     	                      	                        	1               	                      	                    	                     	                    	                    	                  	                 	                  	               	2                      	                      	2                            	4                      	1                	1               	1              	1             	1                 	1             	2                	3                         	2                    	1            	1                  	1                      	1                  	1                     	1                	2                    	1                   	1               	                   	              	                     	                	                           	               	                  	                 	                      	                           	                   	                	                	                	                       	                     	                    	                       	                    	                       	                      	                 	                   	                          	                     	                       	                   	                   	                   	                             	          	                    	                       	             	               	               	                       	                   	                        	                   	                    	                        	            	                         	                           	                       	          	                  	                       	                     	                 	                       	                  	                    	               	                      	              	             	                       	               	                        	                     	                   	                   	                            	                   	               	              	                          	                     	              	                 	                	                             	                     	                             	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 6 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

  SR	                 	                 	                  	              	134	 827	A	 15	X	 1	  50.00	    101.5000	Akimoto  	Benthic Foraminifers                         	               	                  	7                    	3                       	1                     	1                 	1                   	1                     	1                      	1               	9                	1               	5                 	1                  	10                      	3                   	2                          	1                   	21                          	4                      	3                     	1                     	1                       	1               	1                     	1                   	1                    	6                   	8                   	2                 	1                	3                 	3              	1                      	1                     	2                            	1                      	                 	                	               	              	                  	              	                 	                          	                     	             	                   	                       	                   	                      	                 	                     	                    	                	                   	              	                     	                	                           	               	                  	                 	                      	                           	                   	                	                	                	                       	                     	                    	                       	                    	                       	                      	                 	                   	                          	                     	                       	                   	                   	                   	                             	          	                    	                       	             	               	               	                       	                   	                        	                   	                    	                        	            	                         	                           	                       	          	                  	                       	                     	                 	                       	                  	                    	               	                      	              	             	                       	               	                        	                     	                   	                   	                            	                   	               	              	                          	                     	              	                 	                	                             	                     	                             	                	                     	                     	                            	                   	                      	                   	                      	                      	                 	                     	            	             	                 	             	             	              	                  	                        	             	                        	                	                           	                        	                    	                        	                         	                  	              	                                  	                                 	                            	              	                  	                    	                 	                 	                      	                    	                         	                           	                       	                   	          	                      	           	                  	                 	                     	             	                   	                         	                    	                   	                            	                     	                    	                               	                     	                   	                             	                       	              	                      	                       	                   	                     	                 	                	                    	                    	                        	                                	                 	                      	                            	Miscellaneous carcareous foraminifers = 0 ; from ODP Leg 134 SR Chapter 12 Table 2 back pocket

