Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Dictyomitra densiocosta,Alievium murphyi,Theocorythium trachelium sp. aff. T. t. dianae,Tetrapyle octacantha,Tessarastrum straussi,Stylodictya validispina,Stylacontarium acquilonium,Spongotrochus (?) venustum,Spongaster tetras tetras,Siphonosphaera polysiphonia,Saturnalis circularis,Pterocanium trilobum,Plectopyramis dodecomma,Peripyramis circumtexta,Ommatodiscus murrayi,Lithopera bacca,Liriospyris reticulata,Hymeniastrum euclidis,Hexacontium enthacanthum,Heliodiscus asteriscus,Giraffospyris angulata,Didymocyrtis tetrathalamus tetrathalamus,Dictyophimus crisiae,Dictyocoryne truncatum,Dictyocoryne profunda,Cycladophora spp.,Cornutella profunda,Carpocanistrum spp.,Botryostrobus auritus/australis,Axoprunum stauraxonium,Archipilium sp. aff. A. macropus,Anthocyrtidium ophirense,Amphirhopalum ypsilon,Acrosphaera spinosa,Acrosphaera flammabunda,Theocorythium trachelium trachelium,Stichopera pectinata group,Spongocore puella,Pterocanium praetextum praetextum,Euchitonia furcata,Euchitonia elegans,Tholospyris spp.,Pterocorys hertwigii,Phormostichoartus corbula,Lophophaena cylindrica,Lithocampe sp.,Eucyrtidium hexagonatum,Theopilium tricostatum,Stylatractus giganteus,Spongobrachium ellipticus,Otosphaera polymorpha,Lamprocyclas maritalis polypora,Eucyrtidium anomalum,Disolenia sp.,Cycladophora sp. aff. C. cabrilloensis,Acrosphaera lappacea,Xiphosphaera tesseractis,Sethophormis sp. aff. S. pentalactis,Phormospyris stabilis stabilis,Lamprocyclas maritalis maritalis,Collosphaera spp.,Collosphaera macropora,Clathrocanium sp.,Circodiscus microporus,Spongobrachium  sp. aff. S. ellipticum,Hymeniastrum sp. aff. H. euclidis,Dictyocodon sp.,Axoprunum angelinum,Dictyocoryne sp. aff. D. truncatum,Cycladophora sp. cf. C. conica,Collosphaera tuberosa,Collosphaera orthoconus,Botryostrobus sp. cf. B. aquilonarius,Anthocyrtidium sp. aff. zanguebaricum,Acrosphaera murrayana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  1,H, 3,   9.00,      3.0900,Hull     ,Radiolarians                                 ,A              ,P-G               ,                       ,                ,+                                             ,                    ,                     ,F                      ,                          ,                          ,R                       ,F                          ,R                    ,F                   ,                       ,R                      ,R                   ,C              ,R                     ,                     ,F                       ,F                     ,                      ,R                                       ,R                   ,F                     ,F                    ,R                ,F                  ,R                  ,R                              ,R                     ,R                               ,R                       ,C                    ,F                  ,R                      ,R                                  ,                          ,F                ,R                                ,R                 ,C                 ,                ,                    ,R                        ,                      ,R             ,F                      ,F                     ,R                     ,R                        ,R                    ,R                              ,R                   ,R            ,R                                     ,R                   ,                        ,                                    ,                              ,                                ,                 ,                      ,                 ,                      ,                                      ,                                 ,               ,                   ,                                  ,                              ,                     ,                       ,                                     ,                                     ,                     ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9 & pp10-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  1,H, 3, 126.00,      4.2600,Hull     ,Radiolarians                                 ,A              ,M-G               ,                       ,                ,                                              ,R                   ,                     ,C                      ,R                         ,                          ,                        ,R                          ,F                    ,                    ,                       ,                       ,R                   ,C              ,R                     ,R                    ,F                       ,F                     ,R                     ,R                                       ,                    ,F                     ,C                    ,                 ,R                  ,                   ,R                              ,                      ,                                ,R                       ,F                    ,R                  ,R                      ,R                                  ,                          ,F                ,C                                ,F                 ,C                 ,+               ,R                   ,R                        ,R                     ,R             ,R                      ,                      ,                      ,                         ,                     ,                               ,                    ,             ,                                      ,                    ,                        ,                                    ,                              ,                                ,                 ,                      ,                 ,                      ,                                      ,                                 ,               ,                   ,                                  ,                              ,                     ,                       ,                                     ,                                     ,                     ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9 & pp10-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  1,H, 4, 126.00,      5.7600,Hull     ,Radiolarians                                 ,C              ,P-M               ,                       ,                ,                                              ,                    ,                     ,R                      ,R                         ,                          ,C                       ,                           ,F                    ,                    ,                       ,R                      ,R                   ,               ,                      ,                     ,                        ,                      ,                      ,R                                       ,R                   ,C                     ,F                    ,                 ,R                  ,R                  ,F                              ,                      ,                                ,                        ,F                    ,R                  ,                       ,R                                  ,R                         ,F                ,R                                ,R                 ,F                 ,                ,                    ,                         ,                      ,              ,                       ,                      ,                      ,                         ,                     ,                               ,                    ,             ,                                      ,                    ,                        ,                                    ,                              ,                                ,                 ,                      ,                 ,                      ,                                      ,                                 ,               ,                   ,                                  ,                              ,                     ,                       ,                                     ,                                     ,                     ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  1,H, 5,   8.00,      6.0800,Hull     ,Radiolarians                                 ,C              ,M-G               ,                       ,                ,+                                             ,F                   ,R                    ,C                      ,F                         ,R                         ,C                       ,F                          ,R                    ,R                   ,R                      ,F                      ,F                   ,C              ,F                     ,R                    ,C                       ,C                     ,R                     ,R                                       ,F                   ,C                     ,R                    ,F                ,C                  ,F                  ,R                              ,R                     ,F                               ,R                       ,F                    ,F                  ,R                      ,                                   ,                          ,                 ,                                 ,                  ,                  ,                ,                    ,                         ,                      ,              ,                       ,                      ,                      ,                         ,                     ,                               ,                    ,             ,                                      ,                    ,                        ,                                    ,                              ,                                ,                 ,                      ,                 ,                      ,                                      ,                                 ,               ,                   ,                                  ,                              ,                     ,                       ,                                     ,                                     ,                     ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9 & pp10-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 842,B,  8,X,CC,   2.00,     48.7200,Hull     ,Radiolarians                                 ,               ,                  ,+                      ,+               ,                                              ,                    ,                     ,                       ,                          ,                          ,                        ,                           ,                     ,                    ,                       ,                       ,                    ,               ,                      ,                     ,                        ,                      ,                      ,                                        ,                    ,                      ,                     ,                 ,                   ,                   ,                               ,                      ,                                ,                        ,                     ,                   ,                       ,                                   ,                          ,                 ,                                 ,                  ,                  ,                ,                    ,                         ,                      ,              ,                       ,                      ,                      ,                         ,                     ,                               ,                    ,             ,                                      ,                    ,                        ,                                    ,                              ,                                ,                 ,                      ,                 ,                      ,                                      ,                                 ,               ,                   ,                                  ,                              ,                     ,                       ,                                     ,                                     ,                     ,from ODP Leg 136 SR Ch 1 pp 13-14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
