Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ulmus taxa,Tsuga taxa,Tilia taxa,Taxodiaceae taxa,Sphagnum taxa,Selaginella  taxa,Sciadopitys taxa,Quercus taxa,Pterocarya taxa,Polypodiaceae taxa,Pinus taxa,Picea taxa,Nyssa  taxa,Myrica taxa,Lycopodiaceae taxa,Liquidambar taxa,Larix type taxa,Juglans taxa,Ilex taxa,Gramineae taxa,Fagus taxa,Ericaceae taxa,Ephedra taxa,Cyperaceae taxa,Cryptomeria  taxa,Corylus taxa,Compositae taxa,Chenopodiaceae taxa,Celtis taxa,Carya taxa,Carpinus taxa,Betula taxa,Alnus taxa,Acer taxa,Abies taxa,Zelkova taxa,Quercus (evergreen) taxa,Quercus (deciduous)  taxa,Persicaria taxa,Pasania  taxa,Metasequoia  taxa,Engelhardia taxa,Castanea taxa,Larix taxa,Cupressaceae taxa,Aesculus  taxa,Dacrydium taxa,Carduoideae  taxa,Rhus taxa,Cichorioideae taxa,Artemisia taxa,Sparganium taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  1,H, 5,  58.00,      6.5800,Heusser  ,Pollen/Spores                                ,               ,                  ,4         ,9         ,0         ,6               ,             ,0                ,0               ,4           ,0              ,27                ,68        ,82        ,0          ,0          ,                  ,0               ,0              ,0           ,0        ,1             ,1         ,0             ,0           ,4              ,2                ,1           ,4              ,0                  ,0          ,0         ,0            ,7          ,2         ,0        ,6         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,Polypodiaceae is indicated as 27+; from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  2,H, 1,  62.00,      7.4200,Heusser  ,Pollen/Spores                                ,               ,                  ,1         ,2         ,0         ,7               ,3            ,0                ,0               ,9           ,0              ,22                ,159       ,21        ,0          ,0          ,0                 ,0               ,1              ,0           ,0        ,0             ,2         ,0             ,3           ,4              ,1                ,2           ,1              ,0                  ,0          ,0         ,0            ,2          ,2         ,1        ,8         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  2,H, 2,  62.00,      8.9200,Heusser  ,Pollen/Spores                                ,               ,                  ,1         ,0         ,0         ,16              ,0            ,0                ,0               ,6           ,1              ,8                 ,5         ,11        ,0          ,0          ,0                 ,0               ,1              ,2           ,0        ,0             ,1         ,0             ,1           ,1              ,101              ,2           ,17             ,2                  ,0          ,0         ,0            ,8          ,13        ,0        ,2         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  2,H, 3,  62.00,     10.4200,Heusser  ,Pollen/Spores                                ,               ,                  ,1         ,0         ,0         ,2               ,             ,0                ,2               ,7           ,1              ,36                ,25        ,87        ,0          ,0          ,                  ,1               ,3              ,0           ,0        ,0             ,0         ,0             ,0           ,0              ,77               ,2           ,12             ,2                  ,0          ,0         ,0            ,4          ,8         ,0        ,2         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,Polypodiaceae is indicated as 36+; Other Tertiary taxa = 1; from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  2,H, 4,  62.00,     11.9200,Heusser  ,Pollen/Spores                                ,               ,                  ,1         ,5         ,0         ,5               ,6            ,0                ,3               ,21          ,0              ,20                ,58        ,50        ,0          ,0          ,1                 ,0               ,6              ,3           ,0        ,1             ,3         ,0             ,0           ,1              ,4                ,7           ,2              ,1                  ,0          ,0         ,0            ,14         ,2         ,0        ,17        ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  2,H, 5,  62.00,     13.4200,Heusser  ,Pollen/Spores                                ,               ,                  ,2         ,1         ,0         ,5               ,1            ,0                ,0               ,2           ,0              ,4                 ,8         ,28        ,0          ,0          ,7                 ,0               ,0              ,0           ,0        ,1             ,0         ,0             ,0           ,2              ,10               ,0           ,17             ,2                  ,0          ,0         ,0            ,10         ,22        ,0        ,1         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  2,H, 6,  62.00,     14.9200,Heusser  ,Pollen/Spores                                ,               ,                  ,4         ,3         ,0         ,24              ,3            ,0                ,1               ,12          ,0              ,10                ,9         ,16        ,0          ,0          ,2                 ,1               ,0              ,0           ,0        ,3             ,0         ,0             ,1           ,8              ,99               ,1           ,11             ,1                  ,1          ,0         ,0            ,1          ,6         ,0        ,2         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  2,H, 7,  62.00,     16.4200,Heusser  ,Pollen/Spores                                ,               ,                  ,2         ,6         ,0         ,25              ,2            ,0                ,8               ,14          ,1              ,24                ,89        ,13        ,0          ,0          ,0                 ,0               ,1              ,0           ,0        ,2             ,3         ,0             ,0           ,4              ,19               ,2           ,3              ,1                  ,0          ,0         ,0            ,8          ,4         ,0        ,4         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  3,H, 1,  62.00,     16.9200,Heusser  ,Pollen/Spores                                ,               ,                  ,4         ,5         ,0         ,10              ,0            ,0                ,5               ,10          ,0              ,10                ,40        ,52        ,0          ,0          ,0                 ,1               ,1              ,1           ,0        ,1             ,5         ,0             ,0           ,4              ,37               ,2           ,14             ,1                  ,0          ,0         ,0            ,11         ,3         ,0        ,7         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  3,H, 2,  62.00,     18.4200,Heusser  ,Pollen/Spores                                ,               ,                  ,7         ,1         ,1         ,20              ,1            ,0                ,9               ,10          ,0              ,28                ,19        ,21        ,0          ,0          ,0                 ,0               ,1              ,0           ,0        ,0             ,4         ,0             ,2           ,8              ,82               ,0           ,9              ,2                  ,0          ,0         ,0            ,8          ,5         ,0        ,3         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  3,H, 3,  63.00,     19.9300,Heusser  ,Pollen/Spores                                ,               ,                  ,11        ,9         ,0         ,1               ,0            ,0                ,1               ,16          ,0              ,18                ,40        ,67        ,1          ,1          ,0                 ,1               ,1              ,1           ,0        ,0             ,0         ,0             ,0           ,11             ,2                ,2           ,30             ,3                  ,0          ,0         ,0            ,14         ,8         ,0        ,1         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  3,H, 4,  57.00,     21.3700,Heusser  ,Pollen/Spores                                ,               ,                  ,5         ,1         ,0         ,15              ,0            ,0                ,2               ,14          ,0              ,22                ,11        ,5         ,0          ,0          ,0                 ,0               ,2              ,0           ,0        ,1             ,2         ,0             ,1           ,2              ,146              ,3           ,8              ,1                  ,0          ,0         ,0            ,9          ,3         ,0        ,1         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  3,H, 6,  62.00,     24.4200,Heusser  ,Pollen/Spores                                ,               ,                  ,0         ,11        ,0         ,1               ,             ,0                ,2               ,4           ,0              ,20                ,100       ,66        ,0          ,0          ,6                 ,0               ,0              ,0           ,0        ,0             ,1         ,1             ,0           ,1              ,8                ,0           ,2              ,0                  ,0          ,0         ,0            ,1          ,0         ,0        ,6         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,Polypodiaceae is indicated as 20+; from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H, 1,  61.00,     26.4100,Heusser  ,Pollen/Spores                                ,               ,                  ,1         ,6         ,0         ,0               ,0            ,0                ,0               ,8           ,0              ,13                ,40        ,82        ,1          ,0          ,2                 ,0               ,14             ,0           ,0        ,2             ,1         ,0             ,2           ,16             ,3                ,1           ,22             ,0                  ,0          ,0         ,0            ,16         ,5         ,0        ,8         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H, 2,  61.00,     27.9100,Heusser  ,Pollen/Spores                                ,               ,                  ,4         ,3         ,0         ,4               ,0            ,0                ,0               ,23          ,0              ,6                 ,31        ,19        ,0          ,1          ,1                 ,0               ,0              ,0           ,0        ,3             ,3         ,1             ,0           ,9              ,2                ,2           ,52             ,3                  ,1          ,0         ,0            ,30         ,7         ,1        ,3         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H, 3,  62.00,     29.4200,Heusser  ,Pollen/Spores                                ,               ,                  ,9         ,8         ,0         ,11              ,0            ,0                ,1               ,16          ,0              ,12                ,27        ,23        ,0          ,0          ,2                 ,0               ,1              ,0           ,0        ,2             ,5         ,0             ,0           ,3              ,30               ,0           ,25             ,1                  ,1          ,0         ,0            ,28         ,17        ,2        ,5         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H, 4,  61.00,     30.9100,Heusser  ,Pollen/Spores                                ,               ,                  ,0         ,14        ,0         ,25              ,2            ,0                ,1               ,2           ,0              ,8                 ,54        ,102       ,0          ,0          ,1                 ,0               ,2              ,0           ,0        ,0             ,0         ,0             ,1           ,4              ,3                ,0           ,1              ,1                  ,0          ,0         ,0            ,0          ,0         ,0        ,5         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H, 5,  65.00,     32.4500,Heusser  ,Pollen/Spores                                ,               ,                  ,3         ,25        ,0         ,20              ,1            ,0                ,1               ,36          ,0              ,28                ,51        ,33        ,0          ,0          ,1                 ,0               ,13             ,2           ,0        ,1             ,6         ,0             ,0           ,17             ,14               ,1           ,5              ,0                  ,0          ,1         ,2            ,4          ,3         ,0        ,7         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H, 6,  62.00,     33.9200,Heusser  ,Pollen/Spores                                ,               ,                  ,8         ,9         ,0         ,7               ,0            ,0                ,1               ,38          ,0              ,15                ,43        ,27        ,0          ,2          ,0                 ,0               ,2              ,3           ,0        ,0             ,5         ,0             ,0           ,8              ,48               ,2           ,6              ,1                  ,0          ,0         ,0            ,10         ,2         ,0        ,4         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  4,H, 7,  61.00,     35.4100,Heusser  ,Pollen/Spores                                ,               ,                  ,4         ,5         ,1         ,4               ,0            ,0                ,0               ,11          ,0              ,10                ,32        ,124       ,0          ,0          ,5                 ,0               ,1              ,0           ,0        ,2             ,2         ,0             ,0           ,3              ,15               ,2           ,5              ,0                  ,1          ,0         ,1            ,2          ,5         ,0        ,3         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  5,H, 1,  63.00,     35.9300,Heusser  ,Pollen/Spores                                ,               ,                  ,10        ,4         ,0         ,18              ,0            ,0                ,1               ,44          ,0              ,12                ,37        ,10        ,0          ,0          ,0                 ,0               ,1              ,1           ,1        ,0             ,15        ,0             ,1           ,5              ,60               ,2           ,1              ,1                  ,1          ,0         ,0            ,10         ,1         ,0        ,3         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  5,H, 2,  65.00,     37.4500,Heusser  ,Pollen/Spores                                ,               ,                  ,3         ,5         ,0         ,11              ,0            ,0                ,2               ,7           ,0              ,42                ,44        ,53        ,0          ,0          ,2                 ,0               ,1              ,4           ,0        ,7             ,9         ,1             ,0           ,16             ,23               ,0           ,10             ,2                  ,0          ,0         ,0            ,5          ,2         ,0        ,11        ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  5,H, 3,  63.00,     38.9300,Heusser  ,Pollen/Spores                                ,               ,                  ,0         ,8         ,0         ,3               ,1            ,0                ,0               ,2           ,0              ,5                 ,63        ,124       ,0          ,0          ,7                 ,0               ,1              ,0           ,0        ,1             ,          ,0             ,0           ,1              ,5                ,0           ,2              ,0                  ,0          ,0         ,0            ,0          ,1         ,0        ,7         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  5,H, 5,  61.00,     41.9100,Heusser  ,Pollen/Spores                                ,               ,                  ,6         ,5         ,1         ,1               ,0            ,2                ,0               ,6           ,0              ,42                ,61        ,65        ,1          ,0          ,2                 ,1               ,2              ,1           ,0        ,1             ,4         ,0             ,0           ,16             ,5                ,1           ,14             ,1                  ,0          ,0         ,0            ,6          ,2         ,0        ,5         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  5,H, 6,  66.00,     43.4600,Heusser  ,Pollen/Spores                                ,               ,                  ,4         ,6         ,0         ,7               ,0            ,2                ,0               ,5           ,0              ,30                ,16        ,16        ,0          ,0          ,13                ,0               ,0              ,0           ,0        ,0             ,0         ,0             ,0           ,1              ,8                ,0           ,3              ,0                  ,0          ,0         ,0            ,6          ,1         ,0        ,4         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  6,H, 1,  61.00,     45.4100,Heusser  ,Pollen/Spores                                ,               ,                  ,1         ,9         ,0         ,3               ,0            ,2                ,1               ,8           ,0              ,46                ,84        ,27        ,0          ,0          ,6                 ,0               ,0              ,0           ,0        ,1             ,1         ,0             ,0           ,4              ,5                ,0           ,6              ,0                  ,0          ,0         ,0            ,10         ,1         ,0        ,4         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  6,H, 2,  61.00,     46.9100,Heusser  ,Pollen/Spores                                ,               ,                  ,7         ,12        ,0         ,38              ,0            ,0                ,2               ,12          ,0              ,20                ,70        ,9         ,0          ,1          ,0                 ,0               ,0              ,1           ,0        ,0             ,8         ,0             ,0           ,5              ,28               ,1           ,2              ,0                  ,1          ,0         ,0            ,5          ,3         ,0        ,2         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  6,H, 3,  69.00,     48.4900,Heusser  ,Pollen/Spores                                ,               ,                  ,2         ,7         ,0         ,2               ,1            ,1                ,0               ,6           ,0              ,18                ,72        ,109       ,1          ,0          ,4                 ,0               ,1              ,0           ,0        ,1             ,2         ,0             ,0           ,2              ,1                ,0           ,4              ,0                  ,0          ,0         ,0            ,1          ,1         ,0        ,7         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  7,H, 3,  62.00,     57.9200,Heusser  ,Pollen/Spores                                ,               ,                  ,10        ,18        ,1         ,3               ,1            ,0                ,1               ,24          ,0              ,38                ,50        ,37        ,0          ,0          ,0                 ,0               ,2              ,2           ,0        ,2             ,7         ,0             ,0           ,10             ,3                ,0           ,7              ,0                  ,0          ,0         ,0            ,16         ,3         ,0        ,13        ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  7,H, 4,  62.00,     59.4200,Heusser  ,Pollen/Spores                                ,               ,                  ,3         ,12        ,0         ,13              ,1            ,0                ,2               ,4           ,0              ,42                ,40        ,68        ,0          ,0          ,0                 ,0               ,2              ,1           ,0        ,1             ,0         ,0             ,1           ,8              ,3                ,0           ,9              ,1                  ,0          ,0         ,0            ,17         ,12        ,0        ,9         ,            ,                        ,                         ,               ,             ,                 ,                ,             ,          ,                 ,              ,              ,                 ,         ,                  ,              ,               ,from ODP Legs 127&128 Chapter 19 Appendix A back pocket
