Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Uvigerina sp. 4,Uvigerina sp. 3,Uvigerina elongata,Trifarina wilcoxensis,Stilostomella modesta,Stilostomella gracillima,Saracenaria spp.,Pullenia eocenica ?,Planulina sp.,Osangularia sp. 1,Oridorsalis umbonatus,Oolina spp.,Nonion havanensis,Nodosarella subcompacta,Melonis pompilioides,Marginulina spp.,Lenticulina spp.,Lagena spp.,Karreriella sp.,Hanzawaia sp. 1,Gyroidina soldanii,Globocassidulina punctata,Globocassidulina globosa,Gaudryina ? sp.,Dentalina spp.,Cibicidoides truncanus,Cibicidoides subspiratus,Cibicidoides sp. 1,Cibicidoides sp.,Cibicidoides eocaenus,Cibicidoides bradyi,Cibicidina walli,Bulimina tuxpamensis,Bulimina trinitatensis,Bulimina macilenta,Anomalinoides semicribratus,Alabamina dissonata,Vulvulina spinosa,Uvigerina resurgens,Trifarina sp.,Stilostomella aculeata,Ramulina globulifera,Pullenia spp.,Pullenia quinqueloba,Pullenia eocaenica,Polymorphina unspecified taxon,Planulina sp. 1,Planulina costata,Orthomorphina antillea,Nodosaria spp.,Nodosaria limbata,Karreriella subglabra,Guttulina problema,Globocassidulina spp.,Globocassidulina sp. 1,Fissurina sp.,Dentalina vertebralis,Clavulina sp.,Cibicidoides sp. 3,Cibicides cf. aknerianus,Bulimina sp.,Bulimina cf. tuxpamensis,Vulvulina mexicana,Stilostomella subspinosa,Pleurostomella ? sp.,Orthomorphina challengeriana,Nonionella(?) sp.  ,Aragonia sp.,Vaginulina spp.,Uvigerina graciliformis,Trifarina bradyi,Stilostomella lepidula,Stilostomella cf. annulifera,Sphaeroidina cf. bulloides,Rectuvigerina striata,Pullenia subcarinata,Pullenia bulloides,Planulina renzi,Nonion spp.,Nodosarella spp.,Marginulinopsis spp.,Karreriella bradyi,Heronallenina sp. A,Gyroidina orbicularis,Gyroidina lamarckiana,Guttulina spp.,Fissurina spp.,Cibicidoides spp.,Cibicidoides cf. mundulus,Cibicides ? sp.,Bulimina cf. mexicana,Astrononion stelligerum,Valvulina spinosa,Uvigerina proboscidea,Uvigerina mexicana,Textularia flintii,Siphonina pozonensis,Pleurostomella alternans,Osangularia mexicana,Orthomorphina himerensis,Orthomorphina aff. antillea,Nuttallides umbonifera,Martinottiella scabra,Laticarinina pauperata,Globocassidulina alternans,Dentalina spp.,Burseolina pacifica,Bulimina mexicana,Bulimina impendens,Bulimina cf. thalmanni,Sphaeroidina bulloides,Saracenaria latifrons,Pleurostomella acuminata,Orthomorphina richardsi,Marginulina sp. 2,Epistominella sp. A,Dentalina communis,Burseolina cf. pacifica,Bulimina sp. indet.,Brizalina petterssoni,Amphicoryna scalaris,Pleurostomella bierigi,Plectofrondicularia spp.,Nodosaria sp.,Dyocibicides spp.,Pseudonodosaria sp. A,Orthomorphina modesta,Kyphopyxa sp. A,Fursenkoina sp. B,Eggerella bradyi,Cibicidoides mundulus,Valvulineria laevigata,Rectuvigerina sp. A,Orthomorphina spp.,Globocassidulina cf. havanensis,Dentalina hircicornua,Bulimina rostrata,Brizalina albatrossi,Anomalinoides flintii,Vaginulina legumen,Textularia sp. A,Textularia halkyardi,Orthomorphina glandigena,Nodosaria pyrula,Marginulina sp. B,Marginulina sp. A,Globocassidulina sp. E,Globobulimina spp.,Eggerella sp.,Pullenia osloensis,Pullenia cf. subcarinata,Pleurostomella sp. B,Globocassidulina crassa,Cibicidoides dutemplei,Bolivinopsis cubensis,Astrononion echolsi,Paracassidulina neocarinata,Neoconorbina sp. A,Gaudryina spp.,Cibicidoides grosseperforatus,Textularia milletti,Parafissurina spp.,Gavelinopsis lobatulus,Nonion affine,Globocassidulina havanensis,Fursenkoina spp.,Astrononion sp. indet.,Uvigerina schencki,Planulina wuellerstorfi,Gyroidina laevigata,Dentalina cf. hircicornua,Pleurostomella sp. A,Uvigerina peregrina,Spiroplectammina sp. A,Epistominella cf. umbonifera,Astrononion cf. echolsi,Anomalinoides globulosus,Valvulineria spp.,Trifarina sp. A,Saracenaria latifrons jamaicensis,Globocassidulina reflexa,Cibicidoides robertsonianus,Cibicidoides herricki,Pseudonodosaria laevigata,Nodosaria cf. pyrula,Pleurostomella sp.,Gyroidina cf. G. lamarckiana,Globocassidulina decorata,Stilostomella annulifera,Pleurostomella spp.,Cibicides lobatulus,Nodosarella pacifica,Uvigerina hispida,Orthomorphina columnaris,Uvigerina sp. A,Spiroplectammina spp.,Dentalina sp. A,Quinqueloculina sp.,Ophthalmidium oxfordianum,Globocassidulina sp. B,Epistominella exigua,Ehrenbergina carinata,Bolivina pseudoplicata,Burseolina sp. A,Brizalina cf. B. pacifica,Fursenkoina squammosa,Uvigerina miozea,Globocassidulina sp. indet.,Dentalina intorta,Anomalinoides sp. A,Cibicidoides pachyderma,Uvigerina striatula,Pleurostomella acuta,Paracassidulina spp.,Brizalina silvestrina,Paracassidulina sulcata,Ehrenbergina spp.,Brizalina sp.,Textularia spp.,Paracassidulina minuta,Comment
  SR,                 ,                 ,                  ,              ,121, 754,A, 10,H, 5,  70.00,     89.9000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,              ,               ,               ,                  ,                     ,                     ,                        ,                ,                   ,             ,                 ,17                   ,2          ,                 ,                       ,                    ,3               ,17              ,2          ,               ,               ,10                ,                         ,                        ,               ,              ,                      ,                        ,                  ,                ,                     ,                   ,                ,                    ,                      ,                  ,11                         ,                   ,                 ,                   ,             ,5                     ,                    ,             ,5                   ,                  ,                              ,               ,6                ,                      ,              ,                 ,                     ,                  ,1                    ,                      ,             ,                     ,             ,                  ,                        ,1           ,                        ,                  ,7                       ,                    ,1                           ,                   ,            ,               ,                       ,                ,11                    ,1                           ,                          ,15                   ,                    ,4                 ,11             ,           ,                ,1                   ,4                 ,5                  ,                     ,5                    ,              ,5             ,                 ,                         ,               ,                     ,                       ,18               ,4                    ,                  ,                  ,                    ,                        ,7                   ,                        ,12                         ,                      ,                     ,                      ,                          ,              ,19                 ,                 ,                  ,                      ,4                     ,1                    ,                        ,2                      ,                 ,                   ,2                 ,43                     ,                   ,                     ,3                   ,                      ,                        ,             ,                 ,                     ,1                    ,               ,                 ,                ,56                   ,5                     ,                   ,                  ,1                              ,                     ,2                ,8                   ,                     ,                  ,                ,1                   ,                        ,                ,                 ,                 ,                      ,                  ,             ,4                 ,3                       ,1                   ,1                      ,2                     ,1                    ,1                  ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 366  Calcareous misc. 1 Agglutinated misc. 13 from ODP Leg 121 SR Chapter 2 Table 1 p 34-39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 754,A, 11,H, 1,  70.00,     93.6000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,              ,               ,               ,                  ,                     ,                     ,                        ,                ,                   ,             ,                 ,14                   ,2          ,                 ,                       ,                    ,                ,31              ,5          ,               ,               ,9                 ,                         ,                        ,               ,              ,                      ,                        ,                  ,                ,                     ,                   ,                ,2                   ,                      ,                  ,2                          ,                   ,                 ,                   ,1            ,                      ,                    ,             ,3                   ,                  ,                              ,               ,9                ,                      ,              ,                 ,                     ,                  ,2                    ,                      ,             ,                     ,             ,                  ,                        ,2           ,                        ,                  ,3                       ,                    ,                            ,                   ,            ,               ,                       ,                ,                      ,                            ,                          ,14                   ,4                   ,22                ,6              ,           ,                ,5                   ,1                 ,2                  ,                     ,                     ,              ,              ,16               ,                         ,               ,                     ,                       ,3                ,                     ,                  ,                  ,                    ,1                       ,4                   ,1                       ,4                          ,12                    ,                     ,3                     ,                          ,1             ,12                 ,                 ,                  ,                      ,13                    ,1                    ,1                       ,1                      ,                 ,                   ,4                 ,59                     ,                   ,                     ,2                   ,                      ,                        ,             ,                 ,                     ,                     ,               ,                 ,                ,34                   ,                      ,                   ,                  ,                               ,                     ,                 ,4                   ,                     ,1                 ,1               ,1                   ,1                       ,1               ,3                ,2                ,3                     ,1                 ,2            ,                  ,                        ,                    ,                       ,                      ,                     ,                   ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 341  Calcareous misc. 4 Agglutinated misc. 6 from ODP Leg 121 SR Chapter 2 Table 1 p 34-39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 754,A, 11,H, 5,  70.00,     99.6000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1             ,               ,               ,                  ,                     ,                     ,                        ,                ,                   ,             ,                 ,5                    ,1          ,                 ,                       ,                    ,3               ,20              ,11         ,               ,               ,7                 ,                         ,                        ,               ,              ,                      ,                        ,                  ,                ,                     ,                   ,                ,14                  ,                      ,                  ,1                          ,                   ,                 ,                   ,             ,                      ,                    ,             ,3                   ,                  ,                              ,               ,5                ,                      ,              ,                 ,                     ,                  ,12                   ,                      ,             ,                     ,             ,                  ,                        ,            ,                        ,                  ,8                       ,                    ,                            ,                   ,            ,               ,                       ,                ,12                    ,6                           ,                          ,                     ,4                   ,14                ,3              ,           ,                ,3                   ,3                 ,4                  ,                     ,                     ,              ,3             ,7                ,                         ,               ,                     ,1                      ,3                ,                     ,                  ,                  ,                    ,1                       ,8                   ,                        ,2                          ,10                    ,1                    ,4                     ,                          ,4             ,                   ,                 ,                  ,                      ,10                    ,                     ,                        ,2                      ,                 ,                   ,4                 ,21                     ,                   ,                     ,                    ,                      ,                        ,             ,                 ,                     ,                     ,               ,                 ,                ,43                   ,2                     ,1                  ,1                 ,2                              ,1                    ,5                ,1                   ,7                    ,                  ,                ,                    ,                        ,                ,                 ,                 ,                      ,                  ,             ,                  ,                        ,                    ,                       ,                      ,                     ,                   ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 291  Calcareous misc. 1 Agglutinated misc. 6 from ODP Leg 121 SR Chapter 2 Table 1 p 34-39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 754,A, 12,H, 1,  70.00,    103.3000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,              ,               ,               ,                  ,                     ,                     ,                        ,1               ,                   ,             ,                 ,1                    ,1          ,                 ,                       ,                    ,                ,21              ,1          ,               ,               ,4                 ,                         ,                        ,               ,              ,                      ,                        ,                  ,                ,                     ,                   ,                ,28                  ,                      ,                  ,                           ,                   ,                 ,                   ,             ,                      ,                    ,             ,3                   ,                  ,                              ,               ,9                ,                      ,              ,                 ,                     ,                  ,23                   ,                      ,             ,                     ,             ,                  ,                        ,            ,                        ,                  ,2                       ,                    ,2                           ,                   ,            ,               ,5                      ,                ,9                     ,3                           ,                          ,1                    ,4                   ,19                ,3              ,           ,2               ,1                   ,2                 ,2                  ,                     ,1                    ,              ,2             ,2                ,                         ,2              ,                     ,2                      ,1                ,                     ,                  ,                  ,                    ,1                       ,3                   ,1                       ,                           ,                      ,                     ,3                     ,                          ,1             ,                   ,                 ,3                 ,                      ,9                     ,                     ,                        ,                       ,                 ,                   ,2                 ,                       ,                   ,                     ,2                   ,                      ,                        ,             ,4                ,1                    ,1                    ,1              ,3                ,1               ,4                    ,                      ,                   ,                  ,                               ,                     ,                 ,                    ,                     ,                  ,                ,                    ,                        ,                ,                 ,                 ,                      ,                  ,             ,                  ,                        ,                    ,                       ,                      ,                     ,                   ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 197  from ODP Leg 121 SR Chapter 2 Table 1 p 34-39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 754,A, 12,H, 3,  70.00,    106.3000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,              ,               ,               ,                  ,                     ,                     ,                        ,                ,                   ,             ,                 ,14                   ,1          ,                 ,                       ,                    ,                ,44              ,9          ,               ,               ,6                 ,                         ,                        ,               ,              ,                      ,                        ,                  ,                ,                     ,                   ,                ,55                  ,                      ,                  ,1                          ,                   ,                 ,                   ,2            ,1                     ,                    ,             ,11                  ,                  ,                              ,               ,7                ,                      ,1             ,                 ,                     ,                  ,51                   ,                      ,             ,                     ,             ,                  ,                        ,            ,                        ,                  ,6                       ,                    ,8                           ,                   ,            ,               ,17                     ,                ,6                     ,10                          ,                          ,                     ,8                   ,7                 ,3              ,           ,                ,3                   ,3                 ,3                  ,                     ,                     ,              ,1             ,20               ,31                       ,               ,                     ,1                      ,11               ,                     ,                  ,                  ,                    ,                        ,5                   ,1                       ,                           ,                      ,1                    ,2                     ,                          ,1             ,2                  ,                 ,11                ,                      ,35                    ,2                    ,                        ,                       ,                 ,                   ,3                 ,13                     ,                   ,3                    ,6                   ,1                     ,1                       ,2            ,11               ,                     ,                     ,               ,                 ,                ,                     ,                      ,                   ,                  ,                               ,                     ,                 ,                    ,                     ,                  ,                ,                    ,                        ,                ,                 ,                 ,                      ,                  ,             ,                  ,                        ,                    ,                       ,                      ,                     ,                   ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 449 Calcareous misc. 3 Agglutinated misc. 5 from ODP Leg 121 SR Chapter 2 Table 1 p 34-39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 754,A, 12,H, 5,  70.00,    109.3000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,              ,               ,               ,                  ,                     ,                     ,                        ,                ,                   ,             ,                 ,18                   ,2          ,                 ,                       ,                    ,1               ,34              ,2          ,               ,               ,4                 ,                         ,                        ,               ,              ,                      ,                        ,                  ,                ,                     ,                   ,                ,1                   ,                      ,                  ,                           ,                   ,                 ,                   ,             ,                      ,                    ,             ,6                   ,                  ,                              ,               ,2                ,                      ,              ,                 ,                     ,                  ,15                   ,                      ,             ,                     ,             ,                  ,                        ,            ,1                       ,                  ,3                       ,                    ,2                           ,                   ,            ,1              ,3                      ,                ,7                     ,8                           ,                          ,                     ,1                   ,8                 ,2              ,           ,1               ,                    ,5                 ,2                  ,                     ,                     ,              ,1             ,5                ,16                       ,31             ,                     ,                       ,4                ,1                    ,                  ,1                 ,                    ,                        ,7                   ,2                       ,                           ,10                    ,                     ,6                     ,                          ,4             ,                   ,                 ,1                 ,                      ,15                    ,8                    ,4                       ,1                      ,2                ,1                  ,3                 ,8                      ,1                  ,3                    ,3                   ,                      ,                        ,             ,                 ,                     ,                     ,               ,                 ,                ,                     ,                      ,                   ,                  ,                               ,                     ,                 ,                    ,                     ,                  ,                ,                    ,                        ,                ,                 ,                 ,                      ,                  ,             ,                  ,                        ,                    ,                       ,                      ,                     ,                   ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 276  Calcareous misc. 3 Agglutinated misc. 6 from ODP Leg 121 SR Chapter 2 Table 1 p 34-39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 754,A, 13,X, 1,  70.00,    113.0000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,              ,               ,               ,                  ,                     ,                     ,                        ,1               ,                   ,             ,                 ,24                   ,3          ,                 ,                       ,                    ,1               ,30              ,5          ,               ,               ,15                ,                         ,                        ,               ,              ,                      ,                        ,                  ,                ,                     ,                   ,                ,40                  ,                      ,                  ,                           ,                   ,                 ,                   ,             ,1                     ,                    ,             ,                    ,                  ,                              ,               ,                 ,                      ,              ,                 ,                     ,                  ,176                  ,                      ,             ,                     ,             ,                  ,                        ,            ,                        ,                  ,                        ,                    ,4                           ,                   ,            ,               ,                       ,3               ,1                     ,16                          ,19                        ,8                    ,3                   ,104               ,1              ,           ,1               ,                    ,                  ,5                  ,                     ,2                    ,              ,8             ,14               ,87                       ,25             ,                     ,                       ,1                ,1                    ,3                 ,3                 ,18                  ,1                       ,2                   ,3                       ,1                          ,1                     ,1                    ,5                     ,1                         ,2             ,1                  ,4                ,6                 ,1                     ,                      ,                     ,                        ,                       ,                 ,                   ,                  ,                       ,                   ,                     ,                    ,                      ,                        ,             ,                 ,                     ,                     ,               ,                 ,                ,                     ,                      ,                   ,                  ,                               ,                     ,                 ,                    ,                     ,                  ,                ,                    ,                        ,                ,                 ,                 ,                      ,                  ,             ,                  ,                        ,                    ,                       ,                      ,                     ,                   ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 656  Calcareous misc. 4 from ODP Leg 121 SR Chapter 2 Table 1 p 34-39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 754,A, 13,X, 3,  70.00,    116.0000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,              ,               ,               ,                  ,                     ,                     ,                        ,                ,                   ,             ,                 ,10                   ,1          ,                 ,                       ,                    ,1               ,14              ,1          ,               ,               ,10                ,                         ,                        ,               ,              ,                      ,                        ,                  ,                ,                     ,                   ,                ,26                  ,                      ,                  ,1                          ,                   ,                 ,                   ,             ,                      ,                    ,             ,                    ,                  ,                              ,               ,                 ,                      ,              ,                 ,                     ,                  ,71                   ,                      ,             ,                     ,             ,                  ,                        ,            ,                        ,                  ,                        ,                    ,                            ,                   ,            ,1              ,10                     ,1               ,2                     ,2                           ,6                         ,2                    ,3                   ,33                ,2              ,3          ,2               ,1                   ,5                 ,1                  ,1                    ,3                    ,4             ,4             ,3                ,30                       ,3              ,1                    ,1                      ,                 ,                     ,                  ,                  ,                    ,                        ,                    ,                        ,                           ,                      ,                     ,                      ,                          ,              ,                   ,                 ,                  ,                      ,                      ,                     ,                        ,                       ,                 ,                   ,                  ,                       ,                   ,                     ,                    ,                      ,                        ,             ,                 ,                     ,                     ,               ,                 ,                ,                     ,                      ,                   ,                  ,                               ,                     ,                 ,                    ,                     ,                  ,                ,                    ,                        ,                ,                 ,                 ,                      ,                  ,             ,                  ,                        ,                    ,                       ,                      ,                     ,                   ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 259  Calcareous misc. 2 from ODP Leg 121 SR Chapter 2 Table 1 p 34-39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 754,A, 14,X, 1,  16.00,    122.1600,Nomura   ,Benthic Foraminifers                         ,               ,                  ,2             ,               ,               ,                  ,                     ,                     ,5                       ,                ,                   ,             ,6                ,13                   ,           ,8                ,                       ,                    ,                ,10              ,4          ,               ,               ,5                 ,                         ,7                       ,               ,              ,3                     ,1                       ,2                 ,7               ,                     ,11                 ,                ,1                   ,1                     ,1                 ,                           ,                   ,                 ,42                 ,             ,                      ,                    ,6            ,                    ,2                 ,1                             ,               ,9                ,2                     ,2             ,                 ,2                    ,1                 ,                     ,1                     ,1            ,                     ,             ,1                 ,2                       ,            ,                        ,1                 ,1                       ,1                   ,1                           ,1                  ,2           ,               ,                       ,                ,                      ,                            ,                          ,                     ,                    ,                  ,               ,           ,                ,                    ,                  ,                   ,                     ,                     ,              ,              ,                 ,                         ,               ,                     ,                       ,                 ,                     ,                  ,                  ,                    ,                        ,                    ,                        ,                           ,                      ,                     ,                      ,                          ,              ,                   ,                 ,                  ,                      ,                      ,                     ,                        ,                       ,                 ,                   ,                  ,                       ,                   ,                     ,                    ,                      ,                        ,             ,                 ,                     ,                     ,               ,                 ,                ,                     ,                      ,                   ,                  ,                               ,                     ,                 ,                    ,                     ,                  ,                ,                    ,                        ,                ,                 ,                 ,                      ,                  ,             ,                  ,                        ,                    ,                       ,                      ,                     ,                   ,                           ,                  ,              ,                             ,                   ,                  ,                      ,             ,                           ,                ,                      ,                  ,                       ,                   ,                         ,                    ,                   ,                      ,                            ,                       ,                        ,                 ,               ,                                 ,                        ,                           ,                     ,                         ,                    ,                  ,                            ,                         ,                        ,                   ,                   ,                    ,                 ,                        ,               ,                     ,               ,                   ,                         ,                      ,                    ,                     ,                      ,                ,                         ,                     ,                ,                           ,                 ,                   ,                       ,                   ,                    ,                    ,                     ,                       ,                 ,             ,               ,                      ,Total number of specimens 170 from ODP Leg 121 SR Chapter 1 Table 3 p 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
