Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Actinocyclus oculatus,Simonseniella curvirostris,Nitzschia reinholdii,Neodenticula seminae,Rhizosolenia barboi,Epithemia sp.,Coscinodiscus marginatus,Cocconeis costata,Biddulphia aurita,Pseudoeunotia doliolus,Paralia sulcata,Rhaphoneis sp.,Navicula sp.,Actinocyclus curvatulus,Thalassiosira eccentrica,Aulacosira granulata,Actinoptychus senarius,Hyalodiscus sp.,Actinocyclus lanceolatus,Thalassiosira oestrupii,Cymbella sp.,Cocconeis placentula,Thalassiosira nidulus,Thalassionema nitzschioides,Eunotia sp.,Stephanodiscus astraea,Thalassiothrix longissima,Thalassiosira sp.,Comment
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1019,C,  5,H,CC,  33.00,     47.0700,Maruyama ,Diatoms                                      ,F              ,P                 ,R                   ,                     ,                          ,                    ,F                   ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,T                       ,T                   ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C,  6,H,CC,  68.00,     55.9100,Maruyama ,Diatoms                                      ,A              ,P/M               ,F                   ,                     ,R                         ,                    ,C                   ,                   ,             ,                        ,                 ,                 ,R                     ,               ,              ,            ,R                      ,                        ,                    ,R                     ,               ,                        ,R                      ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C,  7,H,CC,  38.00,     66.5800,Maruyama ,Diatoms                                      ,C              ,P/M               ,A                   ,                     ,R                         ,                    ,C                   ,                   ,R            ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,R                       ,                    ,R                     ,               ,                        ,                       ,            ,                    ,                     ,F                          ,R          ,R                     ,F                        ,                 ,rare resting spores. from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C,  8,H,CC,  36.00,     75.8700,Maruyama ,Diatoms                                      ,A              ,M/G               ,C                   ,                     ,R                         ,                    ,A                   ,R                  ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,R                     ,                         ,                 ,rare resting spores. from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C,  9,X,CC,  26.00,     82.4000,Maruyama ,Diatoms                                      ,R              ,M/G               ,R                   ,                     ,                          ,                    ,F                   ,                   ,             ,                        ,                 ,                 ,R                     ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 10,X,CC,  38.00,     92.7200,Maruyama ,Diatoms                                      ,C              ,M/G               ,C                   ,R                    ,R                         ,                    ,C                   ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,R                   ,                      ,               ,                        ,                       ,            ,                    ,R                    ,R                          ,R          ,                      ,                         ,                 ,few resting spores. from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 11,X,CC,  14.00,    103.6200,Maruyama ,Diatoms                                      ,A              ,M/G               ,C                   ,                     ,R                         ,R                   ,A                   ,                   ,             ,                        ,                 ,                 ,R                     ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,R                      ,R           ,R                   ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 12,X,CC,  13.00,    111.1900,Maruyama ,Diatoms                                      ,R              ,P                 ,R                   ,                     ,                          ,                    ,R                   ,                   ,             ,                        ,                 ,                 ,R                     ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 13,X,CC,  45.00,    118.5400,Maruyama ,Diatoms                                      ,R              ,P                 ,C                   ,                     ,                          ,                    ,R                   ,R                  ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,R                       ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 14,X,CC,  27.00,    128.2000,Maruyama ,Diatoms                                      ,F              ,P                 ,C                   ,                     ,                          ,                    ,R                   ,R                  ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,R                   ,R                     ,R              ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 15,X,CC,  13.00,    141.0700,Maruyama ,Diatoms                                      ,R              ,P                 ,A                   ,                     ,R                         ,                    ,                    ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 16,X,CC,  32.00,    149.3900,Maruyama ,Diatoms                                      ,A              ,M                 ,F                   ,                     ,                          ,                    ,A                   ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,R                   ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 17,X,CC,  27.00,    158.4500,Maruyama ,Diatoms                                      ,C              ,M                 ,F                   ,                     ,                          ,R                   ,C                   ,R                  ,             ,                        ,                 ,                 ,                      ,R              ,              ,            ,                       ,                        ,                    ,R                     ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 18,X,CC,  87.00,    168.6700,Maruyama ,Diatoms                                      ,A              ,M                 ,C                   ,                     ,R                         ,R                   ,A                   ,                   ,             ,                        ,                 ,                 ,                      ,R              ,              ,            ,                       ,R                       ,R                   ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,common resting spores. from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 19,X,CC,  40.00,    177.1600,Maruyama ,Diatoms                                      ,F              ,M                 ,C                   ,                     ,                          ,                    ,R                   ,                   ,             ,                        ,                 ,                 ,                      ,               ,R             ,R           ,R                      ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 20,X,CC,  42.00,    186.1800,Maruyama ,Diatoms                                      ,F              ,M                 ,C                   ,                     ,                          ,                    ,R                   ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 21,X,CC,  30.00,    199.4300,Maruyama ,Diatoms                                      ,C              ,M/G               ,C                   ,                     ,R                         ,                    ,C                   ,                   ,             ,R                       ,                 ,                 ,T                     ,R              ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,few resting spores. from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 22,X,CC,  27.00,    208.9400,Maruyama ,Diatoms                                      ,F              ,P                 ,F                   ,                     ,                          ,                    ,R                   ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 23,X,CC,  75.00,    215.3200,Maruyama ,Diatoms                                      ,C              ,M                 ,A                   ,                     ,R                         ,                    ,F                   ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 24,X,CC,  24.00,    224.4900,Maruyama ,Diatoms                                      ,C              ,P/M               ,A                   ,                     ,R                         ,                    ,A                   ,R                  ,R            ,F                       ,R                ,R                ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,rare resting spores. from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 25,X,CC,  37.00,    237.2400,Maruyama ,Diatoms                                      ,C              ,M/G               ,C                   ,                     ,R                         ,R                   ,A                   ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1019,C, 26,X,CC,  38.00,    247.2700,Maruyama ,Diatoms                                      ,R              ,P                 ,F                   ,T                    ,                          ,                    ,                    ,                   ,             ,                        ,                 ,                 ,                      ,               ,              ,            ,                       ,                        ,                    ,                      ,               ,                        ,                       ,            ,                    ,                     ,                           ,           ,                      ,                         ,                 ,from IR. Ch 13. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
