Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Menardella miocenica	Hirsutella hirsuta	Globoturborotalita woodi	Globigerinoides extremus	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens	Globigerinoides obliquus	Dentoglobigerina altispira	Globoquadrina venezuelana	Globoconella puncticulata	Neogloboquadrina pachyderma	Globoturborotalita rubescens	Globoconella inflata	Globoturborotalita apertura	Globigerina bulloides	Truncorotalia crassaformis hessi	Globigerina quinqueloba	Pulleniatina obliquiloculata	Truncorotalia crassula	Truncorotalia truncatulinoides (dex.)	Sphaeroidinellopsis seminulina	Truncorotalia truncatulinoides (sin.)	Globorotalia tumida	Menardella menardii (sinistral)	Globorotalia tumida flexuosa	Truncorotalia tosaensis	Comment
  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	 32	X	CC	  50.00	    293.5200	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                    	R                 	                        	                        	F                      	                                  	R                        	R                       	                          	                         	                         	R                          	                            	F                   	                           	F                    	                                	                       	                            	R                     	                                     	                              	                                     	                   	                               	                            	                       	no truncat  >2.0 Ma

  IR	                 	                 	                  	              	172	1063	A	 33	X	 1	  70.00	    294.5000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 33	X	 2	  70.00	    296.0000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 33	X	 3	  70.00	    297.5000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	 33	X	CC	  34.00	    303.3700	Chaisson 	Planktonic Foraminifers                      	F              	M                 	F                         	                    	R                 	R                       	                        	F                      	                                  	R                        	                        	                          	                         	                         	R                          	R                           	F                   	                           	F                    	                                	                       	                            	R                     	                                     	                              	                                     	                   	                               	                            	                       	pyrite burrows > 2.0 Ma< 2.09 Ma

  IR	                 	                 	                  	              	172	1063	A	 34	X	 1	  69.00	    304.1900	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Late Pliocene    	                  	              	172	1063	A	 34	X	 2	  70.00	    305.7000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	+                 	+                       	                        	                       	                                  	                         	+                       	                          	                         	                         	                           	                            	+                   	                           	+                    	                                	                       	+                           	                      	                                     	                              	                                     	                   	                               	                            	                       	2 inflata

  IR	                 	Late Pliocene    	                  	              	172	1063	A	 34	X	 3	  73.00	    307.2300	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	+                           	                      	                                     	                              	                                     	                   	                               	                            	                       	no inflata

  IR	                 	                 	                  	              	172	1063	A	 34	X	 4	  74.00	    308.7400	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	+                       	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	 34	X	CC	  61.00	    313.1100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	                    	                  	                        	1                       	F                      	                                  	R                        	                        	                          	                         	                         	                           	R                           	                    	                           	R                    	                                	                       	R                           	                      	                                     	                              	                                     	                   	                               	                            	                       	pyrite burrows

  IR	                 	                 	                  	              	172	1063	A	 35	X	 1	  79.00	    313.8900	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	+                        	                        	                          	                         	                         	+                          	                            	                    	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 35	X	 3	  70.00	    316.8000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	                    	                  	R                       	                        	F                      	                                  	                         	                        	                          	                         	                         	R                          	R                           	                    	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no miocenica no obliquiloculata

  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	 35	X	 4	  69.00	    318.2900	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	2                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 35	X	 5	  69.00	    319.7900	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	+                 	+                       	                        	                       	                                  	                         	                        	                          	+                        	                         	+                          	+                           	                    	                           	                     	                                	+                      	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	small transparent globorotaliids no miocenica

  IR	                 	                 	                  	              	172	1063	A	 35	X	 6	  70.00	    321.3000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no miocenica no Pulleniatina

  IR	                 	Late Pliocene    	                  	N21           	172	1063	A	 35	X	CC	   9.00	    322.6400	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	                    	R                 	                        	                        	R                      	                                  	R                        	                        	                          	                         	                         	                           	                            	1                   	                           	R                    	R                               	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	pyritized mud chunks

  IR	                 	                 	                  	              	172	1063	A	 36	X	 1	  70.00	    323.3000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no miocenica found

  IR	                 	                 	                  	              	172	1063	A	 36	X	 2	  70.00	    324.8000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	+                       	                        	                       	                                  	                         	                        	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 36	X	 4	  67.00	    327.7700	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	+                 	+                       	                        	                       	                                  	                         	                        	                          	                         	                         	                           	+                           	                    	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	                  	N21           	172	1063	A	 36	X	 5	  70.00	    329.3000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	+                       	                        	                       	                                  	                         	                        	                          	                         	+                        	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	                  	N21           	172	1063	A	 36	X	 6	  72.00	    330.8200	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	+                        	                           	                            	                    	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1063	A	 36	X	CC	  31.00	    331.4400	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                   	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1063	A	 37	X	CC	   0.00	    341.4500	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                   	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	+                           	+                   	                           	+                    	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 38	X	CC	  28.00	    349.2000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	1 ostracode

  IR	                 	                 	                  	              	172	1063	A	 40	X	CC	  20.00	    369.3200	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	N20               	N21           	172	1063	A	 41	X	 1	  70.00	    371.0000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	+                        	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	N20               	N21           	172	1063	A	 41	X	 2	  82.00	    372.6200	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	+                       	                        	+                      	                                  	                         	                        	                          	                         	+                        	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 41	X	 3	  70.00	    374.0000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	+                          	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	N20               	N21           	172	1063	A	 41	X	CC	  30.00	    375.5600	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                         	                    	                  	+                       	+                       	                       	                                  	                         	+                       	                          	                         	+                        	                           	                            	+                   	+                          	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	ostracodes no altispira <3.12 Ma

  IR	                 	                 	                  	              	172	1063	A	 42	X	 1	  70.00	    380.6000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	 42	X	 2	  70.00	    382.1000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	                        	+                         	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	N20               	N21           	172	1063	A	 42	X	 4	  70.00	    385.1000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	+                       	                        	                       	                                  	                         	                        	                          	                         	+                        	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 42	X	CC	  23.00	    387.1000	Chaisson 	Planktonic Foraminifers                      	F              	P                 	+                         	                    	+                 	                        	                        	                       	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	ostracodes

  IR	                 	                 	                  	              	172	1063	A	 43	X	 1	  71.00	    390.2100	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	+                       	+                      	                                  	                         	                        	                          	                         	                         	                           	+                           	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 43	X	 2	  70.00	    391.7000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                    	                  	                        	                        	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	                 	                  	              	172	1063	A	 43	X	 3	  70.00	    393.2000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	                         	+                       	                          	                         	                         	                           	+                           	+                   	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no altispira

  IR	Middle Pliocene  	Late Pliocene    	                  	              	172	1063	A	 43	X	 4	  70.00	    394.7000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	                        	                        	                       	                                  	+                        	+                       	                          	                         	                         	+                          	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	no altispira

  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	 43	X	 5	  70.00	    396.2000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	                  	+                       	                        	                       	                                  	                         	                        	+                         	+                        	+                        	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	 43	X	CC	   0.00	    398.7800	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                    	                  	                        	                        	                       	                                  	                         	                        	R                         	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	plastic and pyrite

  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	 44	X	CC	  11.00	    408.5300	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                    	+                 	+                       	                        	                       	+                                 	+                        	+                       	+                         	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	       

  IR	                 	Middle Pliocene  	                  	N20           	172	1063	A	 45	X	CC	  31.00	    418.2900	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                   	+                 	+                       	+                       	+                      	                                  	                         	                        	                          	                         	                         	                           	                            	                    	                           	                     	                                	                       	                            	                      	                                     	                              	                                     	                   	                               	                            	                       	Bottom of hole in N20; >3.11 Ma

