Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 µm),Calcidiscus macintyrei,Gephyrocapsa (>5.5 µm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus (acutus),Ceratolithus atlanticus,Ceratolithus cristatus (rugosus),Clausicoccus fenestratus (subdist),Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus   (>7µm),Reticulofenestra pseudoumbilicus  (5-7µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,small Gephyrocapsa (<4µm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,File Data,,eodp_id
342-U1405A-5H-CC-PAL,342,U1405,A,5,5-CC,H,CC,PAL,,0,5,44.62,44.67,,,,P [P07],R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1c997b5f83ed1be871c02a9ae2e0d394
342-U1405A-6H-CC-PAL,342,U1405,A,6,6-CC,H,CC,PAL,,0,5,54.11,54.16,,,,M [P07],C,,,,R,,,Freq,C,Freq,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8dea95d0b256c56771dc4d23e48824e8
342-U1405A-7H-CC-PAL,342,U1405,A,7,7-CC,H,CC,PAL,,0,1,62.88,62.89,,,,M [P07],C,,,,R,,,Freq,Freq,C,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99edd13ac66d12dea24407b7c0bf36bc
342-U1405A-8H-CC-PAL,342,U1405,A,8,8-CC,H,CC,PAL,,0,5,72.99,73.04,,,,M [P07],A,,,R,,,,,C,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c8a9ccef5cb68a52b30cc3a8c3be7f0
342-U1405A-9H-CC-PAL,342,U1405,A,9,9-CC,H,CC,PAL,,0,1,82.3,82.31,,,,M [P07],C,,,,,,,,C,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17f975ab5904cf08f2d186bc43a43898
342-U1405A-10H-CC-PAL,342,U1405,A,10,10-CC,H,CC,PAL,,0,5,92.16,92.21,,,,P [P07],R,,,,,,R,,Freq,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656188b8918d1a7fdd62f720ba86d25
342-U1405A-11H-CC-PAL,342,U1405,A,11,11-CC,H,CC,PAL,,0,5,101.6,101.65,,,,P [P07],F-C,,,,,,Freq,,Freq,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,83685044e1f18c89c2c77055d2804422
342-U1405A-12H-CC-PAL,342,U1405,A,12,12-CC,H,CC,PAL,,0,5,110.82,110.87,,,,P [P07],VR,,,1,,,R,,R,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,radiolaria & Diatoms (F),,,3d4a4e620e160c5837cd5eaaaa4e6eda
342-U1405A-13H-CC-PAL,342,U1405,A,13,13-CC,H,CC,PAL,,0,4,120.47,120.51,,,,M-G,A,,,1,,,Freq,,C,C-A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,radiolaria (R); diatoms (F),,,1a9afb861427e27b9ba30742989c1b72
342-U1405A-14H-CC-PAL,342,U1405,A,14,14-CC,H,CC,PAL,,0,5,130.12,130.17,,,,M-G,A,,,1,,,Freq,,C,A,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,?,,,,,,,,,,Radiolaria (R); Diatoms (F),,,23f8498fdbadb4516039e22da75c33db
342-U1405A-15H-CC-PAL,342,U1405,A,15,15-CC,H,CC,PAL,,0,8,139.46,139.54,,,,M [P07],A,,,1,,,Freq,,C,A,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,Freq,Freq,,,,,,,,,,,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,radiolaria (C); Diatoms(A),,,d41975ccc002ec3061ba6895386d5d76
342-U1405A-16H-CC-PAL,342,U1405,A,16,16-CC,H,CC,PAL,,0,5,149.2,149.25,,,,G [P07],A,1,,,,,Freq,,C,A,,R,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,"sample contaminated!
rads (C); diatoms (C)",,,d8821bc861da31d778983f6a528e8a23
342-U1405A-17H-CC-PAL,342,U1405,A,17,17-CC,H,CC,PAL,,0,6,158.45,158.51,,,,M [P07],C,,,,,,Freq,,Freq,A,,R,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,rads (C); diatoms (A),,,59592eb6107b59a954164456d8721b37
342-U1405A-18H-CC-PAL,342,U1405,A,18,18-CC,H,CC,PAL,,0,6,167.7,167.76,,,,M [P07],F,,,,,,Freq,,Freq,A,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,495c0272dffe77a2494c6d0edf5e598b
342-U1405A-19H-5-NANNO,342,U1405,A,19,19-5,H,5,NANNO,,0,0,174.09,174.09,,,,P [P07],VR,,,,,,Freq,,R,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,1b4a924e59e08e2c63099528bf812b0b
342-U1405A-19H-5-NANNO,342,U1405,A,19,19-5,H,5,NANNO,,0,0,174.5,174.5,,,,M-G,VR,,,,,,R,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,3d75e7a793285582fee4b0a68a065fcf
342-U1405A-19H-6-NANNO,342,U1405,A,19,19-6,H,6,NANNO,,0,0,175.36,175.36,,,,G [P07],C-A,,,,,,Freq,,Freq,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,1,,R,R,,,,,,,,,,,,,,,,,,,,,,,,262a4ddcc1a026c52fd623709cdf89f5
342-U1405A-19H-6-NANNO,342,U1405,A,19,19-6,H,6,NANNO,,0,0,175.66,175.66,,,,M-G,C-A,,,,,,Freq,,Freq,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,,,,,,,,,,,,,,,,,,a4dcd700b6aa92862f2d83f3fb86f060
342-U1405A-19H-6-NANNO,342,U1405,A,19,19-6,H,6,NANNO,,0,0,175.76,175.76,,,,VG,C-A,,R,,,,R,,Freq,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,1,,,,Freq,,,,,,,,,,,R,,,,,Freq,Freq,,,,,A,,,,,,,,,,,,,,,,,,,,Freq,1,R,R,,,,,,,,,,,,,,,,,,,,R,,,,fb2de6dbc63eb4fa535525a9d709bf5e
342-U1405A-19H-6-W 16/16-NANNO,342,U1405,A,19,19-6,H,6,W,16/16-NANNO,0,0,175.36,175.36,,,,M-G,C,,R,,,,Freq,,Freq,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,,,,,R,,,,,,,,,,,,,0758ce5f7854e5492206af4460e16695
342-U1405A-19H-CC-PAL,342,U1405,A,19,19-CC,H,CC,PAL,,0,5,177.02,177.07,,,,M-G,A,,R,,,,Freq,,Freq,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,R,R,,,,,,,,,,,1,,,,,,,,,,,,,fd479e987c8a7ed565b5477f154b00b9
342-U1405A-20H-CC-PAL,342,U1405,A,20,20-CC,H,CC,PAL,,0,8,186.57,186.65,,,,M [P07],F-C,,1?,,,,Freq,,Freq,Freq,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,Freq,R,,,,,,,,,,,,,,,,,,,,,,,,1015e2b769842fa92d1edfb29aec2e76
342-U1405A-21H-CC-PAL,342,U1405,A,21,21-CC,H,CC,PAL,,0,6,194.89,194.95,,,,G [P07],A,,1,,,,Freq,,Freq,Freq,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,R,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,,,,,,,,,,,,,,,,,,4fcca3c471596b572851eb89fb7e3d3b
342-U1405A-22H-2-W 110/110-NANNO,342,U1405,A,22,22-2,H,2,W,110/110-NANNO,0,0,198.8,198.8,,,,M [P07],F,,R,,,,Freq,,Freq,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7e6157f762756abe6fc8258f8407119
342-U1405A-22H-4-W 110/110-NANNO,342,U1405,A,22,22-4,H,4,W,110/110-NANNO,0,0,201.8,201.8,,,,M [P07],C,,R,,,,Freq,,Freq,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,b2ca54e4bf99b66efbea4b10f08845db
