Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,% Planktic Foraminifera within whole sample,PF Zone,Comments,Beella digitata,Beella praedigitiata,Bolliella adamsi,Candeina nitida,Cassigerinella chipolensis,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s. str.,Globigerina anguliofficinalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina euapertura,Globigerina falconensis,Globigerina gnaucki,Globigerina officinalis,Globigerina praebulloides,Globigerina quinqueloba,Globigerina winkleri,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita boweni,Globigerinita glutinata,Globigerinita naparimaensis,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina cf. binaiensis,Globoquadrina conglomerata,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) praefohsi,Globorotalia (Globoconella) conoidea,Globorotalia (Globoconella) conomiozea,Globorotalia (Globoconella) inflata,Globorotalia (Globoconella) miozea,Globorotalia (Globoconella) puncticulata,Globorotalia (Globoconella) sphericomiozea,Globorotalia (Hirsutella) cibaoenisis,Globorotalia (Hirsutella) hirsuta,Globorotalia (Hirsutella) margaritae,Globorotalia (Hirsutella) scitula,Globorotalia (Menardella) archeomenardii,Globorotalia (Menardella) cultrata,Globorotalia (Menardella) exilis,Globorotalia (Menardella) fimbriata,Globorotalia (Menardella) limbata,Globorotalia (Menardella) menardii,Globorotalia (Menardella) multicamerata,Globorotalia (Menardella) pertenuis,Globorotalia (Menardella) praemenardii,Globorotalia (Truncorotalia) tosaensis,Globorotalia (Truncorotalia) truncatulinoides,Globorotalia birnageae,Globorotalia crassaformis crassaformis,Globorotalia crassaformis hessi,Globorotalia crassaformis oceanica,Globorotalia crassaformis ronda,Globorotalia crassaformis viola,Globorotalia flexuosa,Globorotalia ichinosekiensis,Globorotalia iwaiensis,Globorotalia lenguaensis,Globorotalia merotumida,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita decoraperta,Globoturborotalita druryi,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Globoturborotalita woodi connecta,Hastigerina pelagica,Neogloboquadrina acostaensis (D),Neogloboquadrina acostaensis (S),Neogloboquadrina asanoi,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Neogloboquadrina pseudopima,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia partimlabiata,Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis,Praeobulina glomerosa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina sicana,Praeorbulina transitoria,Pulleniatina finalis,Pulleniatina obliquiloculata (D),Pulleniatina obliquiloculata (S),Pulleniatina praecursor,Pulleniatina praespectabilis,Pulleniatina primalis (D),Pulleniatina primalis (S),Pulleniatina spectabilis,Sphaeroidinella dehiscens s.l.,Sphaeroidinellopsis hancocki,Sphaeroidinellopsis multiloba,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Tenuitella gemma,Tenuitellinata praestainforthi,Turborotalita humilis,Zone,Zone group,eodp_id
321-U1337A-5H-2-W 112/114-FORAM,321,U1337,A,5,5-2,H,2,W,112/114-FORAM,0,0,36.61,36.61,G,93.0,PL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,R,,,R,,,,,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,R,R,,R,,,R,,,,,,,,,,,,R,A,,,,,,,,,,,,,,,R,F,,,,R,,,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,da43cf1d06874e15526f2ba1616e0c51
321-U1337A-5H-4-W 111/113-FORAM,321,U1337,A,5,5-4,H,4,W,111/113-FORAM,0,0,39.61,39.61,M,47.0,PL5,heavy coated by clay particles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,R,,,R,,,F,,A,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,F,P,R,,,,,,,,,,P,,,,,,,F,A,,,,,,,,,,,,R,,,,R,,,R,R,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,,abfbb364bb9466651eb9faa74d4c9d77
321-U1337A-5H-CC,321,U1337,A,5,5-CC,H,CC,,,0,0,43.63,43.63,P,8.0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,a7df4037c2c5be6735053e9ef976c270
321-U1337A-6H-2-W 16/18-FORAM,321,U1337,A,6,6-2,H,2,W,16/18-FORAM,0,0,45.16,45.16,P,19.0,PL5,"infilling, disolved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,R,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,91cb27b01008b5b5f0fbef8b521ac7b7
321-U1337A-6H-6-W 129/131-FORAM,321,U1337,A,6,6-6,H,6,W,129/131-FORAM,0,0,52.29,52.29,M,48.0,PL3,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,F,,,,,,,,,,A,,,,,,,F,D,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,7d9c61bbbc86c3cdb590628ca4d16d09
321-U1337A-6H-CC,321,U1337,A,6,6-CC,H,CC,,,0,0,53.26,53.26,P,55.0,PL3,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,A,,,,,,,,,,,,F,,,,,,,,D,,,,,,,,,,,,,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,,,,,,,f10483be74f99b9e325b3d51cadbb6d0
321-U1337A-7H-2-W,321,U1337,A,7,7-2,H,2,W,,0,0,54.5,54.5,P,0.0,PL3 or older,heavy fragmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121783bff0e186057697736674cca470
321-U1337A-7H-4-W,321,U1337,A,7,7-4,H,4,W,,0,0,57.5,57.5,P,46.0,PL2-PL1a,heavy fragmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,R,,,,,F,,R,D,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,29b098ed517eada17e32c2da668da77d
321-U1337A-7H-CC,321,U1337,A,7,7-CC,H,CC,,,0,0,62.58,62.58,G,30.0,PL2 or older,fragmentation,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,F,,,,,A,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,A,,,,,,,,D,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,2637d573b88b62f534200afe180c5b1a
321-U1337A-8H-2-W,321,U1337,A,8,8-2,H,2,W,,0,0,64.0,64.0,M,60.0,PL2-PL1a,fragmentation; dominant coiling direction of Pulleniatina spp. is sinistral,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,R,,,D,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,b79a9ccb6c2accb03edc1a7c7e5e3fef
321-U1337A-8H-4-W,321,U1337,A,8,8-4,H,4,W,,0,0,67.0,67.0,M,58.0,PL2-PL1a,fragmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,F,,,,,F,,R,D,,,,,,,,,,,,,,,,P,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,be4da940cce5945be6dee78c69b2c852
321-U1337A-8H-CC,321,U1337,A,8,8-CC,H,CC,,,0,0,71.31,71.31,,0.0,-,Barren. Extremely radiolarian rich. All size fractions barren of plankic foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0eb5b65dbb1283542824e8cb4e94232b
321-U1337A-9H-1-W,321,U1337,A,9,9-1,H,1,W,,0,0,72.0,72.0,M,48.0,PL2-PL1a,fragmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,A,,,,,F,,P,D,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,0ecbe4f17e5103c753157547892590e5
321-U1337A-9H-6-W,321,U1337,A,9,9-6,H,6,W,,0,0,79.5,79.5,G,62.0,PL2-PL1a,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,P,,,,R,,F,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,F,,,,,A,,F,A,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,P,P,,R,,,A,,,,,,,6bb27957de32462a6542401b6b027553
321-U1337A-9H-CC,321,U1337,A,9,9-CC,H,CC,,,0,0,81.65,81.65,M,0.5,PT1b-PL1a,Some infilling and fragmentation. <250 micron size fractions are radiolarian rich and barren of foraminifera,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,D,,,,,,,,D,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,A,,,P,,,,,,,8456b2a12d15b3d9936a01cc47e2f78f
321-U1337A-10H-1-W,321,U1337,A,10,10-1,H,1,W,,0,0,81.5,81.5,M,46.0,PL2-PL1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,F,,,,,F,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,A,,,,,,,5299b044cc6d17358b7ed27073037a21
321-U1337A-10H-3-W,321,U1337,A,10,10-3,H,3,W,,0,0,84.5,84.5,G,48.0,PL1b-PL1a,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,F,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,F,,,A,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,D,,,,,,,3e630d751008184f1348643ee6c24630
321-U1337A-10H-CC,321,U1337,A,10,10-CC,H,CC,,,0,0,91.27,91.27,,0.0,-,Barren. Lots of radiolaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dee92645dd2049c14c73c537012e8044
321-U1337A-11H-2-W,321,U1337,A,11,11-2,H,2,W,,0,2,92.5,92.52,G,18.0,PL1b-PL1a,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,F,,,,,,,P,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,9f367dcc3c3f2ae074ba4d3706c9aa34
321-U1337A-11H-5-W,321,U1337,A,11,11-5,H,5,W,,0,2,97.0,97.02,G,60.0,M14-M13b,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,24b3399fabb0089718583d7c4065531c
321-U1337A-11H-CC,321,U1337,A,11,11-CC,H,CC,,,0,5,100.76,100.81,G,4.0,M14-M13b,"Planktic foraminifera well preserved and diverse, some fragentation. Lots of siliceous material, especially in the <250 micron size fraction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,A,,,,,A,,D,,,,,,,,,,,,,,,,,,,,,,,,,P,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,516ea677c71166816377174c7993f754
321-U1337A-12H-CC,321,U1337,A,12,12-CC,H,CC,,,0,0,110.23,110.23,M,0.0,M14-M13b,"Lots of radiolaria and carbonate chunks, few planktic foraminifera present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,53f178b69ccdf39c3f0bb1ae4acbf7cb
321-U1337A-13H-1-W,321,U1337,A,13,13-1,H,1,W,,0,2,110.0,110.02,G,81.0,M14M13b,,,,,,,,,,,,R,R,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,F,,,,,D,,R,,,,R,,F,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,R,,P,,,,,,,,,,,,,P,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,4185b6f5417db762a69c47607461ed74
321-U1337A-13H-4-W,321,U1337,A,13,13-4,H,4,W,,0,2,114.5,114.52,G,62.0,M14M13b,,,,,P,,,,,,,A,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,R,,,,,,F,,A,R,,R,,R,,,R,R,,R,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,R,,R,,,,,,P,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,P,,,,R,D,,,,,,,08a436f6adf0bce0ed1b77d22c57465c
321-U1337A-13H-CC,321,U1337,A,13,13-CC,H,CC,,,0,5,119.62,119.67,G,47.0,M14M13b,,,,,,,,,,,,A,R,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,A,,,R,,A,,,,,,,,F,,,,,,,,,,,,,,,,R,,,F,,,A,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,e10ea2ec2fa4233ab63b3acd16a6df19
321-U1337A-14H-2-W,321,U1337,A,14,14-2,H,2,W,,0,2,121.0,121.02,G,14.0,M14M13b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,3d8c1ffc51fa68d049fa6f12f0039769
