Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,eodp_id
342-U1403A-13H-CC-PAL,342,U1403,A,13,13-CC,H,CC,PAL,0,5,120.2,120.25,P [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ae93fb0b33b1710d5c167857e337429
342-U1403A-14H-CC-PAL,342,U1403,A,14,14-CC,H,CC,PAL,0,5,129.74,129.79,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18b48f16c73c1ebc0969f0661f6f270f
342-U1403A-15H-CC-PAL,342,U1403,A,15,15-CC,H,CC,PAL,0,5,138.38,138.43,P [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b949522462cca53c3a2e9ff9962a4f9
342-U1403A-16H-CC-PAL,342,U1403,A,16,16-CC,H,CC,PAL,0,5,147.75,147.8,M [P21],P,,F,,,,,,,,,,,,,,,,,,P,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23a85de4108fd6bf93baf056917ef795
342-U1403A-17H-CC-PAL,342,U1403,A,17,17-CC,H,CC,PAL,0,5,147.8,147.85,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9933d2a75b82aaf53e90742ef2c5a68
342-U1403A-18X-CC-PAL,342,U1403,A,18,18-CC,X,CC,PAL,0,2,148.76,148.78,M [P21],P,,,,,,A,,,,,,,,,,,,,,,,,,,,A,,,,,P,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b71e80e5064f4fee9ced8f72518adef
342-U1403A-19X-CC-PAL,342,U1403,A,19,19-CC,X,CC,PAL,0,5,165.6,165.65,G [P21],R,,,,P,,,,,,,,F,,,,,,,,F,,P,,,,,,,,,,,P,,,,F,F,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,D,,P,,,F,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,40633b13ab1fd3051a5d39c96eb1fa99
342-U1403A-20X-CC-PAL,342,U1403,A,20,20-CC,X,CC,PAL,0,5,175.42,175.47,G [P21],P,,P,,,,,,,,,,P,,,,,,,,F,,P,,,,F,,,,P,,,P,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,A,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,ad2ef2ccc0188940283b59cb26deca2c
342-U1403A-21X-CC-PAL,342,U1403,A,21,21-CC,X,CC,PAL,0,5,185.11,185.16,P [P21],P,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a4753de7ee9f04d0747e5478b17408e0
342-U1403A-23X-CC-PAL,342,U1403,A,23,23-CC,X,CC,PAL,0,5,204.29,204.34,G [P21],P,,,,,F,,,,,P,P,,,,,,,,,,,P,,,,,,,,F,F,,A,F,,,,P,,,,,,P,,,,,P,P,A,,,,,,F,,F,,,,,,,D,,P,,,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,dae3b62b58d555f1ea44a760ffe32951
342-U1403A-24X-CC-PAL,342,U1403,A,24,24-CC,X,CC,PAL,0,5,204.77,204.82,M [P21],P,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2b5a03e22993491cc512d8b9e1a3bbc2
342-U1403A-25X-CC-PAL,342,U1403,A,25,25-CC,X,CC,PAL,0,5,218.3,218.35,G [P21],A,,,,,,A,,,,,,,,F,,,,,,P,,,,,,P,,,,F,P,,F,R,,,,F,,,,,F,,,,,,,,F,,,,,,F,,F,,,,,,,D,,,,,P,,,,P,,,,,,,,,,,,,,,P,,,,P,,,,P,,,,P,P,,,8de4076ed953b45cca9de820666bc354
342-U1403A-26X-CC-PAL,342,U1403,A,26,26-CC,X,CC,PAL,0,5,224.16,224.21,G [P21],D,,,,,A,,,A,,,,A,,P,,,,,,,,,,,,,,,F,,P,,P,A,,,,P,,,,,F,P,,,,,P,,,,,,,P,F,,A,,,,,,,A,,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,4d2a894fec3867e037537c1a866666df
342-U1403A-27X-CC-PAL,342,U1403,A,27,27-CC,X,CC,PAL,0,5,233.19,233.24,G [P21],D,,,,P,F,,,,,,,,,P,,,,,,,,,,,,,,,P,F,P,,P,P,,,,P,,,,,P,P,,,,P,P,P,F,,,,,,P,,F,,,,,,,A,P,,,,P,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,P,,,,aeab31d2eb1a0072637883acfd23b214
342-U1403A-28X-CC-PAL,342,U1403,A,28,28-CC,X,CC,PAL,0,5,242.25,242.3,M [P21],D,,,,P,F,,,,,,,P,,F,,,,,,,,,,,,,,,A,F,P,,P,F,,,,P,,,,,,P,,,F,,,,,,,,F,,,,P,P,,,,,,A,,,,P,F,,,,F,,F,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,3a806642e30b4a85a37d160f3b1d7d49
