Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417B-12H-CC-PAL,341,U1417,B,12,12-CC,H,CC,PAL,0,28,103.75,104.03,S. universus,Stylatractus universus,,G [P28],C,,,,,,,,,A,,,,,,,,,C,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,F,,,,,,,,C,,,,F,,,,,A,C,,F,,,,,,,,F,,,R,,,,,,,,,ecdd2995c756b13b4664abe6b58ec269
341-U1417B-12H-CC-PAL,341,U1417,B,12,12-CC,H,CC,PAL,0,28,103.75,104.03,,,,M [P28],F,,,,,,,,F,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,R,,,,,C,,,R,,,,,,,F,R,,,F,,,,,,,,,7ee637e06e16936dfe690bdf385308e1
341-U1417B-13H-CC-PAL,341,U1417,B,13,13-CC,H,CC,PAL,0,3,112.84,112.87,S. universus,Stylatractus universus,,M [P28],F,,,,,,,,F,C,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,R,,,,,,,,R,,,,R,,,,,C,C,,R,,,,,,,R,R,,,R,,,,,,,,,d5da137841d9d2380037671b7e4db9c6
341-U1417B-14H-CC-PAL,341,U1417,B,14,14-CC,H,CC,PAL,0,3,123.52,123.55,S. universus,Stylatractus universus,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4afe78eaf58e41ddcddf17fb7acf3f61
341-U1417B-16H-CC-PAL,341,U1417,B,16,16-CC,H,CC,PAL,0,16,142.51,142.67,S. universus,Stylatractus universus,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715b3be54bbad94010c9c3811569a98f
341-U1417B-17H-CC-PAL,341,U1417,B,17,17-CC,H,CC,PAL,0,24,151.82,152.06,S. universus,Stylatractus universus,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200792eb17f1b9e0d70c3c7371a4e35
341-U1417B-18H-CC-PAL,341,U1417,B,18,18-CC,H,CC,PAL,0,19,161.24,161.43,S. universus,Stylatractus universus,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4ab4edb6e97254dd07f9951589783a9
341-U1417B-19H-CC-PAL,341,U1417,B,19,19-CC,H,CC,PAL,0,6,167.95,168.01,E. matuyamai,Eucyrtidium matuyamai,"LO Eucyrtidium matuyamai (Kamikuri et al., 2007)",G [P28],C,,,,,,,,R,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,R,,,,,A,R,C,,,,,,,,A,A,,,,,,,,,,,,2f25b23527ee1d0d0fca011a7687bef1
341-U1417B-20H-7-A,341,U1417,B,20,20-7,H,7,PAL,0,54,175.68,176.22,E. matuyamai,Eucyrtidium matuyamai,,P [P28],F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,,A,R,,,,,,,,,,,,b0d1e17eeda39923cceb0cc35a0c0004
341-U1417B-21H-1-W,341,U1417,B,21,21-1,H,1,PAL,0,120,176.3,177.5,E. matuyamai,Eucyrtidium matuyamai,,G [P28],A,,,,,,,,F,,,,,,,,,,F,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,,,R,,,,F,,,,,A,R,C,,,,,,,,A,A,,,,,,,,,,,,e8234d9c7e7d758ccb3c1893c8cecda3
341-U1417B-22H-CC-PAL,341,U1417,B,22,22-CC,H,CC,PAL,0,31,183.02,183.33,E. inflatum,Eucyrtidium inflatum,,P [P28],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,A,R,,,,,,,,,,,,96b67a6c734f77a93dc0b90f88cc9a23
341-U1417B-23H-CC-PAL,341,U1417,B,23,23-CC,H,CC,PAL,0,21,187.68,187.89,E. inflatum,Eucyrtidium inflatum,,P [P28],R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,C,F,,,,,,,,,,,,6559abf5239233e0b493990f629e693e
341-U1417B-24H-CC-PAL,341,U1417,B,24,24-CC,H,CC,PAL,0,16,192.2,192.36,E. inflatum,Eucyrtidium inflatum,,P [P28],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,9cef09f8bbf93d879055b4c293c15637
341-U1417B-25H-CC-PAL,341,U1417,B,25,25-CC,H,CC,PAL,0,29,196.27,196.56,E. inflatum,Eucyrtidium inflatum,,P [P28],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,f7200b267ba0badfb267c775eb89e404
341-U1417B-26H-CC-PAL,341,U1417,B,26,26-CC,H,CC,PAL,0,27,197.52,197.79,E. inflatum,Eucyrtidium inflatum,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33796cecadebf58a946e530b8a1e131f
341-U1417B-27H-CC-PAL,341,U1417,B,27,27-CC,H,CC,PAL,0,32,202.51,202.83,C. sakaii,Cycladophora sakaii,,M [P28],C,,,,,,,,F,R,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,R,,,,A,F,,C,,,,,,,C,F,,,C,,,,,,,,,e9e6ede0d820a200c4562a3566e9ada0
341-U1417B-28H-CC-PAL,341,U1417,B,28,28-CC,H,CC,PAL,0,35,207.26,207.61,,,"FO Eucyrtidium matuyamai (Kamikuri et al., 2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3cf3ed137c136b225370856287c5ab0
341-U1417B-29H-CC-PAL,341,U1417,B,29,29-CC,H,CC,PAL,0,21,211.75,211.96,C. sakaii,Cycladophora sakaii,,M [P28],F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,F,,,,,,,A,R,,,R,,,,,,,,,3ec7bbb7eba2ca190fad37b264214d5f
341-U1417B-30H-CC-PAL,341,U1417,B,30,30-CC,H,CC,PAL,0,27,215.41,215.68,C. sakaii,Cycladophora sakaii,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302a528584e1bee026e2d7b1b4a0d346
341-U1417B-31H-CC-PAL,341,U1417,B,31,31-CC,H,CC,PAL,0,37,220.98,221.35,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84e428de847203e0c18826d2bc5d410a
341-U1417B-32H-CC-PAL,341,U1417,B,32,32-CC,H,CC,PAL,0,33,222.16,222.49,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894ca031c14c2dc21a891b3d3cfc5716
341-U1417B-33H-CC-PAL,341,U1417,B,33,33-CC,H,CC,PAL,0,6,223.39,223.45,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f37dd5c297301db9bf907cd04a6f649f
341-U1417B-34X-CC-PAL,341,U1417,B,34,34-CC,H,CC,PAL,0,52,230.75,231.27,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d337ed17157baa9601fd2a249c8e3d8
341-U1417B-35X-CC-PAL,341,U1417,B,35,35-CC,H,CC,PAL,0,32,235.83,236.15,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fd3ff79c39cc0da8608f090000aa647
341-U1417B-36X-CC-PAL,341,U1417,B,36,36-CC,H,CC,PAL,0,43,244.69,245.12,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8873fc1bb1ccb765f73a35773357857b
341-U1417B-37X-CC-PAL,341,U1417,B,37,37-CC,H,CC,PAL,0,35,256.14,256.49,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e275ff4256f3791713267d72129416e
341-U1417B-38X-CC-PAL,341,U1417,B,38,38-CC,H,CC,PAL,0,19,265.75,265.94,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08e40481add1fb66c1b0864db9004017
341-U1417B-39X-CC-PAL,341,U1417,B,39,39-CC,H,CC,PAL,0,38,276.27,276.65,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310cf8c42f7765dc0392dc0d3cfdfc55
341-U1417B-40X-CC-PAL,341,U1417,B,40,40-CC,H,CC,PAL,0,28,285.51,285.79,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e1f4b3ff1d774629a99135c2998b2940
341-U1417B-41X-CC-PAL,341,U1417,B,41,41-CC,H,CC,PAL,0,47,293.77,294.24,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6f5609b351839ac684c37488c588db69
341-U1417B-42X-CC-PAL,341,U1417,B,42,42-CC,H,CC,PAL,0,29,303.06,303.35,C. sakaii,Cycladophora sakaii,"FO Cycladophora davisiana (Kamikuri et al., 2007)",M [P28],R,,,R,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,F,F,,R,,,,,,,F,R,,,C,,,,,,,,,4ae2b1c2407807e5b9b23f5c828c5ddb
341-U1417B-43X-CC-PAL,341,U1417,B,43,43-CC,H,CC,PAL,0,47,315.14,315.61,C. sakaii,Cycladophora sakaii,,M [P28],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,R,R,,,C,,,,,,,,,ee99bd1d03d1a5c6787f5de7aaa24f79
341-U1417B-44X-CC-PAL,341,U1417,B,44,44-CC,H,CC,PAL,0,19,324.02,324.21,C. sakaii,Cycladophora sakaii,,P [P28],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,R,,,,R,R,,,,,,,,,R,R,,,R,,,,,,,,,30c0c4182d63ccdbb2172e9ca1a32ae0
341-U1417B-45X-CC-PAL,341,U1417,B,45,45-CC,H,CC,PAL,0,20,332.12,332.32,C. sakaii,Cycladophora sakaii,,P [P28],F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,C,,,,A,,,,,,,,,d37c1d4d82756c23ac67c5e0e4d299e3
341-U1417B-46X-CC-PAL,341,U1417,B,46,46-CC,H,CC,PAL,0,40,342.78,343.18,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7baf30cc37618e72f527b55f592e28fa
341-U1417B-47X-CC-PAL,341,U1417,B,47,47-CC,H,CC,PAL,0,32,350.16,350.48,C. sakaii,Cycladophora sakaii,,P [P28],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,,,,R,,,,R,,,,,,,,,0b2b1b22cbcd983d63663cefe0ee81f7
