Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1387C-13R-CC-PAL-FORAM,339,U1387,C,13,13-CC,R,CC,PAL,FORAM,0,5,404.86,404.91,B ,,M ,D ,A ,A ,,,P ,F ,,,,,P ,,,,P ,P ,,,,P ,R ,,,,,,,,,,,,,,,R ,,P ,P ,P ,R ,,,,,,,,,,
339-U1387C-14R-CC-PAL-FORAM,339,U1387,C,14,14-CC,R,CC,PAL,FORAM,0,5,410.63,410.68,B ,,M ,D ,A ,R ,,,P ,F ,,,,P ,P ,,,,P ,,,,,P ,R ,,,,,,,,,,,,,P ,,,,,A ,P ,R ,,,,,,,,,,
339-U1387C-15R-CC-PAL-FORAM,339,U1387,C,15,15-CC,R,CC,PAL,FORAM,0,6,422.92,422.98,B ,,M ,D ,A ,F ,,,,,,P ,,,,,,,P ,,,,,P ,R ,,,,,,,,,,,P ,,,,R ,,P ,A ,,P ,,,,,,,,,,
339-U1387C-16R-CC-PAL-FORAM,339,U1387,C,16,16-CC,R,CC,PAL,FORAM,0,6,430.63,430.69,B ,,M ,A ,F ,F ,,,,A ,,,,,,,,,P ,,,,,P ,R ,,,,,,,,,,,B ,,,,F ,,,P ,,R ,,P ,,,P ,,,,,
339-U1387C-17R-CC-PAL-FORAM,339,U1387,C,17,17-CC,R,CC,PAL,FORAM,0,5,436.81,436.86,B ,,G ,D ,R ,F ,,,P ,R ,,,,P ,,P ,,,,,,P ,,P ,R ,P ,,,,,,,,,,P ,,P ,P ,F ,,P ,A ,,R ,P ,P ,,,R ,,R ,,,
339-U1387C-18R-CC-PAL-FORAM,339,U1387,C,18,18-CC,R,CC,PAL,FORAM,0,5,452.57,452.62,B ,,G ,D ,F ,A ,,,P ,A ,,,P ,R ,,P ,,,,,,P ,,P ,,,,,,,,,,,,,,,,P ,,,A ,,F ,,P ,,,,,,,,
339-U1387C-19R-2-W 46/48-7934-FORAM,339,U1387,C,19,19-2,R,2,W,46/48-7934-FORAM,0,2,454.96,454.98,B ,,M ,D ,A ,F ,,,,F ,,,R ,,,,,,,P ,,,,,P ,,,,,,,,,,,,,,,P ,,,F ,,R ,,,,,,,,,,
339-U1387C-19R-3-W 20/22-7938-FORAM,339,U1387,C,19,19-3,R,3,W,20/22-7938-FORAM,0,2,456.2,456.22,B ,,M ,D ,A ,R ,,P ,F ,R ,,,R ,P ,P ,,,,,,,,,,,,,,,,,,,,R ,P ,,,,,,,F ,P ,F ,,,,,,,,G. truncatulinoides questionary,,
339-U1387C-19R-4-W 19/21-7935-FORAM,339,U1387,C,19,19-4,R,4,W,19/21-7935-FORAM,0,2,457.69,457.71,B ,,,B ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-19R-CC-PAL-FORAM,339,U1387,C,19,19-CC,R,CC,PAL,FORAM,0,5,458.54,458.59,B ,,M ,D ,F ,R ,,,,P ,,,F ,,,P ,,,,,,,,,,P ,,,,,,,,,P ,,,,,P ,,,R ,,R ,,P ,P ,B ,,,,,,
339-U1387C-20R-1-W 39/41-7939-FORAM,339,U1387,C,20,20-1,R,1,W,39/41-7939-FORAM,0,2,462.99,463.01,B ,,M ,D ,A ,R ,,,R ,,,,R ,,,,,,,,,P ,,,F ,,,,,,,,,,F ,P ,,,,,,,P ,,R ,,,,,,,P ,,,
339-U1387C-20R-3-W 47/49-7940-FORAM,339,U1387,C,20,20-3,R,3,W,47/49-7940-FORAM,0,2,466.07,466.09,B ,,G ,A ,A ,P ,,,,,,,R ,,,,,,R ,P ,,,,,F ,,,,,,,,,,,,,,,,,,D ,P ,R ,,,,,,,P ,,,
339-U1387C-20R-5-W 49/51-7941-FORAM,339,U1387,C,20,20-5,R,5,W,49/51-7941-FORAM,0,2,469.09,469.11,B ,,G ,D ,A ,P ,,,P ,,,,R ,,,,,,,,,,,,F ,,,,,P ,,P ,,,R ,,,P ,P ,,,,F ,R ,R ,,,,,,,,,,
339-U1387C-20R-7-W 39/41-7942-FORAM,339,U1387,C,20,20-7,R,7,W,39/41-7942-FORAM,0,2,471.99,472.01,B ,,M ,D ,A ,P ,,,R ,,,,P ,,,,,,P ,P ,,,,,,,P ,,,,,,,,R ,P ,,,,,,,F ,,R ,,,,,,,,,,
339-U1387C-20R-CC-PAL-FORAM,339,U1387,C,20,20-CC,R,CC,PAL,FORAM,0,5,472.31,472.36,B ,,M ,D ,F ,R ,,,R ,,,,F ,,,,,,R ,,,,,,F ,,,,,,,,,,P ,,,,,,,,F ,,R ,,,,,,,,,,
339-U1387C-21R-3-W 59/61-7944-FORAM,339,U1387,C,21,21-3,R,3,W,59/61-7944-FORAM,0,2,475.79,475.81,B ,,G ,D ,F ,R ,,,,,,,A ,,,,,,A ,P ,,,,,F ,,,,,,,,,,,,,,,,,,F ,P ,R ,,,,,,,,,,
339-U1387C-21R-CC-PAL-FORAM,339,U1387,C,21,21-CC,R,CC,PAL,FORAM,0,5,479.37,479.42,B ,,M ,D ,A ,P ,,,F ,,,,F ,,,,,,F ,,,,,,R ,,P ,,,R ,P ,,,,R ,,,,,,,,F ,P ,R ,,,R ,,,,R ,,,
339-U1387C-22R-3-W 61/63-7659-FORAM,339,U1387,C,22,22-3,R,3,W,61/63-7659-FORAM,0,2,485.41,485.43,B ,,G ,D ,A ,R ,,,F ,,,P ,,R ,,,,,P ,P ,,F ,,P ,F ,,P ,,,,,,,,P ,,,,,,,,A ,P ,F ,,,,,,,P ,,,
339-U1387C-22R-CC-PAL-FORAM,339,U1387,C,22,22-CC,R,CC,PAL,FORAM,0,5,489.7,489.75,B ,,G ,D ,A ,R ,,,R ,,,,,R ,,,P ,,R ,,,,,,F ,P ,P ,,,,,,,,R ,P ,,,,,,,A ,,R ,,,P ,,,,,,,
339-U1387C-23R-1-W 59/61-7660-FORAM,339,U1387,C,23,23-1,R,1,W,59/61-7660-FORAM,0,2,491.99,492.01,B ,,P ,A ,A ,,,,P ,,,R ,,P ,,,,,P ,,,P ,,P ,R ,,,,,,,,,,,,,,,,,,D ,,R ,,,,,,,P ,,,
339-U1387C-23R-3-W 87/89-7661-FORAM,339,U1387,C,23,23-3,R,3,W,87/89-7661-FORAM,0,2,495.27,495.29,B ,,P ,F ,D ,P ,,,R ,,,R ,,P ,,,,,P ,,,P ,,,P ,,,,,,,,,,,,,,,,,,D ,,P ,,,P ,,,,P ,,,
339-U1387C-23R-5-W 88/90-7662-FORAM,339,U1387,C,23,23-5,R,5,W,88/90-7662-FORAM,0,2,498.28,498.3,B ,,P ,F ,D ,P ,,,P ,,P ,,,,,,,,P ,,,P ,,P ,R ,,,,,,,,,,,,,,,,,,A ,P ,R ,,,P ,,,,,,,
339-U1387C-23R-CC-PAL-FORAM,339,U1387,C,23,23-CC,R,CC,PAL,FORAM,0,5,499.79,499.84,B ,,VG ,D ,F ,F ,,,,,,,R ,R ,,,,,F ,,,,,P ,R ,,,,,,,,,,,P ,,,,,,,A ,,R ,,,,,,,,,,
339-U1387C-24R-CC-PAL-FORAM,339,U1387,C,24,24-CC,R,CC,PAL,FORAM,0,5,510.1,510.15,B ,,VG ,D ,A ,A ,,R ,R ,B ,,,,R ,,,,,R ,,,,,,R ,,,,,,,R ,,P ,,,,,,,,,F ,,A ,,,P ,,,,P ,,,
339-U1387C-25R-CC-PAL-FORAM,339,U1387,C,25,25-CC,R,CC,PAL,FORAM,0,5,520.19,520.24,B ,,G ,D ,F ,F ,,,,,,,,R ,,,,,F ,,,,,P ,R ,,,,,,,,,,,,,,,,,,A ,,F ,,,P ,,,,,,,
339-U1387C-26R-1-W 57/59-7669-FORAM,339,U1387,C,26,26-1,R,1,W,57/59-7669-FORAM,0,2,520.47,520.49,B ,,M ,D ,D ,,,,P ,,,,,P ,,,,,P ,,,P ,,P ,P ,,P ,,,,,,,,F ,,,,,,,,A ,,R ,,,P ,P ,,,,radiolaria,,
339-U1387C-26R-3-W 60/62-7670-FORAM,339,U1387,C,26,26-3,R,3,W,60/62-7670-FORAM,0,2,523.5,523.52,B ,,M ,D ,A ,F ,,,,,,,,P ,,,,,F ,,P ,P ,,,P ,P ,R ,,,,,,,,F ,,,,,,,,F ,,R ,,,,,,,P ,,,
339-U1387C-26R-6-W 47/49-7671-FORAM,339,U1387,C,26,26-6,R,6,W,47/49-7671-FORAM,0,2,527.57,527.59,B ,,G ,D ,A ,P ,,,P ,,,,,,,,,,F ,,P ,R ,,,P ,,R ,,,,,,,,F ,,,,,,,,A ,P ,P ,,,P ,P ,,,,,,
339-U1387C-26R-CC-PAL-FORAM,339,U1387,C,26,26-CC,R,CC,PAL,FORAM,0,5,527.91,527.96,B ,,M ,R ,F ,F ,,,,,P ,,,P ,,,,,A ,,,,,,F ,,R ,,,,,,,,R ,,,,,,,,A ,,R ,,,P ,,,,,,,
339-U1387C-27R-CC-PAL-FORAM,339,U1387,C,27,27-CC,R,CC,PAL,FORAM,0,5,539.4,539.45,B ,,G ,D ,A ,R ,,,,,,,,,,,,,F ,,,P ,,,R ,,,,,,,,,,F ,,,,,,,,A ,,P ,,,P ,,,,P ,,,
339-U1387C-28R-CC-PAL-FORAM,339,U1387,C,28,28-CC,R,CC,PAL,FORAM,0,5,545.8,545.85,B ,,M ,D ,A ,R ,,P ,P ,,P ,,,,,,,,P ,,,P ,,,,P ,P ,,P ,,,,,,A ,,,,,,,,R ,,R ,,,P ,,,,,,,
339-U1387C-29R-CC-PAL-FORAM,339,U1387,C,29,29-CC,R,CC,PAL,FORAM,0,5,558.56,558.61,B ,,G ,D ,A ,P ,,,,,P ,,,P ,,,,,A ,P ,P ,P ,,P ,R ,,P ,,,,,,,,A ,P ,,,,,,,R ,,P ,,,R ,P ,,,,radiolaria present,,
339-U1387C-30R-1-W 59/60-7681-FORAM,339,U1387,C,30,30-1,R,1,W,59/60-7681-FORAM,0,1,558.89,558.9,B ,,P ,D ,A ,P ,,P ,P ,,,,,P ,,,,,,,,,,,R ,,,,,,,,,,F ,P ,,,,,,,F ,P ,R ,,,P ,,,,,,,
339-U1387C-30R-3-W 58/59-7682-FORAM,339,U1387,C,30,30-3,R,3,W,58/59-7682-FORAM,0,1,561.88,561.89,B ,,G ,D ,A ,F ,,P ,P ,,,,P ,,,,,,,,,,,P ,P ,,,,P ,,,,,,F ,P ,,,,,,,F ,,R ,,,R ,,,,,,,
339-U1387C-30R-5-W 29/30-7683-FORAM,339,U1387,C,30,30-5,R,5,W,29/30-7683-FORAM,0,1,564.34,564.35,B ,,G ,D ,A ,,,,R ,,,,P ,,,,,,P ,P ,P ,P ,,,P ,,R ,,R ,,,,,,R ,,,,P ,,,,A ,,R ,,,P ,,,,P ,,,
339-U1387C-30R-CC-PAL-FORAM,339,U1387,C,30,30-CC,R,CC,PAL,FORAM,0,5,564.83,564.88,B ,,G ,D ,A ,P ,,R ,R ,,,,,,,,,,P ,,,,,P ,P ,,P ,,P ,,,,,,A ,,,,,,,,R ,,R ,,,R ,P ,,,,,,
339-U1387C-31R-CC-PAL-FORAM,339,U1387,C,31,31-CC,R,CC,PAL,FORAM,0,5,573.54,573.59,B ,,G ,D ,A ,R ,,R ,R ,,,,,P ,,,,,R ,,P ,,,P ,P ,P ,P ,,P ,,,,,,A ,,,,,,,,R ,,R ,,P ,P ,P ,,,,,,
339-U1387C-32R-CC-PAL-FORAM,339,U1387,C,32,32-CC,R,CC,PAL,FORAM,0,5,586.23,586.28,B ,,G ,D ,F ,P ,,P ,R ,,,,P ,A ,,,,,A ,,P ,P ,,P ,P ,,R ,,,,,,,,P ,,,,,,,,R ,,P ,,,R ,P ,,,,,,
339-U1387C-33R-CC-PAL-FORAM,339,U1387,C,33,33-CC,R,CC,PAL,FORAM,0,5,596.96,597.01,B ,,G ,D ,A ,P ,,P ,P ,,,,P ,,,,,,A ,,P ,,,,R ,,P ,,R ,,,,,,A ,,,,,,,,F ,,F ,,,P ,,,,,,,
339-U1387C-34R-CC-PAL-FORAM,339,U1387,C,34,34-CC,R,CC,PAL,FORAM,0,5,603.77,603.82,B ,,P ,A ,R ,R ,,,,,,,,F ,,,,,A ,,R ,,,P ,R ,,R ,,,,,,,,A ,,,,,,,,A ,P ,R ,,,P ,,,,,SLUMP!,,
339-U1387C-35R-CC-PAL-FORAM,339,U1387,C,35,35-CC,R,CC,PAL,FORAM,0,8,616.22,616.3,B ,,G ,R ,A ,R ,,,,,,,,P ,,,,,A ,,P ,,,,R ,,P ,,P ,,,,,,A ,,,,,,,,A ,P ,R ,,,,,,,,,,
339-U1387C-36R-CC-PAL-FORAM,339,U1387,C,36,36-CC,R,CC,PAL,FORAM,0,5,619.81,619.86,B ,,P ,R ,A ,,,P ,R ,,,,,,,,,,A ,,,,,,R ,,P ,,R ,,,,,,A ,,,,,,,,A ,P ,R ,,,,,,,,,,
339-U1387C-37R-1-W 84/86-7702-FORAM,339,U1387,C,37,37-1,R,1,W,84/86-7702-FORAM,0,2,626.34,626.36,B ,,G ,D ,A ,P ,,,F ,,,,P ,,,,,,P ,,P ,P ,,,,,R ,,P ,,,,,,A ,P ,,,,,,,F ,,F ,,,,,,,,,,
339-U1387C-37R-3-W 60/62-7703-FORAM,339,U1387,C,37,37-3,R,3,W,60/62-7703-FORAM,0,2,629.1,629.12,B ,,M ,P ,A ,P ,,R ,R ,,,,P ,,,,,,,,,,,P ,P ,,,,,,,,,,F ,P ,,,,,,,F ,,R ,,,,,,,,,,
339-U1387C-37R-5-W 100/102-7704-FORAM,339,U1387,C,37,37-5,R,5,W,100/102-7704-FORAM,0,2,632.5,632.52,B ,,M ,P ,A ,P ,,R ,R ,,,,P ,,,,,,,,,,,,R ,,,,R ,,,,,,,P ,,,,,,,F ,,R ,,,R ,,,,,,,
339-U1387C-37R-CC-PAL-FORAM,339,U1387,C,37,37-CC,R,CC,PAL,FORAM,0,5,634.49,634.54,B ,,VG ,D ,F ,P ,,P ,F ,,,,,,,,,P ,A ,P ,P ,,,P ,R ,,R ,,F ,,,,,,,P ,,,,,,R ,A ,P ,F ,,,,,,,,,,
339-U1387C-38R-CC-PAL-FORAM,339,U1387,C,38,38-CC,R,CC,PAL,FORAM,0,4,643.55,643.59,B ,,VG ,R ,A ,P ,,,,,,,,,,,,,A ,,,,,,R ,,R ,,P ,P ,,,,,,,,,,,,,A ,P ,,,,,,,,,,,
339-U1387C-39R-CC-PAL-FORAM,339,U1387,C,39,39-CC,R,CC,PAL,FORAM,0,5,650.31,650.36,B ,,VG ,R ,A ,,,P ,R ,,,,,,,,,,A ,,,,,,R ,,R ,,R ,,,,,,,P ,,,,,,,A ,,F ,,,P ,,,,R ,,,
339-U1387C-40R-1-W 68/70-7710-FORAM,339,U1387,C,40,40-1,R,1,W,68/70-7710-FORAM,0,2,654.98,655,,,G ,R ,A ,,,,R ,,,,,,,,,,A ,,,,,,R ,,R ,,,,,,,,,,,,,,,,D ,,R ,,,,,,,,,,
339-U1387C-40R-3-W 67/69-7711-FORAM,339,U1387,C,40,40-3,R,3,W,67/69-7711-FORAM,0,2,657.97,657.99,,,G ,A ,R ,P ,,,R ,,,,,,,,,P ,F ,,,,,P ,A ,,R ,,P ,,,,,,,,,,,,,,R ,P ,R ,,,,,,,,,,
339-U1387C-40R-5-W 67/69-7712-FORAM,339,U1387,C,40,40-5,R,5,W,67/69-7712-FORAM,0,2,660.97,660.99,,,G ,D ,A ,,,,R ,,,,,,,,,,A ,,,,,,R ,,R ,,B ,,,,,,,,,,,,,,A ,P ,,,,,,,,,,,
339-U1387C-40R-CC-PAL-FORAM,339,U1387,C,40,40-CC,R,CC,PAL,FORAM,0,5,662.32,662.37,B ,,G ,R ,A ,,,,P ,,,,,,,,,,A ,,,,,,R ,,R ,,,,,,,,,,,,,,,,A ,,R ,,,,,,,R ,,,
339-U1387C-41R-1-W 76/78-7713-FORAM,339,U1387,C,41,41-1,R,1,W,76/78-7713-FORAM,0,2,664.66,664.68,,,M ,D ,A ,,,,P ,,,,,,,,,,A ,,,,,,R ,,R ,,B ,,,,,,,P ,,,,,P ,,A ,P ,R ,,,,,,,,,,
339-U1387C-41R-CC-PAL-FORAM,339,U1387,C,41,41-CC,R,CC,PAL,FORAM,0,6,666.26,666.32,B ,,G ,A ,A ,,,,,,,,,,,,,,F ,,,,,,R ,,R ,,R ,,,,,,,,,,,,,,A ,,R ,,,,,,,P ,,,
339-U1387C-42R-1-W 77/79-7714-FORAM,339,U1387,C,42,42-1,R,1,W,77/79-7714-FORAM,0,2,674.27,674.29,,,G ,R ,A ,P ,,,P ,,,,,,,,,,F ,,,,,,R ,,R ,,P ,,,,,,,R ,,,,,,,F ,,F ,,,,,,,,"Some shallow water benthics, Ammonia, Elphidium.",,
339-U1387C-42R-5-W 91/93-7716-FORAM,339,U1387,C,42,42-5,R,5,W,91/93-7716-FORAM,0,2,680.41,680.43,,,VG ,D ,A ,,,,R ,,,,,,,,,,R ,,,P ,,,F ,,R ,,R ,,,,,,,P ,,,,,,,A ,,F ,,,,,,,,Many shallow water benthics and vegetal remains,,
339-U1387C-42R-CC-PAL-FORAM,339,U1387,C,42,42-CC,R,CC,PAL,FORAM,0,5,682.15,682.2,B ,,VG ,A ,A ,,,R ,R ,,,,,,,,,R ,F ,,,,,,R ,,R ,,R ,,,,,,,,,,,,,,A ,,F ,,,R ,,,,P ,,,
339-U1387C-43R-1-W 75/77-7717-FORAM,339,U1387,C,43,43-1,R,1,W,75/77-7717-FORAM,0,2,683.95,683.97,,,G ,R ,A ,,,,R ,,,,,,,,,,F ,,,,,,R ,,F ,,B ,,,,,,,,,,,,,,F ,,F ,,,R ,,,,,,,
339-U1387C-43R-2-PAL-FORAM,339,U1387,C,43,43-2,R,2,PAL,FORAM,0,4,685.76,685.8,B ,,M ,R ,,,,,,,,,,,,,,P ,A ,,,,,,P ,,F ,,R ,,,,,,,P ,,,,,,,A ,P ,R ,,,,,,,,,,
339-U1387C-44R-1-PAL-FORAM,339,U1387,C,44,44-1,R,1,PAL,FORAM,0,2,693.03,693.05,B ,,P ,R ,A ,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,D ,F ,,,,,,,,,turbidite(?),,
339-U1387C-47R-1-W 37/38-7719-FORAM,339,U1387,C,47,47-1,R,1,W,37/38-7719-FORAM,0,1,721.97,721.98,B ,,G ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,almost barren; 2 specimens (G. trilobus; N. pachyderma (sin)); shelf benthic foraminifers and ostracods,,
339-U1387C-47R-CC-PAL-FORAM,339,U1387,C,47,47-CC,R,CC,PAL,FORAM,0,5,722.04,722.09,B ,,P ,R ,P ,P ,,,R ,,,,,,,,,,P ,,P ,,,,,,P ,,R ,,,,,,,,,,,,,,A ,P ,R ,,,,,,,,some recrystalisation,,
339-U1387C-48R-3-W 59/60-7722-FORAM,339,U1387,C,48,48-3,R,3,W,59/60-7722-FORAM,0,1,734.79,734.8,B ,,M ,R ,A ,P ,,R ,R ,,,,,,,,,,P ,,P ,,P ,,R ,,,,R ,,,,,,,P ,,,,,,,F ,,R ,,,F ,,,,,,,
339-U1387C-48R-5-W 27/29-7723-FORAM,339,U1387,C,48,48-5,R,5,W,27/29-7723-FORAM,0,2,737.08,737.1,B ,,M ,R ,A ,,,,R ,,,,,,,,,,A ,,,,,,R ,,A ,,,,,,,,,,,,,,,,A ,P ,F ,,,,,,,,,,
339-U1387C-48R-CC-PAL-FORAM,339,U1387,C,48,48-CC,R,CC,PAL,FORAM,0,5,737.45,737.5,B ,,P ,R ,A ,R ,,,,,,,,,,,,R ,P ,,P ,P ,,,F ,,P ,,R ,,,,,,,,,,,,,R ,F ,,F ,,P ,P ,,,,,,,
339-U1387C-49R-1-W 44/46-7724-FORAM,339,U1387,C,49,49-1,R,1,W,44/46-7724-FORAM,0,2,741.24,741.26,B ,,M ,R ,F ,,,,R ,,,,,,,,,,A ,,,,,P ,F ,,R ,,P ,,,,,,,,,,,,,,F ,P ,F ,,,,,,,,,,
339-U1387C-49R-3-W 39/41-7725-FORAM,339,U1387,C,49,49-3,R,3,W,39/41-7725-FORAM,0,2,744.19,744.21,B ,,G ,D ,F ,,,,P ,,,,,,,,,P ,A ,P ,,R ,P ,,R ,,F ,,R ,P ,,,P ,,,,,,,,,,F ,P ,R ,,,P ,,,,,,,
339-U1387C-49R-5-W 9/10-7726-FORAM,339,U1387,C,49,49-5,R,5,W,9/10-7726-FORAM,0,1,746.89,746.9,B ,,M ,P ,P ,,,,,,,,,,,,,,,,,P ,,,P ,,P ,,,,,,,,,,,,,,,,P ,,P ,,,,,,,,less than 20 planktonic foraminifer specimens in sample; mainly benthic foraminifers,,
339-U1387C-49R-CC-PAL-FORAM,339,U1387,C,49,49-CC,R,CC,PAL,FORAM,0,3,748.1,748.13,B ,,P ,R ,F ,R ,,,R ,,,,,,,,,,P ,,P ,P ,,,R ,,F ,,P ,,,,,,,,,,,,,,F ,,,,P ,,,,,,G. plesiotumida specimens found in sample.,,
339-U1387C-50R-1-W 46/48-7727-FORAM,339,U1387,C,50,50-1,R,1,W,46/48-7727-FORAM,0,2,750.86,750.88,,,G ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,almost barren few planktonic foraminifers; shelf benthic foraminifers and ostracods,,
339-U1387C-50R-1-W 67/68-7728-FORAM,339,U1387,C,50,50-1,R,1,W,67/68-7728-FORAM,0,1,751.07,751.08,,,M ,D ,R ,,,P ,A ,,,,,,,,,P ,F ,P ,,P ,,,P ,P ,F ,,R ,,,,,,,,,,,,,,A ,P ,R ,,,P ,,,,P ,,,
339-U1387C-50R-CC-PAL-FORAM,339,U1387,C,50,50-CC,R,CC,PAL,FORAM,0,3,752.45,752.48,B ,,P ,R ,F ,R ,,,R ,,,,,,,,,,,,P ,,P ,,R ,,F ,,P ,,P ,,,P ,,,,,,,,,F ,,,,P ,,,,,,,,
