Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,,eodp_id
339-U1391C-12R-CC-PAL-FORAM,339,U1391,C,12,12-CC,R,CC,PAL,FORAM,0,5,441.6,441.65,,,G,D,A,R,,,,A,,,,R,,,,,,,,,,,P,,,,,,,,,,,,,P,,R,,,A,F,R,,,,,,,F,,,,9c4c01cea0e7579280e9e40748d9a372
339-U1391C-13R-CC-PAL-FORAM,339,U1391,C,13,13-CC,R,CC,PAL,FORAM,0,5,451.12,451.17,,,G,D,A,R,,,,A,,,,P,P,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,F,F,R,,,,,,,,,,,83fe824ba24ff448ed9fd92b7aa07d01
339-U1391C-14R-CC-PAL-FORAM,339,U1391,C,14,14-CC,R,CC,PAL,FORAM,0,5,460.79,460.84,,,G,D,F,F,,R,R,F,,,,P,,,,,,,,,,P,P,,,,,,,,,,,P,,,,P,,,,F,P,,,,,,,,,,,70c15c015a15111416e3d82cbc9e531d
339-U1391C-15R-CC-PAL-FORAM,339,U1391,C,15,15-CC,R,CC,PAL,FORAM,0,5,470.31,470.36,,,G,D,F,R,,,,F,,,R,P,,,,,,,,,,,R,,,,,,,,,,,P,,,,R,,,A,P,R,,,,,,,P,,,,0c75539618f8bbd2c31e799d14c2e69f
339-U1391C-16R-CC-PAL-FORAM,339,U1391,C,16,16-CC,R,CC,PAL,FORAM,0,5,478.47,478.52,,,M,D,D,R,,,,P,,,,F,,,,,R,,,,,P,R,,,,,,,,,,,P,,,,,,,A,,R,,P,,,,,,,,,1915860a6e9e0beb66f6dac26c0bbadd
339-U1391C-17R-CC-PAL-FORAM,339,U1391,C,17,17-CC,R,CC,PAL,FORAM,0,5,484.74,484.79,,,G,D,A,R,,,,F,,P,,P,P,P,,,,,,,,,R,,,,,,,,,,,P,,,,,,,F,,F,,,,,,,R,,,,4ef2c9eddb76eb9bdfd1586310034d34
339-U1391C-18R-CC-PAL-FORAM,339,U1391,C,18,18-CC,R,CC,PAL,FORAM,0,9,498.66,498.75,,,G,D,A,,,,,A,,,,,,,,,,,,,,P,R,,,,,,,,,,,F,P,,,,,,A,,F,,,,,,,P,,,,029016a85ca54eb947dc3fcb5064d01f
339-U1391C-19R-7-PAL-FORAM,339,U1391,C,19,19-7,R,7,PAL,FORAM,0,5,507.9,507.95,,,G,D,D,F,,,,,,,,R,,,,,R,,B,,,,R,P,,,,,,,,,,P,,,,,,,A,,F,,,,,,,P,,,,7e76a3c83ad089a2a7a80b3fe79c3d73
339-U1391C-20R-CC-PAL-FORAM,339,U1391,C,20,20-CC,R,CC,PAL,FORAM,0,5,511.47,511.52,,,G,D,A,R,,,,,,,,,,,,,R,,B,,,P,A,,,,,,,,,,,P,,,P,,,,A,,F,,,,,,,P,,,,3ae69448bf3126641724a88db119bd28
339-U1391C-21R-CC-PAL-FORAM,339,U1391,C,21,21-CC,R,CC,PAL,FORAM,0,5,526.96,527.01,,,G,D,F,F,,,,,,,,R,,,,,P,,B,,,P,F,,,,,,,,,,,P,,,B,,,,A,,F,R,P,,,,,P,,,,7701ad5c53629f3cfeb9b557410c5a50
339-U1391C-22R-CC-PAL-FORAM,339,U1391,C,22,22-CC,R,CC,PAL,FORAM,0,5,537.17,537.22,,,G,D,D,R,,,,,,,P,P,,,,,P,,B,,,,R,,,,,,,,,,,P,P,,,,,,F,,R,,,,,,,R,,,,afe57580d117fa02ad58df191ab07ae1
339-U1391C-23R-CC-PAL-FORAM,339,U1391,C,23,23-CC,R,CC,PAL,FORAM,0,5,546.89,546.94,,,G,D,D,R,,,,,,,,F,,,,,R,,B,P,B,,A,,,,,,,,,,,P,B,,,,,,F,,F,,,,,,,P,,,,4e15565659ce33e08de2d1c9b059fc58
339-U1391C-24R-CC-PAL-FORAM,339,U1391,C,24,24-CC,R,CC,PAL,FORAM,0,5,556.57,556.62,,,M,D,A,,,,,,,,,P,,,,,,,,P,B,,R,,,,,,,,,,,P,,P,,,F,,F,,R,,,,,,,P,,,,ffd3068815fb58f659c23f5ce82db174
339-U1391C-25R-CC-PAL-FORAM,339,U1391,C,25,25-CC,R,CC,PAL,FORAM,0,5,566.05,566.1,,,M,D,F,R,,,,,,,,P,,,,,,,,P,B,P,F,,,,,,,,,,R,P,,P,,,,,D,,R,,,,,,,P,,,,142024ed5a12c056900e814a54a2af50
339-U1391C-27R-CC-PAL-FORAM,339,U1391,C,27,27-CC,R,CC,PAL,FORAM,0,5,584.14,584.19,,,G,D,A,R,,R,R,,,,,R,,,,,,,P,B,,P,P,,,,,,,,,,R,,,P,,,,,A,,R,,,,,,,P,G. bononiensis morphotype,,,7c8759875cb2de905d3093c56680f3b3
339-U1391C-28R-CC-PAL-FORAM,339,U1391,C,28,28-CC,R,CC,PAL,FORAM,0,5,594.8,594.85,,,M,A,A,R,,R,R,,,,,R,,,,,,,,,,P,,,,,,,,,,,A,P,,B,P,,,,R,,R,,,,,,,,,,,c1bb84f4cfda286965808d2459f03b40
339-U1391C-30R-CC-PAL-FORAM,339,U1391,C,30,30-CC,R,CC,PAL,FORAM,0,3,613.94,613.97,,,G,A,A,R,,P,P,,,,P,P,,,,,P,,,P,,P,P,,,,,,,,,,A,,,,,,,,R,,R,,,,,,,,,,,b1a6025e44f8bd5b6b37685aa7fa2515
339-U1391C-31R-CC-PAL-FORAM,339,U1391,C,31,31-CC,R,CC,PAL,FORAM,0,6,623.39,623.45,,,G,D,A,R,,,P,,,,P,P,,,,,F,,,,,P,F,,,,,,,,,,A,P,,,,,,,R,,R,,,,,,,,,,,e556812bb177c97a6fa76260edfc4be3
339-U1391C-32R-1-W 79/81-FORAM,339,U1391,C,32,32-1,R,1,W,79/81-FORAM,0,2,624.19,624.21,,,G,A,R,R,,,R,,,,P,,,,,,A,,,,,R,F,,,,,,,,,,A,P,,,,,,,R,,F,,,,,,,,,,,63fef681aa9158512a808358a3eb0846
339-U1391C-32R-3-W 76/78-FORAM,339,U1391,C,32,32-3,R,3,W,76/78-FORAM,0,2,627.15,627.17,,,M,A,R,F,,,F,,,,P,P,,,,,F,,,,,,A,,,,,,,,,,F,P,,,,,,,F,,R,,,,,,,,,,,885921e147612d61fcf4ae44dddc9df4
339-U1391C-32R-6-W 149/151-FORAM,339,U1391,C,32,32-6,R,6,W,149/151-FORAM,0,2,632.38,632.4,,,G,A,R,R,,,R,,,,R,R,,,,,A,,,,,,A,,P,,,,,,,,F,,,,,,,,F,,R,,,,,,,,,,,72d766e98b9eafde2da1932f604a1ba5
339-U1391C-32R-CC-PAL-FORAM,339,U1391,C,32,32-CC,R,CC,PAL,FORAM,0,5,633.29,633.34,,,M,A,A,,,,P,,,R,R,,,,,,P,,,,,,A,,,,,,,,,,R,P,,,,,,,R,P,F,,,,,,,R,,,,8777dff4ab2bd536dfa716ba021065a8
339-U1391C-33R-1-W 31/33-FORAM,339,U1391,C,33,33-1,R,1,W,31/33-FORAM,0,2,633.31,633.33,,,G,D,,,,,,,,,P,F,,,,,F,,,,,P,A,,P,,,,,,,,F,P,,,,,,,F,,F,,,,,,,,,,,7c2bd24011836c1cbb3d7a0118f1c657
339-U1391C-33R-3-W 53/55-FORAM,339,U1391,C,33,33-3,R,3,W,53/55-FORAM,0,2,636.53,636.55,,,G,D,F,R,,P,F,,,,F,,,,,,F,,,,,P,F,,,,,,,,,,A,,,,,,,,A,,F,,,,,,,F,,,,33ffd6afa66a2811fd04297c5a20c374
339-U1391C-33R-5-W 32/34-FORAM,339,U1391,C,33,33-5,R,5,W,32/34-FORAM,0,2,639.33,639.35,,,G,D,R,P,,,F,,,,F,,,,,,F,,,,,,A,,,,,,,,,,R,P,,,,,,,F,,F,,,,,,,,,,,76816fa4077cc4926bdf770f2eb1dc92
339-U1391C-33R-6-PAL-FORAM,339,U1391,C,33,33-6,R,6,PAL,FORAM,0,5,641.55,641.6,,,G,D,F,F,,,R,,,,A,,,,,,R,,,,,P,A,,P,,,,,,,,P,P,,,,,,,F,,F,,,P,,,,P,,,,f37dc900ea665a7b92b24a5e4dbc6eee
339-U1391C-34R-CC-PAL-FORAM,339,U1391,C,34,34-CC,R,CC,PAL,FORAM,0,8,652.03,652.11,,,G,A,A,P,,,R,,,,,,,,,,R,,,,,P,A,,P,A,,,,,,,F,P,,,,,,,R,P,F,,,P,,,,,,,,aaf9f0e966cff0393324522b7b7d49e5
339-U1391C-36R-CC-PAL-FORAM,339,U1391,C,36,36-CC,R,CC,PAL,FORAM,0,5,670.93,670.98,,,G,A,A,R,,,R,,,,,R,,,,,A,,,,,,A,,,,,,,,,,,P,,,,,,,F,,F,,,P,,,,,,,,4fb40989bf6a16405e3de076870ea36e
