Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneulinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1389A-20X-CC-PAL-FORAM,339,U1389,A,20,20-CC,X,CC,PAL,FORAM,0,5,177.64,177.69,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,12d881c21dbdb9be4d18311098d47cae
339-U1389A-21X-CC-PAL-FORAM,339,U1389,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.69,187.74,,P,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,2b04aed67bf43303b21c3fa02928b794
339-U1389A-22X-CC-PAL-FORAM,339,U1389,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.47,197.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,P,A,,,,,,,,,,,,555a7e7e00de1dbb07b4a938cefcbf07
339-U1389A-23X-CC-PAL-FORAM,339,U1389,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.88,206.93,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,P,,,,,,544568366e7087a513ab7adb3b9ad022
339-U1389A-24X-CC-PAL-FORAM,339,U1389,A,24,24-CC,X,CC,PAL,FORAM,0,5,216.58,216.63,,,P,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,c3b3ec7479a352d2108069e8d8cc04a1
339-U1389A-25X-CC-PAL-FORAM,339,U1389,A,25,25-CC,X,CC,PAL,FORAM,0,5,226.44,226.49,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,61740b4e14098c4cae596ef156340d32
339-U1389A-26X-CC-PAL-FORAM,339,U1389,A,26,26-CC,X,CC,PAL,FORAM,0,5,234.66,234.71,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,3939797dbcd73510ca964b658acd682a
339-U1389A-27X-CC-PAL-FORAM,339,U1389,A,27,27-CC,X,CC,PAL,FORAM,0,5,245.11,245.16,,P,P,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,b6622793c835270c96c0181b54a80c22
339-U1389A-28X-CC-PAL-FORAM,339,U1389,A,28,28-CC,X,CC,PAL,FORAM,0,5,255.22,255.27,,R,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,9ecc4b1f3d383e9e31716e1a48fb6ad4
339-U1389A-29X-CC-PAL-FORAM,339,U1389,A,29,29-CC,X,CC,PAL,FORAM,0,5,264.56,264.61,,,,,,A,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,ce73e08fe083b4d54e033924f0d922a9
339-U1389A-30X-CC-PAL-FORAM,339,U1389,A,30,30-CC,X,CC,PAL,FORAM,0,5,274.3,274.35,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,57e86eab8203d2d7847946999919b27a
339-U1389A-31X-CC-PAL-FORAM,339,U1389,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.56,283.61,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,P,F,A,,,,,,,,,,,,a947e301694f413e5174e1495b7765d6
339-U1389A-32X-CC-PAL-FORAM,339,U1389,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.18,293.23,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,dd908a2410319531d60b66774e890a6a
339-U1389A-33X-CC-PAL-FORAM,339,U1389,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.31,302.36,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,P,F,P,,,,,,,,,,,c83cf0ca74d58f6c1505cc641872afa3
339-U1389A-34X-CC-PAL-FORAM,339,U1389,A,34,34-CC,X,CC,PAL,FORAM,0,5,312.51,312.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,70a3387359b6dfb540288ccefc5b883d
339-U1389A-35X-CC-PAL-FORAM,339,U1389,A,35,35-CC,X,CC,PAL,FORAM,0,5,320.64,320.69,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,f62fe6de8069234b8935f63f31c0f969
339-U1389A-36X-CC-PAL-FORAM,339,U1389,A,36,36-CC,X,CC,PAL,FORAM,0,5,324.47,324.52,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8454331fc7f6bef98e9659c72a210a98
339-U1389A-37X-CC-PAL-FORAM,339,U1389,A,37,37-CC,X,CC,PAL,FORAM,0,5,336.43,336.48,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1533b01775d4100846d9c177bc84680
339-U1389A-38X-CC-PAL-FORAM,339,U1389,A,38,38-CC,X,CC,PAL,FORAM,0,5,346.2,346.25,,,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,96baf3db5e4560b6f6896b11a3546337
339-U1389A-39X-CC-PAL-FORAM,339,U1389,A,39,39-CC,X,CC,PAL,FORAM,0,5,350.85,350.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,12a0a980d9015f7bf799c50c41ebb175
