Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1410A-8H-CC-PAL,342,U1410,A,8,8-CC,H,CC,PAL,0,10,75.34,75.44,VG [P21],P,,,,,,F,F,F,,,,,,,,,,A,P,,,P,,,F,,,P,,,,,F,P,,,,F,,,,,,F,,,,,,F,,F,,,A,,P,,,F,,,,,,A,,,P,P,P,,,F,,,,,F,,P,,,,F,P,,,P,,F,F,,P,F,,,,,,,P,F,,,,d947ec56569574c54c8679d559d28411
342-U1410A-9H-CC-PAL,342,U1410,A,9,9-CC,H,CC,PAL,0,10,84.51,84.61,G [P21],P,,F,,F,,,F,F,,,,,,F,,,,A,P,,,F,,,A,,,F,,P,,,F,F,,,,,,,,,,,,,,,,,,P,,,,,P,,P,,,,,,,F,,,F,P,F,,,P,,F,,P,A,,,F,,,,,P,,,,F,A,,,F,P,,,,,P,,,,,,72501e485e7b3d4489b4a9461ee6c245
342-U1410A-10H-CC-PAL,342,U1410,A,10,10-CC,H,CC,PAL,0,10,93.11,93.21,VG [P21],P,,,,,,,F,,,,,,P,F,,,,F,F,,F,P,,,,,,F,,P,,,F,F,,,,P,,,,,,P,,,,,,P,,,,,F,,P,,,,,,,,,A,P,,,,A,,,F,,P,,F,,,,F,,,,,,,P,,,F,,P,A,F,,,,,,,,,,,39cc9e9e66ab3aa462d1baa40978223a
342-U1410A-11H-CC-PAL,342,U1410,A,11,11-CC,H,CC,PAL,0,6,103.15,103.21,G [P21],P,,,,,,P,P,F,,,,P,,F,,,,F,F,,,,,,,,,,,,,,A,,,,,F,,,,,P,,,,,,,F,,P,,,,,,,,,,,,,,A,,F,P,P,A,,,F,,F,,,F,,,P,,,,,,,,,P,F,,F,P,A,,,,,,P,F,,,,1993369e83075b6aef239c2778aee098
342-U1410A-11H-CC-PAL,342,U1410,A,11,11-CC,H,CC,PAL,0,6,103.15,103.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c16eb5e3d8e6a198d8037b6a62b736fa
342-U1410A-12H-CC-PAL,342,U1410,A,12,12-CC,H,CC,PAL,0,10,113.32,113.42,G [P21],P,,,,,,F,F,,,P,,,,A,,,,P,F,,,P,,,,,,F,,,,,F,,,,,,,,,,,F,,,,,P,,,P,,,,,,,,P,,,,,,A,,,,,A,,,F,,,,,F,,,,,,,,,F,P,,F,F,,P,F,,,,,,,,F,,,,fdf5da8698a75bdb6bddb711222c3c21
342-U1410A-13H-CC-PAL,342,U1410,A,13,13-CC,H,CC,PAL,0,10,122.52,122.62,G [P21],P,,,,,,F,F,F,,,,,P,,,,,,P,,,,,,P,,,F,,P,,,F,P,,,,P,,,,,P,P,,,,,,,,P,,,P,,P,,,P,,,,,,A,,F,,F,A,,,F,,,,P,P,,,F,,,F,,,P,,,F,A,,P,P,F,,,,,,F,F,,,,ac8bd9a703c1cdd7cb23dd744e7ab6b6
342-U1410A-14H-7-PAL,342,U1410,A,14,14-7,H,7,PAL,0,12,131.92,132.04,G [P21],P,,,,,,,P,F,,,,,,P,,,,,P,,,P,,,P,,,F,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,P,,,,,,A,,,,,P,,,P,,,,,,,P,,,,,,,,,,F,F,,P,A,,,,,,,,,,,,95ea49bbf85d0a904865763e1c57b93c
342-U1410A-15H-7-PAL,342,U1410,A,15,15-7,H,7,PAL,0,15,141.37,141.52,G [P21],P,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,P,,P,,,,,,P,,,,,P,,P,,P,P,,,P,,,,,,,,,only few specimens so all rated P,,,c282ffaec0e9fb16c283179f58252e18
342-U1410A-16H-7-PAL,342,U1410,A,16,16-7,H,7,PAL,0,23,150.87,151.1,G [P21],P,,P,,,,F,P,F,,,,,,P,,,,,F,,,,,,,,,,,P,,,P,P,,,,F,,,,,,P,,,,,,,,P,,,,,F,,,,,,,,,A,,,F,P,P,,,F,,,,,,,P,P,,,,,,,,,P,A,,,F,,,,,,,,,,,,b7d7659d5fbaef31408a33d130b88268
342-U1410A-17X-CC-PAL,342,U1410,A,17,17-CC,X,CC,PAL,0,5,160.79,160.84,VG [P21],P,,,,,,,F,F,,,,,,F,,,,A,A,,F,P,,,,,,F,F,,,,F,,,,,P,,,,,P,P,,,,,,,,P,,,P,,,,,,,,,,,F,,,F,,A,,,P,,,,,A,,,P,,,F,,,,,,F,,,P,F,,,,,,,P,F,,,,28a388f54d376eeea9968831732a06ad
342-U1410A-18X-CC-PAL,342,U1410,A,18,18-CC,X,CC,PAL,0,5,170.3,170.35,G [P21],R,,F,,P,,F,,F,,,,,,F,,,,A,,,,,,,,,,F,,,,,F,,,,,P,,,,,,P,,,,,,,,,,,P,,,,,P,,,,,,A,,,F,P,F,,,P,,P,,P,F,,P,,,,,,,,,,P,,,,F,,,,,,,,,,,,d3bc86ae918bd9a0d4a5b116dab4382f
342-U1410A-19X-CC-PAL,342,U1410,A,19,19-CC,X,CC,PAL,0,6,179.95,180.01,G [P21],P,,F,,,,F,,F,,,,,P,A,,,,P,,F,F,,,,,,,F,P,,,,F,,,,,F,,,,,P,F,,,,,P,P,,F,,,P,,,,,P,,,,,,A,,,,,F,,,P,,F,,,F,,P,F,,,,,,,,,F,,,P,F,,,,,,,,,,,,166163adfea096607273577ec9b35c68
342-U1410A-20X-CC-PAL,342,U1410,A,20,20-CC,X,CC,PAL,0,5,189.59,189.64,VG [P21],P,,,,,,P,F,A,,,,,,F,,,,P,P,A,,,,,,,,,F,P,,,P,F,,,,P,,,,,,,,,,,,,,P,,,P,,F,,,,,,,,,A,,,,,A,,,P,,,,,P,,P,P,,,,,,,,,F,,,,P,,P,,,,,,,,,,94a9417d667a383d525d15c8535f56af
342-U1410A-21X-CC-PAL,342,U1410,A,21,21-CC,X,CC,PAL,0,5,199.1,199.15,G [P21],P,,A,,,,,,F,,P,,,,P,,,,A,P,,,P,,,,,,F,F,P,,,A,,,,,F,,,,,,F,,,,,,,,,,,P,,P,,,,,,,,,A,,,,,F,,,P,,F,,,,,P,F,,,,,,,,,F,P,,P,F,,P,,,,,,,,,,a0d996e572445267007e34acdb774455
342-U1410A-22X-CC-PAL,342,U1410,A,22,22-CC,X,CC,PAL,0,5,208.9,208.95,VG [P21],P,,,,,,F,,F,,,,,,P,,,,,P,,P,F,,F,,,,A,,,,,F,,,,,F,,,,,,P,,,,,,P,,A,,,P,,P,,,,,,,,,A,,,,,A,,,F,,P,,,,,,,,,,,P,,,,P,,,P,P,,,,,,,,P,,,,62a18f34e8b26f640da1cc39c792807e
342-U1410A-23X-CC-PAL,342,U1410,A,23,23-CC,X,CC,PAL,0,5,218.4,218.45,VG [P21],P,,A,,,,,,F,,,,,,,,,,P,,A,,P,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,,,,,F,,,F,,,,,,,,,,,,,P,,,,A,,,,,,,,,,,,,,,,02fdb43a9ceebca53772cee0f880150a
342-U1410A-24X-CC-PAL,342,U1410,A,24,24-CC,X,CC,PAL,0,5,227.03,227.08,G [P21],P,,,,,,,,P,,,,,,,,,,,P,,F,F,,,,,,A,,P,,,F,,,,,,,,,,,,,,,,,,,P,,,P,,,,,A,,,,,,A,,P,,,,,,P,,,,,,,,P,,,,,,,,,A,A,,P,F,,,,,,,,,,,,3b79f69d1f6e4af55a043add4a5c210c
342-U1410A-25X-CC-PAL,342,U1410,A,25,25-CC,X,CC,PAL,0,8,233.15,233.23,G [P21],P,,,,,,P,,F,,,,,,A,,,,,P,A,F,A,,,,,,A,,P,,,F,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,F,,,,,F,,,,,P,,,,,P,,,,P,,,,,,F,,,P,,,,,,,,,,,,,cec39c94a0aec8fd52fb257ea9d5fedd
342-U1410A-26X-CC-PAL,342,U1410,A,26,26-CC,X,CC,PAL,0,8,246.05,246.13,P [P21],P,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,only few specimens so all rated P,,,2b31cec3c7ab4659bd06627544e72899
342-U1410A-27X-CC-PAL,342,U1410,A,27,27-CC,X,CC,PAL,0,12,255.08,255.2,M [P21],P,,,,,,P,,P,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,P,only few specimens so all rated P,,,eab474dc2fa389e4b5057cde772fc263
342-U1410A-28X-CC-PAL,342,U1410,A,28,28-CC,X,CC,PAL,0,8,258.65,258.73,M [P21],P,,A,,F,,,,F,,,,,,,,,,,,P,,F,,,P,,,,,,,,,P,,,,P,,,,,,,,,,,P,F,,,,,P,,,,,F,,,,,,A,,,,,,,,P,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,F,,,,afde5a18f0b6fe58151e4688547d8b76
