Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1404A-9H-5-W 115/117-FORAM,342,U1404,A,9,9-5,H,5,W,115/117-FORAM,0,2,78.35,78.37,78.36,VG,P,,,,,,,,,,,,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c3b65c31ae74ee66a6d005c18fcae39
342-U1404A-9H-6-W 115/117-FORAM,342,U1404,A,9,9-6,H,6,W,115/117-FORAM,0,2,79.85,79.87,79.86,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7a5a413354f70eb78a129b5128e65944
342-U1404A-9H-CC-PAL,342,U1404,A,9,9-CC,H,CC,PAL,,0,5,81.03,81.08,81.06,M,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,only 4 specimens so all rated present,,,489690f7905d916a68738c05a787dbd9
342-U1404A-10H-1-W 115/117-FORAM,342,U1404,A,10,10-1,H,1,W,115/117-FORAM,0,2,81.85,81.87,81.86,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,7b75f80e68ee5d1cfb7a6d016962df2e
342-U1404A-10H-2-W 115/117-FORAM,342,U1404,A,10,10-2,H,2,W,115/117-FORAM,0,2,83.35,83.37,83.36,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a625e687923d0fabb048dd2f49b0727
342-U1404A-10H-3-W 115/117-FORAM,342,U1404,A,10,10-3,H,3,W,115/117-FORAM,0,2,84.85,84.87,84.86,G,P,,,,,,,,P,,,,,,,,,,,A,,,,,,,,,,,,,,F,F,,,,P,,,A,,,,,A,,,,,,A,,D,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,F,P,,,,,,,,,,,P,,,,db4da71aa3c5f3d6bbb05af6c23155f4
342-U1404A-10H-4-W 115/117-FORAM,342,U1404,A,10,10-4,H,4,W,115/117-FORAM,0,2,86.35,86.37,86.36,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,P,,,,,,,,,,F,P,P,,,,,,P,,A,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,P,,,,,,,P,,,,,,,,,,,,,,P,,,,baf4f548cde6863b31c7da287a054707
342-U1404A-10H-5-W 115/117-FORAM,342,U1404,A,10,10-5,H,5,W,115/117-FORAM,0,2,87.85,87.87,87.86,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,"few specimens, so all rated present",,,62df495a22a9963d0296501cc3e02fc5
342-U1404A-10H-6-W 115/117-FORAM,342,U1404,A,10,10-6,H,6,W,115/117-FORAM,0,2,89.35,89.37,89.36,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,D,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a0616f1d2a5dd15c33511f46b5626b44
342-U1404A-10H-CC-PAL,342,U1404,A,10,10-CC,H,CC,PAL,,0,5,90.54,90.59,90.57,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,P,,,,P,,,,,,,,A,,,,,,F,,D,,,,,,P,,,,,,,,,,,P,,,P,,,,,F,,,P,,,,,,,,,F,,,,F,,,,,,,,,,,,f462fb47b9094c26874fa58c49665244
342-U1404A-11H-1-W 100/102-FORAM,342,U1404,A,11,11-1,H,1,W,100/102-FORAM,0,2,91.2,91.22,91.21,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,fraction 125-150ym,,,aaac8c588278c59aefe56f83e01c763c
342-U1404A-11H-2-W 100/102-FORAM,342,U1404,A,11,11-2,H,2,W,100/102-FORAM,0,2,92.53,92.55,92.54,VG,P,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,D,,,,P,F,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,,db130065ba8a381d886ecffe10b3738a
342-U1404A-11H-3-W 100/102-FORAM,342,U1404,A,11,11-3,H,3,W,100/102-FORAM,0,2,94.06,94.08,94.07,G,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,d866716835e8dbd411461daa8fa30707
342-U1404A-11H-4-W 100/102-FORAM,342,U1404,A,11,11-4,H,4,W,100/102-FORAM,0,2,95.52,95.54,95.53,G,P,,,,,,,,,,,,,,F,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,F,,P,,,,,,,,,,,,,,,,,F,,,,,,,,,,,A,,,,,,,,,,A,,,A,P,,,,,,,P,,,,a36d19f7c7374d443d0ac72a749654ef
342-U1404A-11H-CC-PAL,342,U1404,A,11,11-CC,H,CC,PAL,,0,5,96.21,96.26,96.24,VG,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,P,,P,,,,,,F,,,,,,,,,,A,,,,,,,,,,,,,P,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,be68317e78ac68033179b4cb2d353494
342-U1404A-12H-1-W 100/102-FORAM,342,U1404,A,12,12-1,H,1,W,100/102-FORAM,0,2,97.2,97.22,97.21,,P,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aef71b656e4800ea7abbe58fffddde48
342-U1404A-12H-2-W 100/102-FORAM,342,U1404,A,12,12-2,H,2,W,100/102-FORAM,0,2,98.65,98.67,98.66,VG,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,D,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,9f8877c8732c1614188658fd1c937489
342-U1404A-12H-3-W 100/102-FORAM,342,U1404,A,12,12-3,H,3,W,100/102-FORAM,0,2,100.1,100.12,100.11,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4688ec516614c0c08972d9bf941b9974
342-U1404A-12H-4-W 100/102-FORAM,342,U1404,A,12,12-4,H,4,W,100/102-FORAM,0,2,101.55,101.57,101.56,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efdee4a9aa74e8b8728dfd7854cda94e
342-U1404A-12H-5-W 100/102-FORAM,342,U1404,A,12,12-5,H,5,W,100/102-FORAM,0,2,103.0,103.02,103.01,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e333bfd58c070b4fca5dc56a0fdac210
342-U1404A-12H-6-W 100/102-FORAM,342,U1404,A,12,12-6,H,6,W,100/102-FORAM,0,2,104.5,104.52,104.51,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8922b32a0bc149c5a269d89c48491928
342-U1404A-12H-CC-PAL,342,U1404,A,12,12-CC,H,CC,PAL,,0,5,106.03,106.08,106.06,M,P,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c466b66299bc9946dd4491841625501
342-U1404A-13H-2-W 100/102-FORAM,342,U1404,A,13,13-2,H,2,W,100/102-FORAM,0,2,107.22,107.24,107.23,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e1cd0f36baedbe7ad2b058bb0ab132f
342-U1404A-13H-3-W 100/102-FORAM,342,U1404,A,13,13-3,H,3,W,100/102-FORAM,0,2,108.73,108.75,108.74,M,P,,,,F,,,,P,,,,F,,,,,,A,F,,,,,,F,P,,,,A,,,F,,,,,,,,,,,,P,F,,,,P,,,,F,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,,,,,,,,,,,4eddd378e13efedf0d0fe9d786401b46
342-U1404A-13H-4-W 100/102-FORAM,342,U1404,A,13,13-4,H,4,W,100/102-FORAM,0,2,110.23,110.25,110.24,,F,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec297857b47b40cf132b97b22c0e703a
342-U1404A-13H-5-W 100/102-FORAM,342,U1404,A,13,13-5,H,5,W,100/102-FORAM,0,2,111.73,111.75,111.74,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1ab77663321d3db4ca3ea1b307f859c
342-U1404A-13H-6-W 100/102-FORAM,342,U1404,A,13,13-6,H,6,W,100/102-FORAM,0,2,113.23,113.25,113.24,M,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,385539a647e3fe06f5bf3ffd5ecffe35
342-U1404A-13H-7-W 90/92-FORAM,342,U1404,A,13,13-7,H,7,W,90/92-FORAM,0,2,114.63,114.65,114.64,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c5d60c01f2d28bdd4e9c6ff69673801
342-U1404A-13H-CC-PAL,342,U1404,A,13,13-CC,H,CC,PAL,,0,6,115.04,115.1,115.07,VG,P,,,,,,P,,,,,,P,,,,P,,A,,,,,,,,,,,,A,,,P,,,P,,,,,,,,F,P,F,,,,,,F,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,F,,,,,,,,F,,,,,F,,,,P,,,,,,,,31cfce42a4067ec783e9dfa68773bec7
342-U1404A-14H-1-W 90/92-FORAM,342,U1404,A,14,14-1,H,1,W,90/92-FORAM,0,2,116.1,116.12,116.11,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe7bc8868745c5bca61c5824cdc4f312
342-U1404A-14H-2-W 55/57-FORAM,342,U1404,A,14,14-2,H,2,W,55/57-FORAM,0,2,117.25,117.27,117.26,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba17f54d214e9d68b4c1b111aa67c99d
342-U1404A-14H-3-W 90/92-FORAM,342,U1404,A,14,14-3,H,3,W,90/92-FORAM,0,2,119.1,119.12,119.11,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236cc4a3ecf032d713ef86c7d6ed3807
