Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,Unnamed: 122,eodp_id
339-U1388B-12X-CC-PAL-NANNO,339,U1388,B,12,12-CC,X,CC,PAL,NANNO,0,5,110.88,110.93,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,VA,,,F,,,,,,,,,,,F,,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,,,,,8e193bced260785794bc0e7ea7587027
339-U1388B-13X-CC-PAL-NANNO,339,U1388,B,13,13-CC,X,CC,PAL,NANNO,0,5,120.66,120.71,M-P,VA,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,F,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c92c0294183047c976aaed445c15dc3
339-U1388B-14X-CC-PAL-NANNO,339,U1388,B,14,14-CC,X,CC,PAL,NANNO,0,5,130.14,130.19,G,A,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,ec04bb73ddb19fb19639054fba200ca7
339-U1388B-15X-CC-PAL-NANNO,339,U1388,B,15,15-CC,X,CC,PAL,NANNO,0,5,139.81,139.86,G,A,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,,A,,,R,,,,,,,,,,,,,,,,,,A,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,eda3cc4c4f93ea349da3182bcf02b665
339-U1388B-16X-CC-PAL-NANNO,339,U1388,B,16,16-CC,X,CC,PAL,NANNO,0,5,149.27,149.32,G,VA,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,A,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,39f67c1308c30970b4a8ba04e558469b
339-U1388B-17X-CC-PAL-NANNO,339,U1388,B,17,17-CC,X,CC,PAL,NANNO,0,5,151.74,151.79,M-P,VA,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,A,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2d4ff187601f1a822035a75d69e974c8
339-U1388B-18X-CC-PAL-NANNO,339,U1388,B,18,18-CC,X,CC,PAL,NANNO,0,5,162.77,162.82,M-P,C,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,d76e93b03bc2f2a03235f5507a2082b6
339-U1388B-19X-CC-PAL-NANNO,339,U1388,B,19,19-CC,X,CC,PAL,NANNO,0,5,177.97,178.02,M-P,VA,,,,,,,,P,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,F,,VA,,,R,,,,,,,,,,,R,F,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,94ea4c04502afe387a2b1a59cb4f561e
339-U1388B-20X-CC-PAL-NANNO,339,U1388,B,20,20-CC,X,CC,PAL,NANNO,0,6,185.85,185.91,M-P,A,,,,,,,,R,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,F,,C,,A,,,R,,,,,,,,,,,R,R,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,937549d9a133acc0ff45ffa2b752c872
339-U1388B-21X-CC-PAL-NANNO,339,U1388,B,21,21-CC,X,CC,PAL,NANNO,0,5,188.61,188.66,M-P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,R,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,c25786e9f246fb1b633d32f680afbfb8
339-U1388B-22X-CC-PAL-NANNO,339,U1388,B,22,22-CC,X,CC,PAL,NANNO,0,5,198.99,199.04,M-P,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,R,,C,,,R,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,d886000c7e17c5e1036a96d4f28ca636
339-U1388B-23X-CC-PAL-NANNO,339,U1388,B,23,23-CC,X,CC,PAL,NANNO,0,7,211.8,211.87,G,A,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,A,,,R,,,,,,,,,,,,C,,,P,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,f0ca69406d981cc24f4083e2d9106be9
339-U1388B-24X-CC-PAL-NANNO,339,U1388,B,24,24-CC,X,CC,PAL,NANNO,0,5,225.68,225.73,G,A,,,,,R,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,A,,,F,,,,,,,,,,,,C,,,R,,,A,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,c2f4d5883ef9a7741932789171e0ae5d
