Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Alabamminella weddellensis,Alabammina spp.,Allomorphina pacifica,Amphicoryna sp.,Ammodiscus spp.,Anomalinoides globulosus,Anomalinoides spp.,Astacolus spp.,Astrononion echolsi,Astrononion spp.,Bigenerina spp.,Bolivina huneri,Bolivina spp.,Brizalina pusilla,Brizalina spp.,Bulimina alazanensis,Bulimina spp.,Buliminella parvula,Buliminella spp.,Cassidulina spp.,Cassidulinoides tenuis,Caudamina spp.,Chilostomella oolina,Chilostomella spp.,Chrysalogonium crassitestum,Chrysalogonium  equisetiformis,Chrysalogonium spp.,Cibicides lobatulus,Cibicidoides barnetti,Cibicidoides bradyi,Cibicidoides eocaenus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides praemundulus,Cibicidoides wuellerstorfi,Cibicidoides robertsonianus,Cibicidoides spp,Cystammina pauciloculata,Cyclammina spp.,Dentalina spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina histrix,Eubuliminella exilis,Epistominella spp.,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fissurina formosa,Fissurina spp.,Fursenkoina bradyi,Fursenkoina spp.,Gaudryina pyramidata,Gaudryina spp.,Glandulina spp.,Glandulonodosaria spp.,Globulina spp.,Globobulimina pacifica,Globobulimina ovata,Globocassidulina subglobosa,Globocassidulina spp.,Globobulimina spp.,Glomospira charoides,Glomospira gordialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides orbicularis,Gyroidinoides spp.,Haplophragmoides walteri,Haplophragmoides spp.,Heronallenia spp.,Karreriella bradyi,Karreriella chapapotensis,Karreriella spp.,Karrerulina coniformis,Laticarinina pauperata,Lenticulina orbicularis,Lenticulina spp.,Marginulina obesa,Martinotiella communis,Melonis barleeanum,Melonis pompilioides,Melonis sphaeroides,Myllostomella spp.,Neoeponides campester,Nodosarella robusta,Nonion affine,Nonion havanensis,Nonion spp.,Nodosaria spp.,Nuttallides truempyi,Nuttallides umbonifer,Nuttallides spp.,Oolina spp.,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paracassidulina spp.,Planulina costata,Planulina renzi,Planulina spp.,Pleurostomella brevis,Pleurostomella sp.,Polymorphina spp.,Procerolagena gracillima,Pseudoglandulina glanduliniformis,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia spp.,Pyrgo murrhina,Pyrgo serrata,Pyrgo spp.,Pyrulina spp.,Quadrimorphina profunda,Quadrimorphina spp.,Quinqueloculina sp.,Rectuvigerina senni,Rectuvigerina striata,Recurvoides spp.,Reophax spp.,Reussella spinulosa,Reticulophragmium amplectens,Reticulophragmium spp.,Siphogenerinoides spp.,Siphonodosaria abyssorum,Siphonodosaria antillea,Siphonodosaria annulifera,Siphonodosaria hispidula,Siphonodosaria spinata,Siphonodosaria spp.,Sphaeroidina bulloides,Spiroloculina spp.,Spiroplectammina spectabilis,Spiroplectammina spp.,Spiroplectella earlandi,Stilostomella spp.,Textularia spp.,Triloculina spp.,Trochammina spp.,Trochamminoides spp.,Unilocular species,Tube-shaped agglutinated forms,Turrilina brevispira,Turrilina robertsi,Turrilina spp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina proboscidea,Uvigerina peregrina bradyiana,Uvigerina spp.,Valvulammina spp.,Vulvulina spinosa,Agglutinated gen. et sp. indet.,Calcareous gen. et sp. indet.,,Cribrostomoides subglobosus,Cyclammina cancellata,Fissurina cucullata,Pyrgo lucernula,Trochamminoides olszewskii,Comment,eodp_id
321-U1337A-5H-2-W 112/114-FORAM,321,U1337,A,5,5-2,H,2,W,112/114-FORAM,0,0,36.61,36.61,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,0faae38062f236a027e0f16e27339970
321-U1337A-5H-4-W 111/113-FORAM,321,U1337,A,5,5-4,H,4,W,111/113-FORAM,0,0,39.61,39.61,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,fb6f2adee07a766439b469ccf01e31ab
321-U1337A-5H-CC-PAL,321,U1337,A,5,5-CC,H,CC,PAL,,0,0,43.8,43.8,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,1,1,,2,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-,ac9d12b9f80b396ed72b682eebf11a1d
321-U1337A-6H-2-W 16/18-FORAM,321,U1337,A,6,6-2,H,2,W,16/18-FORAM,0,0,45.16,45.16,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,decffe191efa0d3f6c0f2b95d5dbec1f
321-U1337A-6H-6-W 129/131-FORAM,321,U1337,A,6,6-6,H,6,W,129/131-FORAM,0,0,52.29,52.29,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=2/98,9660715e128a00579227f1fce2743480
321-U1337A-6H-CC-PAL,321,U1337,A,6,6-CC,H,CC,PAL,,0,0,53.45,53.45,G,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,1,,1,,,5,,,,,,,,,,4,,,,,,,,1,,2,,,,,,1,,,,,,,,,,2,,,,1,,2,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-,3023c6827f8cf15e90536e7acd5a1e57
321-U1337A-7H-2-W 129/131-FORAM66,321,U1337,A,7,7-2,H,2,W,129/131-FORAM66,0,0,55.79,55.79,G,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,4,,4,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,9b7eb9d3971af23d4e992ba4f063305a
321-U1337A-7H-4-W 98/100-FORAM67,321,U1337,A,7,7-4,H,4,W,98/100-FORAM67,0,0,58.48,58.48,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,375b11077ee2f514e2c67d19b8ee5e19
321-U1337A-7H-CC-PAL,321,U1337,A,7,7-CC,H,CC,PAL,,0,0,62.86,62.86,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-,9c8007e27410111e65d04ef65fe12735
321-U1337A-8H-2-W 119/121-FORAM1,321,U1337,A,8,8-2,H,2,W,119/121-FORAM1,0,0,65.185,65.185,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99,2bf371ff94a0d6a95931524f89d1d05d
321-U1337A-8H-4-W 17/19-FORAM0,321,U1337,A,8,8-4,H,4,W,17/19-FORAM0,0,0,67.165,67.165,G,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=2/98,6ee8dbaa64c145a32369ea64bc3f9aac
321-U1337A-8H-CC-PAL,321,U1337,A,8,8-CC,H,CC,PAL,,0,0,71.55,71.55,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,3,1,,,,,,,,,1,,,,,,,,,,11,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-,d6d4f850a77b372d9f8e79b362d1a497
321-U1337A-9H-1-W 66/68-FORAM32,321,U1337,A,9,9-1,H,1,W,66/68-FORAM32,0,0,72.66,72.66,G,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,2,,1,,,,,,1,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=10/90,900e2f9c80c41796e659cdfe46a5cf55
321-U1337A-9H-6-W 10/12-FORAM35,321,U1337,A,9,9-6,H,6,W,10/12-FORAM35,0,0,79.6,79.6,G,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,2,1,,,,,,,,,2,,,,,,,1,,,4,,,,,,3,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=12/88,50e1136650510784556f3f6a5a3343bc
321-U1337A-9H-CC-PAL,321,U1337,A,9,9-CC,H,CC,PAL,,0,0,81.94,81.94,G,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,10,,1,1,3,,1,1,,,,,,,,,,3,,,,,,,1,,,4,,,,,,5,1,,,,,,,,,5,1,,,6,,,,,,,,,,,,2,,,4,,1,,,,,,1,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,3,,,,,3,,,,,,,,3,,,1,1,,,,,,,,,,,,1,,,,,,,Bathymetry=LB-A; P/B=-,03748843210b8e4d87a0c5cef8091969
321-U1337A-10H-1-W 26/28-FORAM35,321,U1337,A,10,10-1,H,1,W,26/28-FORAM35,0,0,81.76,81.76,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,3,,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=11/89,95f544a862a08df5d0390dbe2166da15
321-U1337A-10H-3-W 82/84-FORAM36,321,U1337,A,10,10-3,H,3,W,82/84-FORAM36,0,0,85.32,85.32,G,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,2,1,,,,,,,,,2,,,,,,,,,,2,,,,,,3,,1,,,,,,,,3,1,,,1,,1,1,,,,,,,,,,,,10,,,,,,,,,1,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,Bathymetry=LB-A; P/B=12/88,a93bf784282d107d89419b6af27cc1ac
321-U1337A-10H-CC-PAL,321,U1337,A,10,10-CC,H,CC,PAL,,0,0,91.53,91.53,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,4,,,,,,4,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; rad + diatom rich,9ff1207a322c331022ad93fdb73e0f70
321-U1337A-11H-2-W 43/45-FORAM43,321,U1337,A,11,11-2,H,2,W,43/45-FORAM43,0,0,92.93,92.93,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,16,,,1,,,,1,1,,,,,,,,3,,,,,,,,,,,6,,,,,,6,,3,,,,,,,,7,,,,1,,,2,,,,,,,,,,,,9,,3,,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=33/67,6af1a8562e7a680233c1691f956554fe
321-U1337A-11H-5-W 144/146-FORAM45,321,U1337,A,11,11-5,H,5,W,144/146-FORAM45,0,0,98.44,98.44,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,2,,1,,,,,,,,7,,,,3,,1,,,,,,,,,,,,,6,,2,,,,,,1,,,,,,1,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,Bathymetry=LB-A; P/B=21/79,b58e0b677a405a9314907632d78a4d7f
321-U1337A-11H-CC-PAL,321,U1337,A,11,11-CC,H,CC,PAL,,0,0,101,101,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,2,,,,5,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=60/40,cdf81db6cdfe3a9e02b0b9f6b4b6863d
321-U1337A-12H-CC-PAL,321,U1337,A,12,12-CC,H,CC,PAL,,0,0,110.4,110.4,G,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,2,,1,6,,,,,,6,,,,,,,,,,4,,,,2,,,1,,,,,,,,,,,,12,,,,,,,1,,,,,,,,,,,,,2,2,2,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Bathymetry=LB-A; P/B=-,b92a172fbb43cedb9218879468bd4395
321-U1337A-13H-1-W 24/26-FORAM20,321,U1337,A,13,13-1,H,1,W,24/26-FORAM20,0,0,110.24,110.24,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,2,,,,,,2,1,,,,,,,,,4,,,,1,,,2,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,2,2,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,Bathymetry=LB-A; P/B=8/91,5a6e987a63479f3d0a01e38ee746dec7
321-U1337A-13H-4-W 19/21-FORAM25,321,U1337,A,13,13-4,H,4,W,19/21-FORAM25,0,0,114.69,114.69,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,4,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,5,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,1,,,,,,4,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Bathymetry=LB-A; P/B=14/86,a14a4f6103c0f95a7b3728cc4bab0e5f
321-U1337A-14H-2-W 44/46-FORAM31,321,U1337,A,14,14-2,H,2,W,44/46-FORAM31,0,0,121.44,121.44,G,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,13,,2,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,11,,,,,,,,,1,,,,,2,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,Bathymetry=LB-A; P/B=41/59,57889d07477210c88ef7ad418d09a05d
