Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 945,A,  1,H, 1, 123.00,      1.2300,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,C                           ,C                         ,-                   ,-                           ,R                  ,F                            ,-                     ,-                    ,R                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,C                            ,F                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 945,A,  1,H, 1, 141.00,      1.4100,Showers  ,Planktonic Foraminifers                      ,F              ,P                 ,C                           ,F                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,C                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 945,A,  1,H,CC,   0.00,      8.9000,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                           ,F                         ,-                   ,-                           ,-                  ,-                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 945,A,  2,H,CC,   2.00,     18.4900,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,R                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,C                            ,F                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 945,A,  3,H,CC,  43.00,     27.2200,Showers  ,Planktonic Foraminifers                      ,T              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 945,A,  4,H,CC,   0.00,     37.8800,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 945,A,  5,H,CC,  21.00,     47.6000,Showers  ,Planktonic Foraminifers                      ,T              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 945,A,  6,H,CC,  10.00,     55.4600,Showers  ,Planktonic Foraminifers                      ,T              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 945,A,  7,H,CC,  26.00,     65.7600,Showers  ,Planktonic Foraminifers                      ,T              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 945,A,  8,H,CC,  16.00,     75.1600,Showers  ,Planktonic Foraminifers                      ,T              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 647 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
