Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongurus pylomaticus,Saturnalis circularis,Pterocanium trilobum,Lamprocyrtis heteroporos,Eucyrtidium teuscheri teuscheri,Eucyrtidium acuminatum,Cycladophora sakaii,Cycladophora davisiana,Cycladophora cornutoides,Axoprunum angelinum,Lamprocyrtis neoheteroporos,Lamprocyclas hannai,Eucyrtidium calvertense,Didymocyrtis tetrathalamus tetrathalamus,Amphirhopalum ypsilon,Phormostichoartus fistula,Phormostichoartus corbula,Cycladophora pliocenica,Pterocanium praetextum eucolpum,Didymocyrtis avita,Spongaster tetras tetras,Theocorythium trachelium trachelium,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A,  7,H,CC,  28.00,     59.0800,Motoyama ,Radiolarians                                 ,A              ,G                 ,R                    ,1                    ,                    ,                        ,R                              ,                      ,                   ,A                     ,                        ,F                  ,                           ,R                  ,R                      ,                                        ,                     ,                         ,                         ,                       ,                               ,                  ,                        ,1                                  ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A,  8,H,CC,  21.00,     68.6900,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,1                    ,R                   ,                        ,1                              ,R                     ,                   ,A                     ,1                       ,R                  ,                           ,R                  ,                       ,                                        ,                     ,                         ,                         ,                       ,R                              ,                  ,                        ,R                                  ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A,  9,H,CC,  28.00,     77.8400,Motoyama ,Radiolarians                                 ,A              ,G                 ,R                    ,1                    ,R                   ,                        ,                               ,                      ,                   ,A                     ,R                       ,R                  ,                           ,R                  ,R                      ,                                        ,1                    ,                         ,1                        ,                       ,1                              ,                  ,                        ,R                                  ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 10,H,CC,  21.00,     87.6000,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,                    ,                        ,R                              ,                      ,                   ,A                     ,R                       ,F                  ,C                          ,C                  ,F                      ,                                        ,1                    ,                         ,R                        ,                       ,                               ,                  ,                        ,                                   ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 11,H,CC,  39.00,     96.5300,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,F                   ,                        ,                               ,1                     ,                   ,C                     ,                        ,R                  ,                           ,F                  ,R                      ,R                                       ,1                    ,1                        ,1                        ,                       ,R                              ,                  ,1                       ,1                                  ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 12,H,CC,  20.00,    106.6600,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,1                    ,F                   ,1                       ,R                              ,1                     ,                   ,A                     ,1                       ,R                  ,                           ,C                  ,F                      ,R                                       ,R                    ,                         ,R                        ,                       ,                               ,                  ,1                       ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 13,H,CC,  24.00,    115.1900,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,1                    ,C                   ,                        ,R                              ,R                     ,                   ,A                     ,2                       ,F                  ,1                          ,C                  ,R                      ,1                                       ,                     ,                         ,                         ,                       ,                               ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 14,H,CC,  24.00,    124.5400,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,C                   ,1                       ,1                              ,1                     ,                   ,A                     ,1                       ,R                  ,1                          ,C                  ,R                      ,                                        ,1                    ,1                        ,                         ,                       ,                               ,R                 ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 15,H,CC,  21.00,    134.7900,Motoyama ,Radiolarians                                 ,A              ,VG                ,1                    ,                     ,C1                  ,R                       ,R                              ,1                     ,                   ,C                     ,                        ,R                  ,1                          ,R                  ,R                      ,R                                       ,1                    ,                         ,                         ,                       ,R                              ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 16,H,CC,  20.00,    144.4700,Motoyama ,Radiolarians                                 ,A              ,G                 ,R                    ,1                    ,R                   ,                        ,R                              ,1                     ,                   ,A                     ,1                       ,R                  ,                           ,F                  ,R                      ,R                                       ,                     ,                         ,1                        ,                       ,1                              ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 17,H,CC,  22.00,    154.1200,Motoyama ,Radiolarians                                 ,C              ,G                 ,R                    ,                     ,F                   ,F                       ,R                              ,                      ,                   ,                      ,F                       ,1                  ,F                          ,F                  ,R                      ,                                        ,R                    ,                         ,                         ,                       ,                               ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 18,H,CC,  17.00,    162.6100,Motoyama ,Radiolarians                                 ,A              ,G                 ,R                    ,R                    ,R                   ,1                       ,R                              ,1                     ,                   ,A                     ,F                       ,R                  ,R                          ,R                  ,R                      ,R                                       ,R                    ,R                        ,R                        ,                       ,R                              ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 19,H,CC,  21.00,    173.2200,Motoyama ,Radiolarians                                 ,A              ,G                 ,1                    ,                     ,C                   ,                        ,F                              ,                      ,                   ,A                     ,C                       ,                   ,                           ,R                  ,                       ,                                        ,R                    ,                         ,                         ,R                      ,                               ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 20,H,CC,  23.00,    182.7200,Motoyama ,Radiolarians                                 ,A              ,G                 ,                     ,                     ,                    ,                        ,F                              ,                      ,                   ,C                     ,F                       ,R                  ,                           ,R                  ,R                      ,1                                       ,                     ,1                        ,1                        ,                       ,                               ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 21,H,CC,  26.00,    192.1300,Motoyama ,Radiolarians                                 ,C              ,G                 ,1                    ,1                    ,F                   ,F                       ,R                              ,R                     ,                   ,                      ,R                       ,                   ,1                          ,R                  ,1                      ,R                                       ,R                    ,                         ,                         ,                       ,                               ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1083,A, 22,H,CC,  25.00,    201.4500,Motoyama ,Radiolarians                                 ,A              ,M                 ,1                    ,R                    ,F                   ,F                       ,R                              ,1                     ,F                  ,R                     ,F                       ,1                  ,                           ,                   ,                       ,                                        ,                     ,                         ,                         ,                       ,                               ,                  ,                        ,                                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
