Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
353-U1447A-59X-CC-PAL-FORAMP,0,5,468.86,468.91,,,,,,,,,,4.53,6.08,G,D,,,,,,,,,R,R,,,,,,,,,,,,,A,,,,C,,,,F,,,C,,F,,,,,,,,,,R,,R,,,,,,,,,,,,,,R,,,,,,,,,F,,R,,,,,R,,,F,F,,,,,,353,U1447,A,59,X,CC,PAL,575be0f62adad773a863dbf9e52b1f81
353-U1447A-60X-CC-PAL-FORAMP,0,5,478.48,478.53,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,R,,,A,,R,,,,,,,,,,R,R,,,,R,,,,R,,,R,,,,,,,,R,,,,F,,,R,,,,,,,,R,F,,,,,,353,U1447,A,60,X,CC,PAL,da8aa6c44b4b182d8fab86a4f555c930
353-U1447A-61X-CC-PAL-FORAMP,0,5,487.99,488.04,,,,,,,,,,5.92,,G,D,,,,,,,,,,R,,,,,,,,,,,,,A,,,,C,,,,R,,,A,R,R,,,,,,,,,R,,R,,,,R,,,R,,,,,,,,,,,,,,,,F,,,R,,,,,,,,R,R,,,,,,353,U1447,A,61,X,CC,PAL,d44d12932a327bf56ec8574073a81e17
353-U1447A-62X-CC-PAL-FORAMP,0,5,498.14,498.19,,,,,,,,,,5.92,,G,D,,,,,,,,,,,,,,,,,,,,,,,A,,,,C,,,,R,,,C,R,R,,,,,,,,,R,,R,,,,R,,,R,,,,,,R,,,,,,R,,F,,A,,,R,,,,,,,,R,R,,,,,,353,U1447,A,62,X,CC,PAL,fbce8dde29830e67cfa08aedfa0d11a7
353-U1447A-63X-CC-PAL-FORAMP,0,5,507.66,507.71,,,,,,,,,,,6.08,G,A,,,,,,,,,,R,,,,,,,,,,,,,F,,,,F,,,,R,,,A,,,,,,,,,,,R,R,R,,,,R,,,,,,,,,,,R,,,,R,,F,,C,,,R,,,,,,,,,F,,,,,,353,U1447,A,63,X,CC,PAL,591cb83abb4eae4fb5574ee7bc22c9bb
353-U1447A-64X-CC-PAL-FORAMP,0,5,517.44,517.49,,,,,,,,,,5.92,6.2,G,D,,,,,,,,,,C,,,,,,,,,,,,C,A,,,,C,,,,A,,,A,C,,,,,,,,,,,,R,,,,F,,,,,,,,,R,,,F,,,F,F,,,F,,,F,,,,,,,,,F,,,,,,353,U1447,A,64,X,CC,PAL,a29619f1d37a50a1f831401a0eeabd1a
353-U1447A-65X-CC-PAL-FORAMP,0,5,526.26,526.31,,,,,,,,,,5.92,6.08,G,D,,,,,,,,,,F,,,,,,,,,,R,,C,C,,,,R,,,,A,,,A,F,,,,,,,,,,,R,C,,,,F,,,F,,,,,,R,,,,,,C,F,F,F,C,,,F,,,,,,,,F,F,,,,,,353,U1447,A,65,X,CC,PAL,1c42292876c5081fff544222cecfa305
353-U1447A-66X-CC-PAL-FORAMP,0,5,537.06,537.11,,,,,,,,,,5.92,6.08,G,D,,,,,,,,,,R,,F,,,,,,,,F,,F,A,,,,A,,,,A,,,A,F,,,,,,,,,,,F,C,,,,R,,,F,,,,,,,,,,,,C,F,F,F,C,,,F,,,,,,,,R,F,,,,,,353,U1447,A,66,X,CC,PAL,148b3c4c99756f320615541a022d9611
353-U1447A-67X-CC-PAL-FORAMP,0,5,546.34,546.39,,,,,,,,,,,,G,C,,,,,,,,,,C,,,,,,,,,,,,,F,,,,F,,,,R,,,A,,R,,,,,,,,,R,,R,,,,R,,,R,,,,,,,,,,,,,,,,F,,,R,,,,,,,,R,F,,,,,,353,U1447,A,67,X,CC,PAL,afb315781b2cea68c6e2b4743926102b
353-U1447A-68X-CC-PAL-FORAMP,0,5,556.44,556.49,,,,,,,,,,5.92,,G,D,,,,,,,,,,C,,F,,,,,,,,F,,,A,,,,,,,,A,,,A,R,,,,,,,,,,,,C,,,,F,,,R,,,,,,,,,F,,,C,F,R,R,C,,,F,,,,,,,,F,F,,,,,,353,U1447,A,68,X,CC,PAL,41b49518a1eefe026bd4b16634862032
353-U1447A-69X-CC-PAL-FORAMP,0,5,566,566.05,,,,,,,,,,,8.58,G,C,,,,,,,,,,F,,R,,,,,,,,,,,F,,,,C,,,,,,,C,,,,,,,,,,,R,,,,,,R,,,R,,,,,,,,,,,,,R,,,F,,R,R,,,,,,,,R,R,,,,,,353,U1447,A,69,X,CC,PAL,7160b442f4e3899d451479bf40e2e9cb
353-U1447A-71X-CC-PAL-FORAMP,0,5,585.28,585.33,,,,,,,,,,,8.58,G,A,,,,,,,,,,F,,R,,,,,,,,,,,C,,,,C,,,,R,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,F,,,R,,,,,,,,R,R,,,,,,353,U1447,A,71,X,CC,PAL,a2a0e8f6246f2b1e468ffc9f4ca8c239
353-U1447A-72X-CC-PAL-FORAMP,0,5,594.9,594.95,,,,,,,,,,,8.58,G,D,,,,,,,,,,C,F,R,,,,,,,,,,,R,,,,C,,,,,,,C,,R,,,,,,,,,,,R,,,,R,,,R,,,,,,,,,,,,F,F,,,F,,R,R,,,,,,,,R,R,,,,,,353,U1447,A,72,X,CC,PAL,a918b7bc947151c158b8fc1a12a7b4d4
353-U1447A-73X-CC-PAL-FORAMP,0,5,604.82,604.87,,,,,,,,,,,8.93,G,D,,,,,,,,,,F,,,,,,,,,,,,,C,,,,C,,,,,,,C,,R,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,R,,,F,,,R,,R,R,,,,,,,,,R,,,,,,353,U1447,A,73,X,CC,PAL,56fc39352a0c5c9052bed77a3166351b
353-U1447A-74X-CC-PAL-FORAMP75,0,5,614.84,614.89,,,,,,,,,,,8.58,G,D,,,,,,,,,,F,R,,,,,,,,,,,,F,,,,C,,,,R,,,C,,R,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,R,,R,C,,,,,,,,,,,,,,R,R,,,,,,353,U1447,A,74,X,CC,PAL,1e976cba1f7070fd9e6de4bbd21ffa10
353-U1447A-75X-CC-PAL-FORAMP,0,5,624.15,624.2,,,,,,,,,,,8.93,G,D,,,,,,,,,,R,R,,,,,,,,,,,,F,,,,A,,,,R,,,F,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,R,,R,C,,,,,,,,,,,,,,R,R,,,,,,353,U1447,A,75,X,CC,PAL,4c7498a34ec3cfe9c18c9cbc5750c798
353-U1447A-76X-CC-PAL-FORAMP,0,5,633.75,633.8,,,,,,,,,,,8.58,G,D,,,,,,,,,,F,,,,,,,,,,,,,F,,,,A,,,,R,,,C,,R,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,F,,R,F,,,F,,,R,,,,,,,,R,R,,,,,,353,U1447,A,76,X,CC,PAL,6a3a5b906726d8dc93c0303911f2f461
353-U1447A-77X-CC-PAL-FORAMP,0,5,643.42,643.47,,,,,,,,,,,8.58,G,D,,,,,,,,,,F,,,,,,,,,,,,,F,,,,A,,,,R,,,A,,R,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,F,,R,F,,,,,,R,,,,,,,,R,R,,,,,,353,U1447,A,77,X,CC,PAL,f7c53817b9ce6a78a4bd8dfc36ab5ea4
353-U1447A-78X-CC-PAL-FORAMP,0,5,651.54,651.59,,,,,,,,,,,8.58,M,F,,,,,,,,,,R,,,,,,,,,,,,,R,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,R,C,,,,,R,R,,,,,,,,,R,,,,,,353,U1447,A,78,X,CC,PAL,2593e13e4aec976bb8e375c4e950968b
353-U1447A-79X-CC-PAL-FORAMP,0,5,653.87,653.92,,,,,,,,,,,8.58,G,C,,,,,,,,,,,,C,,,,R,,,,A,,,C,,,,R,,,,,,,C,,,,,,,,,,,,,A,,,,F,,,,,,,,,,,F,F,,,C,,,R,C,R,,F,,,,,,,,,,,,,,,353,U1447,A,79,X,CC,PAL,09bb1b3aa5d8c1c6fb6ccf15bcc723c7
353-U1447A-80X-CC-PAL-FORAMP,0,5,663.26,663.31,,,,,,,,,,,,G,D,,,,,,,,,,F,,R,,,,,,,,C,,R,A,,,,,,,,,,,C,,R,,,,,,,,,,F,C,,,,F,,,F,,,,,,,,F,F,R,,C,,,,F,,,,,,,,,,,C,C,,,,,,353,U1447,A,80,X,CC,PAL,8569b08d591125408af2afe189a02912
353-U1447A-81X-CC-PAL-FORAMP,0,5,672.51,672.56,,,,,,,,,,,8.93,G,A,,,,,,,,,,R,,F,,,,,,,,F,,,A,,,,A,,,,F,,,A,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,R,,C,F,,,C,,,F,,,,,,,,F,F,,,,,,353,U1447,A,81,X,CC,PAL,73d245468948ac6e3e1029861eef8188
353-U1447A-82X-CC-PAL-FORAMP,0,5,682.44,682.49,,,,,,,,,,,8.93,G,A,,,,,,,,,,R,,,,,,,,,,,,,A,,,,C,,,,,,,A,,,,,,,,,,,,,A,,,,,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,R,F,,,,,,353,U1447,A,82,X,CC,PAL,67c88f70eb218a67c7fc416c63acbe2d
353-U1447A-83X-CC-PAL-FORAMP,0,5,692.12,692.17,,,,,,,,,,,9.69,G,C,,,,1,,,,,,F,,R,,,,,,,,F,,,F,,,,A,,,,C,,,A,,F,,,,,,,,,,,C,,,,,,,R,,,,,,,,,R,R,,C,,,,R,,,R,,,,,,,,R,R,,,,,,353,U1447,A,83,X,CC,PAL,d9dc470a42dd5f766b19034950a79cfe
353-U1447A-84X-CC-PAL-FORAMP,0,5,700.05,700.1,,,,,,,,,,,9.69,G,A,,,,,,,,,,F,R,F,,,,,,,,,,,,,,,C,,,,,,,F,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,F,,,C,,,,,,R,,,,,,,,R,R,,,,,,353,U1447,A,84,X,CC,PAL,b52adf445cae43621ffff3d59f07932f
353-U1447A-85X-CC-PAL-FORAMP,0,5,711.4,711.45,,,,,,,,,,,,G,F,,,,,,,,,,F,,R,,,,,,,,,,,,,,,F,,,,R,,,C,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,353,U1447,A,85,X,CC,PAL,815df05216d2e953bc55364708feaea2
353-U1447A-86X-CC-PAL-FORAMP,0,5,721.26,721.31,,,,,,,,,,,9.83,G,D,,,,,,,,,,F,,C,,,,,,,,,,,,,,,C,,,,R,,,C,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,R,,,,,,,,R,R,,,,,,353,U1447,A,86,X,CC,PAL,798007dc33e19922c4358be27fc665f2
353-U1447A-87X-CC-PAL-FORAMP,0,5,730.95,731,,,,,,,,,,9.83,10.66,G,D,,,,,,,,,,F,,C,,,,,,,,,,,,,,,C,,,,R,,,A,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,R,,,,,,,,R,R,,,,,,353,U1447,A,87,X,CC,PAL,6b0e06c810adee6d04759476b03508af
353-U1447A-88X-CC-PAL-FORAMP,0,5,740.41,740.46,,,,,,,,,,,,M,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,353,U1447,A,88,X,CC,PAL,62701bd05bee0ce2780a8a71bb871681
