Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1446A-12H-CC-PAL-FORAMP,0,5,109.41,109.46,,,,,,,,,,0.61,,G,D,75,,,,,3600,R,,,,,F,,,,F,F,F,,A,,,,,,,,,,A,C,,R,F,,,,,,,,,,,,,C,,,,,,,,,R,,C,,F,,,,,R,,,A,,F,,,F,D,,,C,,,F,,,,,,,,353,U1446,A,12,H,CC,PAL
353-U1446A-13H-CC-PAL-FORAMP,0,5,118.93,118.98,,,,,,,,,,0.61,,G,D,80,,,acostaensis,,2218,,,,,,F,,,,F,,,,A,,R,,,,,,,,A,C,,R,C,,,,,,,,,,,,,C,,,,,,,R,,R,,F,,C,,,,,,,R,A,,,,,R,A,R,,A,,,,,,,,,,,353,U1446,A,13,H,CC,PAL
353-U1446A-14H-CC-PAL-FORAMP,0,5,128.9,128.95,,,,,,,,,,,,M,D,81,,,obliquus/acostaensis,,21427,,,,,,C,,,,F,F,F,,C,,R,,,,,R,,,A,A,,R,C,,,,,,,,,,,,,F,,,,,,,,,,,R,,F,,,,,R,,R,C,F,C,,,F,,,,F,,,R,,,,,,,,353,U1446,A,14,H,CC,PAL
353-U1446A-15H-CC-PAL-FORAMP99,0,5,137.6,137.65,,,,,,,,,,,,M,A,72,,,,,1757,,,,,,C,,,,R,,,,C,,,,,,,,,,A,F,,,C,,,,,,,,,,,,,F,,,,,,,,,,,R,R,R,,,,,R,,,A,,C,,,F,A,R,,C,,,,,,,,,,,353,U1446,A,15,H,CC,PAL
353-U1446A-16H-CC-PAL-FORAMP,0,5,146.93,146.98,,,,,,,,,,,,M,A,76,,,,,1008,R,,,,,R,,,,C,,,,F,,C,,,,,,,,C,C,,R,C,,,,,,,,,,,,,F,,,,,,,,,,,,,A,,,,,,,,A,,,,,,A,R,,A,,,,,,,,,,,353,U1446,A,16,H,CC,PAL
353-U1446A-17H-CC-PAL-FORAMP,0,5,156.22,156.27,,,,,,,,,,,,M,C,50,,,,,360,F,,,,,F,,,,F,F,,,C,,F,,,,,,,,A,C,,,A,,,,,,,,,,,,,F,,,,,,,,,,,R,,F,,,,,,,,A,,F,,,F,,,,,,,,,,,,,,,353,U1446,A,17,H,CC,PAL
353-U1446A-18H-CC-PAL-FORAMP,0,5,166.95,167.0,,,,,,,,,,,,G,D,73,,,,,1422,,,,,,F,,,,,,,,C,,,,,,,,,,A,A,,,C,,,,,,,,,,,,,F,,,,,,,,,,,F,,A,,,,,,,,C,,,,,F,D,,,A,,,F,,,,,,,,353,U1446,A,18,H,CC,PAL
353-U1446A-19F-CC-PAL-FORAMP,0,5,170.74,170.79,,,,,,,,,,,,G,F,61,,,,,,,,,,,R,,,,,,,,F,,R,,,,,,,,C,,,,F,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,F,,R,,R,R,,R,,F,,,R,,,,,,,,353,U1446,A,19,F,CC,PAL
353-U1446A-20F-CC-PAL-FORAMP,0,5,175.6,175.65,,,,,,,,,,,,G,D,72,,,,,680,,,,,,C,,,,,,,,C,,F,,,,,,,,C,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,A,,C,,,F,D,,,A,,,F,,,,,,,,353,U1446,A,20,F,CC,PAL
353-U1446A-21F-CC-PAL-FORAMP,0,5,180.06,180.11,,,,,,,,,,,,G,A,54,,,flexuosa,,256,,,,,,,,,,,,,,F,,,,,,,,,,A,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,,,,A,,F,,,,D,,,A,,,A,,,,,,,,353,U1446,A,21,F,CC,PAL
