Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Chiasmolithus grandis,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Cyclicargolithus luminis,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster nodifer,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster sanmiguelensis,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster triradiatus,Discoaster variabilis,Discoaster williamsii,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (>5.5 microns),Gephyrocapsa sp. (4-5.5 microns),Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera burkei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera sellii,Lanternithus minutus,Minylitha convallis,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera exilis,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera punctosa,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra circus,Reticulofenestra erbae,Reticulofenestra lockeri,Reticulofenestra pseudoumbilicus,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Reticulofenestra umbilicus,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus pospichalii,Sphenolithus predistentus,Sphenolithus pseudoheteromorphus,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus longus,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1505C-11H-CC-PAL-NANNO,0,5,102.73,102.78,NN12,G,A,F,,F,,C,R,,,,,F,F,,,,,,C,,,,,,F,,,,C,,,,,,,,,,,,C,,,,,,C,C,,,,C,,,,,,,,,,,F,,F,,,,,,,,,,F,,,,,,,,C,A,A,,F,F,A,,,,,,,,,,,F,,,,C,,,,,C,,,,,,,368,U1505,C,11,H,CC,PAL,bd5f9ed0d206853f7f63323ec412f365
368-U1505C-12H-CC-PAL-NANNO,0,5,111.68,111.73,NN12,G,A,,,,,C,R,,F,,,F,,,,,,,C,,,,,,F,,,,C,,,,,,,,,,,,C,,,,,,C,F,,,,C,,,,,,,,,,,C,,F,,,,,,,,,,F,,,,,,,,R,A,A,,F,R,A,,,,,,,,,,,C,,,,A,,,,,C,,,,,,,368,U1505,C,12,H,CC,PAL,a46d7be977b196c3ee47a4667bd4724e
368-U1505C-13H-CC-PAL-NANNO,0,5,122.66,122.71,NN11,G,A,F,,,,F,R,,F,,,,,,,,,,C,,,R,,,F,,C,,F,,,,,,,,,,,,C,,,C,,,C,F,,,,C,,,,,,,,,,,F,,R,,,,F,F,,,,,R,,,,,,,,C,A,A,,,,A,,,,,,,,,,,F,,,,C,,,,,C,,,,,,,368,U1505,C,13,H,CC,PAL,5c10c2f62663b18aa3f6813e8bb0dab2
368-U1505C-14H-CC-PAL-NANNO,0,5,132.18,132.23,NN11,G,A,F,,,,C,R,,F,,,,,,,,,,C,,,,,,,,C,,F,,,,,,,,,,,,C,,,C,,,C,F,,,,C,,,,,,,,,,,F,,R,,,,R,,,,R,,F,,,,,,,,F,A,A,,,,A,,,,,,,,,,,F,,,,C,,,,F,C,,,,,,,368,U1505,C,14,H,CC,PAL,6c45e1f38d6643b4fe41e52e29584a73
368-U1505C-15H-CC-PAL-NANNO,0,5,141.27,141.32,NN11,G,A,F,F,,,F,R,,C,,,,,,,,,,F,,,,,,,,C,,C,,,,,,,,,,,,C,,,C,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,F,,,,,,,,F,A,A,,R,R,A,,,,,,,,,,,F,,,,C,,,,F,C,,,,,,,368,U1505,C,15,H,CC,PAL,9794db18ebc36d4a7320fadc0fb91384
368-U1505C-16H-CC-PAL-NANNO,0,5,150.85,150.9,NN11,G,A,,F,,,F,F,,C,,,,,,,,,,C,,,,,,,,C,,F,,,,,,,,,,,,F,,,C,,,C,F,,,,C,,,,,,,,,,,C,,,,,,,,,,R,,F,,,,,,,,,A,A,,,R,A,,,,,,,,,,,F,,,,C,,,,F,C,,,,,,,368,U1505,C,16,H,CC,PAL,42bb5084babbf181929c1ecf609a9c44
368-U1505C-17H-CC-PAL(34-39)-NANNO,0,5,160.62,160.67,NN10,G,A,,,,,F,R,,C,,,,,,,,,,C,,,,,,,,,,C,,,,,,,,,,F,,F,,C,,,,F,,,,,C,,,,,,,,,,,C,,,,,,,,,,F,,F,,,,,,,,C,C,C,,,R,A,,,,,,,,,,,F,,,,A,,,,F,C,,,,,,,368,U1505,C,17,H,CC,PAL,77f323f723e990a769ac99376027d18e
368-U1505C-18H-CC-PAL(29-34)-NANNO,0,5,170.23,170.28,NN10,G,A,,,,,C,R,,C,,,,,,,,,,C,,,,,,,,,F,C,,,,,,,,,,C,,F,,C,,,,F,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,C,C,C,,,R,C,,,,,,,,,,,C,,,,C,,,,F,C,,,,,,,368,U1505,C,18,H,CC,PAL,ae86a16f8265a519a2ba1f9217474700
368-U1505C-19H-CC-PAL(33-38)-NANNO,0,5,179.7,179.75,NN9,G,A,,,,,C,F,,C,C,,,,,,,,,C,,,,,,,,,C,C,,,,,,C,,,,C,,,,F,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,R,,,,,,,,C,C,C,,,,C,,,,,,,,,,,C,,,,C,,,,F,C,F,,,,,,368,U1505,C,19,H,CC,PAL,679a8b34c2706559e37ecf3a9fc120d3
368-U1505C-20H-CC-PAL(30-35)-NANNO,0,5,189.21,189.26,NN9,G,A,,,,,C,F,,C,C,C,,,,,,,,C,,,,,,,,,C,C,,,,,,C,,,,,,,,F,,,,F,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,C,C,,,,F,,,,,,,,,,,C,,,,C,,,,F,C,C,,,,,,368,U1505,C,20,H,CC,PAL,20c21e1be06dca2b6aecdffd5fe86921
368-U1505C-21H-CC-PAL(17-22)-NANNO,0,5,196.48,196.53,NN8,G,A,,,,,C,R,,C,,F,,,,,,,,C,,,,,,,,,C,,,,,,,,,,F,,,,,C,,,,F,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,A,C,,,R,F,,,,,,,,,,,C,,,,C,,,,F,C,C,,,,,,368,U1505,C,21,H,CC,PAL,7961e73194872cf23a4d2ba93124816a
368-U1505C-22H-CC-PAL(25-30)-NANNO,0,5,200.01,200.06,NN7,G,A,,,,,C,,,C,,,,,,,,,,C,F,,,,,,,,F,F,,,,,,,,,F,,,,,C,,,,F,,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,C,C,,,R,C,,,,,,,,,,,C,,,,C,,,,F,C,F,,,,,,368,U1505,C,22,H,CC,PAL,4d09f4e53a801ee3f3e2ae856db25daa
368-U1505C-23H-CC-PAL(37-42)-NANNO,0,5,207.0,207.05,NN6,G,A,,,,,C,C,C,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1505,C,23,H,CC,PAL,5ad318d36f7265f4b1eab8627ff2a26b
368-U1505C-24F-CC-PAL(29-34)-NANNO,0,5,212.13,212.18,NN6,G,A,,,,,C,C,C,,,,,,,,,,F,C,,,C,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,24,F,CC,PAL,ed389af0f989e146d163fb0823845b15
368-U1505C-25F-CC-PAL(32-37)-NANNO,0,5,216.87,216.92,NN6,G,A,,,,,C,C,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,25,F,CC,PAL,c2d3de31899937fa1f1a6a294d93500f
368-U1505C-26F-CC-PAL(24-29)-NANNO,0,5,221.49,221.54,NN6,G,A,,,,,C,C,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,26,F,CC,PAL,b9408080ec1820806ee6871172b80b22
368-U1505C-27F-CC-PAL(33-38)-NANNO,0,5,226.28,226.33,NN6,G,A,,,,,C,C,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,27,F,CC,PAL,281f4a0df20b81b47e17590a92fd3d62
368-U1505C-28F-CC-PAL(22-27)-NANNO,0,5,230.88,230.93,NN6,G,A,,,,,C,C,,,,,,,,,,,C,C,C,,A,,,,,,,,,,C,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,F,,,,C,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,368,U1505,C,28,F,CC,PAL,7a1e98f672f9bd14f9c8d1972ab2652d
368-U1505C-29F-CC-PAL(27-32)-NANNO,0,5,235.64,235.69,NN5,G,A,,,,,C,C,,,,,,,,,,,C,C,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,368,U1505,C,29,F,CC,PAL,b17fbf2b54215fe800ad9f79019fcef9
368-U1505C-30F-CC-PAL-NANNO,0,5,240.27,240.32,NN5,G,A,,,,,F,,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,,,,,,,VERY GOOD PRESERVATION OF S HETEROMORPHUS,,,,368,U1505,C,30,F,CC,PAL,487032efede1a23bdb6ba85581f331ad
368-U1505C-31F-CC-PAL-NANNO,0,5,244.97,245.02,NN5,G,A,,,,,F,,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,,,,,,,VERY GOOD PRESERVATION OF S HETEROMORPHUS,,,,368,U1505,C,31,F,CC,PAL,4ce87b159b0c0a28f3ab8e3c901a262a
368-U1505C-32F-CC-PAL-NANNO,0,5,249.69,249.74,NN5,G,A,,,,,F,,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,,,,,,,VERY GOOD PRESERVATION OF S HETEROMORPHUS,,,,368,U1505,C,32,F,CC,PAL,7a485dea26b9cceaacbebd35a7d5e964
368-U1505C-33F-CC-PAL-NANNO,0,5,254.41,254.46,NN5,G,A,,,,,F,,,,,,,,,,,,F,F,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,368,U1505,C,33,F,CC,PAL,9b69997b951d20979886c2dd1a0d4ca6
368-U1505C-34F-CC-PAL-NANNO,0,5,259.12,259.17,NN5,G,A,,,,,F,,,F,,,,,,,,,C,C,F,,C,,,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,C,,,,,,,,,,,C,,C,,,,,,,,,,F,,,,,,,,,,C,,,F,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,368,U1505,C,34,F,CC,PAL,b6063bfbcf3f0f0c0b9d7c6ef8597244
368-U1505C-35F-CC-PAL-NANNO,0,5,263.78,263.83,NN4,G,A,,,,,C,,F,F,,,,,,,,,F,C,F,,C,,,,,,,,,,C,,,,,,F,,,,C,,,,F,C,,,,,C,,,,,,,,R,,,C,,C,,,,,,,,,,F,,,,,,,,,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,35,F,CC,PAL,cc0c76be90b51ad613a51157a34c7336
368-U1505C-36F-CC-PAL-NANNO,0,5,268.48,268.53,NN4,G,A,,,,,C,,F,F,,,,,,,,,F,C,F,,A,,,,,,,,,,C,,,,,,F,,,,F,,,,C,C,,,,,C,,,,,,,,F,,,C,,C,,,,,,,,,,F,,,,,,,,,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,36,F,CC,PAL,402b33d8196eee504a0e00c2c7e5f8a9
368-U1505C-37F-CC-PAL-NANNO,0,5,272.96,273.01,NN4,G,A,,,,,C,,F,F,,,,,,,,,F,C,F,,A,,,,,,,,,,C,,,,,,F,,,,,,,,,C,,,,,C,,,,,,,,F,,,C,,C,,,,,C,,,,,F,,,,,,,,,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,37,F,CC,PAL,b5c759a935549084ce70216cc3c1e07c
368-U1505C-38F-CC-PAL-NANNO,0,5,277.9,277.95,NN4,G,A,,,,,C,,F,F,,,,,,,,,F,C,F,,A,,,,,,,,,,C,,,,,,F,,,,,,,,,C,,,,,C,,,,,,,,F,,,C,,C,,,,,F,,,,,F,,,,,,,,,C,C,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,38,F,CC,PAL,d08e9f7827cd1f7b326c813f1028b9ad
368-U1505C-39F-CC-PAL-NANNO,0,5,279.35,279.4,NN4,G,A,,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,F,,R,,,,,,,,F,,F,,,,,,,,C,C,A,,,R,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,39,F,CC,PAL,64dd7821d8bc6dca0b2a1ad11315320d
368-U1505C-40F-CC-PAL-NANNO,0,5,284.39,284.44,NN4,G,A,,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,F,,R,,,,,,,,F,,F,,,,,,,,C,C,A,,,R,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,40,F,CC,PAL,8eebb7bb8e4dbc8e4ffe5852c2da2d44
368-U1505C-41F-CC-PAL(20-25)-NANNO,0,5,288.96,289.01,NN4,G,A,,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,F,,R,,,,,F,,,F,,F,,,,,,,,,C,A,,,,,,,,,,,,,,A,C,F,,,,,,,,C,,,,,,,368,U1505,C,41,F,CC,PAL,281717e5c2b69659c33df9b1862ae339
368-U1505C-42F-CC-PAL(28-33)-NANNO,0,5,293.78,293.83,NN4,G,A,,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,F,,F,,,,,,,,R,C,A,,,,,,,,,,,,,,A,C,F,,,,,,,,C,,,,,,,368,U1505,C,42,F,CC,PAL,41828df4f1296ad3837d5ab391f829cb
368-U1505C-43F-CC-PAL(21-26)-NANNO,0,5,298.17,298.22,NN4,G,A,,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,F,,F,,,,,,,,R,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,C,,,,,,,368,U1505,C,43,F,CC,PAL,6e0efd9f8fff3b5cfcc7587d3d80c8c6
368-U1505C-44F-CC-PAL(26-31)-NANNO,0,5,303.16,303.21,NN4,G,A,,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,F,,F,,,,,,,,R,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,F,,,,,,,368,U1505,C,44,F,CC,PAL,ee2352df92d5dbb9a30ed9c34ee598df
368-U1505C-45F-CC-PAL(22-27)-NANNO,0,5,307.87,307.92,NN4,G,A,,,,,C,,F,,,,,,,,,,F,C,F,,A,,,,,,,,,,A,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,F,,,F,,F,,,,,F,,,F,,F,,,,,,,,R,C,A,,,,,,,,,,,,,,A,C,,,,,,,,,F,,,,,,,368,U1505,C,45,F,CC,PAL,af29a12ee8d0a7a6238eee7f9e107be6
368-U1505C-46F-CC-PAL(20-25)-NANNO,0,5,310.69,310.74,NN4,G,A,,,,,F,,,F,,,,,,,,,,C,F,,A,,,,,,,,,,C,,,,,,F,,,,,,,,,C,,,,,C,,,,,,,,R,,,F,,F,,,,,F,,,R,,R,,,,,,,,F,C,A,,,,,,,,,,,,,,A,C,,,,C,R,,,,C,,,,,,,368,U1505,C,46,F,CC,PAL,343e89857add68848726f441bd3a5598
368-U1505C-47F-CC-PAL(21-26)-NANNO,0,5,314.85,314.9,NN2,G,A,,,,,,,,,,,,,,,,,C,C,C,,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,C,,,,,A,,,,,,,,,,C,,,,,,C,,,,,,,,,,368,U1505,C,47,F,CC,PAL,a99a76bd44c46ca671fecd05534e5189
368-U1505C-48X-CC-PAL(36-41)-NANNO,0,5,326.88,326.93,NN2,G,A,,,,,,,,,,,,,,,,,C,C,C,,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,R,,,C,,C,,,,,,,,,,,,,,,,,,,,C,,,,,F,,,,,,,,,,C,,,,,,F,,,C,,,,,,,368,U1505,C,48,X,CC,PAL,c37f1d84f4ee0a97491de2aee4e27528
368-U1505C-49X-CC-PAL(34-39)-NANNO,0,5,336.65,336.7,NN2,G,A,,,,,,,,,,,,,,,,,C,C,C,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,C,,,C,,,,,,,368,U1505,C,49,X,CC,PAL,f36d591a13580885ee6cbd81a5f87e16
368-U1505C-50X-CC-PAL-NANNO,0,5,346.07,346.12,NN2,G,A,,,,,,,,,,,,,,,,,C,C,C,C,A,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,C,,,,,,,,,,,,,,,,368,U1505,C,50,X,CC,PAL,fb391affc7ba6541f456487ad2cab480
