Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1471E-6R-3-W,49,49,638.13,638.13,,,M,C,,,,,,,,F,F,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,6,R,3,W,c9a4879d8ed30427caae45af14c3d27a
359-U1471E-7R-1-W,75,75,645.55,645.55,,,M,C,,,,,,,,C,C,,A,,,,F,,,R,,,,,,R,,,,,,,,F,,,,,,,R,P,,,,,,,,,,,,,,,,,,R,,,F,,,,,,F,,,,,,,,R,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,7,R,1,W,f4bdeb23485a9137d724f241b8da4073
359-U1471E-7R-2,97,97,647.22,647.22,,,M,C,,,,,,,,C,C,,C,,,,C,,,C,,,,,,C,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,C,,,F,,,,,,C,,,,,,,,F,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDENTIFIABLE 5 RAYS DISCOASTERS,,,,359,U1471,E,7,R,2,,5508ebbd61b429259232ce85c730beff
359-U1471E-7R-3,104,104,648.64,648.64,,,M,A,,,,,,,,C,C,,A,,,,F,,,,,,,,,,,,,,,,,R,,R,,,,,R,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,R,F,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,UNIDENTIFIABLE 5 RAYS DISCOASTERS,,,,359,U1471,E,7,R,3,,3929b0dbe7a61b20cb2d6153731832d8
359-U1471E-8R-1-W,8,9,654.58,654.59,,,M,C,,,,,,,,C,A,,A,,,,C,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,8,R,1,W,8bea712d49812ebf926b9d68dc38fbe1
359-U1471E-8R-2-W,66,66,656.52,656.52,,,M,C,,,,,,,,,A,F,,,,,F,,,F,,,,,F,F,,,,,,,,R,,,,,,,F,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,8,R,2,W,b3bd61cbc75666bb3b395830a7c1515a
359-U1471E-8R-3-W,93,93,657.84,657.84,,,M,C,,,,,,,,F,C,F,F,,,,F,,,F,,,,,R,F,,,,,,,,F,,R,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,359,U1471,E,8,R,3,W,d5336746255a6fbe9e0de6788e498441
359-U1471E-8R-4-W,77,77,658.99,658.99,,,M,F,,,,,,,,F,C,,,,,,F,,,F,,,,,F,F,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,8,R,4,W,32f97b6edf2e1f1f78d981a313f32528
359-U1471E-8R-5-W,16,16,659.33,659.33,,,P,C,,,,,,,,C,C,,,,,,R,,,F,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,359,U1471,E,8,R,5,W,ecc61ce7616375e3de6b731a11fcc0b8
359-U1471E-9R-1-W,96,96,665.16,665.16,,,M,C,,,,,,,,C,C,F,A,,,,C,,R,R,,,,,F,F,,,,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,9,R,1,W,5669cdaa0bab0b7654b329b68fefcc30
359-U1471E-9R-1-W,120,120,665.4,665.4,,,M,C,,,,,,,,A,C,C,A,,,,C,,R,F,,,,,C,C,,,,,,,,R,,R,,,,,R,R,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,9,R,1,W,342917513f97771adad45e9634a30273
359-U1471E-9R-2,74,74,666.41,666.41,,,M,C,,,,,,,,A,,C,A,,,,C,,,C,,,,,F,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,9,R,2,,3dfa1a7bbb7aa9f6c3f50e005fc6dd6f
359-U1471E-9R-2-W,58,58,666.25,666.25,,,P,F,,,,,,,,F,F,C,F,,,,F,,,R,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,9,R,2,W,2d2860c4421d85c20d387e8b1c9e4417
359-U1471E-9R-2-W,113,113,666.8,666.8,,,M,C,,,,,,,,A,R,C,A,,,,R,,R,C,,,,,R,F,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,9,R,2,W,3dc82381b2fb0429472337e2f949b523
359-U1471E-10R-1-W,115,116,675.05,675.06,,,M,F,,,,,,,,R,R,R,C,,,,R,,,F,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,10,R,1,W,a2b5d40a6da5d4d73817f31df1078025
359-U1471E-10R-2-W,69,70,676.02,676.03,,,P,R,,,,,,,,R,R,R,R,,,,R,,,,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,10,R,2,W,ec9fff4afcd01bc13de7b692d364e8d9
359-U1471E-10R-3-W,14,15,676.66,676.67,,,P,R,,,,,,,,F,R,R,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,10,R,3,W,d6958f7228b9c80a9a45af01edf7262d
359-U1471E-11R-1-W,78,78,684.38,684.38,,,P,F,,,,,,,,F,,F,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,11,R,1,W,e6b628d04f19f717eeded28477d89402
359-U1471E-11R-2-W,101,101,685.94,685.94,,,M,C,,,,,,,,R,C,R,C,,,,P,,,R,,,,,R,R,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,11,R,2,W,24b8fc3ec0c8f62ae752224fc5b45ff8
359-U1471E-11R-3-W,127,127,687.64,687.64,,,M,C,,,,,,,,F,R,F,R,,,,R,,,C,,,,,R,R,,,,,,,,R,,R,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,11,R,3,W,6f400c3d461ee09e227ebb2ac7a4cc42
359-U1471E-12R-1-W,39,40,693.69,693.7,,,M,F,,,,,,,,F,R,F,R,,,,R,,R,R,,P,,,R,R,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,359,U1471,E,12,R,1,W,2a3572d7617b27d9b3679205cb8a029c
359-U1471E-12R-2-W,80,81,695.11,695.12,,,M,C,,,,,,,,R,R,C,R,,,,C,,R,C,,P,,,R,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,P,,,,,,F,,P,,P,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,12,R,2,W,5068bd4141d075d60888dee16c1cf719
359-U1471E-13R-1-W,81,82,703.81,703.82,,,M,C,,,,,,,,C,C,R,R,,,,C,,R,C,,P,,,,,,,,,,,,F,,,,,,,R,C,,,,,,,,,,,,P,,,,,,F,,R,,P,,,,,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,13,R,1,W,b53dc3ccd52712c9cdc7e6e9154161b7
359-U1471E-13R-2-W,89,90,705.05,705.06,,,M,A,,,,,,,,A,A,F,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,13,R,2,W,65038eef1c174eb99787e88cc9871ad9
359-U1471E-13R-3-W,31,32,705.89,705.9,,,M,A,,,,,,,,C,C,C,A,,,,F,,,R,,,,,F,F,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,13,R,3,W,9ed6a97b23eb197fd57bc20e9f1c0b48
359-U1471E-14R-1-W,121,121,713.91,713.91,,,M,C,,,,,,,,C,C,A,A,,,,C,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,14,R,1,W,a206718faa3cc33ee9d43f4f0f762a8a
359-U1471E-14R-2-W,79,79,714.93,714.93,,,M,A,,,,,,,,C,A,C,A,,,,F,,,,,,,,C,C,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,14,R,2,W,d1d1a1568d6205ae40ed127ec70ea941
359-U1471E-15R-1-W,47,48,722.87,722.88,,,M,A,,,,,,,,C,C,A,A,,,,F,,,F,,,,,R,C,,,,,,,,F,,,,,P,,F,P,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,15,R,1,W,c5047bd6fd253a7ac57e886286e1fca1
359-U1471E-16R-1-W,39,39,732.49,732.49,,,M,C,,,,,,,,F,F,C,A,,,,F,,,F,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,16,R,1,W,9160647b9d7d368300c9ef6bb54c6545
359-U1471E-16R-2-W,11,11,732.97,732.97,,,M,C,,,,,,,,F,F,C,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,359,U1471,E,16,R,2,W,729be34a7b4f11bdd3f1b9d67d56b45f
359-U1471E-17R-1,69,69,742.49,742.49,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,17,R,1,,1dd3bb925565c1977c4255d91dd69715
359-U1471E-17R-1,140,140,743.2,743.2,,,M,A,,,,,,,,C,C,A,A,,,,R,,,F,,,,,,A,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,17,R,1,,db3928e735fa3a2456d6c17499079bfc
359-U1471E-17R-2,80,80,744.1,744.1,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,17,R,2,,c96c51e8f428efb6612ce82e0ba56970
359-U1471E-18R-2-W,78,78,753.54,753.54,,,M,A,,,,,,,,C,C,A,A,,,,F,,,F,,,,,,C,,,,,,,,R,,,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,18,R,2,W,72aa968acdfcbef81816aa0f3303aae5
359-U1471E-18R-3-W,39,39,754.21,754.21,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,18,R,3,W,05c662902c2dcc57ab372aa35ed420dd
359-U1471E-18R-4-W,39,39,754.83,754.83,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,18,R,4,W,8e181da978eb005a14638c6d8cd97c3d
359-U1471E-18R-5-W,39,39,755.77,755.77,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,18,R,5,W,5b65705bd88cc6be205adb2ba5ba0cb3
359-U1471E-19R-4-W,20,20,764.87,764.87,,,M,R,,,,,,,,C,A,A,A,,,,R,,,R,,,,,,F,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,19,R,4,W,0e09061efaea70457617f43cdbba28d8
359-U1471E-20R-1-W,120,120,772.1,772.1,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,20,R,1,W,789a52e6aea1c328171d2ba90da084cc
359-U1471E-20R-2-W,32,32,772.55,772.55,,,M,A,,,,,,,,F,A,A,C,,,,F,,,F,,,,,F,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,20,R,2,W,93c563117b769f8f10ee472ea2d38162
359-U1471E-20R-CC-PAL,0,1,774.64,774.65,,,M,A,,,,,,,,A,A,C,,,,,R,,,F,,,,,,F,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,359,U1471,E,20,R,CC,PAL,e49a4f479eeb06e8d3df9cfd2e394817
359-U1471E-21R-1-W,17,17,780.77,780.77,,,M,A,,,,,,,,F,C,A,C,,,,R,,,R,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1471,E,21,R,1,W,188282a27eb1e49256a7c16d971ce579
359-U1471E-21R-4-W,38,38,784.61,784.61,,,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR NANNOFOSSIL PRESERVATIONS AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1471,E,21,R,4,W,eeda7f1db21ee6701eb53a5fd864e967
