Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Preservation,Group Abundance,Emiliania huxleyi,Gephyrocapsa omega,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (5-10 microns),Reticulofenestra pseudoumbilicus,Reticulofenestra asanoi,Reticulofenestra sp. (5-7 microns),Reticulofenestra spp. small,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Catinaster coalitus,Catinaster calyculus,Coccolithus eopelagicus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Clausicoccus subdistichus,Discoaster adamanteus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster brouweri,Discoaster calcaris,Discoaster calculosus,Discoaster deflandrei,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster moorei,Discoaster neohamatus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Ceratolithus cristatus,Ceratolithus acutus,Florisphaera profunda,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera burkei,Helicosphaera sellii,Minylitha convallis,Nicklithus amplificus,Pontosphaera millepuncta,Pontosphaera multipora,Pontosphaera spp.,Rhabdosphaera spp.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus belemnos,Sphenolithus disbelemnos,Sphenolithus pseudoheteromorphus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus spp.,Syracosphaera spp.,Triquetrorhabdulus rugosus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
367-U1500A-18R-2-W 10/10-NANNO,0,0,671.52,671.52,,P,F,,,,,,,,,,,,C,,R,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,F,,R,,,,,,F,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,367,U1500,A,18,R,2,W,5e65d44d50884afb98b7eded3550c646
367-U1500A-18R-CC-PAL-NANNO,0,5,672.32,672.37,,P,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,18,R,CC,PAL,b0dc6cbc2f665c1ab8c40fa4ec4c479b
367-U1500A-19R-CC-PAL-NANNO,0,3,680,680.03,,P,R,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,367,U1500,A,19,R,CC,PAL,c615f584c78d1dcd9575b8010e982986
367-U1500A-20R-CC-PAL-NANNO,0,3,689.7,689.73,,G,C,,,,,,,,,C,,F,F,R,R,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,F,,F,,F,,,,R,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,367,U1500,A,20,R,CC,PAL,4b702d9d3d4a4c50f7ca442d8c565c2f
367-U1500A-21R-1-W 110/110-NANNO,0,0,700.5,700.5,,M,C,,,,,,,,,C,,C,F,,R,,F,,,,,F,,R,,,,,,,,F,,,,,,,,,,,F,,,,,,,,F,,,,,,,R,,,,,,,,,,,F,,,R,,,,,,,,,,,,,REWORKED FOSSILS,,,,367,U1500,A,21,R,1,W,33856781149e1f78b26a11959c782b03
367-U1500A-21R-1-W 19/19-NANNO,0,0,699.59,699.59,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,21,R,1,W,52e60a8457df05540ac3732553fb804c
367-U1500A-21R-2-W 56/56-NANNO,0,0,701.41,701.41,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,21,R,2,W,9adc318f63ca23e57bd05e2f2f70390f
367-U1500A-21R-CC-PAL-NANNO,0,5,701.92,701.97,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,21,R,CC,PAL,1187cd4584823effebc8f4544423bc87
367-U1500A-22R-1-W 114/114-NANNO,0,0,710.24,710.24,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,22,R,1,W,b320e0c24e93d5b082672c814ec3bae2
367-U1500A-22R-1-W 13/13-NANNO,0,0,709.23,709.23,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,22,R,1,W,9f7e78d144a81e6f8876518bfc24bf59
367-U1500A-22R-CC-PAL-NANNO,0,5,710.5,710.55,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,22,R,CC,PAL,f072fba062ab97680f032c9f5cca47e3
367-U1500A-24R-4-W 51/51-NANNO,0,0,732.93,732.93,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,24,R,4,W,c82b045ed2939d3f64d541faa08edadc
367-U1500A-24R-6-W 17/17-NANNO,0,0,735.11,735.11,,P,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,24,R,6,W,6339465912c35ef09f1df13a21e05923
367-U1500A-24R-CC-PAL-NANNO,0,5,736.96,737.01,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRAGMENT DIscoaster C. floridanus,,,,367,U1500,A,24,R,CC,PAL,49c369b46e1063b2b714971fc4763775
367-U1500A-25R-2-W 93/93-NANNO,0,0,740.52,740.52,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,25,R,2,W,e998cbd7c490844a5e3e3748bff63bf1
367-U1500A-25R-5-W 54/54-NANNO,0,0,743.96,743.96,,M,F,,,,,,,,,F,,R,,,,,,,,,,R,,,,,,,,,F,F,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,367,U1500,A,25,R,5,W,aaba0acdbec3df96e16c0de8aa43b8a7
367-U1500A-25R-CC-PAL-NANNO,0,5,746.28,746.33,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 specimens of D. pentarad,,,,367,U1500,A,25,R,CC,PAL,3abff119c49254a8470d6dfe55a36f6b
367-U1500A-26R-CC-PAL-NANNO,0,5,755.39,755.44,,M,A,,,,,,,,,C,,C,,F,,,,,,,,F,,,,,,,,,C,C,,,,,,,,,,,F,,,,,,,,C,,,,,,,F,,,,,,,,R,,,C,,,,,,,,,,,,,,C,,,,,,367,U1500,A,26,R,CC,PAL,139af3a70c88e72f11974f73a64b73ce
367-U1500A-27R-1-W 90/90-NANNO,0,0,758.5,758.5,,M,A,,,,,,,,,A,,C,F,F,,,,,,,,C,,,,,,,,,C,A,,,,,,,,,,,C,,,,,F,,,C,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,R,F,,Thoracosp,,,,367,U1500,A,27,R,1,W,15f2f17af97d5278ce81e4d8044dfaae
367-U1500A-27R-3-W 88/88-NANNO,0,0,761.27,761.27,,M,A,,,,,,,,,C,,C,,C,,,,,,,,C,,,,,,,,,C,C,,,,,,,,,,,C,,,,,,,,C,,,,,,,F,,,,,,,,F,,R,C,,,,,,,,,,,,R,,C,,H. KAMPTERI-HYALINA; THORACOSPHAERA,,,,367,U1500,A,27,R,3,W,459e3a3900cc0852177277f63419a1b7
367-U1500A-27R-5-W 91/91-NANNO,0,0,764.1,764.1,,M,A,,,,,,,,,C,,C,F,F,,,,,,,,F,,,,,,,,,F,C,,,,,,,,,,,C,,,,,,,,C,,,,,,,F,,,,,,,,F,R,,C,,,,,,,,,,,,,R,F,,H.KAMPTERI,,,,367,U1500,A,27,R,5,W,118c60216f4dc571e2b885d041025b91
367-U1500A-27R-CC-PAL-NANNO,0,5,765.49,765.54,,M,A,,,,,,,,,F,,C,F,F,,,,R,,,,F,,,,,,,,,F,C,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,367,U1500,A,27,R,CC,PAL,b601ca5fac2a01a56be9594f5cfdff9c
367-U1500A-28R-1-PAL-NANNO,0,2,767.3,767.32,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,28,R,1,PAL,d57da965728908de2c54ebf97b2d46dc
367-U1500A-29R-1-PAL-NANNO,0,5,777.79,777.84,,P,R,,,,,,,,,R,,F,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,"reworked fossils, Discoaster overgrown",,,,367,U1500,A,29,R,1,PAL,bd507e7b48b96e975bae5684f27e06cb
367-U1500A-29R-1-W 31/31-NANNO,0,0,777.31,777.31,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,29,R,1,W,cd8a79203bc9cd87df843037ea99d975
367-U1500A-30R-3-W 86/86-NANNO,0,0,790.18,790.18,,P,R,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,30,R,3,W,6942828d2e57ab626432d370b5a4843e
367-U1500A-30R-CC-PAL-NANNO,0,5,791.63,791.68,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,30,R,CC,PAL,58f470a7d44aa1a4d9786059cbcef216
367-U1500A-31R-CC-PAL-NANNO,0,5,796.4,796.45,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,31,R,CC,PAL,844f9013ba7a01a3d93d68c5fa45e9ae
367-U1500A-32R-1-PAL-NANNO,0,2,806.28,806.3,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a specimen of R. pseudoumbilicus,,,,367,U1500,A,32,R,1,PAL,cec4a243ff0e0c291414f853083066d5
367-U1500A-33R-CC-PAL-NANNO,0,5,819.01,819.06,,M,C,,,,,,,,,F,,F,,F,,,R,R,,,,R,,,,,,,F,,F,F,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,,R,,,C,,,,,,,,,,,,,,F,,,,,,367,U1500,A,33,R,CC,PAL,913816cae3d6839f27a9ea7e2f785322
367-U1500A-34R-CC-PAL-NANNO,0,5,826.33,826.38,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,34,R,CC,PAL,4032e627611c30f2010b6210199e8fcc
367-U1500A-35R-2-W 28/28-NANNO,0,0,836.72,836.72,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,35,R,2,W,38af2a56ad45a6d00041d985a6764240
367-U1500A-35R-5-W 105/105-NANNO,0,0,841.72,841.72,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discoaster Fragment,,,,367,U1500,A,35,R,5,W,373f7ebbbf68ee1882efc0e3126dea68
367-U1500A-35R-CC-PAL-NANNO,0,5,844.08,844.13,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,35,R,CC,PAL,2a792be710642856269b055cf44662d2
367-U1500A-36R-2-W 47/47-NANNO,0,0,846.87,846.87,,M,R,,,,,,,,,F,,F,R,,,,,,,,,R,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,367,U1500,A,36,R,2,W,5c7dd633f4f3d562aeabd80cc72a5392
367-U1500A-36R-6-W 15/15-NANNO,0,0,852.31,852.31,,M,R,,,,,,,,,F,,R,,,,,R,,,,,,,,,,,,R,,R,R,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,36,R,6,W,fdbec6ddaf21da2fe0aac458b4cbfc60
367-U1500A-36R-CC-PAL-NANNO,0,5,852.82,852.87,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1500,A,36,R,CC,PAL,e0307a31dbdb54c85190c311cfd34c25
