Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii,Globigerina ouachitaensis,Globigerina praebulloides,Globigerina pseudovenezuelana,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis,Globigerina tripartita,Globigerinatella insueta,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii,Globorotalia birnageae,Globorotalia cibaoensis,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula,Globorotalia decoraperta,Globorotalia exilis,Globorotalia fimbriata,Globorotalia flexuosa,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica,Globorotalia scitula,Globorotalia sp.,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp.,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp.,Orbulina sp.,Orbulina suturalis,Orbulina universa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp.,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina eocaena s.l.,Subbotina linaperta s.l.,Subbotinal yeguaensis s.l.,Tenuitella gemma,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis,Turborotalia cocoaensis,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
368-U1501C-37F-CC-PAL(25-30),0,5,249.3,249.35,,,,,,,,,,,,,,M,A,60,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,P,,P,,,,P,,,,,,F,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,37,F,CC,PAL,d548621f1b3f7f92a51829969db80293
368-U1501C-38F-CC-PAL(23-28),0,5,253.47,253.52,,,,,,,,,,,,,,M,A,70,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,P,,,,,,F,,P,,,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,38,F,CC,PAL,9a0c88538f00dd0300daaa0b87935bb6
368-U1501C-39F-CC-PAL(25-30),0,5,256.81,256.86,,,,,,,,,,,,,,G,A,90,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,F,,P,,,R,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,39,F,CC,PAL,93257a96c8c0252492dfd894982d8acb
368-U1501C-40X-CC-PAL(15-20),0,5,265.3,265.35,Globigerina ciperoensis,T,,22.96,M1a,"M1a - 'Paragloborotalia kugleri Lowest-occurrence Subzone (Gradstein et al., 2012)",,,22.44,,,22.96,,G,A,90,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,R,,,,,,P,,,,,,F,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,40,X,CC,PAL,c74a2f008940b3597991b2eadd9b6a0d
368-U1501C-41X-CC-PAL(39-44),0,5,273.86,273.91,,,,,,,,,,,,,,G,A,90,,,,,,,F,,,,,,,,,P,,,,,,F,,,,,,,,,,,R,,,,,,P,,,,,,F,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,41,X,CC,PAL,0a3dd92722f29a41a26598f6d1150033
368-U1501C-42X-CC-PAL(26-31),0,5,283.41,283.46,,,,,,,,,,,,,,G,A,90,,,,,,,R,,,,,,,,,P,,,,,,F,,,,,,,,,,,R,,,,,,P,,,,,,F,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,42,X,CC,PAL,fbcf3a1912cbb80779e4e5a0e1876253
368-U1501C-43X-CC-PAL(39-44),0,5,293.1,293.15,Paragloborotalia opima,T,,26.93,O6,"O6 - Globigerina ciperoensis Partial-range Zone (Gradstein et al., 2012)",,,25.21,,,26.93,,G,A,90,,,,,,,R,,,,,,,,,R,,,,,,F,,,,,,,,,,,R,,,,,,P,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,43,X,CC,PAL,baa54add065f61a5d03db5a58c1e2346
368-U1501C-44X-CC-PAL(53-58),0,5,302.51,302.56,,,,,,,,,,,,,,G,A,90,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,44,X,CC,PAL,2714b94bbf99591e5a4d4c5cb2118184
368-U1501C-45X-CC-PAL(40-45),0,5,312.15,312.2,,,,,,,,,,,,,,P,P,10,,,,,,,P,,,,,,,,,P,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,45,X,CC,PAL,52c9ac6c4137e44035b240d35ed113e8
368-U1501C-46X-CC-PAL(45-50),0,5,321.76,321.81,,,,,,,,,,,,,,P,B,5,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,46,X,CC,PAL,2875c7a3d7ddbee80e22aaf931330cb5
368-U1501C-47X-CC-PAL(42-47),0,5,331.13,331.18,,,,,,,,,,,,,,P,B,5,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,368,U1501,C,47,X,CC,PAL,792666e6329974c58af6f29e479d644a
368-U1501C-48X-CC-PAL(43-48),0,5,340.41,340.46,Turborotalia cerroazulensis pomeroli,T,,37.75,E14,"E14 - Globigerinatheka semiinvoluta Highest-occurrence Zone (Gradstein et al., 2012)",,,36.18,,,38.25,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,368,U1501,C,48,X,CC,PAL,a9ebb3724509adcee9230a1b4e318150
368-U1501C-49X-CC-PAL(39-44),0,5,350.44,350.49,,,,,,,,,,,,,,,B,1,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,368,U1501,C,49,X,CC,PAL,d3824141e20a8f299f0cb9599ad7ff55
368-U1501C-50X-CC-PAL(40-45),0,5,359.63,359.68,,,,,,,,,,,,,,,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,50,X,CC,PAL,4da91c2b26f423bcc7f22c123577af4e
368-U1501C-51X-CC-PAL(34-39),0,5,369.93,369.98,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,51,X,CC,PAL,61c04b9d416918942bbc8665ef9c6b70
368-U1501C-52X-CC-PAL(45-50),0,5,379.59,379.64,,,,,,,,,,,,,,,B,1,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,52,X,CC,PAL,89cb3af776a3fae43eb3dc87247700ee
368-U1501C-53X-CC-PAL(28-33),0,5,385.28,385.33,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,53,X,CC,PAL,b75295cbb3db9c064b77e6ac5208d8cf
368-U1501C-54X-CC-PAL(37-42),0,5,398.74,398.79,,,,,,,,,,,,,,M,B,5,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,54,X,CC,PAL,84530a5e0629c2fd1b8c24449afa6e55
368-U1501C-55X-CC-PAL(36-41),0,5,408.25,408.3,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,55,X,CC,PAL,74e871886aa6a05e55d8ee8e625795ed
368-U1501C-56X-CC-PAL(28-33),0,5,417.8,417.85,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,56,X,CC,PAL,8b767deb854d9382c5993a6d11065238
368-U1501C-57X-CC-PAL(46-51),0,5,427.57,427.62,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,57,X,CC,PAL,c2be85570bc1ff1e25f54c4242e3e2f7
368-U1501C-58X-CC-PAL(35-40),0,5,437.07,437.12,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,58,X,CC,PAL,d27e84437c59e97d215c3d80347950be
368-U1501C-59X-CC-PAL(32-37),0,5,446.65,446.7,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,59,X,CC,PAL,ba0846267fee7d32e12b6d048bebe985
368-U1501C-60X-CC-PAL(25-30),0,5,447.92,447.97,,,,,,,,,,,,,,,B,1,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,60,X,CC,PAL,92b8b6b5affe0b00b774f7a1faee1ba1
368-U1501C-61X-CC-PAL(35-40),0,5,452.97,453.02,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,61,X,CC,PAL,855095d0c88f5cd4d571c7a7ac3e8b4c
368-U1501C-62X-CC-PAL(8-13),0,5,457.78,457.83,,,,,,,,,,,,,,,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1501,C,62,X,CC,PAL,1f6b623ae5fabfc854b48f9d4388ca86
