Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Group Abundance,Stylatractus universus,Antarctissa cylindrica,Pterocanium charybdeum trilobum,Cycladophora pliocenica,Triceraspyris antarctica,Eucyrtidium calvertense,Helotholus vema,Desmospyris spongiosa,Cycladophora davisiana,Prunopyle titan,Lampromitra coronata,Lychnocanium grande,Amphymenium challengerae,Acrosphaera? labrata,Cycladophora spongothorax,Stichocorys peregrina,Lithomelissa stigi,Acrosphaera australis,Acrosphaera murrayana,Cycladophora humerus,Eucyrtidium pseudoinflatum,Actinomma golownini,Dendrospyris megalocephalis,Antarctissa deflandrei,Antarctissa robusta,Lychnocanoma sp. B Abelmann,Eucyrtidium punctatum,Gondwanaria deflandrei,Cycladophora golli regipileus,Cyrtocapsella longithorax,Stylosphaera radiosa,Cycladophora antiqua,Cyrtocapsella tetrapera,Ceratocyrtis cucullaris,Ceratocyrtis mashae,Cornutella clathrata,Corythospyris fiscella,Cycladophora golli golli,Cyrtocapsella robusta,Cystophormis brevispina,Desmospyris rhodospyroides,Didymocyrtis sp.,Gondwanaria japonica,Haliommetta miocenica,Helotholus? haysi,Lithatractus timmsi?,Lychnocanoma sp. A Abelmann,Lychnocanoma conica,Lamprocyclas aegles,Prunopyle hayesi,Siphonosphaera vesuvius,Spongomelissa dilli,Stylatractus santaeannae,Velicucullus sp. cf. oddgurneri,Acanthodesmia spp.,Actinomma popofskii,Acrosphaera? mercurius,Acrosphaera spinosa echinoides,Actinomma antarcticum,Actinomma boreale,Actinomma delicatulum,Actinomma leptodermum,Actinomma leptodernum longispinum,Amphistylus angelinus,Antarctissa denticulata,Antarctissa strelkovi,Anthocyrtella (?) callopisma,Botryostrobus auritus/australis,Carposphaera annikae,Cenosphaera cristata,Ceratocyrtis spp.,Ceratocyrtis histricosa,Cladoscenium ancoratum,Cornutella profunda,Cycladophora bicornis,Cycladophora conica,Cystophormis ob,Dendrospyris ? sakaii,Dictyophimus crisiae,Druppatractus hastatus,Enneaphormis rotula,Eucyrtidium annulatum,Eucyrtidium cienkowskii,Eucyrtidium inflatum,Hexacontium melpomene,Hexacontium pachydermum,Hexastylus spp.,Larcopyle nebulum,Larcopyle pylomaticus,Larcopyle weddellium,Lithelius minor,Lithelius nautiloides,Lithelius sp. A,Lithocampe platycephala,Lithomelissa ehrenbergii,Lithomelissa sp. A Petrushevskaya,Lithomelissa tricornis,Lychnocanoma sp. C Abelmann,Mitrocalpis araneafera,Octodendron spp. spines,Peripyramis circumtexta,Phaeodaria,Phormacantha hystrix/Plectacantha oikiskos group,Phormostichoartus corbula,Phorticium polycladum,Pseudodictyophimus gracilipes,Rhizoplegma boreale,Saccospyris antarctica,Saccospyris conithorax,Saccospyris praeantarctica,Saturnalis circularis,Siphocampe arachnea,Spongoplegma sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongotrochus sp. A Abelmann,Sphaeropyle robusta,Prunopyle tetrapila,Stylacontarium bispiculum,Stylatractus neptunus,Stylochlamidium  venustum,Stylodictya spp.,Stylosphaera coronata laevis,Tessarastrum straussi,Theocorys redondoensis,Triceraspyris coronata,Tripildium (?) clavipes,Trisulcus nana,Comments,ADDITIONAL SPECIES,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id,additional species: Lonchosphaera spicata,additional species: Poulpus spp.-like,additional species: Lithostrobus cuspidatus,additional species: Gondwanaria dogieli,additional species: Tetraplecta pinigera/Euscenium corynephorum,additional species: Litharachnium tentorium,additional species: Streblacantha circumtexta,additional species: Eucyrtidium teuscheri,additional species: Verticillata hexacantha,additional species: Cypassis irregularis,additional species: Prunopyle antarctica,additional species: Big Lithomelissa sp. A (Antarctissa like),additional species: Larcopyle buetschlii (R)
374-U1525A-12F-CC-PAL-RADS,0,5,65.46,65.51,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,12,F,CC,PAL,b7d0b7586a3b936a7b5c2cf073b5a30b,,,,,,,,,,,,,
374-U1525A-13F-CC-PAL-RADS,0,5,69.73,69.78,,P,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,13,F,CC,PAL,0cc1255044cceab4ecb2648c0c353a9e,,,,,,,,,,,,,
374-U1525A-14F-CC-PAL-RADS,0,5,74.68,74.73,,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,374,U1525,A,14,F,CC,PAL,39fc8257b15cfac779cf8beb84dbaf96,,,,,,,,,,,,,
374-U1525A-15F-CC-PAL-RADS,0,5,78.16,78.21,,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,374,U1525,A,15,F,CC,PAL,8a92cec1a9510d7c170518f7ae27d1db,,,,,,,,,,,,,
374-U1525A-16H-CC-PAL-RADS,0,5,88.86,88.91,,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,16,H,CC,PAL,c11eb538b2c5892d1e13e612b80629e7,,,,,,,,,,,,,
374-U1525A-17H-CC-PAL-RADS,0,5,98.62,98.67,,P,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,374,U1525,A,17,H,CC,PAL,47d32b4a0d4f5b9ee745dcec3e2e3562,,,,,,,,,,,,,
374-U1525A-18H-CC-PAL-RADS,0,5,107.27,107.32,,P,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,18,H,CC,PAL,ec59d3d0381180fadc1085044d371d13,,,,,,,,,,,,,
374-U1525A-19H-CC-PAL-RADS,0,5,111.84,111.89,> 1.72 (LAD C. pliocenica),G,Freq,,C,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,R,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,Larcopyle buetschlii (R),,,,374,U1525,A,19,H,CC,PAL,8c46fc5b9321416b699c7f7fe262f55c,,,,,,,,,,,,,R
374-U1525A-20F-CC-PAL-RADS,0,5,116.62,116.67,> 2.35 (LAD H. vema),G,Freq,,Freq,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,,,,,,X,,,,,,,,,Big Lithomelissa sp. A (Antarctissa like),,,,374,U1525,A,20,F,CC,PAL,aa6fbb8a1d8d6d1a174e305c5094e7b3,,,,,,,,,,,,Ind,
374-U1525A-21F-CC-PAL-RADS,0,5,121.05,121.1,,G,C,,A,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,R,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,,,,,,,Very abundant ash shards and sponge spicules,,,,,374,U1525,A,21,F,CC,PAL,d12687175d07fabe883aace827bdb45d,,,,,,,,,,,,,
374-U1525A-22F-CC-PAL-RADS,0,5,125.67,125.72,,M,R,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,22,F,CC,PAL,28966d119986f263ad72c8334d791f2a,,,,,,,,,,,,,
374-U1525A-23F-CC-PAL-RADS,0,5,130.03,130.08,,M,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,Abundant sponge spicules,,,,,374,U1525,A,23,F,CC,PAL,9e42702e1c3518909f29d7ffd5590084,,,,,,,,,,,,,
374-U1525A-24F-CC-PAL-RADS,0,5,131.22,131.27,> 2.47 (LAD D. spongiosa),M,Freq,,Freq,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,Abundant sponge spicules,Big Lithomelissa sp. A (Antarctissa like),,,,374,U1525,A,24,F,CC,PAL,c39cdfb15ef51a8c9194b4a08ef42e3c,,,,,,,,,,,,Ind,
374-U1525A-25X-CC-PAL-RADS,0,5,138.11,138.16,,M,R,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,374,U1525,A,25,X,CC,PAL,11d225e7f3bd7bc2985e9c577de33a7a,,,,,,,,,,,,,
374-U1525A-27X-CC-PAL-RADS,0,5,153.87,153.92,,G,C,,C,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,Freq,,,,,X,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,X,X,X,,X,,,X,X,,,,,,X,,"Big Lithomelissa sp. A (Antarctissa like), Lonchosphaera spicata, Eucyrtidium teuscheri",,,,374,U1525,A,27,X,CC,PAL,03cc4591031200f5438ffcadd5bc4518,Ind,,,,,,,Ind,,,,Ind,
374-U1525A-28X-CC-PAL-RADS,0,5,157.34,157.39,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,28,X,CC,PAL,3c4cd81d6ce50926c2cca3e5322431c1,,,,,,,,,,,,,
374-U1525A-29X-CC-PAL-RADS,0,5,167.25,167.3,,P,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,374,U1525,A,29,X,CC,PAL,d6a4ee76eeef20e7765c8d2c8035a57e,,,,,,,,,,,,,
374-U1525A-30X-CC-PAL-RADS,0,5,184.69,184.74,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,30,X,CC,PAL,275df29c0fe9b372ead8f8171e4f010a,,,,,,,,,,,,,
374-U1525A-31X-CC-PAL-RADS,0,5,194.38,194.43,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,31,X,CC,PAL,86443cf9f3786f13f2cade685f967892,,,,,,,,,,,,,
374-U1525A-32X-CC-PAL-RADS,0,5,195.84,195.89,,P,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,32,X,CC,PAL,772fe578e6aa9d7cf230118ab91632d8,,,,,,,,,,,,,
374-U1525A-33X-CC-PAL-RADS,0,5,208.22,208.27,,P,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,U1525,A,33,X,CC,PAL,d870e4e1a3234b88d7c9b02adc317d34,,,,,,,,,,,,,
