Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Group abundance,Preservation,Fragmentation,Percentage of planktic forams in total foram assemblage [%],Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Candeina nitida,Cassigerinella chipolensis,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina juxtabinaiensis,Dentoglobigerina venezuelana,Globigeriantella insueta,Globigerina bulloides,Globigerinella praesiphonifera,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides sacculifer (without sack),Globigerinoides seigliei,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina dehiscens,Globorotalia challengeri,Globorotalia cibaoensis,Globorotalia crassaformis,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia juanai,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praescitula,Globorotalia puncticulata,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita tenella,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Orbulina suturalis,Orbulina universa,Paragloborotalia mayeri,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinella excavata,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Organic matter,Pyrite,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
354-U1454B-12F-CC-PAL-FORAM-FORAM(>63),0,5,66.48,66.53,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,12,F,CC,PAL,4d4914eeabf117c71730dd8aca880fe7
354-U1454B-14F-CC-PAL-FORAM,0,5,75.91,75.96,,,,,,,,,VR,,,50,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,14,F,CC,PAL,18d6d715a607d15a9b39c84e5152fb15
354-U1454B-16F-CC-PAL,0,8,85.73,85.81,,,,,,,,,R,G [P38],M [F02],100,2,,,,,,,,,,,,,R,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1454,B,16,F,CC,PAL,1e890a80e37c899d93f0f53c9cd1d5ad
354-U1454B-18F-CC-PAL-FORAM,0,2,92.65,92.67,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,18,F,CC,PAL,ec9dc4311d54c91878cd9f60cd303bf5
354-U1454B-19F-CC-PAL-FORAM,0,5,98.01,98.06,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,19,F,CC,PAL,f8e9dbc55e09952480ddc8218c955ad7
354-U1454B-20F-CC-PAL-FORAM,0,5,104.97,105.02,,,,,,,,,VR,M [P38],M [F02],78,2,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1454,B,20,F,CC,PAL,caef40f4597c5578a6ee2cd9ac33e3cd
354-U1454B-21F-CC-PAL-FORAM,0,4,108.87,108.91,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,21,F,CC,PAL,0fb3dac6ec8b51a04cb50eb52d285c1a
354-U1454B-22F-CC-PAL-FORAM,0,4,114.73,114.77,,,,,,,,,VR,G [P38],N [F02],100,0,,,only 9 specimens,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,354,U1454,B,22,F,CC,PAL,e47e12066fd1abb5c28469e0bbeffdf8
354-U1454B-23F-CC-PAL-FORAM,0,5,119.67,119.72,,,,,,,,,C,M [P38],M [F02],90,2,,,,R,,,,,,,R,,,R,R,,,,,R,R,C,,,,,,,,,,,,,,,,R,,,,,,,,F,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,354,U1454,B,23,F,CC,PAL,ee6762aaa6a179e2318ed37a4f221cc4
354-U1454B-24F-CC-PAL-FORAM,0,6,124.0,124.06,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,24,F,CC,PAL,672e0d457323af003cd415ced37bf065
354-U1454B-25F-CC-PAL-FORAM,0,5,126.67,126.72,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,25,F,CC,PAL,2940866b47c3ca77b90b35f5b8e43cd3
354-U1454B-26F-CC-PAL-FORAM,0,10,132.9,133.0,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,26,F,CC,PAL,553a4cc3c503eda4df2763d5043dff54
354-U1454B-27F-CC-PAL-FORAM,0,5,138.11,138.16,,,,,,,,,R,G [P38],L [F02],100,1,,,,,,,,,R,,R,,,R,,,,,F,,A,,,,,,,,,,,,,,,,,R,,,,,,,,R,,R,,,,,,,A,,,,,,,C,,,,,,,,,,,,,,354,U1454,B,27,F,CC,PAL,9302685c46c4430f50bbc7dec3cb4a88
354-U1454B-28F-CC-PAL-FORAM,0,5,142.98,143.03,,,,,PT1a,"PT1a - Globorotalia tosaensis High-occurrence Zone (Gradstein et al., 2012)",0.61,1.88,R,G [P38],L [F02],,1,,,,,,,,,,,R,,,,,,,,F,,F,R,,,,,,,,,,,,,,,,C,,,,,,F,,C,,,,,,,,,R,,R,,,,,C,,,R,,,,,,,,,,,354,U1454,B,28,F,CC,PAL,e4dce0c4715232a57e46925290133ca2
354-U1454B-29F-CC-PAL-FORAM,0,5,147.8,147.85,,,,,,,,,C,G [P38],M [F02],100,2,,,,,,,,,,,R,,R,,R,,,R,R,,A,C,R,,,,,,,,,,,,,,,F,,,,,,,R,C,C,,,,,,,,A,,R,,,,,A,,,R,,,,,,,,,,,354,U1454,B,29,F,CC,PAL,cb5ab70c30e24cf9417148f836e61fc1
354-U1454B-30F-CC-PAL,0,10,152.58,152.68,,,,,,,,,C,G [P38],M [F02],100,2,,,,,,,,,,,R,,R,,R,,,R,C,,C,C,,,,,,,,,,,,,,,,R,,,,,,,,C,F,,,,,,,,A,,,,,,,,,,R,,,,,,,,,,,354,U1454,B,30,F,CC,PAL,7309aba46528ee6b37bfe9df70b04bc8
354-U1454B-31F-CC-PAL,0,10,157.1,157.2,,,,,,,,,C,G [P38],M [F02],98,2,,,very tiny forams,,,,,,,,,,R,R,,,,,F,,A,,R,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,F,,,,,,,C,,,R,,,,,,,,,,,354,U1454,B,31,F,CC,PAL,54f67dbb5b65846fe94da9340d95cf72
354-U1454B-32F-CC-PAL,0,5,160.78,160.83,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,U1454,B,32,F,CC,PAL,d8c6d07ce3b851ca926ff7e2b5b7857f
