Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Group abundance,Preservation,Beella digitata,Dentoglobigerina altispira,Globigerina bulloides,Globigerina falconensis,Globigerina glutinata,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globoquadrina venezuelana,Globorotalia conoidea,Globorotalia conomiozea,Globorotalia crassaformis,Globorotalia crassula,Globorotalia flexuosa,Globorotalia hirsuta (dex),Globorotalia inflata,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia merotumida,Globorotalia multicamerata,Globorotalia plesiotumida,Globorotalia pliozea,Globorotalia pseudomiocenica,Globorotalia puncticulata,Globorotalia scitula,Globorotalia sphericomiozea,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotaloides hexagona,"Globoturborotalita apertura (Cushman, 1918)",Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,"Globoturborotalita woodi (Jenkins, 1960)",Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (sinistral),Orbulina universa,Pulleniatina obliquiloculata,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Tenuitella anfracta,preservation,File Data,Ship File Links,Shore File Links,Sample,eodp_id
361,U1479,B,3,3-CC,H,CC,PAL,FORAM,0,5,24.1,24.15,,A,G,,,F,F,R,,P,P,P,,,,,R,P,,,,F,,,,A,,,R,,,,,,,R,,F,R,,,,,,,,,A,,A,,P,P,,P,,,,,,,,361-U1479B-3H-CC-PAL-FORAM,9a12535c023faf733d0de1a69feefb05
361,U1479,B,4,4-2,H,2,W,70/72-FORAM,0,2,27.4,27.42,,A,G,,,A,,R,,P,P,,,,,,R,P,,,,R,,,,A,,,R,,,,,,P,,,,R,,,,,,,,,F,,F,,R,,,,,,,,,,,361-U1479B-4H-2-W 70/72-FORAM,52a9117cad9539d1cb5f4feea30374c8
361,U1479,B,4,4-4,H,4,W,70/72-FORAM,0,2,30.4,30.42,,A,G,,,A,,R,,P,P,,,,,,F,R,,,,R,,,,A,,,R,,,,,,P,,,,R,,,,,,,,,F,,A,,R,,,,,,,,,,,361-U1479B-4H-4-W 70/72-FORAM,003035358121b847784fc5daf5306ca5
361,U1479,B,4,4-6,H,6,W,70/72-FORAM,0,2,33.4,33.42,,A,G,,,A,,,,,R,,,,,,P,P,,,,F,P,,,A,,,,,,,,,,P,,,P,,,,,,,,,P,,A,,,,,,,,,,,,,361-U1479B-4H-6-W 70/72-FORAM,55cf26f741204914c09010b54d63e616
361,U1479,B,4,4-CC,H,CC,PAL,FORAM,0,5,33.87,33.92,,A,G,,,F,F,P,,R,P,,,,,,F,P,,,,R,R,,,A,,,R,,,,,,P,P,R,,P,,,,,,,,,A,,A,P,R,P,,,,,,,,,,361-U1479B-4H-CC-PAL-FORAM,5820d1ecc0e0c61b65b094cfe1dcc121
361,U1479,B,5,5-2,H,2,W,70/72-FORAM,0,2,36.9,36.92,,A,G,,,P,P,,,P,,P,,,,,R,R,,,,R,,,,F,,,,,,,,,,P,,,,,,,,,,,,P,,R,,P,P,,,P,,,,,,,361-U1479B-5H-2-W 70/72-FORAM,a497d7dde90a8248dc65d16ee5b5a43b
361,U1479,B,5,5-4,H,4,W,70/72-FORAM,0,2,39.9,39.92,,A,G,,,P,P,,,P,,P,,,,,P,R,,,,P,,,,F,,,P,,,,,,,P,,,,,,,,,,,,P,,R,,P,P,,,P,,,,,,,361-U1479B-5H-4-W 70/72-FORAM,762f8c94c8820d2775d6edcf441940dc
361,U1479,B,5,5-6,H,6,W,70/72-FORAM,0,2,42.9,42.92,,A,G,,,P,P,,,P,,P,,,,,R,P,,,,R,,,,A,,,,,,,,,,,,,,,,,,,,,,P,,R,,P,P,,,P,,,,,,,361-U1479B-5H-6-W 70/72-FORAM,2fdddd22f34cada51304378ae1f69049
361,U1479,B,5,5-CC,H,CC,PAL,FORAM,0,5,44.36,44.41,,A,G,,,F,P,R,,,R,,,,,,F,R,,,,R,R,,,A,,,R,,,,,,R,R,P,P,P,,,,,,,,,A,,F,,R,P,,,,,,,,,,361-U1479B-5H-CC-PAL-FORAM,f9e4fca7f83d50ab97ed49eba0d1c77b
361,U1479,B,6,6-1,H,1,W,70/72-FORAM,0,2,44.9,44.92,,A,G,,,F,P,,,P,P,,,,,,F,R,,,,P,,,,A,,,P,,,,,,P,,,P,P,,,,,,,,,F,,R,,P,,,,,,,,,,,361-U1479B-6H-1-W 70/72-FORAM,580b4eba79caf51c8bc6e037b5b6177a
361,U1479,B,6,6-3,H,3,W,70/72-FORAM,0,2,46.49,46.51,,A,G,,,F,P,,,P,P,,,,,,F,R,,,,F,,,,A,,,,,,,,,P,P,,P,P,,,,,,,,,F,,R,,P,,,,,,,,,,,361-U1479B-6H-3-W 70/72-FORAM,a1de9914bbe03059002d67859eafc105
361,U1479,B,6,6-5,H,5,W,70/72-FORAM,0,2,48.7,48.72,,A,G,,,F,P,,,,P,,,,,,F,R,,,,R,P,,,A,,,,,,,,,,P,,P,P,,,,,,,,,F,,R,,P,,,,,,,,,,,361-U1479B-6H-5-W 70/72-FORAM,f65af995820dff993360c4a221916bac
361,U1479,B,6,6-CC,H,CC,PAL,FORAM,0,5,53.11,53.16,,A,G,,,F,F,P,,P,P,R,,,,,F,R,,,,R,R,,,A,,,R,,,,,,R,P,R,P,R,,,,,,,,,A,,A,,R,,,,,,,,,,,361-U1479B-6H-CC-PAL-FORAM,9614d67de2c1308870d4afa911e02037
361,U1479,B,7,7-1,H,1,W,70/72-FORAM,0,2,54.4,54.42,,A,G,,,A,,,,,R,,,,,,P,P,,,,F,P,,,A,,,,,,,,,,P,,,P,P,,,,,,,,P,,A,,,,,,,,,,,,,361-U1479B-7H-1-W 70/72-FORAM,83ce2a68174b932f206faec65cf1c879
361,U1479,B,7,7-3,H,3,W,70/72-FORAM,0,2,57.4,57.42,,A,G,,,P,P,,,P,,P,,,,,R,R,,,,R,,,,F,,,,,,,,,,P,,,,,,,,,,,,P,,R,,P,P,,,P,,,,,,,361-U1479B-7H-3-W 70/72-FORAM,91a457a783fd6e153d66326147417b3b
361,U1479,B,7,7-5,H,5,W,65/67-FORAM,0,2,60.35,60.37,,A,G,,,P,P,,,P,,P,,,,,R,P,,,,R,,,,A,,,,,,,,,P,P,,,,,,,,,,,,P,,R,,P,P,,,P,,,,,,,361-U1479B-7H-5-W 65/67-FORAM,2cbe0104d65c02fb7a6c6608b79e5fc5
361,U1479,B,7,7-CC,H,CC,PAL,FORAM,0,5,60.51,60.56,,A,G,,,F,P,P,,,P,,,,,,R,P,,,,R,P,,,D,,,R,,,,,,R,R,P,P,P,P,,,,,,,,A,,F,,P,,,,,,,,,,,361-U1479B-7H-CC-PAL-FORAM,1695aec2f84ab5faeab201427686ef6e
361,U1479,B,8,8-1,H,1,W,70/72-FORAM,0,2,63.9,63.92,,A,G,,,R,,,,,P,,,,,,R,R,,,,P,,,,A,,,P,,,,,,,,,P,F,,,,,,,,,R,,A,,,P,,R,,,,,,,,361-U1479B-8H-1-W 70/72-FORAM,6b50c054ba8c763ac4c7b86f697b67e8
361,U1479,B,8,8-3,H,3,W,70/72-FORAM,0,2,66.9,66.92,,A,G,,,P,P,P,,P,P,,,,,,P,P,,,,P,P,,,P,,,P,,,,,,P,P,,,P,P,,,,,,,,P,,P,,P,P,,,,,,,,,,361-U1479B-8H-3-W 70/72-FORAM,3853c7067ec405c8397da7f57f2bd5e7
361,U1479,B,8,8-CC,H,CC,PAL,FORAM,0,5,68.04,68.09,,A,G,,,A,R,R,,R,R,,,,,,P,P,,,,R,R,,,D,,,R,,,,,,R,R,R,P,R,,P,,,,,,,A,,A,R,R,,,P,,,,,,,,361-U1479B-8H-CC-PAL-FORAM,2a52a97c9edb7fad31ffd3086f6f87e1
361,U1479,B,9,9-1,H,1,W,70/72-FORAM,0,2,73.4,73.42,"T Neogloboquadrina acostaensis (Gradstein et al., 2012)",C,G,,,P,P,P,,P,P,,,,,,P,P,,,,P,P,,,P,,,P,,,,,P,P,P,P,P,,,P,,,,,,P,P,,P,P,P,P,,,,,,,,,,361-U1479B-9H-1-W 70/72-FORAM,935b6bceaca2396eea3b5939d4593513
361,U1479,B,9,9-2,H,2,W,70/72-FORAM,0,2,74.9,74.92,,A,M,,,P,P,P,,P,P,,,,R,,P,P,,,,P,P,,,P,,,P,,,,,,P,P,P,P,,,P,,,,,,,P,,P,,P,,,P,,,,,,,,361-U1479B-9H-2-W 70/72-FORAM,8270acfce638a77c17dd979a95d87ba5
361,U1479,B,9,9-3,H,3,W,70/72-FORAM,0,2,76.4,76.42,,C,M,,,P,P,P,,P,P,,,,,,P,P,,,,P,,,,P,,,P,,,,,,P,P,P,P,P,,P,,,,,,R,P,,P,P,P,,,,,,,,,,,361-U1479B-9H-3-W 70/72-FORAM,98c158624f0ac15c83de108ee3cb50b2
361,U1479,B,9,9-4,H,4,W,70/72-FORAM,0,2,77.9,77.92,,C,M,,,P,P,P,,P,P,,,,,,P,P,,,,P,P,,,P,,,P,,,,,,P,P,P,P,P,P,,,,,,,P,P,,P,,P,P,,P,,,,,,,,361-U1479B-9H-4-W 70/72-FORAM,c402b8732f676bcf9a0b949e2bb9198e
361,U1479,B,9,9-5,H,5,W,70/72-FORAM,0,2,79.4,79.42,,C,M,,,P,,,,,P,P,,,,,P,P,,,,P,,,,P,,,P,,,,,,,,,P,,P,,,,,,,P,P,,P,P,P,P,,P,,,,,,,,361-U1479B-9H-5-W 70/72-FORAM,a76a2b66fb01e72eb24d6b84264729d3
361,U1479,B,9,9-6,H,6,W,70/72-FORAM,0,2,80.9,80.92,,C,M,P,,P,P,P,,P,P,P,,,,,P,P,,,,P,,,,P,,,P,,,,,,P,P,,P,,P,,,,,,,P,P,,P,P,P,P,,P,,,,,,,,361-U1479B-9H-6-W 70/72-FORAM,8bf961b78ab0b7c5b0778ef99be4974c
361,U1479,B,9,9-CC,H,CC,PAL,FORAM,0,5,81.59,81.64,"T Globigerinoides fistulosus (Gradstein et al., 2012)",A,G,,,A,R,R,,R,R,R,,P,,,R,R,,,,R,R,,,A,,,R,,,,,,R,R,R,R,P,P,P,,,,,,P,A,,F,,R,P,,P,,,,,,,,361-U1479B-9H-CC-PAL-FORAM,a60766c60667b52b7453c414018a401c
361,U1479,B,10,10-1,H,1,W,70/72-FORAM,0,2,82.9,82.92,,A,G,,,P,P,P,,P,P,,,P,,,P,P,,,,P,P,,,F,,,P,,,,,,P,P,,P,,,,,,,,,P,P,,P,,P,P,,,,,,,,,,361-U1479B-10H-1-W 70/72-FORAM,53412148718e7f8e017e4889c445287e
361,U1479,B,10,10-3,H,3,W,70/72-FORAM,0,2,85.9,85.92,,A,G,,,A,,R,,,P,,,,,,R,P,,,,,,,,A,,,P,,,,,,R,,,,,,,,,,,,,P,R,,,R,P,,P,,,,,,,,361-U1479B-10H-3-W 70/72-FORAM,e588612cdfcf9207ea681dbe26f678d0
361,U1479,B,10,10-5,H,5,W,70/72-FORAM,0,2,88.9,88.92,,A,G,,,A,P,R,,,,,,,,,R,P,,,,,,,,A,,,P,,,,,,R,,,,,,,,,,,,,P,R,,,R,P,,P,,,,,,,,361-U1479B-10H-5-W 70/72-FORAM,c7c943d1c9eff6def608d9ea6b4f98b4
361,U1479,B,10,10-CC,H,CC,PAL,FORAM,0,5,92.06,92.11,,A,G,,,A,F,R,,R,R,R,,,,,P,P,,,,R,R,,,D,,,R,,,,,,R,P,R,P,,,P,,,,,,R,F,,F,R,P,,,,,,,,,,,361-U1479B-10H-CC-PAL-FORAM,c635eb4a8ef7173732763125556cf39b
361,U1479,B,11,11-1,H,1,W,70/72-FORAM,0,2,92.4,92.42,,C,G,,,A,F,R,,R,R,,,,,,R,R,,,,F,,,,A,,,R,,,,,,P,,,,,,,P,,,,,R,F,,,,R,R,,P,,,,,,,,361-U1479B-11H-1-W 70/72-FORAM,af67fa9ff472dc852a871ec4c5b42dd0
361,U1479,B,11,11-3,H,3,W,70/72-FORAM,0,2,95.4,95.42,,C,G,,,R,R,,,R,R,,P,,,,R,R,,,,F,,,,D,,,P,,,,,,P,P,P,,,,,,,,,,R,,,,R,P,P,,P,,,,,,,,361-U1479B-11H-3-W 70/72-FORAM,e7bcd0aef4430c812e92a9198d20d30a
361,U1479,B,11,11-5,H,5,W,70/72-FORAM,0,2,98.4,98.42,,C,G,,,F,F,R,,R,R,P,,,,,R,R,,,,F,F,,,A,,,R,,,,,P,R,P,,,,,,R,,,,R,,R,,,R,R,R,,,,,,,,,,361-U1479B-11H-5-W 70/72-FORAM,c4fd4695d53f84c244bf42b737f14fe0
361,U1479,B,11,11-CC,H,CC,PAL,FORAM,0,5,101.46,101.51,,C,G,,,F,F,R,,F,R,,,,,,R,,,,,F,F,,,F,,,,,,,,,R,R,R,,,,P,,,,,,P,R,,F,P,R,P,,P,,,,,,,,361-U1479B-11H-CC-PAL-FORAM,3b8e4012cfcdcb17513c63d39643cbe1
361,U1479,B,12,12-1,H,1,W,70/72-FORAM,0,2,101.9,101.92,,C,G,,,R,R,P,,R,,,,,,,P,P,,,,R,,,,P,R,,R,,,,,P,P,P,,,,,,P,,,,P,,P,,P,,P,P,,,,,,,,,,361-U1479B-12H-1-W 70/72-FORAM,b092cb6c341009e928f40d14fd36668d
361,U1479,B,12,12-3,H,3,W,70/72-FORAM,0,2,104.9,104.92,,C,G,,,P,P,P,,P,P,,,,,,P,P,,,,P,P,,,P,,,P,,,,,,P,P,P,,,,P,,,,,,P,P,,P,,P,,,,,,,,,,,361-U1479B-12H-3-W 70/72-FORAM,1f78ce7bacddacb8b5851af2f51c4eab
361,U1479,B,12,12-5,H,5,W,70/72-FORAM,0,2,107.9,107.92,,C,G,,,P,P,P,,P,P,,,,,,P,P,,,,P,P,,,P,,,P,,,,,,P,P,,,,,P,,,,,P,P,P,,P,P,P,,,,,,,,,,,361-U1479B-12H-5-W 70/72-FORAM,aaafb7159bc1397a71dd0c25da143c1c
361,U1479,B,12,12-CC,H,CC,PAL,FORAM,0,5,111.01,111.06,"T Globorotalia limbata(Gradstein et al., 2012)",C,G,,,A,A,R,,P,,,,,,,R,,,,,F,R,,,F,,,,,,,,P,R,P,,,,,,,,,,,P,R,,A,,P,,,,,,,,,,,361-U1479B-12H-CC-PAL-FORAM,596d1817c9f6b316c0af1657abb9f0e1
361,U1479,B,13,13-1,H,1,W,70/72-FORAM,0,2,111.4,111.42,,C,G,,,A,A,R,,R,R,,,,,,R,R,,,,F,R,,,A,P,,P,,,,,P,R,P,,,,,,,,,,P,,R,,A,,R,,,P,,,,,,,,361-U1479B-13H-1-W 70/72-FORAM,7f5bd1408beda2ba8770e63107911e4c
361,U1479,B,13,13-3,H,3,W,70/72-FORAM,0,2,114.4,114.42,,C,G,,,P,P,P,,P,P,P,,,,,P,P,,,,P,P,,,P,P,,P,,,,,P,P,P,P,,,,P,P,P,,,P,P,P,,P,,P,,,,,,,,,,,361-U1479B-13H-3-W 70/72-FORAM,ed83ed2b221362f0c9699abc5add99a8
361,U1479,B,13,13-5,H,5,W,70/72-FORAM,0,2,117.4,117.42,,C,G,,,P,P,P,,P,P,,,,,,P,P,,,,P,P,,,P,R,,R,,,,,,P,P,,,,,P,P,P,,,P,P,P,,P,,P,P,,,,,,,,,,361-U1479B-13H-5-W 70/72-FORAM,84d19866460c809f9d28ee3a6433eb83
361,U1479,B,13,13-CC,H,CC,PAL,FORAM,0,5,120.5,120.55,,C,G,,,A,F,R,,,,P,,,,,F,R,,,,R,P,,,A,P,,P,,,,,P,P,P,,,,,,P,,,,,P,,P,F,,P,,,,,,,,,,,361-U1479B-13H-CC-PAL-FORAM,94e335c1e8094ca3b88d22ba50a2842a
361,U1479,B,14,14-1,H,1,W,70/72-BIO,0,2,120.9,120.92,,C,G,,,A,F,R,,R,R,,,,,,F,R,,,,F,R,,,A,P,,R,,,,,P,P,P,,,,,,R,P,,,R,P,R,,,,R,,,P,,,,,,,,361-U1479B-14H-1-W 70/72-BIO,869d21b251ca9cef834551065ae6d395
361,U1479,B,14,14-3,H,3,W,70/72-FORAM,0,2,123.9,123.92,,C,G,,,F,F,R,,R,R,,,,,,F,R,,,,R,R,,,A,R,,P,,,,,P,P,P,,,,P,P,P,,,,P,P,R,,A,A,R,,,,,,,,,,,361-U1479B-14H-3-W 70/72-FORAM,717833384da48f59fec94d70fbab39a2
361,U1479,B,14,14-5,H,5,W,70/72-FORAM,0,2,126.9,126.92,,C,G,,,P,P,P,,P,P,,,,P,,P,P,,,,F,P,,,P,P,,P,,,,,P,,P,,,,,P,P,,,,,P,P,,P,P,P,P,,,,,,,,,,361-U1479B-14H-5-W 70/72-FORAM,afe2aa1022bfce76888d0738065b95b7
361,U1479,B,14,14-CC,H,CC,PAL,FORAM,0,5,129.81,129.86,,C,G,,,A,F,R,,P,P,,,,,,F,R,,,,R,,,,A,,,P,,,,,P,R,R,,,,,,R,,,,,P,,,,,P,,,,,,,,,,,361-U1479B-14H-CC-PAL-FORAM,96846e49cce4cea68f5b9c9261f35f32
361,U1479,B,15,15-1,H,1,W,70/72-FORAM,0,2,130.4,130.42,"B Globorotalia tosaensis (Lyle et al., 1997)",C,G,,,P,P,P,,P,P,,P,,,,P,P,,,,P,P,,,P,P,,P,,,,,,P,P,P,P,,,P,P,,,,,P,P,,P,P,P,,,P,,,,,,,,361-U1479B-15H-1-W 70/72-FORAM,ca91d93a877b42c55fc55dc611d158b7
361,U1479,B,15,15-3,H,3,W,70/72-FORAM,0,2,133.4,133.42,,C,G,,,P,P,P,,P,P,,P,,,,P,P,,,,P,P,,,P,P,,P,,,,,P,P,P,P,,,P,P,P,P,,,,P,P,,P,,P,,,,,,,,,,,361-U1479B-15H-3-W 70/72-FORAM,85c5b9df8930df8e23f064921a26b1b8
361,U1479,B,15,15-5,H,5,W,70/72-FORAM,0,2,136.4,136.42,"T Dentoglobigerina altispira(Gradstein et al., 2012)",C,G,,P,P,P,P,,P,P,P,P,,,,P,P,P,,,P,R,,,P,,,P,,,,,,P,P,,,,P,,P,P,,,,P,P,,P,,P,,,,,,,,,,,361-U1479B-15H-5-W 70/72-FORAM,5c5e0631055047a405ff5d2d7d9ed609
361,U1479,B,15,15-CC,H,CC,PAL,FORAM,0,5,139.57,139.62,,C,G,,P,A,,R,,P,P,P,P,,,,,,,,,F,P,,,A,,,,,,,,,F,R,,,,,,P,,,,,,P,,,,F,,,,,,,,,,,361-U1479B-15H-CC-PAL-FORAM,874cdbcfe8dac02a7faf201b9363e617
361,U1479,B,16,16-1,H,1,W,70/72-FORAM,0,2,139.9,139.92,,C,G,,R,A,,R,,P,R,,P,,,,R,R,,,,F,P,,,A,P,,,,,,,P,,P,,,,,,R,,,,,R,,,R,,R,,P,,,,,,,,,361-U1479B-16H-1-W 70/72-FORAM,d3f66645905f23f8d5a7427465944c59
361,U1479,B,16,16-3,H,3,W,70/72-FORAM,0,2,142.9,142.92,"T Sphaeroidinellopsis seminulina(Gradstein et al., 2012)",C,G,,R,A,,,,,P,,,,,,,,P,,,F,,,,A,,,,,,,,,,R,,,,P,,R,,,,,,,,,,,,,P,,P,,,,,,361-U1479B-16H-3-W 70/72-FORAM,70e44852973c119e62700f0761ea23e0
361,U1479,B,16,16-5,H,5,W,70/72-FORAM,0,2,145.9,145.92,,C,G,,R,A,,,,,P,,,,,,P,P,P,,,F,,,,A,,,,,,,,P,,R,,,,P,P,R,,,,,,,,,,,P,,P,,,,,,,,361-U1479B-16H-5-W 70/72-FORAM,5c6f191ba05f4bef23d131e4e73f38b5
361,U1479,B,16,16-CC,H,CC,PAL,FORAM,0,5,148.97,149.02,,C,M,,R,A,R,,,,P,,P,,,,R,R,,,,F,,,,F,,,,,,,,,F,R,,,,,,P,,,,,P,,,R,,P,P,,,,,,,,,,361-U1479B-16H-CC-PAL-FORAM,de6b19f549b102c859ac7c7240f8d4ba
361,U1479,B,17,17-1,H,1,W,70/72-FORAM,0,2,149.4,149.42,"T Pulleniatina (disappearance)(Gradstein et al., 2012)",C,M,,P,A,,R,,P,P,,,,,,R,F,,,,F,P,,,A,,,,,,,,P,R,R,,,,,,R,,,,,,,,,,R,,R,P,,P,,,,,,361-U1479B-17H-1-W 70/72-FORAM,72041b913616fad9c8f3358e93f20e0f
361,U1479,B,17,17-3,H,3,W,70/72-FORAM,0,2,152.4,152.42,,C,M,,P,A,,R,,P,P,,P,,,,R,R,,,,R,,,,A,P,,,,,,,P,R,P,,,,,,P,,,,,P,,,P,,R,,R,,,,,,,,,361-U1479B-17H-3-W 70/72-FORAM,95fd4b58815d9f435b827066484e6e29
361,U1479,B,17,17-5,H,5,W,70/72-FORAM,0,2,155.4,155.42,,C,M,,P,A,,R,,,P,,P,,,,R,,,,,F,,,,A,P,,P,,,,,,F,P,,,,,,P,,,,,,,,,,F,,,,P,P,,,,,,361-U1479B-17H-5-W 70/72-FORAM,a73382b59b664bed7e12c5bd8dafdd2a
361,U1479,B,17,17-CC,H,CC,PAL,FORAM,0,5,158.31,158.36,,C,M,,R,A,P,P,,,P,,P,,,,R,P,,,,R,P,,,F,P,,P,,,,,R,P,R,,,,,,R,,,,,,,,,,R,R,R,,,P,,,,,,361-U1479B-17H-CC-PAL-FORAM,1941689ce265be90e664e867af3b29ea
361,U1479,B,18,18-1,H,1,W,70/72-FORAM,0,2,158.9,158.92,,C,M,,,A,P,P,,,P,P,,,,,R,P,,,,F,,,,F,P,,P,,,,,R,P,R,,,,,,P,,,,,P,,,,,R,R,R,,,,,,,,,361-U1479B-18H-1-W 70/72-FORAM,01d8365c97e02cff69c5a824ccc28281
361,U1479,B,18,18-3,H,3,W,70/72-FORAM,0,2,161.88,161.9,,C,M,,P,A,P,P,,,P,P,R,,P,,R,P,,,,R,,,,F,P,,P,,,,,R,P,R,,,,,,P,,,,,,,,,,R,R,R,,,P,,,,,,361-U1479B-18H-3-W 70/72-FORAM,59c5970d81b80a2669c6aa1a71412544
361,U1479,B,18,18-5,H,5,W,70/72-FORAM,0,2,164.88,164.9,,C,M,,,A,P,P,,,P,,,,,,R,P,,,,R,,,,F,P,,P,,,,,R,P,R,,,,,,R,,,,,P,,,,,R,R,R,,,,,,,,,361-U1479B-18H-5-W 70/72-FORAM,73ac1b041944ea9e194c359eaa42842a
