Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Preservation,Group abundance,Emiliania huxleyi,Gephyrocapsa sp. (<4 microns),Gephyrocapsa sp. (closed >4 microns),Gephyrocapsa sp. (4-5.5 microns),Gephyrocapsa sp. (>5.5 microns),Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (<3 microns),Cyclicargolithus floridanus,Cyclicargolithus abisectus,Reticulofenestra bisecta,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calcidiscus tropicus +grill,Umbilicosphaera sp.,Umbilicosphaera rotula,Umbilicosphaera jafari,Coronocyclus nitescens,Hayaster perplexus,Oolithotus sp.,Tetralithoides quadrilaminata,Clausicoccus fenestratus,Hughesius tasmaniae,Hughesius gizoensis,Helicosphaera carteri,Helicosphaera sellii,Helicosphaera intermedia,Helicosphaera euphratis,Helicosphaera ampliaperta,Helicosphaera obliqua,Helicosphaera recta,Pontosphaera sp.,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera globulata,Rhabdosphaera clavigera,Syracosphaera pulchra,Braarudosphaera bigelowii,Discosphaera tubifera,Umbellosphaera tenuis,Holodiscolithus macroporus,Calciosolenia sp.,Coronosphaera mediterranea,Ilselithina fusa,Discoaster brouweri,Discoaster asymmetricus,Discoaster tamalis,Discoaster triradiatus,Discoaster calcaris,Discoaster altus,Discoaster sp. cf. D. brouweri,Discoaster surculus,Discoaster variabilis,Discoaster exilis,Discoaster deflandrei,Discoaster bollii,Discoaster musicus,Discoaster petaliformis,Discoaster kugleri,Discoaster sp. cf. D. variabilis,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster berggrenii ssp. extensus,Discoaster bergenii,Discoaster bellus,Discoaster hamatus,Catinaster coalitus,Catinaster calyculus,Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus pseudoheteromorphus,Sphenolithus belemnos,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolithus calyculus,Sphenolithus delphix,Sphenolithus capricornutus,Ceratolithus cristatus,Ceratolithus armatus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Nicklithus amplificus,Orthorhabdus rugosus,Orthorhabdus striatus,Orthorhabdus serratus,Orthorhabdus rioi,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Minylitha convallis,Florisphaera profunda,Thoracosphaera heimii,Scrippsiella sp.,Thoracosphaera sp.,Ascidian spicules,Reworked species,Nannofossil comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
359-U1466A-15H-7-W,10,10,128.11,128.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,15,H,7,W,ccc542dd1421e5c0f11614aae053ec95
359-U1466A-15H-CC-PAL,0,5,128.92,128.97,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,15,H,CC,PAL,e06553acda89c23b168c2b816df55440
359-U1466A-16H-2-W,16,16,130.66,130.66,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,16,H,2,W,d64b26c6f4ca896a655a6f82bd5a7b35
359-U1466A-16H-3-W,90,90,132.9,132.9,,,P,R,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,A,16,H,3,W,7d0c117b94c3b802ffd67933463bf1ab
359-U1466A-16H-4-W,60,60,134.1,134.1,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,A,16,H,4,W,ef9944fa16d2d84a3d5e38526555ab4a
359-U1466A-16H-6-W,78,78,137.28,137.28,,,P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,A,16,H,6,W,8ff29be5ac0e3456df9b5921f60190aa
359-U1466A-16H-CC-PAL,0,5,138.56,138.61,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,16,H,CC,PAL,08dc870b9c851b9bb6f48c11d8bcf243
359-U1466A-17H-CC-PAL,0,5,138.77,138.82,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,R,R,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,17,H,CC,PAL,7c349a58fa48dabfcffe2e350061c6b9
359-U1466A-18X-CC,0,5,139.47,139.52,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,18,X,CC,,b605b0e720af1b3ec0db2ef1e4d8ecc7
359-U1466A-19F-2-W,123,123,148.33,148.33,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,F,R,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,19,F,2,W,6f0138bfe783e9f38eaddc9e8b58b3cf
359-U1466A-19F-CC-PAL,0,5,149.98,150.03,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,P,R,R,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,19,F,CC,PAL,7bf4ef6ba20c3691febc36110de1d0fc
359-U1466A-20F-1-W,80,80,151.1,151.1,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,20,F,1,W,df9a1634275e15edbd561d752766062c
359-U1466A-20F-3-W,80,80,154.1,154.1,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,20,F,3,W,698469f9c0154cba12d5e32c95e16e2f
359-U1466A-20F-CC-PAL,0,5,154.9,154.95,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,20,F,CC,PAL,0559b31ca16c51ba9a4b4fa230d44463
359-U1466A-21H-1-W,66,66,155.66,155.66,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,1,W,9aee27601f625a967a1df63dbfa0dcb4
359-U1466A-21H-2-W,76,76,156.78,156.78,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,2,W,22cf04547a0006e944586b4e873aaf99
359-U1466A-21H-4-W,85,85,159.13,159.13,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,4,W,6f535c64bee5a555b3e64a9e14d3f23a
359-U1466A-21H-5-W,59,59,160.37,160.37,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,5,W,35986cf0a17d2a32f5ede563d5e2644c
359-U1466A-21H-6-W,49,49,161.76,161.76,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARREN,,,,359,U1466,A,21,H,6,W,5e508f96525f5646c8e3619471a246af
359-U1466A-21H-CC-PAL,0,5,162.34,162.39,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,21,H,CC,PAL,d10163fed0d44fc50e1346a8649330b8
359-U1466A-22H-2-W,73,73,164.23,164.23,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,22,H,2,W,9658ef8655842d523b23d4506d015d64
359-U1466A-22H-4-W,38,38,166.88,166.88,,,P,R,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,22,H,4,W,5ec39a340faebf3498aaa48f2ed09fd3
359-U1466A-22H-CC-PAL,0,5,171.78,171.83,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,A,P,A,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,22,H,CC,PAL,47f04b535d0b7b7feb5e53f75f3f6011
359-U1466A-23H-CC-PAL,0,5,172.17,172.22,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,23,H,CC,PAL,7da7e5cd9e8ae38e384bfc4dd90a1ec6
359-U1466A-24X-CC-PAL,0,5,175.17,175.22,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,24,X,CC,PAL,6330dd25ef9fb146707be5d8475a99d0
359-U1466A-25H-CC-PAL,0,5,183.38,183.43,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,25,H,CC,PAL,9b89dfed272127b591bfb3831a4451ce
359-U1466A-26F-1-W,20,20,183.7,183.7,,,P,R,,,,,,,,,,P,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,26,F,1,W,fed74db6c71359e6e5e00ef4c4efc659
359-U1466A-26F-CC-PAL,0,5,187.88,187.93,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,26,F,CC,PAL,e7305e98efdd47bc5355f845620b5673
359-U1466A-27F-2-W,84,84,190.53,190.53,,,P,R,,,,,,,,,,R,R,,,,R,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,27,F,2,W,0941ae27f49800e7437e3fc48057eb49
359-U1466A-27F-CC-PAL,0,5,192.6,192.65,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,27,F,CC,PAL,539dd825277c8d35f4e20e52a3a5e211
359-U1466A-28F-CC-PAL,0,5,197.07,197.12,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,28,F,CC,PAL,ce6114ab73297b34b19e3dd2485b8c87
359-U1466A-29F-1-W,144,145,199.04,199.05,,,P,R,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDITIONAL SAMPLE CHECKED FOR ASSEMBLAGE CONSISTENCY AND PRESENCE OF MARKERS BUT NOT LOGGED IN DETAIL,,,,359,U1466,A,29,F,1,W,008254e8474061be1f7bf5947d4fdf17
359-U1466A-29F-3-W,112,113,201.72,201.73,,,P,R,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,29,F,3,W,303b283ec078fd8ce14f3a4d3aa41947
359-U1466A-29F-CC-PAL,0,5,202.09,202.14,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,29,F,CC,PAL,387e094bac84b92877b449245f76857b
359-U1466A-30F-1-W,134,135,203.64,203.65,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,R,,,,,,R,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,30,F,1,W,a2e72b094662d223131915f0f171ed81
359-U1466A-30F-3,122,123,206.52,206.53,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,30,F,3,,0d2c76a4d64be1e9e35b764eef0919e4
359-U1466A-30F-CC-PAL,0,5,206.81,206.86,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,R,R,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,30,F,CC,PAL,2f1e5d52a12c21f203a6ef8c4c6854a0
359-U1466A-31F-1-W,110,111,208.1,208.11,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,31,F,1,W,7198d74b37c3d3f3285ecab15c918e5e
359-U1466A-31F-3-W,80,81,210.8,210.81,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,31,F,3,W,6b23f6d04bf97a2ed8cd937bcdfb89d2
359-U1466A-31F-CC-PAL,0,5,211.59,211.64,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,31,F,CC,PAL,94c7660522a294d5f3569159dd3acbfb
359-U1466A-32F-1-W,119,119,212.89,212.89,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,R,R,P,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,359,U1466,A,32,F,1,W,82f8bb81c5d6d4aab3ec7ff7634365c8
359-U1466A-32F-3-W,28,28,214.98,214.98,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,P,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,32,F,3,W,fb92db87d057e4519b1e0d1b1ce8bf0f
359-U1466A-32F-CC-PAL,0,5,216.08,216.13,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,R,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,32,F,CC,PAL,eb8487cee436bb2b7aa5cd07a1c90684
359-U1466A-33F-1-W,98,98,217.38,217.38,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,33,F,1,W,19796f3a8537fad3d1b6f55842b388d7
359-U1466A-33F-3,52,52,219.92,219.92,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,33,F,3,,04192d5ab3975c506c213e8d42daa23f
359-U1466A-33F-CC-PAL,0,5,220.73,220.78,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,C,,,,,,,,,C,C,,,,,R,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,33,F,CC,PAL,8ffde88dc1ee5fbeb3f69d91500b3eea
359-U1466A-34F-1-W,125,125,222.35,222.35,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,34,F,1,W,10154e5eb0c8206de93aec13d8faea9f
359-U1466A-34F-3-W,35,35,224.27,224.27,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,34,F,3,W,523ac13dda85b195d453fada1981f1af
359-U1466A-34F-CC-PAL,0,5,225.49,225.54,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,C,,,,,,,,,F,C,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,P,,,P,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentifiable 6 rays Discoster,,,,359,U1466,A,34,F,CC,PAL,79ab4467b3b69718d6e6620976e01295
359-U1466A-35F-1-W,47,47,226.27,226.27,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,35,F,1,W,e5fb619549050bdc99d1506c13c603ad
359-U1466A-35F-2-W,7,7,227.37,227.37,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,R,R,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,359,U1466,A,35,F,2,W,edfe9df12efcedb386497bcd62f28004
359-U1466A-35F-CC-PAL,0,5,228.95,229,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,F,C,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,35,F,CC,PAL,8237675f45dcf6b5517643fe0ccd0302
359-U1466A-37X-1-W,82,82,231.42,231.42,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,,F,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,359,U1466,A,37,X,1,W,02d29ce70bce41c37e5bd54bca350d50
359-U1466A-37X-CC-PAL,0,5,232.07,232.12,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,F,,,,,,,,,R,F,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,37,X,CC,PAL,b95e1a52acbf6e906a93c7d310f81c88
359-U1466A-38X-2-W,67,67,240.77,240.77,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,38,X,2,W,84e9123c547f38a95324a54b8b519de0
359-U1466A-38X-CC-PAL,0,5,241.8,241.85,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",P,R,,,,,,,,,R,F,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,38,X,CC,PAL,28dbcf8b5c5d02afd8b71848ded83c76
359-U1466A-40F-2-W,83,83,260.43,260.43,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,F,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,359,U1466,A,40,F,2,W,146f1c954645baf761e9d682867db860
359-U1466A-40F-CC-PAL,0,5,262.48,262.53,NN6,"NN6 - Discoaster exilis (Gradstein et al., 2012)",M,F,,,,,,,,,,C,C,,,,,,R,,,R,,,P,C,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1466,A,40,F,CC,PAL,1d9872710f9ca55ba35caf4160d6c5b7
