Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Achnanthes brevipes,Achnanthes diapar,Achnanthes groenlandica,Achnanthes lanceolata,Actinocyclus curvatulus,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus ingens,Actinocyclus ingens var. nodus,Actinocyclus ochotensis,Actinocyclus octonarius,Actinocyclus octonarius var. tenellus,Actinocyclus oculatus,Actinocyclus radionovae,Actinocyclus spp.,Actinoptychus senarius,Actinoptychus splendens,Alveus marinus,Amphiprora sp.,Amphora ovalis,Amphora sp.,Asterolampra marylandica,Asteromphalus darwinii,Asteromphalus elegans,Asteromphalus flabellatus,Asteromphalus petterssonii,Asteromphalus robustus,Aulacoseira granulata,Aulacoseira spp.,Azpeitia africana,Azpeitia barronii,Azpeitia endoi,Azpeitia nodulifera,Azpeitia nodulifera fa. cyclopa,Azpeitia tabularis,Bacillaria paradoxa,Bacteriastrum spp.,Bacterosira fragilis,Baxteriopsis brunii,Biddulphia sinensis,Bogorovia veniamini,Brightwellia imperfecta,Calloneis bacillum,Cestodiscus peplum,Cestodiscus pulchellus,Cestodiscus pulchellus var. maculatus,Chaetoceros spp. and similar spores,Charcotia actinochilus,Cocconeis californica,Cocconeis costata,Cocconeis decipiens,Cocconeis disculus,Cocconeis fluminensis,Cocconeis pellucida,Cocconeis placentula,Cocconeis placentula var. euglypta,Cocconeis pseudomarginatus,Cocconeis scutellum,Cocconeis vitrea,Coscinodiscus elegans,Coscinodiscus lewisianus,Coscinodiscus marginatus,Coscinodiscus obscurus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Coscinodiscus stellaris,Coscinodiscus subtilis,Coscinodiscus symbolophorus,Coscinodiscus vetustissimus,Cosmiodiscus insignis,Craspedodiscus elegans,Crucidenticula nicobarica,Crucidenticula punctata,Cyclotella antiqua,Cyclotella chaetoceras,Cyclotella comta,Cyclotella kutzingiana,Cyclotella striata,Cymatosira biharensis,Cymatosira debyi,Cymatotheca weissflogii,Cymbella sinensis,Cymbella tumida,Delphineis angustata,Delphineis ischaboensis,Delphineis kippae,Delphineis margalitalimbata,Delphineis simonsenii,Delphineis surirella,Denticulopsis crassa,Denticulopsis dimorpha,Denticulopsis hustedtii,Denticulopsis hustedtii (elliptical),Denticulopsis hyalina,Denticulopsis katayamae,Denticulopsis lauta,Denticulopsis lauta (miocenica type),Denticulopsis praedimorpha,Denticulopsis praehyalina,Denticulopsis praekatayamae,Denticulopsis praelauta,Diplomenora cocconeisformis,Diploneis bombus,Diploneis coffeiformis,Diploneis constricta,Diploneis elliptica,Diploneis fusca,Diploneis interrupta,Diploneis nitescens,Diploneis oculata,Diploneis ovalis,Diploneis smithii,Diploneis suborbicularis,Diploneis weissflogi,Entopyla spp.,Epithemia argus,Epithemia turgida,Ethmodiscus sp. fragments,Eunotia spp.,Fragilaria construens,Fragilaria leptostauron,Fragilariopsis doliolus,Gomphonema abbreviatum,Gomphonema angustatum,Gomphonema lanceolata,Gomphonema longiceps,Gomphonema olivacium,Gomphonema spp.,Gomphonema tergrstinum,Goniothecium tenue,Grammatophora spp.,Hemiaulus polymorphus,Hemiaulus sp.,Hemidiscus cuneiformis,Hyalodiscus scoticus,Kisseleviella carina,Leptocylindrus spp.,Lithodesmium spp.,Lithodesmium undulatum,Mastogloia capitata,Mediaria splendida,Melosira albicans,Melosira polaris,Melosira westii,Navicula directa,Navicula lyra,Navicula mutica,Navicula pygmaea,Navicula spp.,Neodenticula kamtschatica,Neodenticula koizumii,Neodenticula seminae,Nitzschia braarudii,Nitzschia cylindrica,Nitzschia extincta,Nitzschia fossilis,Nitzschia granulata,Nitzschia grunowii,Nitzschia interruptestriata,Nitzschia marina,Nitzschia miocenica,Nitzschia pliocena,Nitzschia porteri,Nitzschia punctata,Nitzschia reiholdii,Nitzschia reinholdii,Nitzschia sicula,Nitzschia sp. 1,Odontella aurita,Opephora martyi,Paralia clavigera,Paralia sulcata,Pinnularia alphina,Pinnularia appendiculata,Pinnularia borealis,Pinnularia molaris,Pinnularia spp.,Plagiogramma staurophorum,Planktoniella sol,Porosira glaciais,Proboscia curvirostris,Proboscia spp.,Pseudopodosira elegans,Pseudosolenia calcar-avis,Pyxilla spp.,Rhabdonema japonicum,Rhaphidodiscus marylandicus,Rhaphoneis amphiceros,Rhaphoneis elegans,Rhaphoneis fossile,Rhaphoneis miocenica,Rhizosolenia  semispina,Rhizosolenia alata,Rhizosolenia barboi,Rhizosolenia bergonii,Rhizosolenia curvirostris,Rhizosolenia hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia miocenica,Rhizosolenia praebergonii,Rhizosolenia praebergonii var. robusta,Rhizosolenia setigera,Rhizosolenia styliformis,Rhopalodia gibberula,"Roperia tesselata (Roper) Grunow in Van Heurck, 1883",Rossiella paleacea,Rossiella tatsunokuchiensis,Rouxia californica,Shionodiscus oestrupii,Shionodiscus tetraoestrupii,Skeletonema costatum,Stephanodiscus astraea,Stephanogonia hanzawae,Stephanopyxis palmeriana,Stephanopyxis spp.,Stephanopyxis turris,Synedra jouseana,Synedra jouseana var.,Synedra ulna,Tetracyclus lacustris,Thalassionema bacillaris,Thalassionema frauenfeldii,Thalassionema hirosakiensis,Thalassionema nitzschioides,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides var. nitzschioides,Thalassionema schraderi,Thalassiosira antiqua,Thalassiosira burckliana,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira convexa var. convexa,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira ferelineata,Thalassiosira gravida,Thalassiosira gravida spore,Thalassiosira hyalina,Thalassiosira jacksonii,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira leptopus,Thalassiosira leptopus s. ampl.,Thalassiosira lineata,Thalassiosira manifesta,Thalassiosira nidulus,Thalassiosira nordenskioeldii,Thalassiosira pacifica,Thalassiosira plicata,Thalassiosira praeoestrupii,Thalassiosira sacketii,Thalassiosira singularis,Thalassiosira temperei,Thalassiosira trifulta,Thalassiosira yabei,Thalassiosira zabellinae,Thalassiothrix longissima,Trachyneis aspera,Triceratium spp.,Tryblionella spp.,Tryblioptichus spp.,Comments,Ship File Links,Shore File Links,File Data
353-U1443B-3H-5-W 84/84-DIAT,0,0,25.34,25.34,,,,G,F,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,
353-U1443B-3H-5-W 87/87-DIAT,0,0,25.37,25.37,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-4H-2-W 33/34-DIAT,0,1,29.83,29.84,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-4H-4-W 63/64-DIAT,0,1,33.13,33.14,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-4H-5-W 18/19-DIAT,0,1,34.18,34.19,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-7H-1-W 28/29-DIAT,0,1,56.78,56.79,,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,radiolarians present,,,
353-U1443B-7H-1-W 33/34-DIAT,0,1,56.83,56.84,,,,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,radiolarians present,,,
353-U1443B-7H-1-W 38/38-DIAT,0,0,56.88,56.88,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-7H-5-W 121/122-DIAT,0,1,63.71,63.72,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-7H-5-W 124/124-DIAT,0,0,63.74,63.74,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-7H-5-W 44/44-DIAT,0,0,62.94,62.94,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-12H-1-W 91/91-DIAT,0,0,101.91,101.91,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,
353-U1443B-12H-1-W 97/97-DIAT,0,0,101.97,101.97,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1443B-14H-1-W 4/4-DIAT,0,0,120.04,120.04,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
