Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum group,Datum group code,Datum type,Datum region,Datum name generic,Datum author year,Datum validation comment,Datum status,Datum comment,Datum age minimum [Ma],Datum age average [Ma],Datum age maximum [Ma],Datum occurrence,Zone name (short),Zone name,Zone author (year),Zone group,Type (upper zone),Genus/species (upper zone),Type (lower zone),Genus/species lower zone),Zone status,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Agglutinated spp. (indeterminate),Amphicoryna scalaris,Anomalinoides globulosus,Bolivina pusilla,Bolivina robusta,Bolivinita quadrilatera,Bulimina aculeata,Bulimina barbata,Bulimina sp.,Bulimina striata gr.,Cassidulina carinata,Cassidulina sp.,Chrysalogonium tenuicostatum,Chilostomella oolina,Cibicides bradyi,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundulus,Cibicidoides renzi,Cibicidoides sp.,Cyclammina trullissata,Dentalina communis,Eggerella bradyi,Ehrenbergina pacifica,Epistominella exigua,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Gavelinopsis lobatulus,Globobulimina affinis,Globocassidulina subglobosa,Globogyroidina boninensis,Gyroidinoides neosoldanii,Hoeglundina elegans,Karreriella bradyi,Laticarinina pauperata,Lagena sp.,Lenticulina rotulata,Lenticulina sp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Nonionella sp.,Nodosaria longiscata,Nuttallides umbonifera,Oridorsalis umbonatus,Oolina globosa,Parafissurina sp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella brevis,Pleurostomella sp. A,Pseudonodosaria sp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyrgo lucernula,Pyrgo murrhina,Pyrgo sp.,Quinqueloculina lamarckiana,Quinqueloculina sp.,Recurvoides sp.,Rhabdammina? sp.,"Rhizammina sp. (Kaiho, 1992)",Rhizammina sp.,Sigmoilopsis schlumbergeri,Sphaeroidina bulloides,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Tosaia hanzawai,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispida,Uvigerina hispidocostata,Uvigerina senticosa,Uvigerina sp.,File Data,Shore File Links,eodp_id
350-U1437B-11F-CC-PAL-FORAM,350,U1437,B,11,11-CC,F,CC,PAL,FORAM,0,5,94.11,94.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,115 specimens in 1/2 plit. Some very large (>2mm) specimens of Pyrgo murrhina.,,,R,,,,,,,R,,P,,,R,R,,,,,,,,R,,,,,P,,,R,R,,P,F,,P,,,,,,F,R,,,,A,,,,,,,,R,,,,R,A,P,,,,,,,,R,,,,P,,P,A,,F,,,,,ac436de474bdb4dc993d4749dabc353a
350-U1437B-12F-CC-PAL-FORAM,350,U1437,B,12,12-CC,F,CC,PAL,FORAM,0,5,98.9,98.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,F,,,,36 specimens in 1/4 split.,,,,,,,,,,R,,,,,F,,,,,,,,,R,,,,,R,,,,F,,,A,,,,,R,,,F,R,,,,F,,,,,,,R,R,,F,,,,,,,,,,,,A,,,,,,,F,,,,,,,7813c5c724833728f7cc06113a6bd23f
350-U1437B-12F-CC-PAL-FORAM,350,U1437,B,12,12-CC,F,CC,PAL,FORAM,0,5,98.9,98.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 specimens in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4641445febce613fc06d1e21048c0bc2
350-U1437B-13F-CC-PAL-FORAM,350,U1437,B,13,13-CC,F,CC,PAL,FORAM,0,5,102.04,102.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,25 specimens in 1/2 split.,R,,,,,,,,,R,R,,,,A,,,,R,,,,,,,,,,R,,R,,,,R,,,,,,,,,A,,,,,A,,,,,,R,R,R,,,,,F,,,,,,,,,F,,,,,,,,R,,,,,,2e9e3bea55c6cb5c63bb1f6c9fcf6d02
350-U1437B-14F-CC-PAL-FORAM,350,U1437,B,14,14-CC,F,CC,PAL,FORAM,0,5,106.95,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,31 specimens.,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,F,,,,,F,,,,,,,,,,R,,,,,,,,,,,,F,,,F,A,,,R,R,A,,,,,131cf84049e6b7a7d7bc2c8b2909d866
350-U1437B-15F-CC-PAL-FORAM,350,U1437,B,15,15-CC,F,CC,PAL,FORAM,0,5,111.65,111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,37 specimen in 1/2 split,,,,,,,,,,,A,,,,,,,,,,,,,R,,,,,,F,,R,F,,,F,,,,,,,,A,R,,,,A,,R,,,,,,R,F,F,,,F,,,,,,,,,,,,,F,,,,,F,,,,,81ff870788a038eb51a7c7002ea57e4b
350-U1437B-17F-CC-PAL-FORAM,350,U1437,B,17,17-CC,F,CC,PAL,FORAM,0,5,121.22,121.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,7 specimens in 1/8,,,,,,,,,,,,,,A,,,,,,,,,,A,,,A,,,,,,,,,,,,,,,A,,A,,,,,A,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,90adba69c8a0a59e089d54a9608a4a24
350-U1437B-18F-CC-PAL-FORAM,350,U1437,B,18,18-CC,F,CC,PAL,FORAM,0,5,125.75,125.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,9 specimens in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,F,,,A,,,,,73c27c0c87c670a6a83702dd7fca2a17
350-U1437B-19F-CC-PAL-FORAM,350,U1437,B,19,19-CC,F,CC,PAL,FORAM,0,5,130.54,130.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7cb19af53930b99b707bbaef8ad4cc3f
350-U1437B-20F-CC-PAL-FORAM,350,U1437,B,20,20-CC,F,CC,PAL,FORAM,0,4,135.17,135.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,27 specimens in 1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,a38e415882d872d8f0fc564f31e37d96
350-U1437B-21F-CC-PAL-FORAM,350,U1437,B,21,21-CC,F,CC,PAL,FORAM,0,5,137.58,137.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27specimens in whole sample,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,D,,,,,,,,,,,R,,,R,,A,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,61a4d8f46a335be9bd2321c02e88e70d
350-U1437B-22F-CC-PAL-FORAM,350,U1437,B,22,22-CC,F,CC,PAL,FORAM,0,5,142.58,142.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,19 specimens,,,,,,,,,,,,,,,,A,,,,,,,,,,,,F,,,,F,,,,,,,,,,,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,A,,,,,A,,,,,1c2f7eb8d2c82dbbf513a82bf3ab6f3a
350-U1437B-23F-CC-PAL-FORAM,350,U1437,B,23,23-CC,F,CC,PAL,FORAM,0,5,143.67,143.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,specimens,,R,,,,,,,,,,,,,R,,F,,,,,,,A,,,,,,,,,F,,,,,,,,,,,A,R,,,,A,,,,,,,,A,,,,,F,,,,,,,,,R,,,,,,,,,R,R,,,,25ed8fe34d060accf70e543424cafda8
350-U1437B-24F-CC-PAL-FORAM,350,U1437,B,24,24-CC,F,CC,PAL,FORAM,0,5,145.69,145.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,2 specimens in 1/2 split.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,6eee8b5294ee42bb49802675333d1591
350-U1437B-25X-CC-PAL-FORAM,350,U1437,B,25,25-CC,X,CC,PAL,FORAM,0,5,153.11,153.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,14 specimens in whole sample.,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,A,,,,,,,,,,,D,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,A,,,,,,55e284f513a413c745a3780a93950507
350-U1437B-26X-CC-PAL-FORAM,350,U1437,B,26,26-CC,X,CC,PAL,FORAM,0,5,160.98,161.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,13 specimens.,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,F,,,,,,,,F,F,,,,F,,,,,,,R,F,,F,,,F,,,,,,,,,A,,,,A,,,,F,,,,,,e07f70a7ad42f1f087882b2a20714c58
350-U1437B-27X-CC-PAL-FORAM,350,U1437,B,27,27-CC,X,CC,PAL,FORAM,0,5,165.62,165.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,15 specimens in 1/2 split.,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,P,,,,,P,,,,,P,,P,,,P,,,P,,,,,,,,,,,,,P,,,,,,,,,,1ebaff0906c0c6a0b3b718bfff21e0a9
350-U1437B-28X-CC-PAL-FORAM,350,U1437,B,28,28-CC,X,CC,PAL,FORAM,0,5,182.96,183.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,34 specimens in whole sample.,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,D,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,A,,,,F,,,,,,55a3a371d6ad6014cf8d2487bb421713
350-U1437B-29X-CC-PAL-FORAM43,350,U1437,B,29,29-CC,X,CC,PAL,FORAM43,0,5,186.14,186.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,19 specimens in 1/8,,,,,,,,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,A,,,,R,,,,F,A,,,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,A,F,,,,F,,,,,,246800b2f0a0418115450ce1b656ec6c
350-U1437B-30X-CC-PAL-FORAM,350,U1437,B,30,30-CC,X,CC,PAL,FORAM,0,5,197.4,197.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 specimens in whole sample.,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,P,,P,,,,,,,,,,,,P,,,A,,,,,P,P,P,,,,c62d439549b9d9d020e2d292334a01b3
350-U1437B-31X-CC-PAL-FORAM,350,U1437,B,31,31-CC,X,CC,PAL,FORAM,0,5,206.79,206.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4d602b5a44d1d6e08b41b088acb206f
350-U1437B-32X-CC-PAL-FORAM,350,U1437,B,32,32-CC,X,CC,PAL,FORAM,0,5,220.27,220.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,17 specimens in 1/8,,,,,,,,,,,,,,,,A,,,,,,,,F,,,,F,,,,,A,,F,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,,,,,,,F,,,A,,,,,,,,,,,e5fe97abbdbcd45032a9786760478b5e
350-U1437B-32X-CC-PAL-FORAM,350,U1437,B,32,32-CC,X,CC,PAL,FORAM,0,5,220.27,220.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,4 specimens in whole sample.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,P,,,c61e603675bed8dc80e0ee8d1e775b2b
350-U1437B-33X-CC-PAL-FORAM,350,U1437,B,33,33-CC,X,CC,PAL,FORAM,0,5,230.2,230.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,17 specimens 1/8,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,F,,,,,A,,,,,,,,,,,F,,,,,A,,,,,,,,A,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,1313294885c2e8393d58bc6a7cadd280
350-U1437B-34X-CC-PAL-FORAM,350,U1437,B,34,34-CC,X,CC,PAL,FORAM,0,5,237.2,237.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,18 Specimens in 1/8,,,,,,,,,,,,,,,,,,,,,,,F,,,A,,,,,,,A,,F,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,F,F,,,,,,F,,,,fce57cc40fb48056cbb43d1abbc10163
350-U1437B-35X-CC-PAL-FORAM,350,U1437,B,35,35-CC,X,CC,PAL,FORAM,0,5,245.28,245.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,11 in 1/8 specimens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,P,D,,,,,,,P,,,,,,,,,,,,,,F,F,,,F,,,,,,,A,,,,f1dee83558d54319b9a3933f7dc90661
350-U1437B-36X-CC-PAL-FORAM,350,U1437,B,36,36-CC,X,CC,PAL,FORAM,0,5,252.3,252.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,31 in1/4,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,F,,,,,F,,,,,P,,,,F,F,,,,,,,,,,,,,,,,A,,,,,,D,,,,aefcf3f8da928039a3f462bedfd9402b
350-U1437B-36X-CC-PAL-FORAM,350,U1437,B,36,36-CC,X,CC,PAL,FORAM,0,5,252.3,252.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9ac195625e74c382ecdc1e893bb8342b
350-U1437B-37X-CC-PAL-FORAM,350,U1437,B,37,37-CC,X,CC,PAL,FORAM,0,5,264.86,264.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,26 specimens whole sample,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,F,,A,,,,,,,,,,,,,,D,,R,,,,R,,R,,,,,R,,,,,,,,R,,,,,R,,,,,,R,,,,7e89ec21a48d8605467941dda6397193
350-U1437B-38X-CC-PAL-FORAM,350,U1437,B,38,38-CC,X,CC,PAL,FORAM,0,5,273.67,273.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,24 specimens in 1/8,,,,F,,,,,,,,,,,,R,,,,,,,,R,,,,R,,,,,A,,,,R,,,,,,,A,,,F,,F,,R,,,,R,,,R,,,,R,,,,,,,,,,,,,,,,,,,A,,,,7b91322c671e4917d88bc316abd96b3e
350-U1437B-39X-CC-PAL-FORAM,350,U1437,B,39,39-CC,X,CC,PAL,FORAM,0,5,284.98,285.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,3 specimen in 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,e798a58cbb384f4faf6b9bf427cecdcd
350-U1437B-40X-CC-PAL-FORAM,350,U1437,B,40,40-CC,X,CC,PAL,FORAM,0,5,292.23,292.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,19 in 1/8,,R,,,,,,,,F,,,,,,,,,,,,,R,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,e104998ada9cfdb998eb7254928eebfc
350-U1437B-43X-CC-PAL-FORAM,350,U1437,B,43,43-CC,X,CC,PAL,FORAM,0,5,322.72,322.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,41 in whole sample,,,,,,,,,,,,,,,,R,R,,R,,,,,D,,,,,,,,,R,,R,,,,,,,,,,,,R,,D,,,,,,F,,R,R,,,,F,,,,,,,,R,,,,,F,,,,,,,,,,3e1f13e76d5e084403ea71f1f8486464
350-U1437B-44X-CC-PAL-FORAM,350,U1437,B,44,44-CC,X,CC,PAL,FORAM,0,5,329.9,329.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,4 in 1/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,,,,0fd22ccf0e8ced4357744675212be579
350-U1437B-45X-CC-PAL-FORAM,350,U1437,B,45,45-CC,X,CC,PAL,FORAM,0,5,344.77,344.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,R,,,,29 in 1/4,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,A,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,caf37ca3d35afb0ea15d6dc724130502
350-U1437B-46X-CC-PAL-FORAM,350,U1437,B,46,46-CC,X,CC,PAL,FORAM,0,5,349.71,349.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0aa795fb8f61b84d57b80181bfe73ba6
350-U1437B-47X-CC-PAL-FORAM,350,U1437,B,47,47-CC,X,CC,PAL,FORAM,0,5,363.02,363.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 specimens in 1/8 split.,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,R,,,P,,P,,,,,,,,,,,,,,,,,,P,,R,,,P,,,,,74c259e71f5ee9cc61d3bffa87d54a73
350-U1437B-48X-CC-PAL-FORAM,350,U1437,B,48,48-CC,X,CC,PAL,FORAM,0,5,372.07,372.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 specimens in whole sample.,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,P,,,,,,,,,,,,,P,,,P,P,,,,,P,,,,,7ecfbff92c678ca9670a4920ee93e8c1
350-U1437B-50X-CC-PAL-FORAM,350,U1437,B,50,50-CC,X,CC,PAL,FORAM,0,5,388.42,388.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 specimen in 1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaa5dd4594dcf9bf5eec7fc1cc6c5255
350-U1437B-51X-CC-PAL-FORAM,350,U1437,B,51,51-CC,X,CC,PAL,FORAM,0,4,403.33,403.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 specimens,,,,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,R,,R,,,,,,,,,D,,,,,D,,,,,,R,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,5282cc7a4e26f6738387d92d0655beed
