Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongotrochus (?) venustum,Spongotrochus glacialis,Lamprocyrtis heteroporos,Cycladophora davisiana davisiana,Stylatractus universus,Siphocampe arachnea,Lamprocyrtis neoheteroporos,Lamprocyclas hannai,Haliommetta miocenica,Botryostrobus sp. aff. B. aquilonaris,Phormostichoartus crustula,Cycladophora bicornis amphora,Stylacontarium acquilonium,Phormostichoartus pitomorphus,Eucyrtidium calvertense,Botryostrobus bramlettei seriatus,Lychnocanoma nipponica sakaii,Eucyrtidium matuyamai,Pterocanium auritum,Botryostrobus bramlettei tumidulus,Stichocorys peregrina,Spongodiscus osculosus,Eucyrtidium teuscheri teuscheri,Ceratospyris borealis,Dictyophimus hirundo,Sphaeropyle langii,Pterocanium grandiporus,Pseudodictyophimus gracilipes,Botryostrobus bramlettei pretumidulus,Sphaeropyle robusta,Botryostrobus bramlettei bramlettei,Phormostichoartus schneideri,Pterocanium trilobum,Pterocorys clausus,Tricolocapsa papillosa,Gondwanaria dogieli,Cycladophora bicincta group,Amphimelissa setosa,Rhizosphaera antarctica,Actinomma popofskii,Ceratocyrtis histricosa group,Actinomma leptodermum,Lamprocyrtis nigriniae,Botryostrobus aquilonaris,Pterocanium korotnevi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  2,H, 6,  78.00,     37.7800,Caulet   ,Radiolarians                                 ,R              ,G                 ,C                         ,R                      ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,T                            ,                     ,                   ,C                                 ,                     ,                      ,                               ,C                    ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,C                          ,                   ,                       ,R                  ,T                            ,                     ,                      ,                         ,C                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  2,H,CC,  37.00,     39.6000,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                         ,R                      ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,T                         ,                             ,                       ,                                 ,C                            ,                     ,                   ,R                                 ,                     ,                      ,                               ,C                    ,                    ,R                 ,                       ,                             ,                                     ,                   ,                                   ,                            ,R                   ,                  ,                      ,                   ,C                          ,                   ,                       ,                   ,T                            ,                     ,R                     ,C                        ,R                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  3,H, 3,  26.00,     41.2900,Caulet   ,Radiolarians                                 ,F              ,G                 ,C                         ,                       ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,A                                 ,                     ,                      ,                               ,C                    ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,                   ,F                            ,                     ,T                     ,R                        ,R                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  3,H, 5,  19.00,     44.2300,Caulet   ,Radiolarians                                 ,VR             ,M                 ,R                         ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,T                         ,                             ,                       ,                                 ,                             ,                     ,                   ,A                                 ,                     ,                      ,                               ,R                    ,T                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,                   ,T                            ,                     ,                      ,                         ,T                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  3,H, 8,  40.00,     48.9400,Caulet   ,Radiolarians                                 ,R              ,G                 ,F                         ,R                      ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,F                                 ,                     ,                      ,                               ,R                    ,T                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,F                 ,                      ,                   ,R                          ,                   ,T                      ,R                  ,                             ,                     ,T                     ,                         ,R                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  3,H,CC,  61.00,     49.9900,Caulet   ,Radiolarians                                 ,A              ,G                 ,                          ,A                      ,                        ,C                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,R                            ,                     ,T                  ,C                                 ,                     ,                      ,                               ,A                    ,F                   ,                  ,                       ,C                            ,                                     ,                   ,                                   ,                            ,R                   ,C                 ,                      ,                   ,                           ,                   ,                       ,                   ,T                            ,                     ,R                     ,                         ,C                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  4,H, 1,  39.00,     48.8900,Caulet   ,Radiolarians                                 ,R              ,G                 ,                          ,                       ,                        ,R                               ,                      ,                   ,?                          ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,T                            ,                     ,                   ,F                                 ,                     ,                      ,                               ,                     ,                    ,R                 ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  4,H, 2,  63.00,     49.9600,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  4,H, 3,  21.00,     51.0400,Caulet   ,Radiolarians                                 ,VR             ,G                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,T                            ,                     ,                   ,R                                 ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,T                            ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,R                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  4,H, 4,  30.00,     52.3900,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                         ,C                      ,                        ,R                               ,                      ,                   ,R                          ,                   ,                     ,                                     ,                          ,                             ,C                         ,                             ,R                      ,                                 ,R                            ,                     ,                   ,A                                 ,                     ,F                     ,                               ,                     ,R                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,F                 ,                      ,                   ,C                          ,                   ,C                      ,F                  ,R                            ,                     ,                      ,R                        ,R                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  4,H, 6,  67.00,     55.5400,Caulet   ,Radiolarians                                 ,VR             ,M                 ,                          ,                       ,                        ,T                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,T                                 ,                     ,                      ,                               ,?                    ,T                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,T                          ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,R                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  4,H, 7, 113.00,     57.3500,Caulet   ,Radiolarians                                 ,R              ,M                 ,R                         ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,                               ,R                    ,T                   ,                  ,T                      ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,T                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  5,H, 1,  86.00,     58.8600,Caulet   ,Radiolarians                                 ,R              ,G                 ,C                         ,                       ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,                                     ,T                         ,                             ,C                         ,                             ,                       ,                                 ,?                            ,                     ,                   ,C                                 ,                     ,                      ,                               ,R                    ,C                   ,R                 ,R                      ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,C                  ,                             ,                     ,                      ,                         ,R                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  5,H, 2,  90.00,     60.3300,Caulet   ,Radiolarians                                 ,VR             ,P                 ,                          ,                       ,                        ,T                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,T                         ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,T                      ,                   ,                             ,T                    ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  5,H, 4, 111.00,     63.5300,Caulet   ,Radiolarians                                 ,VR             ,P                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,R                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  5,H, 6,  66.00,     66.1200,Caulet   ,Radiolarians                                 ,VR             ,P                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,R                        ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  6,H, 3,  37.00,     69.9100,Caulet   ,Radiolarians                                 ,VR             ,P                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,T                         ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,T                                 ,                     ,                      ,                               ,                     ,                    ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,                   ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  6,H, 4,  47.00,     71.3100,Caulet   ,Radiolarians                                 ,R              ,P                 ,                          ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,                     ,R                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,R                      ,                   ,                             ,R                    ,                      ,R                        ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  6,H, 5,  24.00,     72.4800,Caulet   ,Radiolarians                                 ,C              ,M                 ,R                         ,                       ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,                                     ,R                         ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,                               ,R                    ,C                   ,                  ,                       ,T                            ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,C                  ,                             ,A                    ,                      ,R                        ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  6,H, 7, 122.00,     76.4600,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                         ,A                      ,                        ,A                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,F                         ,                             ,F                      ,                                 ,F                            ,                     ,                   ,C                                 ,                     ,C                     ,                               ,A                    ,A                   ,F                 ,                       ,T                            ,                                     ,                   ,                                   ,                            ,                    ,                  ,R                     ,                   ,C                          ,                   ,                       ,A                  ,                             ,                     ,C                     ,C                        ,F                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  6,H, 8,  60.00,     77.3400,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                         ,A                      ,                        ,A                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,F                         ,                             ,R                      ,                                 ,F                            ,                     ,                   ,A                                 ,                     ,C                     ,                               ,A                    ,A                   ,R                 ,                       ,T                            ,                                     ,                   ,                                   ,                            ,                    ,                  ,R                     ,                   ,A                          ,                   ,                       ,R                  ,                             ,                     ,                      ,A                        ,R                    ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  7,H, 1,  71.00,     77.7100,Caulet   ,Radiolarians                                 ,R              ,G                 ,                          ,                       ,                        ,                                ,                      ,R                  ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,T                    ,T                   ,R                 ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,R                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  7,H, 2,  32.00,     78.8400,Caulet   ,Radiolarians                                 ,VR             ,                  ,T                         ,                       ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,F                         ,                             ,T                      ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,                               ,                     ,R                   ,                  ,                       ,T                            ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,T                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  7,H, 4, 119.00,     81.8600,Caulet   ,Radiolarians                                 ,R              ,G                 ,                          ,R                      ,                        ,A                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,T                            ,                       ,                                 ,                             ,                     ,                   ,F                                 ,                     ,R                     ,                               ,F                    ,R                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,R                 ,                      ,R                  ,F                          ,                   ,                       ,R                  ,                             ,                     ,r                     ,R                        ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  7,H, 5, 118.00,     83.3000,Caulet   ,Radiolarians                                 ,C              ,M                 ,R                         ,F                      ,                        ,R                               ,                      ,R                  ,                           ,                   ,                     ,                                     ,                          ,                             ,C                         ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,                               ,C                    ,R                   ,R                 ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,R                  ,                             ,R                    ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  7,H, 6,  41.00,     83.9800,Caulet   ,Radiolarians                                 ,C              ,M                 ,                          ,R                      ,                        ,R                               ,                      ,R                  ,                           ,                   ,                     ,                                     ,                          ,                             ,C                         ,T                            ,                       ,                                 ,                             ,                     ,                   ,C                                 ,                     ,                      ,                               ,C                    ,R                   ,                  ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,T                  ,R                          ,                   ,                       ,R                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  7,H,CC,  71.00,     86.2800,Caulet   ,Radiolarians                                 ,C              ,G                 ,                          ,R                      ,                        ,R                               ,                      ,R                  ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,C                                 ,                     ,                      ,                               ,C                    ,R                   ,T                 ,T                      ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,R                  ,                             ,R                    ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 1,  96.00,     87.4600,Caulet   ,Radiolarians                                 ,R              ,M                 ,                          ,R                      ,                        ,                                ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,R                         ,                             ,                       ,                                 ,                             ,                     ,                   ,                                  ,                     ,                      ,                               ,R                    ,                    ,T                 ,                       ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,                           ,                   ,                       ,R                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 2,  96.00,     88.9700,Caulet   ,Radiolarians                                 ,F              ,G                 ,                          ,R                      ,                        ,R                               ,                      ,                   ,                           ,                   ,                     ,                                     ,                          ,                             ,                          ,                             ,                       ,                                 ,                             ,                     ,                   ,R                                 ,                     ,                      ,                               ,C                    ,                    ,                  ,T                      ,                             ,                                     ,                   ,                                   ,                            ,                    ,                  ,                      ,                   ,R                          ,                   ,                       ,                   ,                             ,R                    ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 2, 117.00,     89.1800,Caulet   ,Radiolarians                                 ,C              ,G                 ,T                         ,F                      ,                        ,A                               ,                      ,R                  ,R                          ,                   ,                     ,A                                    ,R                         ,                             ,R                         ,R                            ,                       ,                                 ,R                            ,                     ,R                  ,A                                 ,                     ,R                     ,                               ,A                    ,T                   ,                  ,                       ,R                            ,                                     ,                   ,                                   ,                            ,                    ,R                 ,R                     ,R                  ,C                          ,C                  ,R                      ,                   ,R                            ,R                    ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 3,  49.00,     90.0000,Caulet   ,Radiolarians                                 ,C              ,G                 ,R                         ,F                      ,                        ,A                               ,T                     ,R                  ,R                          ,                   ,                     ,A                                    ,T                         ,                             ,R                         ,R                            ,                       ,                                 ,T                            ,                     ,R                  ,C                                 ,                     ,R                     ,                               ,C                    ,T                   ,                  ,R                      ,R                            ,                                     ,                   ,                                   ,                            ,                    ,R                 ,                      ,T                  ,C                          ,                   ,T                      ,R                  ,                             ,                     ,                      ,                         ,                     ,From Leg 146; Ch 3; Table 2; p. 49-50
