Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudammodochium sp. A	Pseudammodochium eximium	Naviculopsis spp.	Ebridians (indeterminate taxa)	Dictyocha carentis incerta	Corbisema elata	Corbisema apiculata	Ammodochium spp.	Actiniscus pentasterias s.l.	Naviculopsis aff. constricta	Hermesinopsis sp. A	Distephanus antiquus	Dictyocha rotundata rotundata	Dictyocha deflandrei	Pseudammodochium sp. B	Pseudammodochium dictyoides	Naviculopsis spp. fragments	Hermesinella conata	Dictyocha carentis carentis	Dictyocha bryonalis (medusoid)	Corbisema lamellifera constricta	Corbisema hastata	Carduifolia gracilis	Ammodochium sp. A	Ammodochium doliolum	Falsebria ambiqua	Distephanus crux crux	Corbisema reducta	Corbisema convexa	Ammodochium serotinum	Spongebria marthae	Naviculopsis eobiapiculata	Naviculopsis aspera	Hermesinum acus	Hermesinopsis valida	Haplohermesinum cornuta	Distephanus speculum  pentagonus	Dictyocha transitoria	Dictyocha spp.	Dictyocha rotundata secta	Dictyocha bryonalis subsp. A	Dictyocha bryonalis bryonalis	Corbisema spp.	Corbisema globulata	Ammodochium danicum	Septamesocena apiculata glabra	Pseudammodochium spp.	Naviculopsis minor	Macrora stella	Hermesinum obliquum	Hermesinum geminum	Haplohermesinum hovassei	Ebriopsis crenulata	Ditripodium spp.	Distephanus speculum f. schulzii	Distephanus crux subsp. A	Dictyocha martinii	Cannopilus hemisphaericus	Cannopilus cf. hemisphaericus	Ammodochium pyramidale	Actiniscidians indetrminate taxa	Naviculopsis biapiculata	Hermesinopsis exigua	Hermesinella schulzii	Foliactiniscus atlanticus	Falsebria rossica	Carduifolia spp.	Cannopilus jouseae	Distephanus speculum speculum	Distephanus speculum (diverse forms)	Corbisema triacantha s.l.	Hermesinella fenestrata	Ammodochium rectangulare	Distephanus norvegiensis	Corbisema lamellifera lamellifera	Dictyocha precarentis	Actiniscus elongatus	Haplohermesinum sp. A	Carduifolia onopordoides	Hermesinella cf. transversa	Corbisema spinosa	Mesocena quadrangula	Corbisema lamellifera hastata	Corbisema angularis	Synuracean taxa	Distephanus speculum speculum f. septenarius	Hermesinopsis spp.	Distephanus paulii	Dictyocha obliqua	Corbisema archangelskiana	Hermesinella paraconata	Lyramula furcula	Thranium sp.	Comment

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 23	X	 2	  59.00	    208.3900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	F                       	                 	F                             	R                         	               	R                  	R               	R                           	R                           	R                  	T                   	R                            	R                   	R                     	T                          	                           	                   	R                          	R                             	R                               	T                	                    	R                	R                   	R                	                     	R                	T                	                     	R                 	                          	                   	               	R                   	                       	                                	T                    	R             	R                        	                            	                             	R             	R                  	R                  	T                             	R                    	                  	              	                   	                  	                        	T                  	                	                                	                         	                  	                         	                             	                      	                                	                        	R                   	                     	                         	T                	                	R                 	R                            	                                    	                         	                       	                        	                        	R                                	                     	                    	                     	R                       	                           	                 	                    	T                            	                   	               	                                            	                  	                  	R                	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 23	X	 3	  59.00	    209.8900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	F                       	                 	F                             	R                         	               	                   	R               	F                           	                            	                   	                    	R                            	R                   	                      	                           	+                          	                   	                           	                              	                                	                 	R                   	R                	                    	                 	F                    	                 	                 	                     	                  	                          	                   	               	T                   	                       	F                               	                     	R             	                         	                            	R                            	              	                   	                   	R                             	                     	                  	              	                   	                  	                        	R                  	                	                                	                         	                  	                         	                             	F                     	                                	                        	                    	                     	                         	                 	R               	                  	F                            	R                                   	                         	                       	                        	                        	                                 	                     	                    	R                    	R                       	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	R                      	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 23	X	 4	  59.00	    211.3900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	                 	F                             	R                         	R              	                   	                	C                           	R                           	                   	R                   	R                            	                    	R                     	R                          	                           	                   	R                          	R                             	                                	                 	F                   	R                	                    	R                	A                    	R                	R                	                     	                  	R                         	                   	               	R                   	                       	C                               	                     	              	                         	                            	R                            	              	                   	                   	R                             	R                    	                  	              	R                  	                  	                        	                   	                	                                	R                        	R                 	F                        	                             	R                     	                                	                        	                    	                     	R                        	                 	R               	                  	C                            	                                    	R                        	                       	                        	                        	                                 	                     	                    	                     	R                       	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	R                        	R                      	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 23	X	 5	  59.00	    212.8900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	                 	R                             	                          	R              	                   	R               	R                           	                            	R                  	                    	                             	                    	R                     	R                          	                           	                   	R                          	R                             	                                	                 	R                   	R                	                    	                 	C                    	R                	                 	                     	                  	                          	                   	               	R                   	                       	R                               	                     	              	R                        	                            	                             	R             	                   	                   	                              	                     	                  	              	                   	                  	                        	R                  	                	                                	                         	                  	R                        	                             	R                     	                                	                        	                    	                     	R                        	                 	                	                  	F                            	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	R                      	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 23	X	 6	  59.00	    214.3900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	                 	R                             	R                         	               	                   	                	R                           	                            	                   	                    	                             	                    	R                     	R                          	                           	                   	R                          	                              	R                               	                 	R                   	R                	                    	                 	R                    	R                	                 	                     	R                 	                          	                   	               	R                   	                       	F                               	                     	R             	                         	                            	                             	              	                   	R                  	                              	                     	R                 	              	                   	                  	                        	R                  	                	                                	R                        	                  	                         	                             	R                     	                                	                        	                    	                     	R                        	                 	                	                  	R                            	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 24	X	 1	  58.00	    216.5800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	R                	F                             	R                         	               	R                  	                	T                           	                            	T                  	                    	R                            	R                   	R                     	R                          	                           	                   	R                          	                              	                                	T                	R                   	T                	R                   	R                	                     	                 	R                	                     	R                 	                          	                   	               	R                   	                       	                                	T                    	R             	                         	                            	                             	              	                   	                   	                              	                     	R                 	              	                   	                  	                        	R                  	                	                                	                         	                  	                         	R                            	                      	                                	R                       	R                   	                     	                         	T                	                	                  	                             	                                    	R                        	                       	                        	                        	T                                	T                    	                    	                     	                        	                           	                 	                    	R                            	                   	R              	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 24	X	 2	  58.00	    218.0800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	F                       	R                	F                             	R                         	               	                   	R               	F                           	R                           	R                  	                    	R                            	R                   	R                     	                           	                           	                   	R                          	R                             	                                	                 	F                   	R                	                    	R                	                     	R                	R                	                     	                  	                          	                   	               	R                   	                       	F                               	                     	              	                         	                            	R                            	              	                   	                   	R                             	                     	                  	              	                   	R                 	                        	R                  	R               	                                	                         	                  	R                        	                             	R                     	                                	                        	T                   	                     	                         	                 	                	                  	C                            	                                    	                         	                       	                        	                        	R                                	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	T                      	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	C. hemisphaericus 	              	151	 908	A	 24	X	 3	  58.00	    219.5800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	                 	F                             	R                         	R              	                   	R               	C                           	R                           	                   	R                   	R                            	R                   	R                     	                           	                           	                   	                           	                              	                                	                 	F                   	R                	                    	                 	R                    	R                	R                	                     	R                 	                          	                   	               	                    	                       	R                               	                     	R             	R                        	                            	R                            	              	R                  	                   	                              	R                    	R                 	              	                   	                  	                        	R                  	                	                                	                         	                  	R                        	                             	                      	                                	                        	                    	                     	                         	                 	                	                  	R                            	                                    	                         	                       	                        	                        	                                 	                     	R                   	                     	R                       	                           	R                	                    	                             	R                  	R              	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 24	X	 4	  58.00	    221.0800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	F                     	F                       	                 	F                             	R                         	R              	R                  	R               	F                           	R                           	                   	                    	R                            	R                   	R                     	R                          	                           	T                  	                           	                              	                                	                 	R                   	R                	                    	R                	R                    	                 	R                	R                    	R                 	R                         	                   	               	                    	R                      	R                               	                     	R             	R                        	                            	R                            	              	R                  	R                  	R                             	R                    	R                 	              	                   	                  	                        	R                  	                	                                	F                        	                  	R                        	                             	                      	                                	R                       	R                   	                     	R                        	                 	                	                  	C                            	                                    	R                        	                       	                        	                        	R                                	                     	R                   	                     	R                       	                           	                 	                    	                             	                   	               	R                                           	                  	C                 	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 24	X	 5	  58.00	    222.5800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	P                 	R                     	R                       	                 	F                             	R                         	               	R                  	                	                            	R                           	T                  	R                   	R                            	                    	R                     	T                          	                           	                   	R                          	                              	                                	T                	                    	R                	                    	                 	                     	                 	R                	T                    	T                 	                          	                   	               	R                   	                       	                                	R                    	R             	                         	                            	                             	T             	T                  	                   	                              	R                    	                  	              	                   	                  	                        	R                  	                	                                	                         	                  	                         	                             	                      	                                	R                       	R                   	                     	                         	                 	                	                  	                             	                                    	                         	                       	                        	                        	                                 	R                    	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 24	X	 6	  58.00	    224.0800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	F                     	F                       	                 	F                             	R                         	               	                   	R               	F                           	R                           	                   	R                   	R                            	R                   	F                     	                           	                           	                   	R                          	                              	                                	R                	R                   	F                	                    	R                	                     	                 	                 	                     	                  	R                         	                   	               	R                   	                       	R                               	R                    	R             	R                        	                            	R                            	              	                   	R                  	R                             	                     	R                 	              	T                  	                  	                        	R                  	                	                                	R                        	                  	R                        	                             	                      	                                	                        	R                   	                     	                         	R                	                	                  	F                            	                                    	                         	                       	R                       	                        	                                 	                     	                    	                     	R                       	                           	                 	                    	                             	                   	               	R                                           	                  	F                 	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 25	X	 1	  56.00	    226.1600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	F                       	                 	F                             	R                         	R              	R                  	R               	F                           	                            	                   	                    	R                            	R                   	R                     	                           	                           	                   	R                          	                              	                                	                 	R                   	F                	                    	                 	                     	                 	                 	                     	                  	R                         	                   	               	R                   	                       	                                	T                    	              	                         	                            	                             	              	                   	R                  	                              	R                    	R                 	              	                   	                  	                        	R                  	                	                                	                         	                  	R                        	                             	R                     	                                	R                       	R                   	                     	                         	                 	                	                  	C                            	                                    	                         	                       	                        	                        	                                 	R                    	R                   	                     	                        	R                          	                 	                    	                             	                   	               	                                            	                  	F                 	                 	R                        	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 25	X	 2	  56.00	    227.6600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	PM                	R                     	F                       	T                	F                             	R                         	               	R                  	F               	R                           	                            	                   	                    	F                            	R                   	R                     	                           	                           	                   	R                          	                              	                                	                 	R                   	R                	                    	R                	                     	T                	T                	                     	R                 	                          	                   	               	R                   	                       	                                	R                    	R             	R                        	                            	R                            	              	R                  	                   	                              	R                    	R                 	              	                   	                  	                        	T                  	                	                                	                         	                  	                         	                             	                      	                                	R                       	R                   	                     	                         	R                	                	                  	                             	                                    	R                        	                       	                        	                        	R                                	R                    	                    	                     	                        	                           	                 	                    	                             	R                  	               	                                            	                  	T                 	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 25	X	 3	  58.00	    229.1800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	F                       	                 	C                             	F                         	               	R                  	R               	R                           	R                           	T                  	                    	F                            	R                   	F                     	T                          	                           	                   	F                          	                              	                                	                 	                    	F                	                    	R                	                     	T                	R                	R                    	R                 	                          	                   	               	F                   	                       	T                               	                     	R             	R                        	                            	R                            	              	R                  	                   	                              	R                    	                  	              	                   	                  	                        	R                  	                	                                	                         	                  	R                        	                             	                      	                                	R                       	R                   	                     	                         	R                	                	T                 	R                            	                                    	R                        	                       	                        	                        	R                                	                     	R                   	                     	                        	                           	                 	                    	                             	R                  	               	                                            	                  	                  	R                	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 25	X	 4	  55.00	    230.6500	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MG                	R                     	F                       	                 	F                             	R                         	R              	                   	R               	F                           	R                           	T                  	                    	                             	R                   	R                     	                           	                           	                   	                           	                              	                                	                 	R                   	                 	R                   	                 	                     	R                	                 	R                    	                  	                          	                   	               	R                   	                       	R                               	R                    	R             	                         	                            	                             	              	R                  	R                  	R                             	R                    	                  	              	                   	                  	                        	                   	                	                                	R                        	                  	F                        	                             	                      	                                	                        	R                   	                     	R                        	                 	                	                  	C                            	                                    	                         	R                      	                        	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	R                                           	                  	F                 	R                	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 25	X	 5	  56.00	    232.1600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	F                       	                 	R                             	R                         	R              	R                  	R               	F                           	R                           	                   	R                   	R                            	R                   	R                     	R                          	                           	                   	R                          	                              	R                               	                 	F                   	F                	                    	R                	                     	R                	R                	                     	R                 	R                         	                   	               	R                   	R                      	R                               	                     	R             	                         	                            	R                            	R             	                   	                   	R                             	R                    	R                 	R             	                   	                  	                        	R                  	                	                                	                         	R                 	R                        	                             	                      	                                	                        	R                   	R                    	R                        	                 	                	                  	F                            	                                    	                         	                       	                        	                        	R                                	                     	                    	                     	                        	                           	R                	                    	R                            	                   	               	R                                           	                  	F                 	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 26	X	 1	  57.00	    235.7700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MP                	R                     	R                       	T                	F                             	R                         	               	R                  	R               	R                           	T                           	                   	R                   	R                            	R                   	R                     	R                          	                           	                   	R                          	                              	R                               	                 	T                   	R                	                    	R                	                     	                 	R                	                     	R                 	                          	                   	               	R                   	                       	R                               	                     	              	T                        	                            	R                            	              	                   	                   	R                             	R                    	                  	R             	                   	                  	                        	                   	                	                                	                         	R                 	                         	                             	                      	                                	                        	                    	                     	                         	                 	                	R                 	                             	                                    	                         	                       	R                       	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	                                            	                  	                  	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 26	X	 2	  57.00	    237.2700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MG                	                      	R                       	                 	R                             	R                         	               	                   	                	F                           	                            	                   	R                   	R                            	R                   	R                     	                           	                           	                   	R                          	                              	                                	R                	F                   	R                	                    	                 	                     	R                	R                	                     	R                 	                          	R                  	               	R                   	                       	                                	                     	              	R                        	                            	R                            	              	                   	R                  	T                             	                     	                  	R             	R                  	R                 	                        	                   	R               	R                               	                         	                  	R                        	                             	                      	                                	                        	                    	                     	                         	                 	                	                  	R                            	                                    	                         	                       	                        	                        	                                 	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	R                                           	R                 	R                 	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108

  SR	                 	                 	Ds. paulii Subzone	              	151	 908	A	 26	X	 3	  57.00	    238.7700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	MG                	R                     	F                       	                 	F                             	R                         	               	                   	R               	F                           	                            	                   	                    	R                            	R                   	R                     	R                          	                           	R                  	                           	                              	                                	                 	R                   	F                	                    	                 	R                    	R                	R                	R                    	                  	                          	                   	               	                    	                       	R                               	                     	              	R                        	                            	                             	              	                   	                   	R                             	                     	R                 	R             	                   	                  	R                       	                   	                	                                	                         	                  	R                        	                             	R                     	                                	                        	                    	R                    	                         	R                	                	                  	R                            	R                                   	                         	                       	                        	                        	R                                	                     	                    	                     	                        	                           	                 	                    	                             	                   	               	R                                           	                  	R                 	                 	                         	                       	                	            	from Leg 151SR; Ch 6; Tables 2&3; p. 105-108
