Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi <150 µm	Subbotina triloculinoides	Subbotina triangularis	Subbotina pseudobulloides	Planorotalites spp. <150 µm	Planorotalites ehrenbergi	Planorotalites compressus	Morozovella angulata abundocamerata	Morozovella angulata	Chiloguembelinid  gen. et sp. indet <150 µm	Acarinina praepentacamerata	Morozovella tadjikistanensis dianensis	Morozovella simulatilis	Morozovella hispidicidaris	Chiloguembelinid gen. et sp. indet (mainly Ch. midwayensis) large	Acarininid gen.et sp. indet (subangular)	Acarinina whitei	Acarinina mckannai	Morozovella tadjikistanensis	Morozovella pusilla	Morozovella nicoli ex. group (biconvex)	Globigerinelloides sp.	Acarinina subsphaerica	Acarinina nitida	Subbotina patagonica	Subbotina eocaenica	Acarinina soldadoensis	Subbotinid gen. et sp. indet (with abortive chambers)	Globorotaloides spp.	Acarinina spiralis	Acarinina intermedia	Morozovella convexa	Globorotaloides sp. 1	Acarinina velascoensis	Acarinina gravelli	Acarinina chascanona	Globorotaloides oregonensis	Acarinina esnaensis	Planorotalites pseudoscitulus	Planorotalites planoconicus	Planorotalites australiformis	Morozovella sp.	Subbotina pseudoeocaena compacta	Subbotina higginsi	Subbotina eocaenica irregularis	Subbotina bakeri	Planorotalites pseudoscitulus elongatus	Planorotalites chapmani	Guembelitria spp. <150 µm	Chiloguembelina wilcoxensis	Morozovella gracilis	Morozovella aequa	Acarinina appressocamerata	Subbotina pseudoeocaena	Pseudohastigerina wilcoxensis	Morozovella wilcoxensis berggreni	Morozovella subbotinae	Morozovella marginodentata	Globorotalia praecentralis	Catapsydrax taroubaensis	Heterohelix sp.	Pseudohastigerina micra	Globorotaloides turgida	Subbotina hornibrooki	Subbotina eocaena	Subbotina corpulenta	Pseudohastigerina spp. <150 µm	Globorotaloides sp. aff. G.suteri	Globigerinatheka senni	Acarinina triplex	Acarinina spinuloinflata	Acarinina sp. aff. mattseensis alticonica	Acarinina soldadoensis angulosa	Acarinina rugosoaculeata	Acarinina rotundimarginata	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina praetopilensis	Acarinina pentacamerata	Acarinina interposita	Acarinina decepta	Acarinina collactea	Acarinina acarinata	Acarinina bullbrooki/matthewsae	Morozovella lensiformis	Morozovella dolabrata	Morozovella crater	Morozovella broedermanni	Subbotina crociapertura	Subbotina lozanoi	Pseudohastigerina danvillensis	Cassigerinelloita amekiensis	Acarinina sp. cf. A.quadratoseptata	Acarinina sp. cf. A.punctocarinata	Acarinina sp.aff. libyaensis/hainesi	Acarinina cuneicamerata	Globigerinatheka luterbacheri	Acarinina topilensis	Acarinina boudreauxi	Acarinina aquiensis	Subbotina inaequispira	Dentoglobigerina pseudovenezuelana	Subbotina pseudoeocaena trilobata	Globorotaloides suteri	Subbotina sp. cf. S. azerbadjanica	Subbotina utilisindex	Subbotina angiporoides minima	Globigerina venezuelana	Catapsydrax spp.	Globigerinatheka index	Subbotina linaperta	Morozovella sp. cf. M. spinulosa	Turborotalia cerroazulensis frontosa	Subbotina angiporoides	Globigerinatheka subconglobata	Globigerinatheka sp. cf. G.mexicana	Catapsydrax africanus	Chiloguembelina cubensis	Pseudohastigerina barbadoensis <150 µm	Catapsydrax globiformis	Subbotina linaperta s.l.	Chiloguembelinid gen. et sp. indet >150 micron	Acarinina aculeata	Tenuitellid gen.et sp. indet.<150 µm	Tenuitella gemma <150 µm	Tenuitella clemenciae <150 µm	Globigerina ampliapertura	Comment

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 11	X	 4	 125.00	     97.5500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	F                                                    	                    	                  	                    	                   	                     	                      	                  	                    	F                          	                   	                             	                           	                             	               	R                               	                  	F                              	                	                                       	                       	R                        	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	F                	                    	                              	                                 	                      	                 	                        	                                         	                               	F                       	F                         	                          	C                  	                        	                       	                     	                 	F                  	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	C                      	                	F                     	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 11	X	 5	 125.00	     99.0500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	F                                                    	                    	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	R                      	                       	                     	                 	                    	R                             	                                 	F                     	                 	                        	                                         	                               	                        	                          	                          	A                  	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	F                    	F                            	C                      	                	R                     	                   	                                	                                    	R                     	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 11	X	 6	 125.00	    100.5500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	C                  	                      	F                                                    	                    	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	R                               	                  	F                              	                	                                       	                       	                         	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	                 	                    	                              	                                 	F                     	                 	                        	                                         	                               	                        	                          	                          	A                  	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	C                      	R               	F                     	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 11	X	CC	  28.00	    101.2400	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	R                                       	                	                  	                            	                   	F                                      	                      	                      	                	                    	F                  	                      	                                                     	F                   	                  	                    	                   	                     	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	R                              	                	                                       	                       	                         	                           	                    	                 	                          	C                      	                             	                                 	                      	                          	                          	                        	               	R                      	                       	                     	                 	                    	F                             	                                 	F                     	                 	                        	                                         	                               	F                       	F                         	F                         	A                  	                        	                       	                     	                 	C                  	                   	C                              	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	R                                	F                     	                                  	F                    	F                            	F                      	C               	F                     	                   	                                	                                    	R                     	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 12	X	 1	  80.00	    102.1000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	F                  	                      	F                                                    	F                   	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	C                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	C                	                    	                              	                                 	F                     	                 	S                       	                                         	                               	                        	                          	R                         	C                  	                        	                       	                     	F                	                   	                   	                               	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	                     	                             	C                      	                	                      	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 12	X	 2	  80.00	    103.6000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	F                  	                      	F                                                    	                    	                  	                    	                   	                     	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	C                      	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	C                	                    	F                             	                                 	                      	                 	                        	                                         	                               	                        	C                         	                          	C                  	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	F                    	F                            	C                      	                	F                     	                   	                                	                                    	R                     	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 12	X	 3	  80.00	    105.1000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	F                                                    	F                   	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	                    	F                             	                                 	F                     	                 	                        	                                         	                               	                        	C                         	F                         	C                  	                        	                       	                     	F                	                   	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	                     	F                            	C                      	                	F                     	                   	                                	                                    	R                     	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 12	X	 4	  80.00	    106.6000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	                                       	                      	                      	                	                    	                   	                      	F                                                    	                    	                  	                    	                   	                     	                      	                  	                    	                           	                   	                             	                           	                             	               	F                               	                  	C                              	                	                                       	                       	                         	                           	                    	                 	                          	C                      	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	C                	F                   	C                             	                                 	F                     	                 	S                       	                                         	                               	                        	C                         	                          	C                  	                        	                       	                     	                 	                   	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	F                    	                             	C                      	                	R                     	                   	                                	                                    	C                     	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	slight to medium etching of chambers from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 12	X	 5	  80.00	    108.1000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	                                        	                	                  	                            	                   	F                                      	                      	                      	                	                    	                   	                      	                                                     	                    	                  	                    	                   	R                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	R                               	                  	F                              	                	                                       	                       	                         	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	C                	                    	F                             	                                 	C                     	                 	                        	                                         	                               	                        	                          	                          	A                  	                        	                       	                     	R                	F                  	                   	                               	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	F                    	F                            	C                      	                	F                     	                   	                                	S                                   	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 12	X	 6	  80.00	    109.6000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	F                                       	                	                  	                            	                   	C                                      	                      	                      	                	                    	                   	                      	F                                                    	                    	                  	                    	                   	R                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	R                               	                  	F                              	                	                                       	                       	                         	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	                    	F                             	                                 	C                     	                 	                        	                                         	                               	F                       	                          	                          	A                  	                        	                       	                     	F                	                   	                   	C                              	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	C                     	                                  	F                    	                             	C                      	                	F                     	                   	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	S.eocaenica occurrence is doubtful; strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 12	X	CC	  28.00	    110.9100	Nocchi   	Planktonic Foraminifers                      	A              	G                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	F                                       	                	                  	                            	                   	F                                      	                      	                      	                	                    	                   	                      	R                                                    	F                   	                  	                    	                   	R                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	F                	R                   	F                             	                                 	C                     	                 	                        	                                         	                               	R                       	F                         	F                         	A                  	                        	                       	                     	R                	F                  	                   	C                              	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	F                    	                             	F                      	                	F                     	                   	R                               	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P12               	              	114	 702	B	 13	X	 1	 140.00	    112.2000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                        	                         	                      	                         	                           	                         	                         	                                   	                    	F                                          	                           	                                      	                       	                          	                                                                 	F                                       	                	                  	                            	                   	F                                      	                      	                      	                	                    	                   	                      	R                                                    	F                   	                  	                    	                   	F                    	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	F                      	                             	                                 	                      	                          	                          	                        	               	                       	                       	                     	F                	                    	C                             	                                 	                      	                 	                        	                                         	                               	                        	F                         	                          	A                  	                        	                       	                     	F                	F                  	                   	F                              	                       	                     	                  	                        	                       	                 	F                             	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	                      	                                  	C                    	F                            	F                      	                	F                     	R                  	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	S.eocaenica occurrence is doubtful; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Middle Eocene    	                 	P11               	              	114	 702	B	 13	X	 2	 140.00	    113.7000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                         	                         	                      	                         	                           	                         	                         	                                   	                    	C                                          	                           	                                      	                       	                          	                                                                 	F                                       	                	                  	                            	                   	C                                      	                      	                      	                	                    	F                  	                      	R                                                    	                    	                  	                    	                   	                     	                      	                  	                    	F                          	                   	                             	                           	                             	               	                                	                  	                               	                	                                       	                       	                         	                           	                    	                 	                          	                       	                             	                                 	                      	                          	                          	                        	               	F                      	                       	                     	C                	                    	F                             	                                 	F                     	                 	                        	                                         	                               	                        	F                         	                          	A                  	R                       	                       	                     	                 	                   	                   	F                              	                       	                     	                  	                        	                       	                 	                              	                            	                                   	                                  	                                    	                       	                             	                    	                    	                   	                      	                                  	                                 	F                     	                                  	F                    	                             	F                      	                	F                     	R                  	                                	                                    	                      	                              	                                   	                     	                        	                                      	                       	                        	                                              	                  	                                    	                        	                             	                         	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)
